,_id,authors,date_download,date_modify,date_publish,description,filename,image_url,language,localpath,title,title_page,title_rss,source_domain,maintext,url,event_extracted,eventExtracted,combined,domain,bad_location,event_type,model_outputs,model_max
0,5e4663e83fe1d637cbda34f2,"['Fumbuka Ng', 'Min Read']",2020-02-14 09:10:00,2020-02-14 09:10:00,2019-08-05 17:39:08,"An investigative journalist in Tanzania has been charged with money laundering, tax evasion and assisting a criminal racket, according to a court document seen by Reuters, charges his lawyer and rights groups said were politically motivated.",article_tanzania-rights_tanzania-charges-journalist-rights-groups-say-case-politically-motivated-idINKCN1UV1XS_1581671400.html,https://s4.reutersmedia.net/resources/r/?m=02&d=20190805&t=2&i=1415743221&w=1200&r=LYNXNPEF741T8,en,C:\Users\spenc/news-please-repo//data/2020/02/14/in.reuters.com/article_tanzania-rights_tanzania-charges-journalist-rights-groups-say-case-politically-motivated-idINKCN1UV1XS_1581671400.html,"Tanzania charges journalist, rights groups say case politically motivated","
                Tanzania charges journalist, rights groups say case politically motivated - Reuters",NULL,reuters.com,"DAR ES SALAAM (Reuters) - An investigative journalist in Tanzania has been charged with money laundering, tax evasion and assisting a criminal racket, according to a court document seen by Reuters, charges his lawyer and rights groups said were politically motivated.
Tanzanian investigative journalist Erick Kabendera sits inside the Kisutu Residents Magistrate Court in Dar es Salaam, Tanzania August 5, 2019. REUTERS/Emmanuel Herman
Rights groups say press freedom in Tanzania has drastically deteriorated since the election in 2015 of President John Magufuli, whose administration has shut down newspapers, arrested opposition leaders and activists and restricted political rallies. The government has rejected the criticism.
Erick Kabendera, who has written for national and international publications, including The Guardian and The Times of London, was arrested at his home in Dar es Salaam last week, over what police said at the time were issues concerning his citizenship.
On Monday afternoon, a court charged Kabendera with three counts of leading organised crime, failure to pay taxes and money laundering, according to a charge sheet seen by Reuters.
In the charge sheet, the State Prosecutor alleged that between January 2015 and July 2019 Kabendera “knowingly furnished assistance in the conduct of affairs of a criminal racket, with intent either to reap profit or other benefit.”
During a similar period, he failed to pay taxes to an income of 173 million shillings ($75,000), the charge sheet said.
The case has been adjourned until August 19 when it will come up for mention.
“Based on the nature of questions he has been asked since being put under police custody, we believe that his arrest and subsequent prosecution are linked to his work as a journalist,” Kabendera’s lawyer, Jebra Kambole, told Reuters.
Government spokesman Hassan Abbasi declined to respond directly to the lawyer’s accusations, saying: “If he is charged in court then let’s leave the matter before the court of law.”
Last month Kabendera published a story in the regional publication The East African about purported internal divisions within the ruling Chama Cha Mapinduzi (CCM) party ahead of presidential polls in 2020.
Muthoki Mumo, the Sub-Saharan Africa representative for
New York-based Committee to Protect Journalists, said the charges were retaliation for Kabendera’s work as a journalist.
“The continued detention of this freelance journalist is an attempt to muzzle a critical voice and his case also has the potential to intimidate others in Tanzania’s media community into silence,” she said.
Kabendera’s lawyer said that money laundering was not a bailable offence, meaning the journalist would have to remain in remand prison until his case was concluded, warning this could be for up to three years.
Tanzanian investigative journalist Erick Kabendera arrives at the Kisutu Residents Magistrate Court in Dar es Salaam, Tanzania August 5, 2019. REUTERS/Emmanuel Herman
Murithi Mutiga at the Brussels-based International Crisis Group also said the government was “abusing the charges of economic crimes to target critics, secure in the knowledge that the offence is not bailable.”
“The fact the authorities have offered wildly contrasting justifications for holding Erick leaves no room for doubt that this is a politically motivated attempt to silence one of Tanzania’s most courageous and talented journalists.”
($1 = 2,294.0000 Tanzanian shillings)",https://in.reuters.com/article/tanzania-rights/tanzania-charges-journalist-rights-groups-say-case-politically-motivated-idINKCN1UV1XS,0.0,0.0,"Tanzania charges journalist, rights groups say case politically motivated. DAR ES SALAAM (Reuters) - An investigative journalist in Tanzania has been charged with money laundering, tax evasion and assisting a criminal racket, according to a court document seen by Reuters, charges his lawyer and rights groups said were politically motivated.",in.reuters.com,Tanzania,arrest,"[-0.03877633810043335, 8.25124454498291, -0.42691972851753235, -0.5941528677940369, -0.6397930979728699, 0.17606496810913086, -0.9972266554832458, -0.5128363966941833, -0.8227572441101074, -0.9192309975624084, -0.4215971827507019, 1.6323641538619995, -0.2962242662906647, -1.7473819255828857, -1.20925772190094, -0.567550539970398, 0.0751420333981514, -1.1361075639724731]",8.25124454498291
4,5e4b7c1ba6c5f151d63ad88e,"['Fumbuka Ng', 'Min Read']",2020-02-18 05:54:35,2020-02-18 05:54:35,2019-08-05 15:30:23,"An investigative journalist in Tanzania has been charged with money laundering, tax evasion and assisting a criminal racket, according to a court document seen by Reuters, charges his lawyer said were politically motivated.",article_tanzania-rights_corrected-tanzanian-court-charges-investigative-journalist-with-financial-crimes-idUSL8N251220_1582005275.html,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,en,C:\Users\spenc/news-please-repo//data/2020/02/17/reuters.com/article_tanzania-rights_corrected-tanzanian-court-charges-investigative-journalist-with-financial-crimes-idUSL8N251220_1582005275.html,CORRECTED-Tanzanian court charges investigative journalist with financial crimes,"
                CORRECTED-Tanzanian court charges investigative journalist with financial crimes - Reuters",NULL,reuters.com,"(Corrects name of government spokesman)
By Fumbuka Ng’wanakilala
DAR ES SALAAM, Aug 5 (Reuters) - An investigative journalist in Tanzania has been charged with money laundering, tax evasion and assisting a criminal racket, according to a court document seen by Reuters, charges his lawyer said were politically motivated.
Rights groups say press freedom in Tanzania has drastically deteriorated since the election in 2015 of President John Magufuli, whose administration has shut down newspapers, arrested opposition leaders and activists and restricted political rallies. The government has rejected the criticism.
Erick Kabendera, who has written for national and international publications, including The Guardian and The Times of London, was arrested at his home in Dar es Salaam last week, over what police said at the time were issues concerning his citizenship.
On Monday afternoon, a court charged Kabendera with three counts of leading organised crime, failure to pay taxes and money laundering, according to a charge sheet seen by Reuters.
In the charge sheet, the State Prosecutor alleged that between January 2015 and July 2019 Kabendera “knowingly furnished assistance in the conduct of affairs of a criminal racket, with intent either to reap profit or other benefit.”
During a similar period, he failed to pay taxes to an income of 173 million shillings ($75,000), the charge sheet said.
The case has been adjourned until August 19 when it will come up for mention.
“Based on the nature of questions he has been asked since being put under police custody, we believe that his arrest and subsequent prosecution are linked to his work as a journalist,” Kabendera’s lawyer, Jebra Kambole, told Reuters.
Government spokesman Hassan Abbasi did not return calls or respond to text messages seeking comment.
Last month Kabendera published a story in the regional publication The East African about purported internal divisions within the ruling Chama Cha Mapinduzi (CCM) party ahead of presidential polls in 2020.
Muthoki Mumo the Sub-Saharan Africa representative for New York-based Committee to Protect Journalists said the charges were retaliation for Kabendera’s work as a journalist.
“The continued detention of this freelance journalist is an attempt to muzzle a critical voice and his case also has the potential to intimidate others in Tanzania’s media community into silence,” she said.
Kabendera’s lawyer said that money laundering was not a bailable offence, meaning the journalist would have to remain in remand prison until his case was concluded, warning this could be for up to three years.",https://www.reuters.com/article/tanzania-rights/corrected-tanzanian-court-charges-investigative-journalist-with-financial-crimes-idUSL8N251220,0.0,0.0,"CORRECTED-Tanzanian court charges investigative journalist with financial crimes. (Corrects name of government spokesman)
By Fumbuka Ng’wanakilala
DAR ES SALAAM, Aug 5 (Reuters) - An investigative journalist in Tanzania has been charged with money laundering, tax evasion and assisting a criminal racket, according to a court document seen by Reuters, charges his lawyer said were politically motivated.",reuters.com,Tanzania,arrest,"[0.04703719913959503, 7.450187683105469, -0.5359638929367065, -0.34161892533302307, -0.4943268895149231, 0.12867334485054016, -1.1043983697891235, 0.012718748301267624, -0.8985432386398315, -1.1123846769332886, -0.38654568791389465, 2.8688669204711914, -0.9038529396057129, -1.278662085533142, -1.3292237520217896, -0.6041771769523621, -0.2018010914325714, -1.0455199480056763]",7.450187683105469
5,5e559f62ca93cfe5fe0aaccd,['Please Enter Your Name Here'],2019-08-14 19:57:57+00:00,,2019-08-14 15:18:17,,http%3A%2F%2Fmtanzania.co.tz%2Fwesley-sneijder-atundika-daruga%2F.json,http://mtanzania.co.tz/wp-content/uploads/2019/08/Wesley-Sneijder-.jpg,en,,Wesley Sneijder atundika daruga,,,mtanzania.co.tz,,http://mtanzania.co.tz/wesley-sneijder-atundika-daruga/,,,Wesley Sneijder atundika daruga,mtanzania.co.tz,Tanzania,arrest,"[0.23080071806907654, 8.873212814331055, -0.4826931059360504, -1.112173080444336, -0.4409138262271881, -0.34829986095428467, -0.8881354331970215, 0.026781197637319565, 0.002292424440383911, -0.5341444611549377, -0.4274270534515381, -0.2305518239736557, -0.47651639580726624, -1.6679989099502563, -1.3460103273391724, -0.5570764541625977, -0.2249079942703247, -0.9499859809875488]",8.873212814331055
6,5e559f85ca93cfe5fe0ac8ac,['Please Enter Your Name Here'],2019-08-11 20:45:44+00:00,,2019-08-11 14:49:22,,http%3A%2F%2Fmtanzania.co.tz%2Fserikali-kugharamia-matibabu-ya-majeruhi-ajali-ya-moto-morogoro%2F.json,http://mtanzania.co.tz/wp-content/uploads/2019/08/magu-muhimbili.jpg,en,,Serikali kugharamia matibabu ya majeruhi ajali ya moto Morogoro,,,mtanzania.co.tz,,http://mtanzania.co.tz/serikali-kugharamia-matibabu-ya-majeruhi-ajali-ya-moto-morogoro/,,,Serikali kugharamia matibabu ya majeruhi ajali ya moto Morogoro,mtanzania.co.tz,Tanzania,arrest,"[0.274905264377594, 8.502845764160156, -0.9613660573959351, -1.143143892288208, -0.6852456331253052, -0.3244745135307312, -1.0136619806289673, -0.13077563047409058, -0.5475671887397766, -0.7286333441734314, -0.017911283299326897, 0.41884830594062805, -0.18264219164848328, -1.346127986907959, -1.6183215379714966, -0.3412137031555176, 0.34412455558776855, -0.9302284121513367]",8.502845764160156
7,5e559f8bca93cfe5fe0acd62,['Please Enter Your Name Here'],2019-08-27 20:17:13+00:00,,2019-08-01 00:00:00,,http%3A%2F%2Fmtanzania.co.tz%2Fmapinduzi-yaja-kilimo-cha-kahawa%2F.json,http://mtanzania.co.tz/wp-content/uploads/2019/08/1_1513444730-1600x705.jpg,en,,Mapinduzi yaja kilimo cha kahawa,,,mtanzania.co.tz,,http://mtanzania.co.tz/mapinduzi-yaja-kilimo-cha-kahawa/,,,Mapinduzi yaja kilimo cha kahawa,mtanzania.co.tz,Tanzania,arrest,"[-0.10851658880710602, 8.267051696777344, -0.40654128789901733, -1.2070285081863403, -0.29420149326324463, -0.37006676197052, -1.1879783868789673, -0.25659286975860596, -0.2930053472518921, -0.9168984293937683, -0.44244059920310974, -0.7196436524391174, 0.2519929111003876, -1.7368323802947998, -1.7475645542144775, -0.4926449656486511, 1.7970380783081055, -1.1148630380630493]",8.267051696777344
8,5e55bdae8e93fb055aa3e2c4,"['Peter Saramba', 'Thecitizentz News Tz.Nationmedia.Com']",2019-08-09 08:27:01+00:00,,2019-08-09 07:11:08,"Companies and individuals can verify the authenticity of a tax stamp on various products by using their smartphones, the government has said.",https%3A%2F%2Fwww.thecitizen.co.tz%2Fnews%2Fbusiness%2FVerification-of-tax-stamps-viable-over-mobile-phone-possible%2F1840414-5229084-i556b7%2Findex.html.json,https://www.thecitizen.co.tz,en,,Verification of tax stamps viable over mobile phone possible,,,www.thecitizen.co.tz,"By Peter Saramba @TheCitizenTZ news@tz.nationmedia.com
Simiyu. Companies and individuals can verify the authenticity of a tax stamp on various products by using their smartphones, the government has said.
The move seeks to ensure that only products with genuine stamps find their way into the market as the government strives to boost revenue collection through the use of Electronic Tax Stamps (ETS).
The commissioner for policy analysis in the ministry of Finance and Planning, Mr Mgonya Benedicto, told The Citizen here yesterday that a decision to allow individuals and companies to verify the authenticity of the tax stamps on products was meant to control unscrupulous manufacturers and traders who were posting fake stamps on their products, a development that was denying the government lots of money.
“Everyone with a smartphone will be able to verify if the stamp embedded in the product is valid and is from TRA. This will help control counterfeit stamps and thus increase government revenue through various taxes,” he said.
The government embarked on the use of ETS last year in the endeavour to obtain production data in real time from the manufacturers.
The move helps the government to curb revenue leakages and also helps the government to determine in advance the amount of taxes that will be paid.
So far, the ETS – which is being rolled out by a Swiss firm, Société Industrielle et Commerciale de Produits Alimentaires (SICPA) – has registered a number of benefits to the government, with TRA reporting that the recent increase in tax collections was partly due to the system, a taxpayer education and services from Tanzania Revenue Authority (TRA), Mr Godfrey Kumwembe said yesterday.
“With the ETS, we are able to know the real rate of production and the tax rate,” he told journalists here at Nyakabindi grounds during the ongoing farmers’ exhibitions, commonly known as Nane Nane.
The government rolled out Phase Two (2) of Electronic Tax Stamps (ETS) on Thursday, August 1, 2019.
The TRA Commissioner General, Dr Edwin Mhede announced through a newspaper advertisement recently that in line with Regulations 29 of the ETS 2018, the second phase of the project would be rolled out on products such as sweetened or flavoured waters and other non alcoholic beverages with the exclusion of vegetable juices which has a tariff heading 20.09 according to the taxman’s classifications.
“The date is announced, well in advance, in accordance with the provisions of Regulation 29 of the Electronic Tax Stamps Regulations, 2018 and that the specified products shall include all locally produced or imported…,” he said the statement.
He said TRA will announce the date for rolling out ETS on other items that have not yet been announced on a later day.
The items will include fruit or vegetable juices, water, films and music.",https://www.thecitizen.co.tz/news/business/Verification-of-tax-stamps-viable-over-mobile-phone-possible/1840414-5229084-i556b7/index.html,,,"Verification of tax stamps viable over mobile phone possible. By Peter Saramba @TheCitizenTZ news@tz.nationmedia.com
Simiyu.",thecitizen.co.tz,Tanzania,arrest,"[0.2680487632751465, 8.848492622375488, -0.5683680772781372, -1.1044727563858032, -0.530238151550293, -0.342092365026474, -0.8178194165229797, -0.062167663127183914, -0.21168939769268036, -0.6999682188034058, -0.29587322473526, -0.40563517808914185, -0.26136985421180725, -1.788496732711792, -1.489302635192871, -0.5918163061141968, 0.3642263412475586, -1.0798999071121216]",8.848492622375488
9,5e55bdae8e93fb055aa3e712,"['Hawa Mathias', 'Thecitizentz News Tz.Nationmedia.Com']",2019-08-29 10:29:08+00:00,,2019-08-29 08:13:56,The government has proposed new measures to tackle the scourge of reckless driving and reduce road traffic accidents.,https%3A%2F%2Fwww.thecitizen.co.tz%2Fnews%2FNew-road-traffic-laws-target-reckless--illegal-drivers%2F1840340-5252908-132lo8m%2Findex.html.json,https://www.thecitizen.co.tz/image/view/-/5252964/medRes/2431391/-/11i74il/-/Road+pic.jpg,en,,"New road traffic laws target reckless, illegal drivers",,,www.thecitizen.co.tz,"By Hawa Mathias @TheCitizenTZ news@tz.nationmedia.com
Mbeya. The government has proposed new measures to tackle the scourge of reckless driving and reduce road traffic accidents.
Among the key elements of regulations on the cards is a national database of drivers, which will be used to check competence and ensure traceability.
The Ministry of Works, Transport and Communications yesterday held a meeting with transport stakeholders during which the new measures were tabled.
Mr Haroun Kisaka, director of transport services in the ministry, said the main aim of the proposed new regulations is to address the biggest problems on Tanzanian roads -- incompetent, reckless and illegal drivers.
He said: “The new system will help the authorities assess the competence of drivers, and at the same time relieves owners of commercial vehicles the burdent of preventable penalties.”
The regulations will govern operations of the Land Transport Regulatory Authority (Latra).
Cases of drivers running away after causing accidents on highways are not uncommon in the country. Tracing them is a headache for the Police.
“Previously, the Surface and Marine Transport Authority (Sumatra) used to condemn vehicle owners for the mistakes of a driver who escapes an accident scene or flouts traffic regulations,” Mr Kisaka said.
The proposed database will ensure every commercial driver has a proper licence and job contracts.
Held in Mbeya, yesterday’s meeting was about reviewing a draft on transport regulations and laws with the aim of improving the transport sector in the country and increasing employment opportunities for drivers.",https://www.thecitizen.co.tz/news/New-road-traffic-laws-target-reckless--illegal-drivers/1840340-5252908-132lo8m/index.html,,,"New road traffic laws target reckless, illegal drivers. By Hawa Mathias @TheCitizenTZ news@tz.nationmedia.com
Mbeya.",thecitizen.co.tz,Tanzania,arrest,"[-0.34489136934280396, 7.7437639236450195, -0.7658654451370239, -0.8102614283561707, -0.8300961852073669, -0.5212023854255676, -1.0685123205184937, -0.5226532220840454, -0.24931961297988892, -1.0053527355194092, 0.39715248346328735, -0.5426279902458191, 0.8503096103668213, -1.7098677158355713, -1.4898532629013062, -0.4953605830669403, 1.6156045198440552, -1.0014055967330933]",7.7437639236450195
10,5e55bdae8e93fb055aa3e75e,[],2019-08-15 10:33:21+00:00,,2019-08-15 07:50:45,"As a columnist, nothing galls more than your write up missing on the day it’s supposed to fly.",https%3A%2F%2Fwww.thecitizen.co.tz%2Foped%2FOPINION--Facts-about-the-doing-business-environment-%2F1840568-5236272-swuejq%2Findex.html.json,https://www.thecitizen.co.tz/image/view/-/3300828/medRes/1383632/-/wu8njcz/-/Kasera+Nick+Oyoo.jpg,en,,OPINION: Facts about the doing business environment,,,www.thecitizen.co.tz,"As a columnist, nothing galls more than your write up missing on the day it’s supposed to fly.
In yesterday’s case, this columnist, however, went a tangent off the mark. I veered off and instead quoted out of context, Mr John Ulanga, the country director of Trade Mark East Africa.
It was an inadvertent anomaly for a piece whose arguments were largely mine. I take the earliest opportunity to unreservedly apologise to Mr Ulanga for portraying him in that unsanctioned light.
There is no doubt that the Tanzanian government is implementing reforms that will ease the Doing Business Environment in the country.
Recent meetings by leading government actors with representatives of the business community are testimony to the understanding of the role of business community in national development.
It is this understanding that has led to many called for changes right from cabinet to state statutory organisations to ensure that the private sector thrives.
Drive the point home
In fact, the idea of ‘its not business as usual’ for bureaucrats in government has been a common mantra to drive the point home.
Similarly, it will be foolhardy not to acknowledge investments in trillions of shillings in infrastructure development with the potential to unlock the economy in a significant way going forward.
Matters to relook into policies that were in conflict with the aspirations of a market-led economy continue to be dealt with, taking into consideration recommendations collected from a wide array of actors. A big step has been seen in efforts to merge duplicate, or sometimes conflicting roles of various statutory bodies.
What does the future therefore portent for investment?
It is obvious that steps taken to take away the revenue collection need from regulatory authority will add much needed impetus and place competition in proper pedestal, which can only add value to the consumer.
The idea that we need a metamorphosis is therefore something that needs to be internalised by all actors and players.
Those in government need to understand that the private sector does and will continue to be the largest employer.
If the government does keep its bargain, there is no doubt that the Doing Business Environment will improve and make investment undoubtedly attractive.
Things are already looking up, with Transparency International showing an improved corruption index ranking for Tanzania for example. Working towards better global rankings will put us good stead. New Trade and Industry Minister Innocent Bashungwa can only peddle faster and not look behind to protect the momentum.",https://www.thecitizen.co.tz/oped/OPINION--Facts-about-the-doing-business-environment-/1840568-5236272-swuejq/index.html,,,"OPINION: Facts about the doing business environment. As a columnist, nothing galls more than your write up missing on the day it’s supposed to fly.",thecitizen.co.tz,Tanzania,arrest,"[-0.34489136934280396, 7.7437639236450195, -0.7658654451370239, -0.8102614283561707, -0.8300961852073669, -0.5212023854255676, -1.0685123205184937, -0.5226532220840454, -0.24931961297988892, -1.0053527355194092, 0.39715248346328735, -0.5426279902458191, 0.8503096103668213, -1.7098677158355713, -1.4898532629013062, -0.4953605830669403, 1.6156045198440552, -1.0014055967330933]",7.7437639236450195
11,5e55bdae8e93fb055aa3e762,[],2019-08-25 14:31:56+00:00,,2019-08-24 06:45:53,"In its most general meaning, a ‘trust’ is a legal arrangement among three essential parties (the settlor, the trustee and the beneficiary) in which the settlor transfers legal ownership of the assets",https%3A%2F%2Fwww.thecitizen.co.tz%2Foped%2FLet-s-tap-the-potential-of-Trusts-for-Tanzania-growth%2F1840568-5247256-21efe1%2Findex.html.json,https://www.thecitizen.co.tz/image/view/-/4268450/medRes/2389181/-/34b72wz/-/Paul+Kibuuka.jpg,en,,Let’s tap the potential of Trusts for Tanzania growth,,,www.thecitizen.co.tz,"In its most general meaning, a ‘trust’ is a legal arrangement among three essential parties (the settlor, the trustee and the beneficiary) in which the settlor transfers legal ownership of the assets (trust property) to the trustee for the benefit of the beneficiary. The trustee is under a fiduciary duty to act solely in the best interests of the beneficiary when dealing with the trust property, failing which the trustee is legally accountable for any damage to the beneficiary’s interests.
Forming a trust is a huge life decision, but the nitty-gritties of trust creation are fairly straightforward.
Although it may be possible to create a trust orally, broadly, trusts are created by way of a ‘deed of trust’ or ‘trust deed’, which should be custom-made to meet the specific purpose of the trust.
In Tanzania, trusts are governed by the Trustees’ Incorporation Act, Cap 318 [R.E.2002] which has recently been amended by the Written Laws (Miscellaneous Amendments) (No. 3) Act, 2019 in order to, inter lia, exclude an NGO, a company, a society, a trade union, an agricultural association, a political party, a sports association/club, a microfinance group (VICOBA), a cooperative society and any trust which the minister responsible for legal affairs may declare not to be a trust for the purpose of the Act from the definition of the term “trust”.
Nevertheless, besides the Trustees’ Incorporation Act, Cap 318, other pieces of legislation (such as, the Income Tax Act, 2004, and the Tax Administration Act, 2015) impact the existence and operation of the trusts in Tanzania.
The evolution of trusts all over the world remains demand-led, yet the Trustees’ Incorporation Act, Cap 318 as an enactment is archaic both in time and in substance in the context of the modern developments concerning trusts.
Furthermore, for its implementing rules, the Trustees’ Incorporation Act, Cap 318 still relies on the Trustees’ Incorporation Rules, 1956.
The inflexibility of the legal framework for trusts in Tanzania to accommodate trailblazing trust devices in present-day financial and legal practice and more dynamic relationships among the settlor, trustee and beneficiary means that extant Tanzanian trusts lag behind in providing a more appropriate and effective wealth and succession planning mechanism for Tanzanian family assets.
What is more, the legal framework triflingly jettisons the fears and concerns of potential settlors to lose control over trust properties transferred to rascal trustees whose motivations do not support the common good.
Some of the trailblazing trust devices developed by many of the world’s fastest-growing economies in recent years include, but are not limited to: Directed Trust, Trust Protector, Special Purpose Entity, Family Advisor, and Trust Matter Privacy. These devices deliver far more flexibility and control to settlors and beneficiaries and their advisers to modify and influence key aspects of the trust and provide direction to trustees with regard to investment management and trust distributions.
Consequently, some Tanzanian settlors may elect to hold and plan their family assets through trust arrangements set up in foreign countries.
There is a general belief in Tanzania that trusts are used for tax planning purposes.
But in actuality, trusts are a great tool for managing family assets since, unlike a will, they work during one’s lifetime and the trust deed can be changed to meet the specific intentions of the settlor and the ongoing needs of the beneficiaries.
Moreover, irrespective of the demise of the settlor, the trust property is able to remain within the trust for the life of the trust which may span many generations.
In keeping with its position as a major gateway to the African continent, Tanzania cannot isolate itself from the global trend toward modernizing antiquated laws and rules governing trusts.
Unless specifically exempted, trusts are subject to tax separately from their beneficiaries under section 52 of the Income Tax Act, 2004.
Trusts are, therefore, a potential revenue source for the government, but they remain largely unexploited.
Let’s tap into the potential of trusts for the growth of the Tanzanian economy by reforming the Trustees’ Incorporation Act, Cap 318, and the Trustees’ Incorporation Rules, 1956 in order to spur the local wealth succession and asset management and planning industry.",https://www.thecitizen.co.tz/oped/Let-s-tap-the-potential-of-Trusts-for-Tanzania-growth/1840568-5247256-21efe1/index.html,,,"Let’s tap the potential of Trusts for Tanzania growth. In its most general meaning, a ‘trust’ is a legal arrangement among three essential parties (the settlor, the trustee and the beneficiary) in which the settlor transfers legal ownership of the assets (trust property) to the trustee for the benefit of the beneficiary.",thecitizen.co.tz,Tanzania,arrest,"[-0.34489136934280396, 7.7437639236450195, -0.7658654451370239, -0.8102614283561707, -0.8300961852073669, -0.5212023854255676, -1.0685123205184937, -0.5226532220840454, -0.24931961297988892, -1.0053527355194092, 0.39715248346328735, -0.5426279902458191, 0.8503096103668213, -1.7098677158355713, -1.4898532629013062, -0.4953605830669403, 1.6156045198440552, -1.0014055967330933]",7.7437639236450195
12,5e55bdae8e93fb055aa3ea1e,[],2019-08-08 09:04:32+00:00,,2019-08-08 06:57:08,August this year is proving to be an important month for Tanzania.,https%3A%2F%2Fwww.thecitizen.co.tz%2Foped%2FEDITORIAL--Walking-the-talk-on-SADC-growth-plans%2F1840568-5227698-2qg35e%2Findex.html.json,https://www.thecitizen.co.tz,en,,EDITORIAL: Walking the talk on SADC growth plans,,,www.thecitizen.co.tz,"August this year is proving to be an important month for Tanzania. This is basically on account of the fact that the country hosts both the ‘Fourth Sadc (Southern African Development Community) Industrialisation Week’ (August 5-9), which will be followed by the 39th Sadc Summit of Heads of State and Government from the Community’s 16 member countries (August 17 and 18).
President John Magufuli, graced the Industrialisation Expo at the Julius Nyerere International Convention Centre. He will chair the Summit.
At the end of it all, President Magufuli will assume the Sadc Chairmanship for the next year to August 2020.
The foregoing niceties aside, the Sadc Secretariat has been busy on the sidelines, putting together as it were ways and means which would enable member countries of the regional bloc to make meaningful and sustainable progress in all-inclusive socio-economic developmental terms. One exemplary result of this is the 14 million-euro (Sh35 billion) deal with the European Union (EU) to finance improvement of the investment and business environment within Sadc – both for Sadc as a regional economic bloc, and for its constituent members.
Trade and Industry ministers from the Sadc nations and private sector operators – as well as representatives from both multilateral and bilateral development partners – witnessed the launching of the 5-year programme in Dar es Salaam.
The good thing about this is that the presence of virtually all the major stakeholders at the symbolic launching ceremony in Tanzania would have symbolically committed themselves and the institutions they represent to implementation of the related development programmes.",https://www.thecitizen.co.tz/oped/EDITORIAL--Walking-the-talk-on-SADC-growth-plans/1840568-5227698-2qg35e/index.html,,,EDITORIAL: Walking the talk on SADC growth plans. August this year is proving to be an important month for Tanzania.,thecitizen.co.tz,Tanzania,arrest,"[-0.34489136934280396, 7.7437639236450195, -0.7658654451370239, -0.8102614283561707, -0.8300961852073669, -0.5212023854255676, -1.0685123205184937, -0.5226532220840454, -0.24931961297988892, -1.0053527355194092, 0.39715248346328735, -0.5426279902458191, 0.8503096103668213, -1.7098677158355713, -1.4898532629013062, -0.4953605830669403, 1.6156045198440552, -1.0014055967330933]",7.7437639236450195
