title,text,subject,ext_subject,Title_based,Event_based,target,ext_target,Title_based,Event_based,,title,text,subject,ext_subject,sent0_based,Event_based,target,ext_target,sent0_based,Event_based
Indian state assembly dissolved,"The legislative assembly in the southern Indian state of Karnataka, has been dissolved on the recommendation of the state cabinet. The Chief Minister, J H Patel, said he had lost confidence in eight of his ministers, including the Deputy Chief Minister K Siddaramaiah who had been identified with a splinter group of the governing Janata Dal party. The party formally split yesterday after one of its factions backed the electoral alliance led by its long time rival, the Hindu nationalist BJP.",state cabinet,assembly,0,0,Legislative assembly of Karnataka,NA,0,0,,"The legislative assembly in the southern Indian state of Karnataka, has been dissolved on the recommendation of the state cabinet.","The legislative assembly in the southern Indian state of Karnataka, has been dissolved on the recommendation of the state cabinet. The Chief Minister, J H Patel, said he had lost confidence in eight of his ministers, including the Deputy Chief Minister K Siddaramaiah who had been identified with a splinter group of the governing Janata Dal party. The party formally split yesterday after one of its factions backed the electoral alliance led by its long time rival, the Hindu nationalist BJP.",state cabinet,dissolved,0,0,Legislative assembly of Karnataka,NA,0,0
Glenn Greenwald: Brazil accuses journalist of cyber-crimes,"Brazilian authorities are seeking to bring charges against Glenn Greenwald, the journalist who published Edward Snowden's intelligence agency leaks. Mr Greenwald has been accused of ""helping guiding and encouraging"" a criminal group that hacked into the phones of Brazilian officials. The journalist had recently published stories describing private messages between public prosecutors. At this point, federal public prosecutors have proposed the charges. However, a judge still needs to decide whether to formally indict him. Six other individuals have also been accused of illegal telephone interceptions and conspiracy among other related crimes. Brazilian prosecutors allege that, during his interactions with the group, Mr Greenwald advised its members to delete messages that they had passed on to him. Mr Greenwald has not yet publicly responded to this particular allegation. Last year, Mr Greenwald and colleagues published a series of ten investigative reports on news site The Intercept, which detailed ""a massive trove of previously undisclosed materials"" allegedly by Brazilian prosecutors and other officials. They quoted from messages that had been sent via Telegram, a privacy-focused app that claims to be able to keep ""messages safe from hacker attacks"". The Folha newspaper said that those whose accounts had allegedly been breached included justice minister Sergio Moro and prosecutor Deltan Dallagnol, who is coordinating Operation Car Wash - a probe into the country's biggest ever corruption scandal.",Brazilian authorities,Brazil,1,1,journalist Glenn Greenwald,of cyber,0,0,,"Brazilian authorities are seeking to bring charges against Glenn Greenwald, the journalist who published Edward Snowden's intelligence agency leaks.","Brazilian authorities are seeking to bring charges against Glenn Greenwald, the journalist who published Edward Snowden's intelligence agency leaks. Mr Greenwald has been accused of ""helping guiding and encouraging"" a criminal group that hacked into the phones of Brazilian officials. The journalist had recently published stories describing private messages between public prosecutors. At this point, federal public prosecutors have proposed the charges. However, a judge still needs to decide whether to formally indict him. Six other individuals have also been accused of illegal telephone interceptions and conspiracy among other related crimes. Brazilian prosecutors allege that, during his interactions with the group, Mr Greenwald advised its members to delete messages that they had passed on to him. Mr Greenwald has not yet publicly responded to this particular allegation. Last year, Mr Greenwald and colleagues published a series of ten investigative reports on news site The Intercept, which detailed ""a massive trove of previously undisclosed materials"" allegedly by Brazilian prosecutors and other officials. They quoted from messages that had been sent via Telegram, a privacy-focused app that claims to be able to keep ""messages safe from hacker attacks"". The Folha newspaper said that those whose accounts had allegedly been breached included justice minister Sergio Moro and prosecutor Deltan Dallagnol, who is coordinating Operation Car Wash - a probe into the country's biggest ever corruption scandal.",Brazilian authorities,authorities,1,1,journalist Glenn Greenwald,Brazilian authorities are seeking to bring charges against Glenn Greenwald,0,0
Colombia protests resume after talks flounder,"Trade unions, student and indigenous groups are marching in Colombia's major cities to increase the pressure on the government of President Iván Duque. The protests started almost two weeks ago with hundreds of thousands of people taking part in rallies. The demands of those demonstrating are wide-ranging and include making access to education more accessible. The two sides are due to meet again on Thursday but so far little progress has been made in talks between them.","trade unions, students and indigenous groups",protests,1,0,government of president Ivan Duque,NA,1,0,,"Trade unions, student and indigenous groups are marching in Colombia's major cities to increase the pressure on the government of President Iván Duque.","Trade unions, student and indigenous groups are marching in Colombia's major cities to increase the pressure on the government of President Iván Duque. The protests started almost two weeks ago with hundreds of thousands of people taking part in rallies. The demands of those demonstrating are wide-ranging and include making access to education more accessible. The two sides are due to meet again on Thursday but so far little progress has been made in talks between them.","trade unions, students and indigenous groups",unions,1,1,government of president Ivan Duque,major cities,0,0
Guatemala seeks arrest of former attorney general Thelma Aldana,"A judge in Guatemala has issued an arrest warrant for the country's former attorney general, Thelma Aldana, who is a current presidential candidate. Ms Aldana, 63, who is currently out of the country, is wanted on charges of embezzlement, lying and tax fraud. She has denied any wrongdoing. Ms Aldana has worked closely with a UN-backed anti-corruption commission to try to impeach President Jimmy Morales. Guatemala said last month it was withdrawing from the commission. Mr Morales initially supported the International Commission Against Impunity in Guatemala (CICIG) when he was elected three years ago. The mandate of the UN-backed body has helped prosecutors bring cases against dozens of senior officials and executives. But when Mr Morales became the subject of investigations by the commission into campaign financing, the president said he would review its mandate. Ms Aldana was Guatemala's most senior prosecutor from 2014 to 2018. During that time she prosecuted and jailed the former president Otto Perez Molina, as well as other politicians, on corruption charges. The warrant for her arrest was issued by Judge Victor Cruz on Tuesday - the same day she was registered as a presidential candidate. It relates to a corruption inquiry involving illegal hiring, a Supreme Court official said. Police spokesman Jorge Aguilar said Ms Aldana was ""currently travelling"". ""There is a migratory alert out because we know she is not in the country,"" he said. The CICIG had sought to prosecute Mr Morales, who was a comedian before becoming president in 2016, over allegations of funding irregularities linked to his 2015 election campaign. The UN backed calls for the removal of his immunity in order to allow him to be investigated. That move followed separate CICIG investigations into members of the president's family.",judge,Guatemala,1,0,former attorney general,former attorney general,1,1,,"A judge in Guatemala has issued an arrest warrant for the country's former attorney general, Thelma Aldana, who is a current presidential candidate.","A judge in Guatemala has issued an arrest warrant for the country's former attorney general, Thelma Aldana, who is a current presidential candidate. Ms Aldana, 63, who is currently out of the country, is wanted on charges of embezzlement, lying and tax fraud. She has denied any wrongdoing. Ms Aldana has worked closely with a UN-backed anti-corruption commission to try to impeach President Jimmy Morales. Guatemala said last month it was withdrawing from the commission. Mr Morales initially supported the International Commission Against Impunity in Guatemala (CICIG) when he was elected three years ago. The mandate of the UN-backed body has helped prosecutors bring cases against dozens of senior officials and executives. But when Mr Morales became the subject of investigations by the commission into campaign financing, the president said he would review its mandate. Ms Aldana was Guatemala's most senior prosecutor from 2014 to 2018. During that time she prosecuted and jailed the former president Otto Perez Molina, as well as other politicians, on corruption charges. The warrant for her arrest was issued by Judge Victor Cruz on Tuesday - the same day she was registered as a presidential candidate. It relates to a corruption inquiry involving illegal hiring, a Supreme Court official said. Police spokesman Jorge Aguilar said Ms Aldana was ""currently travelling"". ""There is a migratory alert out because we know she is not in the country,"" he said. The CICIG had sought to prosecute Mr Morales, who was a comedian before becoming president in 2016, over allegations of funding irregularities linked to his 2015 election campaign. The UN backed calls for the removal of his immunity in order to allow him to be investigated. That move followed separate CICIG investigations into members of the president's family.",judge,judge,1,1,former attorney general,former,0,0
Turkey's Wikipedia ban ends after almost three years,"Turkey is restoring access to Wikipedia after a ban that lasted almost three years. The country's Constitutional Court ruled that the ban violated freedom of expression, the pro-government newspaper Milliyet reported. The online encyclopaedia was blocked in Turkey in April 2017, after it refused to delete articles critical of the country's government. The ban lasted 991 days, said internet-monitoring organisation NetBlocks.org. The Wikimedia Foundation, which runs the service, had refused to remove articles that said Turkey's government had cooperated with the so-called Islamic State (IS) group and al-Qaeda in Syria. ""We are thrilled that the people of Turkey will once again be able to participate in the largest global conversation about the culture and history of Turkey online and continue to make Wikipedia a vibrant source of information about Turkey and the world,"" the foundation blogged.",Turkey (gov. of),ban,0,0,Wikipedia,NA,0,0,,Turkey is restoring access to Wikipedia after a ban that lasted almost three years.,"Turkey is restoring access to Wikipedia after a ban that lasted almost three years. The country's Constitutional Court ruled that the ban violated freedom of expression, the pro-government newspaper Milliyet reported. The online encyclopaedia was blocked in Turkey in April 2017, after it refused to delete articles critical of the country's government. The ban lasted 991 days, said internet-monitoring organisation NetBlocks.org. The Wikimedia Foundation, which runs the service, had refused to remove articles that said Turkey's government had cooperated with the so-called Islamic State (IS) group and al-Qaeda in Syria. ""We are thrilled that the people of Turkey will once again be able to participate in the largest global conversation about the culture and history of Turkey online and continue to make Wikipedia a vibrant source of information about Turkey and the world,"" the foundation blogged.",Turkey (gov. of),Turkey,1,1,Wikipedia,to Wikipedia,1,1
Turkey removes three top Kurdish mayors in major crackdown,"Turkey has removed three elected mayors from office and detained more than 400 people as part of a crackdown over alleged links to Kurdish militants. The mayors, who were elected in March, are accused of spreading ""terrorist propaganda"" and ""financing terrorism"". Ankara says they - and the many others detained - have ties to the outlawed Kurdistan Workers' Party (PKK). There are fears that the move could escalate tensions in the mainly Kurdish south-east regions of the country. The operation on Monday saw teams of officers conducting raids in 29 provinces across Turkey. Those detained include the mayors of Diyarbakir, Mardin and Van provinces - all of whom secured large majorities in the March elections. They are members of the opposition pro-Kurdish Peoples' Democratic Party (HDP), but are accused of sharing links with the PKK. The charges reportedly include renaming local streets and parks after imprisoned PKK members and offering jobs to the relatives of militants, Turkey's interior ministry said in a statement. ""Through judicial and administrative investigations, our ministry suspended mayors who were identified and proven to be engaged and affiliated with terrorist organisations,"" the ministry said.",Turkey (gov. of),Turkey,1,1,"elected mayors, 400 people",top Kurdish mayors in major crackdown,1,1,,Turkey has removed three elected mayors from office and detained more than 400 people as part of a crackdown over alleged links to Kurdish militants.,"Turkey has removed three elected mayors from office and detained more than 400 people as part of a crackdown over alleged links to Kurdish militants. The mayors, who were elected in March, are accused of spreading ""terrorist propaganda"" and ""financing terrorism"". Ankara says they - and the many others detained - have ties to the outlawed Kurdistan Workers' Party (PKK). There are fears that the move could escalate tensions in the mainly Kurdish south-east regions of the country. The operation on Monday saw teams of officers conducting raids in 29 provinces across Turkey. Those detained include the mayors of Diyarbakir, Mardin and Van provinces - all of whom secured large majorities in the March elections. They are members of the opposition pro-Kurdish Peoples' Democratic Party (HDP), but are accused of sharing links with the PKK. The charges reportedly include renaming local streets and parks after imprisoned PKK members and offering jobs to the relatives of militants, Turkey's interior ministry said in a statement. ""Through judicial and administrative investigations, our ministry suspended mayors who were identified and proven to be engaged and affiliated with terrorist organisations,"" the ministry said.",Turkey (gov. of),Turkey,1,1,"elected mayors, 400 people",elected mayors from office,1,1
Turkey court frees hunger-strike Kurdish MP Leyla Guven,"A Turkish court has ordered the release of a Kurdish MP who has been on hunger strike for nearly 80 days. The court in Diyarbakir said Leyla Guven, 55, would be monitored. She has been in jail for a year following critical remarks about Turkey's military operation in the predominantly Kurdish town of Afrin in northern Syria. She went on hunger strike over the prison conditions of the militant Kurdish leader, Abdullah Ocalan. Her daughter, Sabiha Temizkan, posted a note on Twitter saying she had been freed. Few details of the release have been made available and it is unclear whether Ms Guven is already out of prison. Ms Guven is both an MP for the pro-Kurdish People's Democratic Party (HDP) and the co-leader of Democratic Society Congress - an assembly of representatives from civil society organisations, political parties, lawyers and human rights defenders. The Turkish government accuses the congress of being linked to the militant Kurdish PKK group, which has waged an insurgency in Turkey for more than three decades, costing more than 40,000 lives.",court,court,1,1,Kurdish MP,Turkey court frees hunger,0,0,,A Turkish court has ordered the release of a Kurdish MP who has been on hunger strike for nearly 80 days.,"A Turkish court has ordered the release of a Kurdish MP who has been on hunger strike for nearly 80 days. The court in Diyarbakir said Leyla Guven, 55, would be monitored. She has been in jail for a year following critical remarks about Turkey's military operation in the predominantly Kurdish town of Afrin in northern Syria. She went on hunger strike over the prison conditions of the militant Kurdish leader, Abdullah Ocalan. Her daughter, Sabiha Temizkan, posted a note on Twitter saying she had been freed. Few details of the release have been made available and it is unclear whether Ms Guven is already out of prison. Ms Guven is both an MP for the pro-Kurdish People's Democratic Party (HDP) and the co-leader of Democratic Society Congress - an assembly of representatives from civil society organisations, political parties, lawyers and human rights defenders. The Turkish government accuses the congress of being linked to the militant Kurdish PKK group, which has waged an insurgency in Turkey for more than three decades, costing more than 40,000 lives.",court,court,1,1,Kurdish MP,Turkish court has ordered the release of a Kurdish MP,0,0
Gamal Eid: Egypt rights activist 'attacked and doused in paint by armed men',"A leading Egyptian human rights lawyer has alleged he was assaulted and doused in paint in Cairo by a ""gang"" of armed men he suspects were police officers. Gamal Eid said he was attacked by up to a dozen men as he attempted to flag down a taxi near his home in the capital's Maadi district on Sunday. He said the men had been waiting for him in three cars parked on the corner. The men beat him, threatened him with pistols and threw paint on his face and clothes, Mr Eid added. When neighbours tried to intervene, the men drew weapons and told them to leave, according to the lawyer. Mr Eid, the executive director of the Arabic Network for Human Rights Information (ANRHI), believes the men were policemen or acting under the direction of a security forces officer.",alleged police officers,activist,0,0,human rights lawyer,NA,0,0,,"A leading Egyptian human rights lawyer has alleged he was assaulted and doused in paint in Cairo by a ""gang"" of armed men he suspects were police officers.","A leading Egyptian human rights lawyer has alleged he was assaulted and doused in paint in Cairo by a ""gang"" of armed men he suspects were police officers. Gamal Eid said he was attacked by up to a dozen men as he attempted to flag down a taxi near his home in the capital's Maadi district on Sunday. He said the men had been waiting for him in three cars parked on the corner. The men beat him, threatened him with pistols and threw paint on his face and clothes, Mr Eid added. When neighbours tried to intervene, the men drew weapons and told them to leave, according to the lawyer. Mr Eid, the executive director of the Arabic Network for Human Rights Information (ANRHI), believes the men were policemen or acting under the direction of a security forces officer.",alleged police officers,"a gang "" of armed men he",1,0,human rights lawyer,he was assaulted and doused in paint,0,0
Mada Masr: Egypt independent news outlet's office 'raided',"The office of Egypt's last major independent media outlet has been raided by plainclothes security officers, its editors say. On Facebook, Mada Masr said laptops and phones were confiscated and three staff members briefly arrested. Despite being blocked in Egypt since 2017, the website is accessible in the country via virtual private networks. The authorities have not commented. There has been a crackdown on dissent and free speech under President Sisi. According to Mada Masr, nine plainclothes security forces entered the office on Sunday afternoon and refused to answer questions about their identity. For three hours, they questioned several staff members, including editor in chief Lina Attallah and managing editor Mohamed Hamama, who were later taken to a police station with reporter Rana Mamdouh.",plainclothes security officers,office,0,0,independent media outlet,NA,0,0,,"The office of Egypt's last major independent media outlet has been raided by plainclothes security officers, its editors say.","The office of Egypt's last major independent media outlet has been raided by plainclothes security officers, its editors say. On Facebook, Mada Masr said laptops and phones were confiscated and three staff members briefly arrested. Despite being blocked in Egypt since 2017, the website is accessible in the country via virtual private networks. The authorities have not commented. There has been a crackdown on dissent and free speech under President Sisi. According to Mada Masr, nine plainclothes security forces entered the office on Sunday afternoon and refused to answer questions about their identity. For three hours, they questioned several staff members, including editor in chief Lina Attallah and managing editor Mohamed Hamama, who were later taken to a police station with reporter Rana Mamdouh.",plainclothes security officers,"plainclothes officers ,",1,1,independent media outlet,office of Egypt 's last major independent media outlet,1,1
Egypt to regulate popular social media users,"Egypt's parliament has passed a controversial law that will allow the state to regulate social media users. Under the law, a personal social media account, blog or website with more than 5,000 followers could be considered a media outlet and subject to media law. Critics say the legislation will increase the authorities' ability to crack down on free speech and dissent. A number of opposition activists have been arrested in recent months on charges of spreading false news online. Tens of thousands of people have been detained in Egypt since 2013, when the military overthrew Mohammed Morsi, Egypt's first democratically elected president, following mass protests against his rule. The new law - passed on Sunday by two-thirds of MPs - placed popular accounts on Facebook, Twitter and other social media platforms under the supervision of Egypt's media regulator, the Supreme Council for the Administration of the Media. The council was also given the power to block websites and file criminal complaints against platforms and individuals accused of offences such as ""inciting people to violate laws"" and ""defamation against individuals and religions"".",Parliament ,Egypt,1,0,Social media users,popular social media users,1,1,,Egypt's parliament has passed a controversial law that will allow the state to regulate social media users.,"Egypt's parliament has passed a controversial law that will allow the state to regulate social media users. Under the law, a personal social media account, blog or website with more than 5,000 followers could be considered a media outlet and subject to media law. Critics say the legislation will increase the authorities' ability to crack down on free speech and dissent. A number of opposition activists have been arrested in recent months on charges of spreading false news online. Tens of thousands of people have been detained in Egypt since 2013, when the military overthrew Mohammed Morsi, Egypt's first democratically elected president, following mass protests against his rule. The new law - passed on Sunday by two-thirds of MPs - placed popular accounts on Facebook, Twitter and other social media platforms under the supervision of Egypt's media regulator, the Supreme Council for the Administration of the Media. The council was also given the power to block websites and file criminal complaints against platforms and individuals accused of offences such as ""inciting people to violate laws"" and ""defamation against individuals and religions"".",Parliament ,parliament,1,1,Social media users,controversial law,0,0
