Agent Name,Agent Type,Sectors,Aliases
Academics,Group,Education,Schools || School || Academics || Research Institution || University || College || Science Congress || Educational Institution
Action Party,Group,Parties,Action Party
Administration,Group,Government,Minist Of Government || Minist For Government || Minist Of The Presidency || Deputy Prime Minister || Minist For The Presidency || Minist Of Presidential Affairs || Federal Chancellery || Presidential Palace || Minist For Presidential Affairs || Government || Peoples' Republic Of || Junta Chief || Peoples Republic Of || Dictator || Ruling 
Administrative Body,Group,Government,Administrative Body || Administrative Official || Advisory Board || Administrative Unit
Adoption Group,Group,Nongovernmental Organizations / Activists || Nongovernmental Organization (International),Adoption Group
Agrarian Party,Group,Parties,Agrarian Party || Peoples Agrarian Party || People'S Agrarian Party || Peoples' Agrarian Party
Agriculture and Irrigation Department/Ministry,Group,Agriculture / Fishing / Forestry Ministry,"Minist For Irrigation || Minist Of Irrigation || Department Of Agriculture || Agriculture And Irrigation Minist || Minist For Agriculture, Fisheries And Food || Minist For Agriculture || Irrigation Minist || Minist Of Agriculture || Agriculture Minist || Agriculture Secretary || Dept Of Agriculture || Secretary Of Agriculture || Minist Of "
Air Force,Group,Air Force,Air Force || Combat Planes
Airline,Group,Business,Airline
Alleged Militants,Group,Rebel,Alleged Militants
Alliance Party,Group,Parties,Alliance Party || Peoples Alliance Party || Peoples' Alliance Party || People'S Alliance Party
Anglican,Group,National Religious || Protestant,Anglican
Anti Government Armed Group,Group,Rebel,Anti Government Armed Group || Anti Government Force
Anti Government Organization,Group,Protestors / Popular Opposition / Mobs,Anti Government Organisation || Anti Government Organization
Anti Government Underground Group,Group,Dissident,Anti Government Underground Group
Anti Graft Commission,Group,Government,Anti Graft Commission
Anti Graft Court,Group,Judicial,Anti Graft Court
Anti Junta Terrorist Group,Group,Rebel,Anti Junta Terrorist Group
Anti Terror Court,Group,Judicial,Anti Terrorism Court || Anti Terror Court
Appeals Court,Group,Judicial,Appeals Court || Court Of Appeals
Archdiocese,Group,National Religious || Christian,Diocese || Archdiocese
Arm's Industry,Group,Business,Arm'S Industry
Armed Band,Group,Unidentified Forces,Armed Men || Armed Band || Armed Group || Armed Citizen
Armed Force,Group,Unidentified Forces,Armed Force || Armed Troop || Armed Patrol
Armed Gang,Group,Unidentified Forces,Mercenaries || Gunmen || Mercenary || Gunman || Marauder || Gang Member || Armed Gang
Armed Insurgent Group,Group,Rebel,Armed Insurgency || Armed Insurgent Group
Armed Opposition,Group,Rebel,Armed Opposition Group || Armed Dissident || Unidentified Gunmen || Dissident Soldier
Army Intelligence,Group,Military Intelligence,Army Intelligence
