National Sectors,,,,
,Government,,,
,,Executive,,
,,,Executive Office,
,,,Agriculture / Fishing / Forestry Ministry,
,,,Cabinet,
,,,Defense / Security Ministry,
,,,Disaster Ministry,
,,,Drugs Ministry,
,,,Education Ministry,
,,,Elections Ministry,
,,,Energy Ministry,
,,,Environment Ministry,
,,,Finance / Economy / Commerce / Trade Ministry,
,,,Food Ministry,
,,,Foreign Ministry,
,,,Health Ministry,
,,,Housing / Construction Ministry,
,,,Human Rights Ministry,
,,,Industrial / Textiles / Mining Ministry,
,,,Information / Communication / Transparency Ministry,
,,,,State Media
,,,Intelligence Ministry,
,,,Interior / Home Ministry,
,,,Justice / Law Ministry,
,,,Labor Ministry,
,,,Management / Budget / Planning / Organization Ministry,
,,,NGO Ministry,
,,,Post / Tecoms Ministry,
,,,Science / Tech / Knowledge / Innovation Ministry,
,,,Science / Tech Ministry,
,,,Tourism Ministry,
,,,Transportation Ministry,
,,,Water Ministry,
,,,Women / Children / Social / Welfare / Development / Religion Ministry,
,,State-Owned Enterprises,,
,,,State-Owned Agricultural,
,,,State-Owned Consulting / Financial Services,
,,,State-Owned Consumer Goods,
,,,State-Owned Consumer Services,
,,,State-Owned Defense / Security,
,,,State-Owned Durable Goods,
,,,State-Owned Heavy Industrial / Chemical,
,,,State-Owned Medical / Health / Pharmeceutical,
,,,State-Owned Science / Tech / Knowledge / Innovation,
,,,State-Owned Transportation,
,,,State-Owned Utilities,
,,Police,,
,,,Municipal Divisions,
,,,National / Border Divisions,
,,,Provincial Divisions,
,,Military,,
,,,Military Intelligence,
,,,,Military Intelligence Education / Training
,,,,Military Intelligence Headquarters
,,,,Military Intelligence Infantry / Regular
,,,,"Military Intelligence Mechanized (Ships, Tanks, Planes)"
,,,,Military Intelligence Medical
,,,,Military Intelligence Special Forces
,,,,Military Intelligence Support
,,,Research And Design Wings,
,,,,Research And Design Wings Education / Training
,,,,Research And Design Wings Headquarters
,,,,Research And Design Wings Medical
,,,,Research And Design Wings Support
,,,Army,
,,,,Army Education / Training
,,,,Army Headquarters
,,,,Army Infantry / Regular
,,,,"Army Mechanized (Ships, Tanks, Planes)"
,,,,Army Medical
,,,,Army Special Forces
,,,,Army Support
,,,Navy,
,,,,Navy Education / Training
,,,,Navy Headquarters
,,,,Navy Infantry / Regular
,,,,"Navy Mechanized (Ships, Tanks, Planes)"
,,,,Navy Medical
,,,,Navy Special Forces
,,,,Navy Support
,,,Air Force,
,,,,Air Force Education / Training
,,,,Air Force Headquarters
,,,,Air Force Infantry / Regular
,,,,"Air Force Mechanized (Ships, Tanks, Planes)"
,,,,Air Force Medical
,,,,Air Force Special Forces
,,,,Air Force Support
,,,Marines,
,,,,Marines Education / Training
,,,,Marines Headquarters
,,,,Marines Infantry / Regular
,,,,"Marines Mechanized (Ships, Tanks, Planes)"
,,,,Marines Medical
,,,,Marines Special Forces
,,,,Marines Support
,,,Coast Guard,
,,,,Coast Guard Education / Training
,,,,Coast Guard Headquarters
,,,,Coast Guard Infantry / Regular
,,,,"Coast Guard Mechanized (Ships, Tanks, Planes)"
,,,,Coast Guard Medical
,,,,Coast Guard Special Forces
,,,,Coast Guard Support
,,Legislative / Parliamentary,,
,,,Upper House,
,,,Lower House,
,,,Unicameral,
,,Judicial,,
,,,Civil Court,
,,,Military / Tribunal,
,,,Municipal / District Court,
,,,National / Supreme Court,
,,,Provincial Court,
,,,Religious Court,
,,Local,,
,,,Provincial,
,,,Municipal,
,,Government Religious,,
,Parties,,,
,,(National) Major Party,,
,,,Government Major Party (In Government),
,,,Opposition Major Party (Out Of Government),
,,(National) Minor Party,,
,,,Government Minor Party (In Government),
,,,Opposition Minor Party (Out Of Government),
,,Provincial Party,,
,,,Government Provincial Party (In Government),
