Column1,title,text,url,date,location
385866,Kenya Pipeline MD Joe Sang arrested,"[""Detectives from the Directorate of Criminal Investigations (DCI) have arrested Kenya Pipeline Managing Director Joe Sang and former NHIF CEO Simeon ole Kirgotty as crackdown on graft suspects resumes."",""This comes just days ahead of a scheduled parliamentary grilling by MPs over allegations of fraudulent tendering and questionable payments totaling to over Ksh.2 billion."",""The MPs further claim the parastatal has been draining tax payers money through the pipes following the latest auditor generals report on the construction of the 470km pipeline from Mombasa to Nairobi."",""On Tuesday, Sang announced he would be leaving the company, with the KPC board calling for an urgent internal audit in the procurement process."",""Meanwhile, EACC had also commissioned an audit in the procurement of hydrant valves by KPC with some Ksh.640million claimed to have been lost."",""Already, three directors, ex managing director, and two senior managers are among persons of interest in the probe.""]",citizentv.co.ke/news/kenya-pipeline-md-joe-sang-arrested-222282/indexamp,06-12-18 19:00,Kenya
16068,Kenya police arrest Muslim activist after riots,"[""NAIROBI, Jan 18 (Reuters) - Kenyan police arrested a prominent Muslim activist in chaotic scenes on Monday as seven suspects appeared at Nairobi’s High Court accused of involvement in riots that rocked the capital on Friday."",""Al-Amin Kimathi, chairman of Kenya’s Muslim Human Rights Forum, was detained a day after the security forces raided a mainly Somali suburb of the city late on Sunday, arresting scores of people following violence at a protest on Friday.""]",reuters.com/article/2010/01/18/kenya-muslims-idUSLDE60H0K020100118,17-01-10 19:00,
399048,Fake kidnap? Student who called brother for Ksh.20K ransom arrested at TRM,"[""A student from the Kenya Medical Training College (KMTC) who had been allegedly kidnapped was arrested at a party raising suspicion over the claim."",""According to detectives, the 19-year-old was discovered at the Thika Road Mall (TRM) moments after calling her brother alleging that unknown people had abducted her."",""Also Read: Fake gym members and stolen cars: Police bust carjacking ring at TRM"",""The woman is said to have told the brother that her kidnappers were demanding for Ksh. 20K to secure her release."",""On Friday, a statement from the Directorate of Criminal Investigations (DCI) revealed that the brother had sent the money to her phone after which it was switched off."",""He recorded a statement with the police shortly after and detectives from the Special Crimes Prevention Unit began searching for the sister."",""Forensic trails leading them to the party venue at TRM."",""While observing their reactions, the boyfriend was contacted and asked to go and record a statement with police on the issue, the DCI said."",""Interestingly, the KMTC student immediately switched on her phone and called the mother."",""She claimed that she had just been dropped at Galleria Mall in Karen."",""Upon arrest, it was established that the Ksh. 20,000 was still in her MPesa account, the DCI statement reads."",""A group of university students, including her boyfriend, were also arrested at the TRM party where she was found."",""Detectives did not reveal the identity of the student only stating that she is based at KMTC in Mbagathi."",""Also Read: Two suspects linked to Garden City, TRM robbery cases arrested""]",citizentv.co.ke/news/student-who-called-brother-for-ksh-20k-ransom-arrested-at-trm-293824/indexamp,14-11-19 19:00,Kenya
371598,4 police impostors arrested after hijacking sugar truck,"[""Police in Homa-Bay County on Wednesday arrested four armed suspects masquerading as traffic police officers on Oyugis  Kosele road in Rachuonyo South sub-county."",""The suspects were arrested after carjacking a lorry belonging to Shivling Supermarket on Rongo -Kisii highway on Tuesday night."",""The police impostors are said to have stopped the lorry which was transporting 200 bags of sugar from Sukari Industry in Ndhiwa sub-county to Shivling Supermarket in Kisii town."",""They then commandeered the vehicle and upon reaching Nyachenge trading center in Kisii County, the suspects injured the driver  Brian Owade  before tossing him out."",""Mr. Owade was found by villagers who rushed him to Lwala Dispensary for first aid before he was transferred to Kisii County Teaching and Referral Hospital where he is undergoing treatment."",""Confirming the incident, Homa Bay County Police Commander Marius Tum said the impostors were nabbed while offloading sugar from the carjacked lorry into their lorry on Kosele  Oyugis road."",""According to Mr. Tum, the police officers also intercepted another vehicle  a Toyota Noah  which the suspects were alleged to have been traveling in.""]",citizentv.co.ke/news/4-police-impostors-arrested-after-hijacking-sugar-truck-in-homa-bay-226163,08-01-19 19:00,Kenya
470499,"Ugandan soldiers rough up, detain Kenyan police in Lake Victoria","[""Ugandan soldiers are detaining three Kenyan security officers in what could be the latest controversy surrounding fishing rights in Lake Victoria."",""The officers were arrested and disarmed by the Uganda People's Defence Force (UPDF) soldiers on Monday near Mageta and Hama Islands in Lake Victoria and taken to the neighbouring country by boat."",""Witnesses told the Nation that the officers’ guns were taken away as were their phones before they were taken to Bugiri Mainland Prison in Uganda at about 6pm."",""Area Police Commandant Patrick Lumumba said the 3pm incident involved up to eight soldiers on patrol."",""The officers, he said, were rounded up and put together with Kenyan fishermen found catching fish in Ugandan waters."",""Lumumba said the attackers, who were heavily armed, first hijacked five Kenyan boats and took away their engines."",""\""Our officers were overpowered by the heavily armed attackers who lay an ambush on the officers who assumed they were civilians and fishermen,\"" said Lumumba."",""Nyanza Regional Commissioner Moffat Kangi was set to visit the area to try and resolve the tiff."",""It is the second such high-profile detention by Ugandan authorities guarding the lake."",""In November last year, the Foreign ministry had to intervene after 17 fishermen in Homa Bay were arrested and detained in Uganda over illegal fishing."",""Fines"",""A number of the fishermen claimed they were forced to pay fines before they were released."",""While Kenya sends police officers to patrol the lake, Uganda has the Special Forces Command, a unit of the UPDF."",""In February this year, President Museveni argued he sends the military because his police officers and the marine authorities were too corrupt to protect Ugandan fish."",""In the area, fishermen are up in arms and do not intend to hold more meetings."",""They are instead demanding for a patrol team that equipped with sophisticated weapons to match their Ugandan counterparts."",""Bondo MP Gideon Ochanda expressed his displeasure at the reluctance of the Kenyan government to swing into action."",""\""It is very unfortunate that Kenyan security officers are being held unlawfully in the neighbouring country yet the government has not given any statement concerning the same,\"" said Mr Ochanda."",""Treasury seeks additional funding of $866m, increasing the 2019/2020 budget to $30.4bn."",""Exporting nations cited for exceeding allowable levels of chemicals in fresh farm produce.""]",theeastafrican.co.ke/news/ea/Ugandan-soldiers-Kenya-police-lake-Victoria/4552908-4607580-8tdi3y,11-06-18 20:00,Kenya
159039,"Police arrest LG chairman, others over council secretary murder","[""The Akwa Ibom State Police Command has arrested the transition chairman of Ukanafun Local Government Area, Mr. Abasiono Udomfu, and three others for the alleged killing of the council’s secretary, Mr. Ime Atakpa."",""Our correspondent learnt that an aide to the chairman, Mr. Akaninyene Ibout, was arrested on Wednesday after the visit of the wife of the Akwa Ibom State Governor, Mrs. Martha Emmanuel, to the area to inaugurate a building for widows on Tuesday."",""The house was said to have been built by the late secretary."",""A sister to Atakpa’s wife, who did not want her name in print, told journalists in Uyo on Sunday that Udomfu, during Emmanuel’s visit, raised up his hands declaring, “God knows that my hands are clean concerning the murder of the LG secretary.”"",""She said that after the chairman had made the assertion, Ibout also announced that his hands were clean and that he did not have anything to do with the killing of the late LG secretary."",""It was learnt that the police intelligence, who were in the area at the time they were making the statements, arrested Ibout."",""The Police Public Relations Officer in the state, Mr. Chukwu Ikechukwu, who confirmed the arrest, explained that all the suspects would be charged to court as soon as investigation was concluded."",""He said, “Investigation is on and soon as we conclude it, the matter will be charged to court.”"",""Copyright PUNCH.\nAll rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH."",""Contact: [email protected]"",""DOWNLOAD THE PUNCH NEWS APP NOW ON\n\n\n\n\n\nReceive Alerts on: Whatsapp: +2349090060943, Twitter: @MobilePunch, BBM: C003D3DC0 \nShare your story with us:  SMS: +2349090060943, Whatsapp: +2349090060943, Email: [email protected] \n\n\n.socialmedia {\nmargin-bottom:20px;\nmargin-top:20px;\nfont-family: 'Open Sans', sans-serif;\n}\n\n.socialmedia h3 {\nfont-size:14px;\nmargin-bottom:10px;\nfont-weight:bold;\ntext-align:left;\n\n}\n\n.socialmedia h3 span {\n\nfont-size:14px;\nfont-weight:normal;\nline-height:1.5em;\n\n}\n\n.socialmedia h3 span#whatsapp {\nwidth:50px;\nheight:50px;\nbackground:url(\""https://cdn.punchng.com/wp-content/uploads/2018/05/07104600/wa1.png\"") no-repeat;\n}\n\n.socialmedia h3 span a {\ncolor:gray;\n}\n\n#main h3 {\nfont-weight:bold;\nfont-size:24px;\n}\n\n.box_app {\n  background-color:#fafafa;\n  width: 100%;\n  text-align: left;\n}\n\n\n\n\n\n\n(adsbygoogle = window.adsbygoogle || []).push({});"",""DOWNLOAD THE PUNCH NEWS APP NOW ON\n\n\n\n\n\nReceive Alerts on: Whatsapp: +2349090060943, Twitter: @MobilePunch, BBM: C003D3DC0 \nShare your story with us:  SMS: +2349090060943, Whatsapp: +2349090060943, Email: [email protected] \n\n\n.socialmedia {\nmargin-bottom:20px;\nmargin-top:20px;\nfont-family: 'Open Sans', sans-serif;\n}\n\n.socialmedia h3 {\nfont-size:14px;\nmargin-bottom:10px;\nfont-weight:bold;\ntext-align:left;\n\n}\n\n.socialmedia h3 span {\n\nfont-size:14px;\nfont-weight:normal;\nline-height:1.5em;\n\n}\n\n.socialmedia h3 span#whatsapp {\nwidth:50px;\nheight:50px;\nbackground:url(\""https://cdn.punchng.com/wp-content/uploads/2018/05/07104600/wa1.png\"") no-repeat;\n}\n\n.socialmedia h3 span a {\ncolor:gray;\n}\n\n#main h3 {\nfont-weight:bold;\nfont-size:24px;\n}\n\n.box_app {\n  background-color:#fafafa;\n  width: 100%;\n  text-align: left;\n}\n\n\n\n\n\n\n(adsbygoogle = window.adsbygoogle || []).push({});"",""DOWNLOAD THE PUNCH NEWS APP NOW ON\n\n\n\n\n\nReceive Alerts on: Whatsapp: +2349090060943, Twitter: @MobilePunch, BBM: C003D3DC0 \nShare your story with us:  SMS: +2349090060943, Whatsapp: +2349090060943, Email: [email protected] \n\n\n.socialmedia {\nmargin-bottom:20px;\nmargin-top:20px;\nfont-family: 'Open Sans', sans-serif;\n}\n\n.socialmedia h3 {\nfont-size:14px;\nmargin-bottom:10px;\nfont-weight:bold;\ntext-align:left;\n\n}\n\n.socialmedia h3 span {\n\nfont-size:14px;\nfont-weight:normal;\nline-height:1.5em;\n\n}\n\n.socialmedia h3 span#whatsapp {\nwidth:50px;\nheight:50px;\nbackground:url(\""https://cdn.punchng.com/wp-content/uploads/2018/05/07104600/wa1.png\"") no-repeat;\n}\n\n.socialmedia h3 span a {\ncolor:gray;\n}\n\n#main h3 {\nfont-weight:bold;\nfont-size:24px;\n}\n\n.box_app {\n  background-color:#fafafa;\n  width: 100%;\n  text-align: left;\n}\n\n\n\n\n\n\n(adsbygoogle = window.adsbygoogle || []).push({});"",""DOWNLOAD THE PUNCH NEWS APP NOW ON\n\n\n\n\n\nReceive Alerts on: Whatsapp: +2349090060943, Twitter: @MobilePunch, BBM: C003D3DC0 \nShare your story with us:  SMS: +2349090060943, Whatsapp: +2349090060943, Email: [email protected] \n\n\n.socialmedia {\nmargin-bottom:20px;\nmargin-top:20px;\nfont-family: 'Open Sans', sans-serif;\n}\n\n.socialmedia h3 {\nfont-size:14px;\nmargin-bottom:10px;\nfont-weight:bold;\ntext-align:left;\n\n}\n\n.socialmedia h3 span {\n\nfont-size:14px;\nfont-weight:normal;\nline-height:1.5em;\n\n}\n\n.socialmedia h3 span#whatsapp {\nwidth:50px;\nheight:50px;\nbackground:url(\""https://cdn.punchng.com/wp-content/uploads/2018/05/07104600/wa1.png\"") no-repeat;\n}\n\n.socialmedia h3 span a {\ncolor:gray;\n}\n\n#main h3 {\nfont-weight:bold;\nfont-size:24px;\n}\n\n.box_app {\n  background-color:#fafafa;\n  width: 100%;\n  text-align: left;\n}\n\n\n\n\n\n\n(adsbygoogle = window.adsbygoogle || []).push({});"",""DOWNLOAD THE PUNCH NEWS APP NOW ON\n\n\n\n\n\nReceive Alerts on: Whatsapp: +2349090060943, Twitter: @MobilePunch, BBM: C003D3DC0 \nShare your story with us:  SMS: +2349090060943, Whatsapp: +2349090060943, Email: [email protected] \n\n\n.socialmedia {\nmargin-bottom:20px;\nmargin-top:20px;\nfont-family: 'Open Sans', sans-serif;\n}\n\n.socialmedia h3 {\nfont-size:14px;\nmargin-bottom:10px;\nfont-weight:bold;\ntext-align:left;\n\n}\n\n.socialmedia h3 span {\n\nfont-size:14px;\nfont-weight:normal;\nline-height:1.5em;\n\n}\n\n.socialmedia h3 span#whatsapp {\nwidth:50px;\nheight:50px;\nbackground:url(\""https://cdn.punchng.com/wp-content/uploads/2018/05/07104600/wa1.png\"") no-repeat;\n}\n\n.socialmedia h3 span a {\ncolor:gray;\n}\n\n#main h3 {\nfont-weight:bold;\nfont-size:24px;\n}\n\n.box_app {\n  background-color:#fafafa;\n  width: 100%;\n  text-align: left;\n}\n\n\n\n\n\n\n(adsbygoogle = window.adsbygoogle || []).push({});""]",punchng.com/police-arrest-lg-chairman-others-over-council-secretary-murder,04-06-17 20:00,Nigeria
100087,Tunisia arrests 2nd Morocco suspect in Bardo attack: ministry,"[""Tunisia has arrested a second Moroccan suspect over a deadly attack in March on the Bardo museum in Tunis, detaining him at the border with Libya, the interior ministry said Thursday."",""Noureddine al-Naibi was arrested on Sunday at the Ras Jedir border post on suspicion of indirect involvement in the attack, ministry spokesman Mohamed Ali Aroui told AFP."",""He said the suspect was using a forged passport."",""Last week, a young Moroccan man was arrested in Italy for allegedly helping in the March 18 attack carried out by two Tunisians who gunned down 21 tourists and a policeman before they were killed."",""Abdelmajid Touil, 22, a migrant smuggled into Italy by boat in February, has insisted on his innocence and is fighting a Tunisian request for his extradition."",""Around 50 people have been detained in Tunisia as part of an investigation into the attack claimed by the Islamic State group."",""Tunis pinned responsibility for the museum massacre on Lokmane Abu Sakhr, an Algerian jihadist killed by Tunisian security forces at the end of March."",""Tunisia has also issued an arrest warrant for an Algerian national following the museum attack.""]",guardian.ng/news/tunisia-arrests-2nd-morocco-suspect-in-bardo-attack-ministry,27-05-15 20:00,Nigeria
282267,"Robbery suspect arrested  for allegedly withdrawing N350,000 by stolen phone","[""Operatives of the Federal Special Anti-Robbery Squad, FSARS, Lagos State Police Command, have arrested a suspected member of a robbery gang who withdrew N350,000 through a phone stolen from a food vendor in Mushin area of Lagos."",""The gang, specialised in dispossessing victims of phones for the purpose of getting their account details and making withdrawals without the account holder’s knowledge."",""To get victims’ phones, the syndicate liaises with pick pockets who steal phones and bring the SIM cards to them, for a fee."",""One of the pick pockets, Tajudeen Alamu, who posed as a customer, allegedly stole a Techno K7 phone, worth N40, 000, from a food vendor at Ladipo Street, Monday."",""After retrieving another SIM, owner of the phone, Essien Gloria, was stunned when she received a debit alert of N350,000, consequent upon which the matter was reported at the state’s Police headquarters."",""Commissioner of Police, Lagos State Police Command, Imohimi Edgal, immediately directed operatives of the FSARS led by the Commander, Mr. Peter Gana, to go on the trail of the suspect."",""The stolen phone was traced to one Pelumi Adekunle in Mushin, who during interrogation, revealed that her husband, Alamu, gave her the phone."",""In this interview, Alamu, a cobbler, admitted to have stolen the phone but said he never got a dime from the money withdrawn from the account."",""He said: “Yes, I took the phone from where it was placed on a table in the buka (Roadside food eatery). I removed the SIM card, took it to where some ‘boys’ usually gathered."",""“I gave it (SIM card) to Ganiyu but I did not collect anything from him. When I went to visit my wife, she said she liked the phone and collected it from me."",""“Ganiyu, told me he would take the SIM card to Machingo, who will check if there was money in there. He was with two other SIM cards. He left me in his house for Machingo’s place."",""“He said they usually meet in a hotel at Ogunukun Street, Mushin. But he later informed me that Machingo said there was nothing on the SIM, unknown to me that they purchased recharge cards worth over N190,000 from the bank’s mobile app that was stored in the phone."",""“They have all fled, leaving me to bear the consequence alone.”""]",vanguardngr.com/2018/08/robbery-suspect-arrested-for-allegedly-withdrawing-n350000-by-stolen-phone,15-08-18 20:00,Nigeria
44888,Army detains six soldiers over alleged brutality of woman,"[""The 81 Division of the Nigerian Army on Wednesday said it had set up a board of inquiry, and detained six soldiers over the brutality of a woman in Lagos state."",""The incident on 12 March, according to the Division’s spokesperson, Lt.-Col. Olaolu Daudu happened in Odoguyan, Ikorodu area of Lagos."",""It involved soldiers of 174 Battalion and the woman attacked has been identified in various reports as Ruth Orji."",""According to reports, the Joint Legal Action Aids, which is representing her has already sued the military authorities, asking for N250million in damages."",""In their reaction to the incident, the military authorities failed to disclose the names of the victim and her attackers."",""Here is the statement by 81 Division:"",""“The attention of Headquarters 81 Division, Nigerian Army, has been drawn to the social media and Newspaper online reports on alleged brutalisation of a female by soldiers”."",""“The incident occurred in Odoguyan, Ikorodu area of Lagos state involving soldiers of 174 Battalion on Sunday, March 12."",""“The alleged incident is highly regrettable, even as the division under the Nigerian Army has zero tolerance for inhumane treatment."",""“Discipline remains the bedrock of the Nigerian Military Profession."",""“It is quite disheartening when such incidences occur even though such incidences will not be treated with any laxity."",""“Consequently, a Board of Inquiry has been constituted by the Commander 9 Brigade, Brig.-Gen. Elias Attu."",""“This is to investigate the circumstances that led to the incident, determine the level of the soldiers’ involvement, submit its findings and recommend appropriate disciplinary measures which will be communicated."",""“The brutalised lady, name withheld, has been taken to hospital where she is responding to treatment. The six soldiers, also names withheld, are being detained in regards to the incident."",""The 81 Division of the Nigerian Army on Wednesday said it had set up a board of inquiry, and detained six soldiers over the brutality of a woman in Lagos state.""]",guardian.ng/news/army-detains-six-soldiers-over-alleged-brutality-of-woman,15-03-17 20:00,Nigeria
70132,Japanese police arrest CEO of MtGox Bitcoin exchange,"[""Japanese police on Saturday arrested Mark Karpeles, head of the MtGox Bitcoin exchange, after a series of fraud allegations lead to its spectacular collapse and hammered the digital currency’s reputation."",""A spokesman for the Tokyo Police said France-born Karpeles, 30, was suspected of manipulating data on the exchange’s computer system in 2013 to falsely create about $1.0 million."",""Earlier Saturday, Kyodo News and other Japanese media said police were also investigating his possible involvement in the 2014 disappearance of nearly $390 million worth of the virtual currency, at current exchange rates."",""It was not immediately clear if there would be more charges against Karpeles, who reportedly denied the allegations."",""The global virtual currency community was shaken by the shuttering of MtGox, which froze withdrawals in early 2014 because of what the firm said was a bug in the software underpinning Bitcoins that allowed hackers to pilfer them."",""On Saturday, local media, citing police, said investigators suspect Karpeles knew details about the missing Bitcoins which were reportedly transferred to an account controlled by him — without notifying depositors."",""The top-selling Yomiuri newspaper also said police suspect that Karpeles repeatedly transferred clients’ Bitcoins into his own account for speculative trading."",""The exchange — which once boasted of handling around 80 percent of global Bitcoin transactions — filed for bankruptcy protection soon after the cyber-money went missing, admitting it had lost 850,000 coins worth 48 billion yen ($387 million). They were worth about $480 million at the time of the disappearance."",""Karpeles later said he had found some 200,000 of the lost Bitcoins in a “cold wallet” — a storage device such as a memory stick that is not connected to other computers."","" "",""– No regulations –"","" "",""Bitcoins are generated by complex chains of interactions among a huge network of computers around the planet and are not backed by any government or central bank."",""A cloud has been hanging over the Tokyo-based exchange and Karpeles as investors demanded answers, and called on the firm to publicise its data so that hackers around the world can help analyse what happened at MtGox."",""“They say it’s under investigation. That’s all they say,” a French investor told AFP last year at a creditors’ meeting in Tokyo."",""“They seem to refuse to make public more precise information about MtGox’s own (information) and how and when it was stolen, if it was really stolen.”"",""Karpeles had reportedly refused to travel to the United States, where he was being asked to appear for questioning in connection with MtGox’s collapse."",""Regulators have scrambled to respond to the use of Bitcoins, with the European Banking Authority last year calling on the region’s banks not to deal in virtual currencies until rules are developed to stop them being abused."",""Launched in 2009 by a mysterious computer guru, Bitcoin offers a largely anonymous payment system and can be stored either virtually or on a user’s hard drive."",""Backers say virtual currencies allow for an efficient and anonymous way to store and transfer funds online."",""But regulators argue the lack of legal framework governing the currency, the opaque way it is traded and its volatility make it dangerous."",""After MtGox, Bitcoin’s reputation was also damaged when US authorities seized funds as part of an investigation into the online criminal enterprise Silk Road that made millions of dollars from drug sales and other criminal enterprises."",""During the trial of the man accused of masterminding the network, a witness said investigators once suspected Karpeles of running the online black market — a claim he firmly denied.""]",guardian.ng/news/japanese-police-arrest-ceo-of-mtgox-bitcoin-exchange,31-07-15 20:00,Nigeria
