Column1,title,text,url,date
398321,Sonko suspends top county officials for contradicting him on Pumwani saga,"[""NairobiGovernor Mike Sonko has suspended four top county officials accusing them of insubordination on the Pumwani Hospital saga."",""This comes after the officials contradicted his assertion of negligence in the death of 11 infants whose bodies were found stuffed in paper bags at Pumwani Maternity Hospital on Monday."",""The suspended officers include; County Secretary Peter Kariuki, Health CEC Vesca Kangogo, Chief Officer Health Services Mahat Jimale and County Attorney Lydia Kwamboka."",""Sonko further appointed the following officials in acting capacity:Pauline Kahiga(County Secretary), Charles Kerich (Health CEC), Mohamed Saleh (Chief Officer Health Services), and David Aseko (County attorney)."",""Charles Kerich also doubbles up as the current Lands CEC while David Aseko presently serves as the Legal Affairs Director."",""Addressing the media at the maternity hospital on Tueday, Ms. Kangogo, who was flanked by Mr. Jimale, said the deaths occurred from operations that are normal to health."",""According to Mr. Jimale, out of the 11 deaths, four were recorded as fresh stillbirths (foetus with no signs of life)."",""The Chief Health Officer further noted that two deaths were macerated stillbirths, whereby the babies had already died in the womb by the time they were delivered."",""He added that four were neonatal deaths, meaning the babies died within the first 28 days of life."",""The 11th baby, according to Mr. Jamale, was brought to the hospital dead by a parent who wanted the Pumwani hospital to safely dispose it."",""The truth is that out of the 11 bodies that were confirmed yesterday we can account for each and every child with tagging and notification of deaths, said Mr. Jamale."",""Sonko, who found the bodies in a room at the hospital, said he was acting on a tip off by members of the public who informed him that the management had shut down machines at the maternity wing leading death of infants."",""Conducting an impromptu visit at Pumwani Hospital, where its alleged by members of the public that the management shut down the machines at the Maternity Wing leading to loss of lives of young ones. I want to categorically state that human life must be respected no mater the case."",""Stern action will be taken against anyone found to be sabotaging the good services offered to our mothers and sisters who come to deliver in this facility, said Sonko in a Facebook post where he shared a video as he confronted attendants at the hospital."",""Soon after the discovery,Governor Sonko suspended top officials at the facility including the entire board of the maternity hospital."",""The suspended officials included Pumwani Hospital Superintendent Catherine Mutinda, Administration Officers Zadock Angahya and George Nyadimo as well as obstetrician gynecologist Dr James Kamau.""]",citizentv.co.ke/news/sonko-suspends-top-county-officials-for-contradicting-him-on-pumwani-saga-212467,17-09-18 20:00
19561,Two Kenya TV stations resume broadcasting after days shut by government,"[""NAIROBI (Reuters) - Two Kenyan television channels shut down by the government over their coverage of the political opposition resumed partial broadcasting on Monday, although a third channel remained off the air."",""The unprecedented act of censorship sparked a local and international backlash against the government of President Uhuru Kenyatta, who won an election in October."",""It also reinvigorated an opposition that had appeared unsure of its next step after a highly publicized rally last week at which leader Raila Odinga symbolically inaugurated himself as president."",""The NTV, KTN News and Citizen TV channels were taken off the air on Tuesday, hours before they were due to broadcast Odinga’s event. The United States, the United Nations and former colonial ruler Britain strongly criticized the government’s censorship."",""The government ignored a court order issued on Thursday to restore the stations, prompting activist Okiya Omtatah to file a case seeking the arrest of officials for contempt of court on Monday."",""Also on Monday, police teargassed demonstrators demanding the stations reopen as they tried to march on government offices."",""It was unclear why the government switched back on the transmitters. A spokesman for the government was not available for comment."",""“There’s been no form of communication from the government,” said Larry Madowo of NTV, which resumed broadcasting on pay-to-view channels although its free-to-air channel, which uses different transmitters, was still off. KTN News was back on its free-to-air channel."",""Madowo noted the transmitters for Citizen TV were in a different place, which might explain the delay."",""Odinga’s symbolic inauguration in the heart of the capital  of East Africa’s wealthiest economy was intended as a direct challenge to Kenyatta. Odinga insists he, not Kenyatta, was the true winner of a disputed presidential election last August."",""The Supreme Court later nullified the August election on procedural grounds and Kenyatta won a repeat poll in October after Odinga boycotted it, claiming it would not be fair."",""Since the symbolic inauguration, Odinga and his supporters have repeatedly promised to outline their next step, only to postpone the unveiling of their plan."",""Most of their statements have focused on the brief detention of three opposition politicians who took part in Odinga’s ceremony, which occurred peacefully after the government withdrew police from the site."",""Around 100 people were killed during the protracted election season, most of them Odinga supporters shot by the police."",""Odinga supporters say they are angered by police impunity, persistent government corruption and the perceived neglect of large swathes of the country by the central government.""]",reuters.com/article/us-kenya-politics/two-kenya-tv-stations-resume-broadcasting-after-days-shut-by-government-idUSKBN1FP14L,04-02-18 19:00
260163,Turkish court orders Facebook to block pages ‘insulting’ prophet,"[""A Turkish court has ordered Facebook to block pages deemed insulting to the Prophet Mohammed, threatening to shut down the social media network indefinitely if it ignores the directive, state media said Monday."",""The ruling came after Turkish prosecutors investigated the social media pages following a deadly attack on the Paris offices of French satirical magazine Charlie Hebdo on January 7."",""The court ruled on Sunday that Facebook would be shut down altogether in Turkey if it fails to implement the order, state-run Anatolia news agency reported."",""In its first issue after the attack by two Islamist gunmen that killed 12 people, Charlie Hebdo featured an image of the prophet weeping on its front cover holding a “Je suis Charlie” sign under the heading “All is forgiven”."",""The image sparked outrage in some parts of the Islamic world, including Muslim-majority Turkey, where many find the depiction of the prophet highly offensive."",""Earlier this month Turkish daily newspaper Cumhuriyet printed a selection of cartoons in a show of solidarity with Charlie Hebdo."",""Soon after, Turkish prosecutors opened an investigation into two Cumhuriyet columnists who ran the controversial cartoons in their columns."",""Also in January, a court in the southeastern city of Diyarbakir ruled to block access to web pages showing Charlie Hebdo’s latest cover."",""The Turkish government has in the past blocked numerous social networks."",""Twitter and YouTube were temporarily blocked in Turkey last year after both platforms were used by opponents of President Recep Tayyip Erdogan to post allegations of corruption within his inner circle."",""Turkish lawmakers will this week debate a new bill that will further tighten the government’s grip on the Internet."",""Under a change to an existing law, the prime minister and any of his ministers will be able to order a block on websites “to protect national security, public order and to prevent crime.”""]",vanguardngr.com/2015/01/turkish-court-orders-facebook-block-pages-insulting-prophet,25-01-15 19:00
463522,Kenyan police raid state-owned Chinese TV,"[""Kenyan police on Wednesday raided the African headquarters of the China Global Television Network, briefly detaining several journalists as part of an ongoing crackdown against illegal immigrants."",""Cellphone footage of the raid showed armed plainclothes police bundling Chinese staff into vehicles while demanding that reporters of other nationalities produce their passports or accompany them to the police station."",""\""They had automatic rifles, it was scary,\"" said one foreign reporter at the state-owned television station on condition of anonymity."",""Kenyan police chief Joseph Boinnet confirmed the raid on the office in search of illegal immigrants."",""\""All the foreigners who were arrested at CGTN have been released after their documents were confirmed to be okay,\"" he told Nation."",""In a statement, the Chinese embassy said it received a call for help from 13 nationals."",""\""They stated that they were detained by Kenyan police even though they held legal documents,\"" read the statement."",""\""Several such events happened recently. The Chinese Embassy (is) expressing its concern to Kenyan side through diplomatic\"" channels."",""Xenophobia"",""CGTN, an international English-language television station, broadcasts across the globe, with major news centres in Nairobi and Washington."",""Kenya last month began hunting down and arresting those illegally in the country after holding a 60-day exercise in which every foreigner was required to revalidate their permits -- a laborious process that can take up to eight hours."",""Last week the interior ministry released a hotline number for members of the public to report illegal immigrants."",""\""It is extremely worrying that citizens are being encouraged to call a hotline to report cases of suspected undocumented migrants. This approach is likely to ignite xenophobia against foreign workers, refugees and asylum seekers,\"" Amnesty International's regional deputy director Seif Magango said in a statement on Saturday."",""China and Kenya maintain strong relations, with Beijing funding numerous infrastructure projects in the country."",""China financed 90 per cent of a $3.2-billion (2.8-billion-euro) railway linking Nairobi to the coastal city of Mombasa."",""President Uhuru Kenyatta -- attending a two-day China-Africa forum in Beijing -- is expected to sign a deal for the financing of the second phase of the railway, which will link the Rift Valley town of Naivasha to Kisumu near the Ugandan border, costing a further $3.5 billion."",""The project has increased concerns in Kenya over mounting debt to China."",""Treasury seeks additional funding of $866m, increasing the 2019/2020 budget to $30.4bn."",""Exporting nations cited for exceeding allowable levels of chemicals in fresh farm produce.""]",theeastafrican.co.ke/news/ea/Kenyan-police-raid-China-television-migrants/4552908-4745202-n40kg9z,04-09-18 20:00
213652,Tanzania shuts down Jamii Forum over tough new rules,"[""A popular Tanzanian blogging site, Jamii Forums, has shut down following government enforcement of harsh new online content regulations.The regulator, Tanzania Communication Regulatory Authority (TCRA), has disallowed publishing of online content without the necessary licences effective Monday June 11.Bloggers have until June 15 to acquire licences, TCRA has said.The rules require bloggers and online TV and radio to register their platforms, obtain a tax clearance certificate, and pay licence fees of up to $900.They are also required to reveal details of their shareholders, citizenship of owners and share capital.Digital activists and human rights watchdogs’ quest to block the implementation of the regulations fell through two weeks ago after they lost a court case challenging the government on what they termed as a crackdown on free speech.Most bloggers in Tanzania are individuals without registered companies, making it difficult for them to meet the new regulations.""]",thecitizen.co.tz/news/Tanzania-shuts-down-Jamii-Forum-over-tough-new-rules/1840340-4606244-g8gffgz,10-06-18 20:00
24368,Tanzania shuts down another 'days numbered' newspaper,"[""DAR ES SALAAM (Reuters) - Tanzania’s government has closed a critical newspaper for the second time in three months, banning the weekly MwanaHalisi for two years after accusing it of inciting violence."",""Another newspaper — Mawio — was banned in June over articles it published linking two former presidents to alleged improprieties in mining deals signed in the 1990s and early 2000s."",""The moves appear to cement President John Magufuli’s pledge in January that the days of newspapers his government viewed as unethical “were numbered” — a statement that triggered concerns about censorship."",""“The government has suspended publication and circulation of the weekly MwanaHalisi newspaper for 24 months ... due to repeated unethical reporting, publishing fabricated and inciting articles and endangering national security,” the state-run Tanzania Information Services said in a statement."",""The body said MwanaHalisi published a series of inciteful articles about Magafuli and that its editors had refused to apologize for their reporting."",""Magufuli, nicknamed “the bulldozer”, has won some praise from Western donors for an anti-corruption drive and cutting wasteful public spending."",""But opponents accuse him of increasingly undermining democracy by curbing dissent and stifling free speech."",""Tanzania has one of the most highly diverse media industries in Africa, with over 450 registered newspapers and journals, as well as 180 radio and television stations."",""In November, Magufuli signed into law a bill that journalists said was aimed at muzzling freedom of the press."",""The Media Services Act of 2016 gives officials powers to shut down media organizations that violate their licenses and requires newspapers to apply for an annual license.""]",reuters.com/article/tanzania-media/tanzania-shuts-down-another-days-numbered-newspaper-idUSL5N1M11VM,19-09-17 20:00
308530,"Court overrules NBC on AIT, RayPower","[""The Federal High Court in Abuja, on Friday, granted an ex-parte order that restored the operating license of DAAR Communications Plc, owners of African Independent Television, AIT, and Ray Power FM, which was earlier suspended by the National Broadcasting Commission, NBC."",""Woman prays court to dissolve marriage over husband’s lack of respect for her parents(Opens in a new browser tab)"",""The court ordered both DAAR Communications Plc and NBC to revert to the status quo that was in existence as at May 30, pending the hearing and determination of the substantive suit before it."",""The order followed a suit the media establishment lodged to challenge the suspension of its operating licence on Thursday by the NBC."",""The NBC had based its action on allegation that the media outfit breached its rules and regulations."",""Meanwhile, cited as Respondents in the suit the plaintiff filed through its lawyer, Chief Mike Ozekhome, SAN, were the NBC, the Federal Ministry of Information and Culture (FMIC) and the Attorney General of the Federation, AGF."",""The plaintiff equally filed an affidavit of urgency, wherein it urged the court to quickly intervene in the matter."",""Out of three principal reliefs that DAAR Communications Plc sought in its motion ex-parte, the court declined to grant two of them."",""Specifically, the plaintiff had sought to restrain the Respondents, their agents or privies, from interfering with their operations in any manner whatsoever, pending the determination of their application for injunctive reliefs."",""However, in his ruling, Justice Inyang Ekwo, said he was minded to grant the alternative relief to restore the status quo that was in existence as at when the matter was brought before the court for adjudication."","" "","" "","" ""]",vanguardngr.com/2019/06/court-overrules-nbc-on-ait-raypower,07-06-19 20:00
358962,Official: Kenya unlikely to shut down internet during vote,"[""NAIROBI, Kenya (AP) — Kenya's government is \""unlikely\"" to shut down the internet during next month's presidential elections but some social media might be shut down as needed, government officials said Monday."",""Communication Authority of Kenya chief Francis Wangusi said they are not thinking of shutting down the internet but warned that it should not be used to release alternative election results."",""However, the chairman of the National Cohesive and Integration Commission, Francis Ole Kaparo, said that \""if it's necessary then some social media would be shut down.\"" The commission was formed to monitor hate speech and incitement after post-election violence a decade ago killed more than 1,000 people."",""Observers have warned of possible violence around the upcoming elections. Two people were shot and wounded Sunday during a rally for a gubernatorial candidate in the capital, Nairobi."",""\""There are terrible people on social media who are hell-bent on causing unnecessary anxiety across the country,\"" Kaparo said."",""The Communication Authority is tracking down words on social media that are likely to lead to incitement and violence, and whenever any is found officials \""pull the systems down,\"" Wangusi said."",""\""So tell Kenyans that there is nowhere where you can avatar yourself, even in social media, without us physically tracking where you are,\"" he said."",""Kenya's government has pushed to set up cybersecurity systems ahead of the Aug. 8 vote but has been vague on the systems' capabilities, including for surveillance. Last month, rights group Privacy International said the involvement of Kenya's national intelligence agency in the systems is concerning, \""given how the NIS operates outside of legal frameworks to surveil individuals.\"""",""A spokesman for leading opposition candidate Raila Odinga said they fear the cybersecurity systems will be used for election fraud."",""Odinga challenged President Uhuru Kenyatta's win in the 2013 elections, alleging that internet communication was set up among Kenyatta's party, the electoral commission and a call center that allowed electoral fraud. The Supreme Court upheld Kenyatta's win."",""Kenyatta is running for re-election."",""Governments in neighboring Burundi, Uganda and Ethiopia have shut down internet access during elections. Rights defenders say such blackouts can facilitate serious abuses."",""___"",""This version corrects the number of dead in post-election violence a decade ago to more than 1,000.""]",ap.com/Official: Kenya unlikely to shut down internet during vote,16-07-17 20:00
17446,Two Kenya TV channels shut by government resume partial broadcasting,"[""NAIROBI, Feb 5 (Reuters) - Two Kenyan television channels shut down by the government over their coverage of the opposition resumed partial broadcasting on Monday although a third channel remained off the air."",""NTV resumed broadcasting on pay-to-view channels, it announced on its Twitter feed, and KTN News resumed on free-to-air terrestrial channels. Citizen television, which was also shut down last week, remained off-air."",""The three had been shut down after trying to live stream an event held by opposition leader Raila Odinga on Tuesday, where he symbolically inaugurated himself as president. (Reporting by Katharine Houreld; Editing by Toby Chopra)""]",reuters.com/article/kenya-politics-television/two-kenya-tv-channels-shut-by-government-resume-partial-broadcasting-idUSL8N1PV4LQ,04-02-18 19:00
20699,Tanzania closes third newspaper since June as part of media crackdown,"[""DAR ES SALAAM (Reuters) - Tanzania shut down another newspaper on Friday - the third since June - after a warning from President John Magufuli earlier in the year that the days of newspapers his government viewed as unethical were numbered."",""Hassan Abbasi, the director-general of the state-run Tanzania Information Services, said in a statement that Raia Mwema, a weekly newspaper, had been banned from publishing for 90 days, starting on Friday."",""The independently-owned outlet was suspended, he said, after publishing an article this week saying Magufuli was destined to fail in his job and in which it attributed “fabricated” statements to the president.”The government ... issued a lenient punishment despite the gravity of the offense because the editors admitted their mistake,” he said.Tanzania suspended publication of the weekly MwanaHalisi newspaper for 24 months on Sept. 20 and banned another newspaper, Mawio, in June for a similar period.Magufuli, nicknamed “The Bulldozer” for his forceful leadership style, has won some praise from Western donors for an anti-corruption drive and for cutting wasteful public spending.But opponents accuse him of increasingly undermining democracy by curbing dissent and stifling free speech.""]",reuters.com/article/us-tanzania-media/tanzania-closes-third-newspaper-since-june-as-part-of-media-crackdown-idUSKCN1C42KB,28-09-17 20:00
