title,text
Turkey’s Recep Tayyip Erdogan Seeks to Consolidate Power With Overhaul of Constitution,"ISTANBUL—Turkey’s government submitted a bill Saturday to overhaul the constitution and concentrate power in President Recep Tayyip Erdogan’s office, a controversial move that risks further destabilizing the country amid myriad security and economic threats."
Venezuela's Congress approves decree powers for Maduro,CARACAS (Reuters) - Venezuelan lawmakers granted President Nicolas Maduro yearlong decree powers on Tuesday that he says are essential to regulate the economy and stamp out corruption but adversaries view as a thinly veiled power grab.
Angola Moves to Make President Stronger,"JOHANNESBURG — Angola’s Parliament approved a new Constitution on Thursday that will further concentrate power in the hands of President José Eduardo dos Santos, who for the past 30 years has governed a nation that is rich in oil and diamonds, but whose people are mostly poor."
Uganda enacts law ending presidential age limits,"Uganda's President Yoweri Museveni, one of Africa's longest-serving leaders, has signed a bill into law that removes a presidential age limit of 75 from the country's constitution."
Djibouti parliament removes presidential term limits,DJIBOUTI (Reuters) - Lawmakers in Djibouti on Wednesday approved an amendment to the constitution that paves the way for the president of the Horn of Africa nation to run for a third term.
China parliament scraps presidential term limits,"China's parliament has scrapped presidential term limits, paving the way for President Xi Jinping to rule indefinitely over the world's most populous country."
Nicaragua scraps presidential term limits,"Nicaragua's national assembly has voted to scrap presidential term limits, which could allow socialist President Daniel Ortega to remain in power indefinitely."
Uganda court validates law allowing Museveni to seek re-election,"Uganda’s constitutional court on Thursday approved removing the presidential age limit of 75 years, a ruling that would potentially allow President Yoweri Museveni to extend his three-decade rule."
Sudan lawmakers back amendment to let Bashir stand again,Sudan’s long-serving President Omar Bashir came closer on Tuesday to another term in office after a majority of lawmakers backed a constitutional amendment to extend term limits that would have required him to step down in 2020.
South Africa's ANC to amend constitution to allow land expropriation,"JOHANNESBURG (Reuters) - South African ruling African National Congress will push ahead with plans to amend the constitution to allow for the expropriation of land without compensation, President Cyril Ramaphosa said on Tuesday, a move likely to unnerve investors."
Parliament Approves Constitutional Amendments Extending Presidential Term,"After much anticipation, Egypt’s House of Representatives has finally voted on some of the proposed, and most controversial, amendments to Egypt’s 2014 constitution."
Erdogan Claims Vast Powers in Turkey After Narrow Victory in Referendum,"ISTANBUL — A slim majority of Turkish voters agreed on Sunday to grant sweeping powers to their president, in a watershed moment that the country’s opposition fears may cement a system of authoritarian rule within one of the critical power brokers of the Middle East."
Turkmenistan Adopts Constitution Broadening President’s Powers,Turkmenistan’s President Gurbanguly Berdymukhamedov has made a major stride toward being enshrined sultan-for-life after the country’s token lawmakers approved major changes to the constitution.
