Column1,title,text,url
435143,"NEMA moves to prevent flooding in Ondo, environs","[""The National Emergency Management Agency (NEMA) has organised a stakeholders meeting to put on alert relevant emergency management agencies and create awareness ahead of impending rainfall warnings till December."",""The Head, Ekiti Operations office of NEMA, Mr Olusegun Afolayan, made this known in an interview with the News Agency of Nigeria (NAN) in Akure on Friday."",""Afolayan spoke on the sidelines of a one-day stakeholders meeting on flood preparedness, response and mitigation."",""NAN reports that Ekiti Operations Office covers Ondo, Osun and Ekiti."",""Afolayan said the programme became imperative after Nigerian Meteorological Agency had warned that rain would not stop soon, especially in the Southern part of the country."",""He said there were several challenges in curbing flooding, especially when people would not stop building and dumping refuse on waterways, not heeding to warnings and advice to leave flood-ravaged areas."",""He noted that houses built on waterways should be demolished to reduce the incidence of flooding."",""We came to sensitise, educate and create awareness in order to mitigate future occurrence of flood disasters."",""Most people are not duly informed about what to do as to prevent flood that leads to disaster. People have to know what to do to prevent disaster."",""We have done it in Osun and Ekiti, it is the turn of Ondo."",""One of the major challenges is when you sensitise communities to avoid dumping of refuse, stop building on the water ways, leave flood-prone areas when the rain is falling, they are always adamant, they refuse to listen."",""I have gone round all the states under my purview and I can still tell you, many people are still where they were up till now. We gave them relief materials, they are still there, Afolayan said."",""He suggested that government should do what is being done in Lagos and Ogun by compensating the victims and relocate them to another area."",""Afolayan further said that inadequate enforcement of building codes was also affecting the fight against flooding."",""There is lack of enforcement of building code. All these people, when you talk to them, they will tell you they have approvals; how they got it, nobody knows."",""If the government can enforce a building code, part of the problems will be solved,  he said."",""Mr Lanre Abiodun, Secretary, Ondo State Emergency Management Agency (SEMA), said a lot was learnt from the programme."",""Abiodun said the state would soon organise its version of the sensitisation programme."",""The state government has been doing a lot in terms of curbing flood. Recently, we launched amphibious excavators to dredge rivers in the state."",""We have also been providing relief packages for victims, he said. (NAN)""]",sunnewsonline.com/nema-moves-to-prevent-flooding-in-ondo-environs
319540,"Ethiopia says South Sudan's Kiir, Machar to meet in Addis","[""South Sudan President Salva Kiir will meet his rival and former vice president Riek Machar in Addis Ababa on Wednesday, as part of talks to negotiate an end to a civil war that broke out in 2013, Ethiopia’s foreign ministry said."",""“The meeting on South Sudan tomorrow [Wednesday] will be held under the auspices of Prime Minister Abiy Ahmed with the aim of bridging gaps between President Salva Kiir and Riek Machar,” the ministry statement said, adding that Machar is expected to arrive in Ethiopia’s capital on Wednesday from South Africa."","""",""The council will be comprised of six civilians and five members of the military."",""The coming elections of 2020 could test Abiy Ahmed’s political staying power.""]",theeastafrican.co.ke/news/ea/Ethiopia-says-Kiir-Machar-to-meet-in-Addis-/4552908-4620340-format-xhtml-l14w6sz
48991,"Buhari meets NASS leaders, PDP senators absent","[""President Muhammadu Buhari last night met with the leadership of the National Assembly at the presidential villa, Abuja."",""However, most Principal officers elected on the platform People’s Democratic Party (PDP) were absent at the meeting."",""Those absent were Deputy Senate President Ike Ekweremadu, Godswill Akpabio (Minority Leader), Emmanuel Bwacha (Deputy Minority Leader) and Biodun Olujimi-Deputy (Minority Whip). However, all principal officers on the platform of the ruling All Progressives Congress (APC) in both chambers were present."",""The leadership of the National Assembly was led by President of the Senate, Senator Bukola Saraki. The meeting started at 9:19 pm after the president walked in."",""Speaker, Yakubu Dogara, deputy speaker, Lasun Yusuf, Senate Leader, Ahmed Lawan, House Leader Femi Gbajabiamila, Senator Sola Adeyeye also attended."",""Others present during the nocturnal meeting were Senate Minority Whip, Philip Auda, House Chief Whip, Hon. Al-Hassan Dogowa, Deputy Whip, Hon. Pally Iriase."",""Those from the Executive present are, Chief of Staff, Abba Kyari, Secretary to the Government of the Federation, Boss Mustapha, the Special Adviser on Media and Publicity, Femi Adesina and the Senior Special Assistant on Media and Publicity, Garba Shehu and Senior Special Assistant to the President on National Assembly Matters (Senate), Senator Ita Enang."",""Though the agenda of the meeting was not known, the 2018 budget, 2019 election sequence, Peace Corp bill, as well as security issues formed the crux of discussions during the meeting which lasted late into the night of Thursday."",""Speaking to State House Correspondents after the meeting, Saraki said it was an interaction between the National Assembly and the executive."",""He said the meeting also discussed the 2018 budget which the National Assembly is working hard to have it passed."",""“We are working on it but there are still some issues from the agencies who are yet to defend their budget. We are hoping that they will appear soon,” he said."",""Also speaking, Secretary to the Government of the Federation (SGF) Boss Mustapha said it was basically an in-house meeting aimed at cementing a cordial working relationship between the executive and the National Assembly.‎"",""“We want to continue building a harmonious working relationship. The President gave them an update on security, economy and job creation."",""“We also discuss the issue of the processes in the National Assembly with regards to concluding on the budget."",""“And the President has given instructions that all ministers and parastatal should ensure that they appear before the National Assembly to defend their submission so that we can get this out of the way."",""“You know that this is a very dynamic year and there is preparation for election and we are having a lot of security challenges, so if we don’t act appropriately, where will the money come from to do all what the federal government requiress,” he added.""]",guardian.ng/news/buhari-meets-nass-leaders-pdp-senators-absent
290243,Chad’s Idriss Deby visits Israel 46 years after ties severed,"[""Chadian President Idriss Deby will meet Israeli Prime Minister Benjamin Netanyahu in Jerusalem on Sunday, the first such visit by a leader of the central African nation which severed bilateral ties in 1972, Netanyahu’s office said."",""Two N’Djamena government sources confirmed Deby’s trip."",""“The visit is focused on security,” one source told Reuters, adding that Israel has supplied the Chadian army with weaponry and other equipment this year to help in its fight against northern rebels."","" "",""“This is the first visit of a Chad president in Israel since the establishment of the state (of Israel). It follows many diplomatic efforts led by Prime Minister Netanyahu in the last few years,” the statement said."",""The Netanyahu government has been investing in outreach to Africa, where some countries previously warm to Israel have kept their distance since its occupation of the Palestinian territories in the 1967 Middle East war."",""Nigeria calls on Israel, Palestine to end hostilities"",""In July 2016, Deby hosted the then-director of Israel’s Foreign Ministry, Dore Gold, for exploratory talks on improving bilateral relations."",""Gold told Israel Radio on Sunday that his Chadian hosts told him that they had cut off ties 44 years prior under Libyan pressure, a factor removed with the toppling of Muammar Gaddafi in 2011""]",vanguardngr.com/2018/11/chads-idriss-deby-visits-israel-46-years-after-ties-severed
271553,True Federalism: Southern governors must work together  – Ambode,"[""Governor Akinwunmi Ambode of Lagos State says southern governors must come together to resolve issues of common interest. Ambode spoke while welcoming his colleagues from the southern part of the country who stormed Lagos on Monday for their meeting under the aegis of the Southern Governors Forum. Extracts from his address:"",""We will recall that the maiden gathering of this forum was held in 2001 at the Akodo Beach Resort, Ibeju Lekki, here in Lagos."",""The initiative to set up the SGF was received with mixed feelings at the time. There were those who read partisan political moves into the idea. Others saw it as essentially sectional and potentially divisive while some dismissed the SGF as another superfluous talk shop of doubtful utility."",""However, the convener of the inaugural edition of the forum and my illustrious predecessor, Asiwaju Bola Ahmed Tinubu, gave a robust articulation of the necessity for the forum in his address to participants, which remains relevant and pertinent even today. On that occasion he said, “We are of course aware that our northern brothers have met regularly and publicly articulated common positions of interest in the polity. While some have condemned such meetings, I believe very strongly that such fora should indeed be actively encouraged and supported. Our democracy and federal system can only be strengthened when various groups and component parts of the country are free to discuss and pursue their perceived common aspirations within the framework of the law."",""There are unquestionably issues of common interest to us as governors of states in the southern region of Nigeria. This does not mean that there are no matters which the South-West, the South-East, or the South-South, respectively, may feel constrained to pursue separately at other fora”."",""From its modest beginning in 2001, the SGF held at least nine meetings over the following four years with the last one taking place again in Lagos on Friday, 25th  February, 2005. During this period, the forum became a significant voice on matters of critical import both to the south and to Nigeria as a whole."",""Perhaps, we need to quickly remind ourselves some of the landmark achievements obtained through the pressure exerted by this forum in the past. The first was its collective advocacy for the special allocation to oil producing states in the federation account which resulted in the current formula of 13% accruing for Derivation in allocating revenues from the Federation Account."",""Another major victory won towards strengthening the country’s practice of true federalism was the declaration by the Supreme Court in 2002 that the then prevalent practice of the federal government deducting monies from the Federation Account as a first line charge for the funding of Joint Venture Contracts, NNPC priority projects, servicing of Federal Government’s external debt, the judiciary and the Federal Capital Territory (FCT) and other federal obligations were illegal and unconstitutional."",""The Supreme Court in that case abolished the special funds created by the Federal Government to enable it draw funds from the Federation Account to pay for matters that fell within its exclusive responsibility before sharing whatever was left with the states and local governments."",""Despite these successes, there is still a lot to be done. There is certainly a lot to be done about true federalism; an issue that requires urgent, meticulous and proactive attention by this forum."",""o less disturbing is the failure to undertake the periodic review of the revenue allocation formula as provided for by the constitution to reflect evolving realities. This is another critical matter that ought to engage this forum in order to enhance the viability of the states and local governments as well as their capacity to fulfill their developmental roles in the polity. All too often, states are disparaged for always carrying begging bowls to Abuja in quest of hand-outs from the federal government."",""This is a function of our present national constitution that burdens the federal government with activities and responsibilities that rightly fall within the province of the states. The productivity and revenue-generating capacities of most of the states are thus stifled thus turning them into no better than street beggar states incapable of even meeting routine obligations of paying workers’ salaries and pensions without federal support."",""Lagos State has fought and won several legal battles since 1999 that has systematically strengthened her autonomy and enhanced her fiscal viability. Over the years, the state has won legal control over the management of its environment, control of urban and physical planning, regulation of overhead masts, registration and regulation of hotels and restaurants and control of her inland waterways. And these victories do not belong to Lagos alone, but to all other states in the federation and which they must explore significantly."",""I believe that If Lagos has been able to achieve so much fighting singly, the SGF can accomplish much more by thinking, planning, strategizing and acting together."",""This resuscitation of the SGF is coming at a most appropriate time. As we are aware, the Senate and House of Representatives are currently harmonizing their differences on the proposed amendments to the 1999 constitution before they are transmitted to the state Houses of Assembly for approval. It is important for this forum to comprehensively look at the proposed amendments with a view to working with our respective Houses of Assembly to ensure a coordinated response on our part that will strengthen the practice of democracy, federalism, constitutionalism and the rule of law."",""In our deliberations, particularly on the pressing need for greater devolution of powers, responsibilities and resources from the centre to the states, our preoccupation must not be with having a weak centre and strong states or vice versa. Rather, in the words of the Indian politician and statesman, Bhupesh Gupta, on the floor of the Indian parliament on May 9th, 1969, “Therefore, we want a centre which will function on the basis of democratic principles and safeguard the unity and integrity of the nation as a whole; whereas at the same time we must have the states enjoying a wide range of powers, economic, political and otherwise, in order that out of this arrangement there develops a symphony of centre-state relations to the common good of the people of the country. There is no contradiction between having a democratic and viable centre and having at the same time, strong, democratic states”.""]",vanguardngr.com/2017/10/true-federalism-southern-governors-must-work-together-ambode
163488,VIDEO: Buhari meets APC governors inside Aso Rock,"[""President Muhammadu Buhari on Tuesday met behind closed door with governors elected on the platform of the ruling All Progressive Congress at the Presidential villa, Abuja."",""The News Agency of Nigeria reliably gathered that the meeting would discuss national issues including the forthcoming APC’s national convention slated for May 14 in Abuja."",""Already the leadership of the party has written the Independent National Electoral Commission to intimate it of plans to hold congresses and convention across the country."",""President Buhari had at the last National Executive Council meeting of the party declared his intentions to seek re-election in 2019."",""See the video:"",""President @MBuhari meeting with governors of the governing All Progressives Congress (APC). pic.twitter.com/DM8TToaxSg"",""— Bashir Ahmad (@BashirAhmaad) April 24, 2018"",""Those attending the meeting included Vice-President Yemi Osinbajo, the Secretary to the Government of the Federation, Mr Boss Mustapha as well as the Chief of Staff to the President, Abba Kyari."",""APC state governors in attendance were; Nasir El-Rufai of Kaduna state, Yahaya Bello of Kogi, Simon Lalung of Plateau, Jubrila Bindow of Adamawa and Abdulaziz Yari of Zamfara."",""Others were Rochas Okorocha of Imo, Abdulahi Ganduje of Kano, Kashim Shettima of Borno, Abubakar Sani Bello of Niger, Tanko Almakura of Nassarawa, Abiola Ajimobi of Oyo, Ibikunle Amosun of Ogun, Godwin Obaseki of Edo and Abubakar Badaru of Jigawa."",""NAN""]",punchng.com/video-buhari-meets-apc-governors-inside-aso-rock
402869,"Uhuru meets clergy, maintains stand on IEBC disbandment","[""President Uhuru Kenyatta on Friday met religious leaders to whom he reiterated his views on following the Constitution when discussing constitutional bodies."",""President Kenyatta and Deputy President William Ruto met the religious leaders at Safari Park Hotel in Nairobi after attending the 4th Annual National Prayer Breakfast."",""We are happy that the Legal and Constitutional Affairs Committee of Parliament has said it is ready to start sitting and hearing the views of Kenyans, President Kenyatta said after the meeting."",""He added: We want dialogue like yesterday but it must be held within the confines of the law. Dialogue is not about going to the streets or meeting in tea rooms.""]",citizentv.co.ke/news/uhuru-meets-clergy-maintains-stand-on-iebc-disbandment-128991
371252,President Uhuru Kenyatta summons Mt. Kenya leaders,"[""President Uhuru Kenyatta is on Friday expected to meet all political leaders from the Mt. Kenya region at Sagana State Lodge."",""The meeting will mark President Kenyattas return to the region after previously cancelling tours to his political home turf at least four times."",""MPs allied to Deputy President William Ruto are apprehensive of President Kenyattas public dress down over their perceived rebellion to his no politics stance, but have since intimated to Citizen TV that failure to attend the leaders consultative meeting could backfire on them."",""The Head of State has summoned all elected and nominated leaders from the regions counties for consultations on a litany of issues, among them development projects and the raging political temperatures."",""At least 4,000 leaders are expected to attend the meeting, with County Commissioners and their deputies tasked with inviting Governors, MPs, Members of County Assemblies (MCAs) and selected community leaders."",""The President was expected in Muranga last Sunday at an Anglican Church function but was a no-show, sparking anger from the county leadership and residents as he dispatched Cabinet Secretaries Fred Matiangi (Interior), James Macharia (Transport) and Joe Mucheru (ICT) to represent him."",""Though the meetings agenda remains highly confidential, a source at State House indicated that the President will seek to dismiss claims of ignoring the Mt. Kenya region on matters development as he has been accused by a section of MPs."",""President Kenyattas meeting with the Mt. Kenya leadership coincides with widening cracks in his political backyard, with the ruling Jubilee Party split into two; Kieleweke that fashions itself as the defenders of his handshake with ODM leader Raila Odinga and Tanga Tanga that is allied to DP Ruto.""]",citizentv.co.ke/indexp=293687
89244,Pope to meet EU leaders on eve of Rome summit,"[""Pope Francis will meet with the leaders of all EU nations at the Vatican on March 24 ahead of the bloc’s special summit in Rome, Vatican sources said Thursday."",""The March 25 summit will mark the 60th anniversary of the bloc’s founding treaty. The pontiff will meet the leaders in the afternoon, the sources said."",""The pope has already received EU leaders at the Vatican in May 2016 when he was presented with the bloc’s Charlemagne Prize for his contribution to European unification."",""In a speech at that ceremony he called on them to “tear down the walls” and build a fairer society."",""Invoking the memory of the EU founding fathers’ pursuit of integration in the aftermath of World War II, the pontiff said they inspired because they had “dared to change radically the models” that had led to war."",""The pope also made a speech to the European Parliament in Strasbourg in November 2014.""]",guardian.ng/news/pope-to-meet-eu-leaders-on-eve-of-rome-summit
95690,"Southern Governors meet on fiscal federalism, devolution of powers in Lagos tomorrow","[""Twelve years after their last gathering, Governors from the Southern part of Nigeria will tomorrow converge in Lagos to deliberate on how to forge stronger ties for the three geo-political zones."",""In a statement signed by the Secretary to the Lagos State Government (SSG), Mr Tunji Bello, the meeting, which will be co-hosted by the Governors of Lagos State, Akinwunmi Ambode and Akwa Ibom, Emmanuel Udom will address issues that are germane to the development of the three contiguous zones."",""Bello said the meeting is in line with the realisation that the different states in the South have since 2005 developed several areas of comparative advantage, which could be harnessed and become mutually beneficial."",""According to him, the Governors would also be expected to adopt a common position on the issues of armed robbery, kidnapping, devolution of powers and issue of fiscal federalism, which have all gained prominence of late."",""“The 2017 Lagos summit of the 17 Southern Governors representing the South South, South West and South East zones is expected to come up with a communiqué after the deliberation."",""“It is noteworthy to recall that the inaugural meeting of the Southern Governors took place in Lagos in 2001 under the administration of Asiwaju Bola Ahmed Tinubu,” Bello said."",""The statement added that the predominance of views is that if the Southern States speak with one voice, they are bound to attract weighty and credible listenership."",""The 17 Southern States expected at the summit include Governors Emmanuel Udom of Akwa Ibom;  Ben Ayade- Cross Rivers State; Godwin Obaseki – Edo State; Nyesom Wike – Rivers  State; Ifeanyi Okowa – Delta  State; Seriake Dickson- Bayelsa and Rochas Okorocha- Imo State."",""Others are Willie Obiano – Anambra State; Okezie Ikpeazu – Abia State; David Umahi – Ebonyi State; Ifeanyi Ugwuanyi -Enugu State; Rauf Aregbesola – State of Osun; Abiola Ajimobi – Oyo; Ibikunle Amosun –Ogun; Oluwarotimi Akeredolu – Ondo; Ayodele Fayose – Ekiti and Akinwunmi Ambode of Lagos State.""]",guardian.ng/news/southern-governors-meet-on-fiscal-federalism-devolution-of-powers-in-lagos-tomorrow
