Column1,title,text,url,date
390016,"Boy, 4, dies in Homa Bay -Katito road accident","[""A four year old child has died after he was knocked down by a speeding vehicle along the Homa Bay -Katito Road on Tuesday morning."",""Master Shanten Nova died on the spot after the driver of aMitsubishi Gallant hit him at Rakwaro Trading Centre."",""The vehicle was reportedly headed to Homa Bay from Kisumu."",""Witness accounts indicate that the minor was attempting to cross the road when the car hit him."",""The body of the boy has been taken to Gendia Mission Hospital Mortuary for postmortem."",""Homa Bay County Police Commander Marius Tum said the driver is being held at Kendu Bay Police Station.""]",citizentv.co.ke/news/minor-dies-in-homa-bay-katito-road-accident-195676,2018-04-03T00:00:00.000Z
171849,"Ferry sinks in Tanzania's Lake Victoria, at least 40 dead: state media","[""Several have died after a passenger ferry capsized on Thursday in Tanzania’s Lake Victoria, state radio said, as operations to rescue survivors got under way."","" The boat, the MV Nyerere, sank during the afternoon just a few meters from the dock in the Ukerewe district, national ferry services operator TEMESA said."",""The service had yet to establish how many passengers were on board, spokeswoman Theresia Mwami said. State radio said 26 people had been rescued."",""State radio reports that atleast 10 people have died after the incident. However, AFP has reported that the number of those who died may have surpassed 40. Other reports also indicate that hundreds could be missing since the ferry was overloaded with close to 400 people."",""In 1996, a ferry disaster on Lake Victoria in the same region killed at least 500 people."",""In 2012, at least 145 people died in a ferry disaster in Tanzania’s semi-autonomous archipelago of Zanzibar in the Indian Ocean, on a vessel that was overcrowded."",""We are undertaking a survey to help us improve our content for you. This will only take 1 minute of your time, please give us your feedback by clicking HERE. All responses will be confidential."",""Related Topics"",""TanzaniaLake VictoriaTEMESAMV NyerereTheresia MwamiFerry tragedyPresident Magufuli""]",standardmedia.co.ke/article/2001296323/ferry-sinks-in-tanzania-s-lake-victoria-at-least-40-dead-state-media,2018-09-20T22:07:12.000Z
148436,"UPDATED: 100 feared dead, thousands injured in China quake","[""A 6.5-magnitude earthquake rattled southwest China late Tuesday, killing at least five people, with up to 100 feared dead, according to a government estimate."",""Five people died and more than 60 were injured in the quake, the official Xinhua news agency said, including 30 who were in critical condition."",""But China’s National Commission for Disaster Reduction estimated that as many as 100 people may have perished, based on 2010 census data of the mountainous, sparsely populated region."",""Over 130,000 houses may be damaged, it added in a statement posted on its website, based on a preliminary analysis of the disaster in a remote region of Sichuan province."",""Restaurant owner Tang Sesheng fled her establishment in Jiuzhaigou town after she felt the earth moving under her."",""“I was also in Jiuzhaigou in 2008 during the last big quake, so I knew what it was. This felt even stronger,” she told AFP by phone."",""She said people had come out of their homes to sit out in the town’s large public square, far from any tall structures, afraid to go back inside for fear that buildings might topple."",""Many were also sitting in cars, thinking it safer."",""“People didn’t dare grab anything like money or clothes — we just all ran outside right away.”"",""The quake occurred around 9.20 pm (1320 GMT), not far from the site of a massive 8.0-magnitude earthquake that struck in 2008 leaving 87,000 people dead or missing."",""Its epicentre was 284 kilometres (176 miles) north of the provincial capital Chengdu and struck at a depth of 10 kilometres, the US Geological Survey said."",""The affected region, Jiuzhaigou county, includes one of the country’s most famous national parks, a UNESCO World Heritage Site known for karst formations and lakes."",""More than 38,000 people visited the tourist site on Tuesday, according to the official Xinhua news agency."",""Electricity was cut off briefly, but was then restored, she said."",""Some houses at the scenic spot collapsed following the quake and authorities were organising young people to help evacuate residents, a staff worker at the park told Xinhua."",""Photos from the area posted to social media showed masses of people milling about on streets scattered with light debris, and a taxi dented from being hit by a large boulder."",""Over 600 fire officers and soldiers have been deployed, the People’s Daily newspaper said."",""The Red Cross Society of China said it was deploying emergency specialists and volunteers to assist affected communities."",""“The quake hit at night, communications lines and electricity are disrupted and people are no doubt shocked and scared,” said Gwendolyn Pang, a spokesperson with the International Federation of Red Cross and Red Crescent Societies in China."",""“It may take some time to learn the extent of damage and casualties.”"",""China is regularly hit by earthquakes, especially its mountainous western and southwestern regions."",""Earlier today, a landslide triggered by heavy rains killed at least 24 people in a different, mountainous region of Sichuan to the south of Chengdu."",""AFP""]",punchng.com/breaking-china-hit-by-6-5-magnitude-quake,2017-08-08T00:00:00.000Z
373159,At least 19 killed in South Sudan plane crash,"[""At least 19 people died in South Sudan on Sunday when a small aircraft carrying passengers from capital Juba to the city of Yirol crashed, an official said."",""There were 22 people on board the flight that departed Juba International Airport in the morning, said State information Minister Taban Abel."",""The number (of dead) has reached 19, he told Reuters, adding that a Ugandan and Ethiopian national were among the victims. Abel had earlier said two people were missing."",""One of the survivors, an Italian doctor working with a charity, was in stable condition and flown to Juba having undergone surgery in Yirol, the minister said."",""The plane crashed by a river and an eyewitness had earlier said bodies were recovered from the water."",""There were three children among the 22 passengers, another source said."",""David Subek, Chief Executive officer of South Sudan Civil Aviation Authority in Juba, confirmed the crash and told Reuters he did not know the death toll yet."",""Several crashes have occurred in war-torn South Sudan in recent years. In 2017, four passengers were injured after bad weather caused their plane to crash into a fire truck upon landing and burst into flames.""]",citizentv.co.ke/news/at-least-17-killed-in-south-sudan-plane-crash-211622,2018-09-09T00:00:00.000Z
399950,"Ten dead, several injured after bus collides with lorry on Nakuru-Eldoret highway","[""Ten people died and several others were injured after a bus collided head on with a lorry at Kamara on the Nakuru  Eldoret highway on Sunday."",""Seven people, among them the driver of the trailer, died on the spot while three others succumbed to injuries during treatment."",""Confirming the incident, area chief Joseph Korir said over 70 more people  including two students headed home for the half-term break  were injured and are currently receiving treatment at Eldama Ravine Hospital and Moi Referral Hospital in Eldoret.""]",citizentv.co.ke/news/ten-dead-several-injured-after-bus-collides-with-lorry-on-nakuru-eldoret-highway-231869,2019-02-17T00:00:00.000Z
299266,"How VP Osinbajo, Minister, 10 others survived helicopter crash","[""Vice President Yemi Osinbajo, a Minister and 10 others, yesterday, in Kabba, Kogi State, survived when the helicopter in which they were  travelling crashed. The incident happened at Kabba Township Stadium."",""The VP, who was in Kogi in continuation of the TraderMoni scheme, was scheduled to visit Kabba, Okene and Idah, headquarters of  Kogi West, Central and East respectively."",""At exactly 2:40 pm, the first chopper in Osinbajo’s  entourage made a successful landing and was followed by the second  chopper conveying the VP."",""The chopper conveying the VP, which made its landing around 2:45 pm, was, however, unlucky as the tail of the chopper caught one  of the vehicles  parked in the arena and tumbled immediately."",""Breaking: Many feared dead, vehicles burnt as petrol tanker explodes in Lagos"",""Emergency prayers erupted in the crowd when part of the chopper’s wings got severed from the main body."",""It took several  minutes before the door of the chopper could be forced open."",""The VP, who was subsequently freed  from his seat belt and carried out of the chopper, took some minutes to stand and waved to the waiting crowd."",""He was immediately taken away to  an hotel  where he  rested before proceeding to the palace of  the Obaro of Kabba, who doubles as the Chairman, Okun Traditional Council, HRM, Oba Solomon Owoniyi."",""In a statement by his spokesperson, Laolu Akande, later yesterday, Osinbajo expressed thanks to Nigerians for their concern over the chopper crash."",""The statement said the VP, after the mishap, continued his engagements in Kogi, engaging the people on the Next Level plan of the Buhari administration."",""He quoted him as saying, “We are safe and sound. Thank you to everyone who has expressed concern, and thank you to the crew who managed the situation well."",""“We believe that God will continue to keep us and Nigeria safe even as we go higher. We continue Next level engagements in Kabba, Kogi State.”"",""In a follow-up statement, also by Akande, last night, the spokesperson  narrated  the incident. The statement said: “Vice President Yemi Osinbajo, SAN, departed Abuja around 1pm today on a chopper ride to Kogi State in continuation of the Family Chats \u0026 Next Level engagements."",""“Prof. Osinbajo headed first to Kabba, and while landing at the Kabba Stadium, the helicopter suddenly skidded sideways  until it halted on its side few metres away from the intended resting spot."",""“Alongside VP Osinbajo, the Minister of State for Labour and  Productivity, Prof. Stephen Ocheni, senior presidential aides, security officials and the crew; there were a total of 12 people on board. everyone came out safely after the incident."",""It’s incorrect to say Jonathan paid for railway, Amaechi tackles Peter Obi"",""“We are grateful to God for His protection and safety, and we thank the crew and security personnel for their prompt response and service. We are also grateful for the tremendous expressions of concern and affection, as well as prayers from all."",""“As is procedural, a full investigation into the causes of the incident would be conducted by aviation authorities."",""“The Vice President is continuing the planned engagements in Kogi State as scheduled.”"",""Shock, gratitude to God"",""The All Progressives Congress (APC), the Peoples Democratic Party (PDP), the vice presidential candidate of the PDP, Mr. Peter Obi, and Governor Seriake Dickson of Bayelsa State expressed shock over the helicopter crash."",""The National Publicity Secretary of the APC, Mallam Lanre Issa-Onilu, in a statement, said the party continued to pray for the safety of all its leaders."",""“We thank God our vice president, Prof. Yemi Osinbajo is safe and sound along with his aides following his involvement in a helicopter accident which occurred in Kabba, Kogi State while undertaking the All Progressives Congress #NextLevelEngagements ahead of the #2019Elections”, the statement said."",""“The Party prays for continuous safety of our leaders and general progress of our great country."",""‘We also congratulate @ProfOsinbajo, an alumnus of Igbobi College @ICYaba on the institution’s 87 founders day anniversary being marked today”."",""In its own statement by its spokesman, Kola Ologbondiyan, the PDP thanked God for the safety of the Vice President, members of his entourage and the crew."",""The party, however, called for a thorough investigation “into the traumatic incident” adding that “the safety of the nation’s leaders, and of course, all Nigerians, must be guaranteed, especially at this critical time.”"",""Video: Why I’m seeking re-election – Buhari"",""It also urged all Nigerians regardless of creed, ethnicity and political affiliation, to continue to pray for God’s continued intervention in the affairs of the nation."",""On his part, Dickson urged Nigerians to thank God for sparing the lives of Osinbajo and other passengers in the helicopter."",""He said that the citizenry should be grateful to the Almighty God for preventing what would have been a major tragedy especially at this critical period of heightened political activities in the country."",""The Bayelsa governor said, in a statement by his Special Adviser on Media Relations, Mr. Fidelis Soriwei, that Nigerians should regard themselves as members of a solid and united family irrespective of political differences and platforms."",""Reacting on the incident, last night, Peter Obi , who was on campaign with his presidential candidate, Alhaji Abubakar Atiku, in Umuahi, Abia State at the time of the crash, expressed shock over the incident and gratitude to God for sparing the VP’s life as well as the lives of others in the chopper with him."",""Obi prayed God to continue to protect all those running around on campaign and Nigerians in general."",""He called on Nigerians to remain prayerful at all times."",""Osinbajo, speaking at the Obaro of Kabba’s palace, his first stop in the visit to Kogi, the VP expressed gratitude to God for surviving the chopper crash."",""He said, “We are extremely grateful to the Lord for preserving our lives from the incident that just happened. Everyone is safe and no one is maimed. God has kept us safe and alive, delivered us from death so we can do more for our people and country.”"",""Adamu attacks Obasanjo, Atiku, Jonathan over Nigeria’s economy"",""Yesterday’s incident was the second time Osinbajo’s helicopter would be involved in an incident.In June 2017, he survived a similar accident when the chopper he was traveling in crash-landed shortly after take off in Gwagawalada, Abuja."","" ""]",vanguardngr.com/2019/02/how-vp-osinbajo-minister-10-others-survived-helicopter-crash,2019-02-03T00:00:00.000Z
393338,"One dies, scores injured in road accident","[""One person died while several others were injured after a mini bus that they were travelling in got involved in an accident at Nyilima trading center along Ndori-Luanda/Kotieno road in Rarieda sub-county this morning."",""According to Rarieda OCPD Mr Johana Chebii, the mini-bus, which belongs to UK Sacco, was moving towards Luanda/Kotieno with about 20 people on board when it veered off the road and plunged into a ditch, killing one person instantly."",""He stated that the minibus was carrying family members who were heading to Uyoma after attending the burial of a relative in Seme Constituency within Kisumu County."",""Mr Chebii stated that the driver of the bus, who sustained injuries in the accident, is suspected to have been drunk, which might hve led to the accident."",""The body of the deceased was taken to Madiany sub-county hospital mortuary while the injured were rushed to Lwak Mission Hospital where they are undergoing treatment.""]",citizentv.co.ke/news/one-dies-scores-injured-in-road-accident-152344/indexamp,2016-12-18T00:00:00.000Z
340597,Nigeria authorities say 6 people killed in floods were all children; father says 2 kids killed,"[""KANO, Nigeria (AP) - Nigerian authorities say six people who died after flooding hit Nigeria's north were all children."",""Officials say at least six people died and more than 200 were displaced in the northern city of Kano because of early rains. They say people could not be evacuated because of poor drainage in the area."",""A father said Thursday he lost two of his children after his highly populated neighborhood flooded."",""Abbas Ado says he lost his sons Abubakar, 13, and Yusuf, 11. He says he has moved to a shelter and has lost \""all he (had).\"""",""Nigeria's National Emergency Management Agency has warned that rains will be heavier this year than last year. Last year's rains displaced about 500,000 people nationwide."",""The wet season loosely lasts from June to September, with July and August as the rainiest months.""]",ap.com/Nigeria authorities say 6 people killed in floods were all children; father says 2 kids killed,2011-06-23T00:00:00.000Z
100037,"Two died, many injured in Ogun auto crash","[""Two persons died while several others sustained injuries on Wednesday night in an auto crash involving a Mack truck, Mazda bus and a tanker at Ilo-Awela Road, Sango-Ota."",""Mr. Adekunle Oguntoyinbo, the Sango-Ota Unit Commander of Federal Road Safety Corps (FRSC), told News Agency of Nigeria (NAN) that the accident happened at about 9.45 p. m. on Wednesday."",""The Unit Commander said that two out of 18 persons in the bus died while some others sustained injuries."",""“The corpses of the victims had been deposited at the morgue of General Hospital, Ota, while those injured are receiving intensive treatment at Lead way Hospital, Ota,” he said."",""Oguntoyinbo explained that a Mack truck with registration number LND 615XP that was heading to Lagos from Ilo-Awela road lost control due to speeding and rammed into a Mazda bus with registration number KSF 102XD and a tanker with registration number APP 273XP in the process of crossing the road median."",""He advised motorists who are not familiar with the terrain of Sango-Ota and its environs to always drive carefully and ensure their vehicles are always in perfect condition.""]",guardian.ng/news/two-died-many-injured-in-ogun-auto-crash,2018-07-26T00:00:00.000Z
39211,10 dead as train derails in India,"[""Ten people were killed and dozens injured when an express train derailed in north India on Saturday, an official said."",""Emergency workers were pulling people out of mangled, upended carriages after 14 coaches derailed near Muzaffarnagar district in Uttar Pradesh state, some 130 kilometres (80 miles) from New Delhi."",""“Ten people have died and dozens have been injured. Most of the injured have been taken to the hospital,” said P S Mishra, chief medical officer for the area, by phone."",""A police officer at the accident spot said 50 people had been taken to hospital."",""“We are trying to take out the trapped people from the coaches,” senior police officer Jitender Kumar told AFP."",""Another official said metal cutters and cranes were being used to reach inside the damaged coaches as the federal government rushed dozens of rescuers with specialised equipment and sniffers to the spot."",""“Scores of people have been safely evacuated from the coaches. Some dead bodies have also been recovered,” fire and emergency officer Naresh Kumar told AFP."",""Photographs and television footage showed scores of mangled coaches lying sideways as hundreds of people try to pull the passengers out."",""The accident is the latest disaster to hit India’s most populous state. It comes just a week after dozens of children died at a hospital that had run out of oxygen there."",""Prime Minister Narendra Modi in a tweet expressed sympathies with the families of those killed and assured all possible assistance."",""India’s railway network is still the main form of long-distance travel in the vast country, but it is poorly funded and deadly accidents often occur."",""Less than a year ago 146 people died in a similar disaster in Uttar Pradesh."",""A 2012 government report said almost 15,000 people were killed every year on India’s railways and described the loss of life as an annual “massacre”."",""Modi’s government has pledged to invest $137 billion over five years to modernise the crumbling railways, making them safer, faster and more efficient.""]",guardian.ng/news/10-dead-as-train-derails-in-india,2017-08-19T00:00:00.000Z
