Column1,title,text,url
235325,IPOB: Jos in 24-hour security lockdown,"[""Plateau State Governor, Simon Lalong, has imposed a dusk-to-dawn curfew in Jos, Bukuru metropolis, to curb tension in the state."",""The curfew was consequent on alleged negative reaction on agitation of Independent People of Biafra (IPOB) in the South East which permeated the state."",""A signed statement by Director of Press and Public Affairs, Emmanuel Nanle, said the curfew is from 6:00pm to 6:00am."",""Nanle said the governor expressed great dismay and shock at the sudden build-up of tension in Jos metropolis, on account of the conduct of some disgruntled elements, who have decided to throw the metropolis into confusion on account of their negative reaction to IPOB agitation in the South East"",""The deployment of security personnel to all flash points within the metropolis has also been directed to ensure compliance with the curfew order and to avert any further breach of law and order. "",""Meanwhile, as Kaduna State Independent Electoral Commission (SIECOM) prepare to conduct local government election in the state, 36 out of the 38 registered political parties have threatened to boycott political activities organised by the electoral body. "",""The state government has, however assured residents there is no cause for alarm."",""Regardless, aggrieved parties have accused the electoral body of not carrying them along as relevant stakeholders and have demanded a realistic time table for the local government election."",""Addressing newsmen in Kaduna, yesterday, Chairman of the aggrieved parties, under the umbrella of Joint Leadership of Opposition Political Parties, Umar Farouk Ibrahim, accused the state Governor, Nasir El-Rufai of exhibiting a non-chalant attitude towards the conduct of the election."",""The aggrieved political parties include; Inter-party Advisory Council (IPAC), Kaduna State Coalition of Political Parties (KCPP) and Conference of Nigerian Political Parties (CNPP)."",""Meanwhile, there was palpable tension in Jos, capital of Plateau State when residents of Katako, Chobe Junction, Apata and Masalacin Jumaa axis of Jos North Local Government Area were thrown into confusion."",""Daily Sun gathered that an incident occurred at about 5:30pm in Katako market where one of the traders was alleged to have been beaten and machetes by a group of youths suspected to be Sara Suka boys which triggered reaction from the traders."",""Another version of the story was that Hausa people were being killed in Anambra State, while Igbo people in Katako market, dominated by the Hausa, closed their shops and fled the place in fear."",""The action triggered reaction in several communities in the state capital, coupled with the past experience of how violence claimed dozens of lives in the state started in 2001 and 2010."",""Daily Sun gathered that traders at Katako, Chobe Junction and Ahmadu Bello Way Jos, Masalacin Jumaa, Delimi Junction and the Terminus market hurriedly closed down their shops to avoid been caught in the confusion that was fast transforming into violence."",""Police Public Relation Officer (PPRO) of Plateau State Police Command, ASP Tyopev Matthias Terna, said the confusion in the state capital was as a result of rumour peddling by some individuals who alleged Hausa people were being killed in Anambra."",""He noted that Igbo traders in Katako were apprehensive, and hurriedly closed their shops, to leave the scene before they being attacked."",""ecause of the grievous nature of the rumour."",""Terna told Daily Sun on phone that the "",""abrupt manner in which some of the Igbo close their shops led to the running of residents in the area and urged the citizens to be calm as security personnel have be deployed to the affected areas."",""Information and Media Officer of the Special Task Force in charge of internal security in Jos and neighbouring states, Captain Umar Adams, attributed the commotion to hate speech by some individuals."",""He said the task force has deployed its personnel to the affected area to restore calm and peace, saying they are battle ready to dealt with groups and individual who would want to take advantage of the situation to unleash terror on innocent persons.""]",sunnewsonline.com/ipob-jos-in-24-hour-security-lockdown
454374,"Sudan state of emergency curbing public freedoms, says minister","[""A state of emergency imposed across Sudan is restricting public freedoms, a minister said Wednesday, as lawmakers discussed the measure imposed by President Omar al-Bashir to quell anti-government protests."",""Bashir declared a year-long state of emergency on February 22 after an initial crackdown failed to suppress deadly demonstrations against his iron-fisted rule stretching back three decades."",""\""The imposing of a state of emergency has a negative impact ... because it restricts public freedoms,\"" Minister of Justice Mohamed Ahmed Salim told parliament as he tabled the presidential order for lawmakers' approval."",""\""We hope that the reasons for which the state of emergency has been imposed end soon.\"""",""Lawmakers are to vote on it on March 11."",""The parliament is expected to approve the state of emergency as Bashir's ruling National Congress Party has an overwhelming majority in the 428-member assembly."",""Deadly clashes have rocked Sudan since December 19 when protests erupted after a government decision to triple the price of bread."",""Anger had been mounting across Sudan for years amid an ongoing economic crisis led by soaring inflation and a shortage of foreign currency."",""Protesters accuse Bashir's administration of mismanaging the economy and have called on the 75-year-old president to step down."",""Bashir has remained defiant, banning unauthorised rallies and setting up special emergency courts to investigate violations during the state of emergency."",""He has also dissolved federal and provincial governments, and appointed 16 army officers and two security officers from the feared National Intelligence and Security Service as governors of the country's 18 provinces."",""Demonstrations have dwindled since the state of emergency came into effect, and on Thursday hundreds of protesters were arrested and put on trial at emergency courts."",""Eight demonstrators were sentenced to jail -- in the first such rulings by emergency courts."",""On Wednesday, the United Nations High Commissioner for Human Rights, Michelle Bachelet, slammed Khartoum for its crackdown on protesters."",""\""The excessive use of force, including inside hospitals, mosques and universities; arbitrary detention; torture; and declaration of a state of emergency will have no effect on the very real underlying grievances which the protesters seek to voice,\"" Bachelet said in a speech to the UN Human Rights Council in Geneva."",""Officials say 31 people have died in protest-related violence so far, while Human Rights Watch says at least 51 have been killed."",""Treasury seeks additional funding of $866m, increasing the 2019/2020 budget to $30.4bn."",""Exporting nations cited for exceeding allowable levels of chemicals in fresh farm produce.""]",theeastafrican.co.ke/news/africa/Sudan-state-of-emergency-curbing-public-freedom-minister/4552902-5012148-127hqy0
12173,Chad declares state of emergency in Boko Haram-hit region,"[""N’DJAMENA (Reuters) - Chad has declared a state of emergency in the Lake Chad region after a series of raids and suicide bombings there by militant Islamist group Boko Haram, the government said on Monday."",""Chad was instrumental in forcing Boko Haram to cede territory earlier this year, undermining its six-year campaign to carve out a Nigerian caliphate."",""But guerrillas have since ramped up attacks in remote border areas around Lake Chad, killing at least three people in a Chadian village on Sunday and three Nigerian refugees in northern Cameroon on Monday."",""Chad’s Communications Minister Hassan Sylla Bakari said the order, effective immediately, would grant authorities new powers to search and monitor residents in the region."",""There has not been a state of emergency in Chad, one of Africa’s military heavyweights, since a series of rebellions in the 2000s springing from its volatile east. Neighbouring Niger also has a state of emergency in its border region of Diffa."",""A top U.N. official said last month that an 8,700 regional task force will begin joint raids against Boko Haram when the rainy season ends soon."",""Vice Admiral Michael Franken, U.S. Africa Command’s Deputy for Military Operations, told Reuters on Monday he expected Nigeria-led actions to lead to a “significant degradation” in Boko Haram’s activities within six months."",""The United States has sent troops to provide intelligence and other assistance to counter Boko Haram.""]",reuters.com/article/us-nigeria-violence-chad-idUSKCN0SY2E620151109
11122,Nigeria declares emergency in areas hit by Islamists,"[""ABUJA (Reuters) - Nigerian President Goodluck Jonathan declared a state of emergency in three northeastern states on Tuesday, ordering in more troops to try to stem an increasingly violent Islamist insurgency."",""Islamist sect Boko Haram has intensified its attacks on security forces and government targets in its northeast stronghold this month, prompting Jonathan to declare an emergency in Borno, Yobe and Adamawa states."",""“We are facing ... a rebellion and insurgency by terrorist groups which pose a very serious threat to our national unity,” Jonathan said in a televised address."",""“They have attacked government buildings and facilities. They have murdered innocent citizens and state officials. They have set houses ablaze, and taken women and children as hostages. These actions amount to a declaration of war.”"",""His orders followed growing evidence that Boko Haram now control parts of the northeastern territory around Lake Chad, where local government officials have fled."",""Security officials say they control at least 10 local government areas of northeastern Borno state, the epicenter of the insurgency."",""Dozens of Boko Haram fighters in buses and machine gun-mounted trucks laid siege to the town of Bama, in Borno, last week, freeing over 100 prison inmates and leaving 55 people dead, mostly police and other security forces."",""Days earlier, scores were killed in the fishing village of Baga, also in Borno, on the shores of Lake Chad, when troops from Nigeria, Niger and Chad raided it looking for Islamists. Local residents said soldiers were responsible for many civilian deaths."",""Jonathan ordered his chief of defense to deploy extra soldiers to the states."",""The decree is likely to bring him into conflict with the powerful governors and northern leaders, with whom he already has a tense relationship."",""On Monday, the Nigeria Governors’ Forum, representing the governors of Nigeria’s 36 states, warned Jonathan against imposing emergency rule in response to the insurgency."",""Umar Gusau, spokesman for the Borno state Governor Kassim Shettima, declined to comment on the decree. Other influential northern figures were against it."",""“It’s not the right thing to do,” said Bashir Tofa, a former presidential candidate and northern politician."",""Boko Haram and other Islamist groups such as al Qaeda-linked Ansaru have become the biggest threat to stability in Africa’s second biggest economy and top oil exporter."",""Boko Haram leader Abubakar Shekau said in a video this week that the group had kidnapped several women and children in retaliation against security forces who, it says, have detained the wives and children of its members without just cause."",""In December 2011, Jonathan declared a state of emergency over some limited local government areas in the states, after a church bombing blamed on Boko Haram killed 37 people, but he lifted it in July last year."",""There has been an uptick in violence in other regions of Nigeria too, with 46 police officers killed by gunmen in an ambush in the central state of Nassarawa last week. Officials blamed a local cult not linked to Islamists.""]",reuters.com/article/us-nigeria-emergency-idUSBRE94D0ZH20130514
271277,Boko Haram attack: 24-hr curfew in Gombe,"[""The governor of Nigeria’s Gombe state on Saturday imposed an around-the-clock curfew after an attack by Boko Haram gunmen, his spokesman said."",""“Governor Ibrahim Dankwambo has directed that a 24-hour curfew be imposed on Gombe as a result of the security breach in the city,” Ayuba Aluke said,  referring to the state capital of the same name but specifying that the curfew would be in effect statewide."",""“By this announcement residents are to remain indoors until further notice as security operatives work to restore law and order in the city,” he said.""]",vanguardngr.com/2015/02/boko-haram-attack-24-hr-curfew-gombe
94215,Sierra Leone announces new curfew to halt Ebola,"[""Sierra Leone’s President Ernest Bai Koroma said Friday he was imposing a three-week daytime curfew in the last Ebola-hit areas in a bid to curb a resurgence of the deadly virus."",""Koroma announced on state television he was imposing “with immediate effect a 6:00 am to 6:00 pm chiefdom-level curfew” in parts of the northwestern districts of Kambia and Port Loko, the only areas still reporting new infections."",""People in the worst-hit chiefdoms, or areas, of those districts will be confined to their homes for 21 days, he said, warning that anyone found flouting the order would find themselves in jail for the same period."",""“Now, more than ever, is the time for us to remain vigilant,” he said."",""The latest lockdown was called over fears that the disease that has killed about 3,900 in Sierra Leone was making a comeback in the northwest."",""Neighbouring Liberia was declared Ebola-free in May, but hopes that Sierra Leone and Guinea would quickly follow suit have been dashed in recent weeks."",""The World Health Organization (WHO) said on Wednesday the retreat of the virus “that was apparent throughout April and early May has stalled”."",""It said there were 31 confirmed new cases in the week ending June 7 — 15 in Sierra Leone and 16 in Guinea, where the outbreak began in December 2013."",""In the previous week, 13 cases had been found in Guinea, a clear increase on the nine reported a week before that."",""The pattern was similar in Sierra Leone, where 12 new cases were found in the last week of May compared to only three the previous week."",""“This is the second consecutive weekly increase in case incidence, and the highest weekly total number of cases reported from Sierra Leone since late March,” the report said."",""One of the deadliest viruses known to man, Ebola is spread only through direct contact with the bodily fluids of an infected person showing symptoms, such as fever or vomiting."",""Since Ebola spread to Sierra Leone in May last year, the government has imposed several local and nationwide curfews as it fights to halt the epidemic."",""Palo Conteh, head of the National Ebola Response Centre, attributed the recent spike in Port Loko and Kambia to “people just being stubborn and engaged in the wrong things that fuel the transmission”."",""“Some washing of bodies and secret burials are going on and people are taking the sick to herbalists,” he said."",""Amadu Koroma, a local government clerk in Kambia, said herbalists were frequently bypassing official entry and exit points to treat patients in southern Guinea, the epicentre of the outbreak."",""“People have also been escaping from quarantined homes at night and ending up in Port Loko where relatives bring in herbalists to treat them in locked rooms,” he said."",""A lawmaker is on bail awaiting trial for allegedly ordering the washing, dressing and burial of his 106-year-old father in Kambia in May."",""The health ministry says 22 people are in Ebola treatment centres, all in Kambia and Port Loko, while 342 are in quarantine in those two districts and the Western Area, which includes the capital Freetown."",""The curfew announcement came after Sierra Leone extended the nationwide state-of-emergency for 90 days on Thursday, despite calls from opposition politicians to relax restrictions in Ebola-free districts."",""The president softened the blow by announcing the lifting of some restrictions for businesses to promote economic growth."",""Grocery stores and markets — which had been ordered to close at 6:00 pm — will now be allowed to stay open until 9:00 pm in most parts of the country."",""Restaurants, which also had a 6:00 pm curfew, have been granted an extension until 10:00 pm while motorbike taxis, previously barred from operating after 7:00 pm, have been given extra two hours."",""Residents in Freetown welcomed the move, which comes as Sierra Leone’s four million Muslims prepare for the June 18 start of the holy month of Ramadan."",""“It will enable us to break our fast at 7:00 pm in the mosque and go to buy food from restaurants and cookery shops after,” said Alieu Sheriff, 25.""]",guardian.ng/news/sierra-leone-announces-new-curfew-to-halt-ebola
258525,"Rivers Govt. declares Dusk-to-Dawn Curfew, says SSG","[""The Rivers government on Monday declared a dusk-to-dawn curfew in the state with effect from March 30. Mr George Feyii, the Secretary to the State Government, said in a statement in Port Harcourt that the curfew would be effective from 7.00 p.m. to 6.00 a.m. and would subsist until further notice."",""‘’Residents are by this announcement advised to observe the declaration of curfew from the hours of 7.00 p.m. to 6.00 a.m. except for workers on essential duties,’’ the statement."",""It said the curfew was aimed at forestalling any breakdown of law and order in the state and ensure protection of lives and property of the people. ‘’ This curfew will subsist until further notice,” the statement added.""]",vanguardngr.com/2015/03/rivers-govt-declares-dusk-to-dawn-curfew-says-ssg
315777,Kaduna imposes curfew in Kajuru,"[""Following intelligence report of imminent attacks on some communities in embattled Kajuru local government, the Kaduna state government has imposed a 24-hour curfew on the area."",""There is fear of a fresh crisis in Kasuwan Magani community, one of the crisis-prone areas in the council."",""The spokesman of the state government, Mr. Samuel Aruwan, quotes the state Deputy Governor Bala Bantex as directing vigorous enforcement of the curfew."",""The Deputy governor, he said, has also urged citizens to comply and support peace efforts in the community."",""Kajuru local government area has been in the news in the last two years for the wrong reasons, especially due to incessant conflicts that have claimed several lives and property worth millions of Naira."",""Two aid workers, including a Briton were killed in Kaduna last week, provoking an outrage."",""The Nigerian Government has vowed to ensure that the killers of a Nigerian and a British national during an attack in Kaduna State are brought to justice."",""The Minister of Information and Culture, Lai Mohammed, gave assurance that the security agencies were doing everything possible to ensure that the three persons who were kidnapped in the attack were released unharmed."",""“We commiserate with the families and friends of Ms Faye Mooney and Mr Matthew Oguche, and wish to assure that the security agencies will leave no stone unturned in their efforts to apprehend the killers and bring them to justice,” the minister said."",""Oguche and Mooney, were killed when some heavily armed men attacked the Kajuru Castle Resort, a popular resort in Kaduna State."",""Buhari orders security operatives to end cultism in Rivers"",""The assailants were said to have invaded the resort, shooting sporadically and kidnapped three other persons in the process."",""Earlier, a Member of Parliament of the United Kingdom, Harriett Baldwin, condoled with Mooney’s family in a tweet."",""Baldwin, who is also the Minister of State at the Foreign Office and Department for International Development, said the UK government was working with the Nigerian authorities."",""The Senate has also condemned the killings and observed a minute’s silence in honour of the victims."",""Deliberating on the matter, the senators decried the rate of banditry and kidnappings in parts of the country."",""They, therefore, resolved to urge the security authorities to intensify the search for the perpetrators and bring them to justice."",""The lawmakers urged the Federal Government to set up an inter-agency task force to tackle cases of banditry and kidnapping in Kaduna, Katsina, Zamfara and Niger States.""]",vanguardngr.com/2019/04/kaduna-imposes-curfew-in-kajuru
25925,Chad declares state of emergency,"[""The text of the decree, which was read out on the broadcast, announces that, as of Friday, there is \""a state of emergency throughout the territory of the Republic of Chad\""."","""",""The measure gives extra powers to regional governors to control the circulation of people and vehicles, bans most meetings, allows the government to control what is published in the press, and institutes a midnight-to-6am curfew."","""",""After the 15-day period, the country's national assembly decides whether to allow an extension of the state of emergency."","""",""The declaration followed the attack at the beginning of February on the capital, Ndjamena, by forces from eastern Chad seeking to overthrow the government."","""",""After a weekend of fighting in which clashes reached the edge of the presidential palace, Chad's army repelled the fighters who moved eastward towards the Sudanese border.""]",aljazeera.com/news/africa/2008/02/2008525135017581540
29809,Sudan declares emergency on border with south,"[""Sudan has declared a state of emergency along its border with South Sudan, in a move that imposes a trade embargo on the South and suspends the constitution, SUNA, the official news agency, said.It said President Omar al-Bashir issued a resolution on Sunday declaring the emergency in border districts of South Kordofan state, White Nile and Sennar states."",""The measure follows a month of border fighting with South Sudan, which seceded last July after a peace deal ended one of Africa's longest civil wars, which killed about two million people between 1983 and 2005."",""An emergency has already been in effect for almost a decade in Darfur, along the western border with South Sudan, while a similar status took effect in Blue Nile state last September when an ethnic insurgency began."",""Trade across the border has unofficially been banned since South Sudan's independence, but the emergency formalises that prohibition."",""Bashir's resolution \""gives the right to the president and anyone with his mandate\"" to establish special courts, in consultation with the chief justice, SUNA said."",""The state news agency also reported that the governor of White Nile state on the border has set a one-week deadline for 12,000 ethnic South Sudanese, who are gathered south of Khartoum, to leave the country."",""\""The wali (governor) of White Nile state, Yusuf al-Shambali, confirmed that he has set May 5 as the deadline for the Southerners waiting in Kosti,\"" a way-station south of Khartoum, it said."",""\""The presence of Southerners in Kosti threatens the security and the environment for Kosti citizens,\"" he said."",""Foreigners arrested"",""Meanwhile, a South African demining company on Sunday said two of its workers were abducted by the Sudanese military while on a UN landmine clearance contract in South Sudan."",""Ashley Williams, CEO of state-owned Mechem, said its employees, a South African and a local South Sudanese, were seized along with a British UN employee and a Norwegian."",""Al Jazeera's Imran Khan reports on Sudan's arrest of four foreigners in the Heglig oilfield area"",""Williams rejected suggestions by the Sudanese army spokesman that the men were working in support of South Sudan in its \""aggression\"" against the north."",""\""It's humanitarian work so the story of them being military advisers and this type of thing is completely and utterly nonsense and not true,\"" he said."",""\""We are doing humanitarian landmine clearance on a UN contract and our members have full UN immunity. The abduction took place well within South Sudan territory,\"" the spokesman told the AFP news agency, saying the group was travelling south between two UN bases."",""\""Then they grabbed them and drove back to Heglig with them where they then said they've arrested them in this disputed area while they weren't there at all.\"""",""A team remained in the area, which the United Nations would bring out with protection over fears of similar action, Williams said."",""Sudanese army spokesman Sawarmi Khaled Saad said on Saturday the four were captured within Sudan's borders in the tense Heglig oil area."",""\""This confirms what we said before, 'that South Sudan in its aggression against Heglig was supported by foreign experts,'\"" he told reporters after the men were flown to the capital Khartoum.""]",aljazeera.com/news/africa/2012/04/2012429133926643861
