,year,month,location,-999,threaten,protest,changepower,purge,changeelection,cooperate,violencelethal,legalchange,censor,violencenonlethal,praise,arrest,disaster,mobilizesecurity,raid,coup,defamationcase,martiallaw
0,2000,1,Colombia,172,0,7,4,5,1,32,13,3,1,10,0,1,4,0,0,0,0,0
1,2000,2,Colombia,171,0,1,2,3,0,43,12,3,1,8,0,1,7,9,0,1,0,3
2,2000,3,Colombia,356,5,6,4,12,3,66,62,6,2,30,1,8,14,11,0,0,0,3
3,2000,4,Colombia,348,1,11,7,16,4,73,42,4,1,37,2,8,9,6,0,0,0,3
4,2000,5,Colombia,457,6,27,9,19,4,88,74,10,4,50,2,3,32,9,0,0,2,7
5,2000,6,Colombia,399,1,9,6,25,2,85,63,14,1,49,5,5,17,7,0,0,0,6
6,2000,7,Colombia,383,3,6,3,21,0,91,51,10,2,39,0,9,10,16,0,0,0,7
7,2000,8,Colombia,445,4,13,10,25,3,90,74,5,2,53,1,7,13,11,0,0,0,5
8,2000,9,Colombia,313,3,5,10,14,4,69,49,8,1,43,0,9,18,6,0,0,0,8
9,2000,10,Colombia,395,4,10,6,15,12,106,38,7,2,27,2,7,8,10,0,0,1,4
10,2000,11,Colombia,462,1,8,10,25,4,116,62,8,1,51,1,9,13,15,0,0,0,6
11,2000,12,Colombia,372,3,12,10,18,0,83,65,5,2,33,0,7,11,5,0,0,0,4
12,2001,1,Colombia,432,6,8,4,29,1,107,65,4,1,44,0,15,18,14,0,0,0,9
13,2001,2,Colombia,383,2,14,8,21,1,107,44,5,2,51,5,12,12,8,1,0,1,5
14,2001,3,Colombia,692,2,9,13,35,2,111,89,12,3,59,4,16,15,12,1,0,3,12
15,2001,4,Colombia,624,5,15,10,26,3,129,97,18,2,47,1,7,18,9,0,0,0,5
16,2001,5,Colombia,690,7,21,12,33,3,108,96,18,4,51,4,10,8,8,0,0,0,6
17,2001,6,Colombia,766,2,16,12,56,4,143,98,19,4,60,5,12,17,14,0,0,0,8
18,2001,7,Colombia,688,3,17,19,35,0,116,83,19,3,57,3,7,18,14,0,0,0,7
19,2001,8,Colombia,757,4,17,14,33,2,122,109,19,2,54,4,10,27,14,0,1,0,8
20,2001,9,Colombia,725,7,10,15,33,3,118,113,15,2,60,4,6,22,9,1,0,0,12
21,2001,10,Colombia,787,2,7,22,36,2,133,99,16,7,53,6,6,27,14,0,0,2,10
22,2001,11,Colombia,729,3,8,19,48,7,135,91,18,3,48,8,12,25,17,0,0,1,15
23,2001,12,Colombia,691,3,7,7,34,2,101,75,19,1,63,4,13,28,5,0,0,0,15
24,2002,1,Colombia,661,3,10,7,40,2,144,102,13,1,83,5,6,26,12,0,0,0,12
25,2002,2,Colombia,665,3,12,3,24,5,100,69,12,4,66,4,13,16,9,0,0,0,14
26,2002,3,Colombia,680,4,10,8,25,4,87,98,12,2,71,7,9,25,17,0,0,1,10
27,2002,4,Colombia,703,8,7,15,30,3,95,78,16,4,72,4,13,17,12,0,0,0,13
28,2002,5,Colombia,724,2,14,14,27,10,98,91,16,3,56,5,14,10,13,0,0,1,9
29,2002,6,Colombia,767,6,15,20,41,3,80,99,23,1,59,5,12,15,6,1,0,1,4
30,2002,7,Colombia,519,7,12,13,20,0,49,88,11,3,58,3,15,22,10,1,1,0,12
31,2002,8,Colombia,457,1,7,12,29,0,51,74,16,1,67,5,4,14,6,0,0,2,6
32,2002,9,Colombia,526,0,16,17,15,1,59,88,12,2,64,6,4,18,7,0,0,1,11
33,2002,10,Colombia,556,1,8,8,27,1,48,92,10,2,51,5,13,14,7,0,0,2,13
34,2002,11,Colombia,499,4,6,17,17,2,60,74,13,3,66,6,6,9,4,0,0,1,5
35,2002,12,Colombia,463,2,8,10,16,2,54,81,13,1,46,6,8,22,8,1,0,0,7
36,2003,1,Colombia,494,2,9,5,26,0,55,98,5,2,65,5,2,25,7,1,0,0,10
37,2003,2,Colombia,406,1,3,9,11,0,43,60,8,1,61,1,6,21,8,0,0,0,3
38,2003,3,Colombia,491,1,6,7,13,0,61,86,13,2,62,4,7,18,8,0,0,1,10
39,2003,4,Colombia,489,2,6,1,25,0,54,70,4,1,58,2,7,18,7,0,0,0,6
40,2003,5,Colombia,444,0,4,6,19,2,32,70,15,1,41,2,6,14,6,0,0,0,7
41,2003,6,Colombia,507,3,6,14,32,1,44,65,13,2,39,4,4,11,18,0,0,0,3
42,2003,7,Colombia,447,1,11,12,30,4,60,45,10,1,57,2,11,15,6,0,0,2,2
43,2003,8,Colombia,392,2,2,16,21,4,52,54,14,1,53,5,8,18,6,0,0,0,6
44,2003,9,Colombia,448,2,7,15,21,4,44,68,19,1,60,8,6,16,7,0,0,0,6
45,2003,10,Colombia,444,2,5,17,19,6,39,74,9,1,37,7,13,14,7,0,0,0,5
46,2003,11,Colombia,383,0,8,10,35,3,52,77,10,2,41,2,8,20,2,1,0,0,7
47,2003,12,Colombia,383,1,7,9,19,5,54,62,6,2,53,6,8,19,9,0,0,0,6
48,2004,1,Colombia,516,2,5,4,25,1,56,73,6,1,60,4,7,26,8,0,0,0,14
49,2004,2,Colombia,497,3,5,7,27,2,58,70,8,1,49,2,10,26,11,0,0,0,8
50,2004,3,Colombia,505,0,10,10,24,2,60,57,7,2,43,4,6,11,7,0,0,0,7
51,2004,4,Colombia,485,4,6,11,24,0,67,58,7,3,35,5,9,21,13,0,0,1,11
52,2004,5,Colombia,470,4,9,7,21,0,69,70,10,1,47,2,7,15,11,0,0,0,8
53,2004,6,Colombia,367,2,5,4,22,1,64,42,8,2,32,3,3,14,8,0,0,0,6
54,2004,7,Colombia,362,1,5,3,19,0,59,36,21,2,35,1,6,13,6,0,0,0,8
55,2004,8,Colombia,611,7,12,18,27,1,65,98,11,2,54,10,7,34,12,0,0,2,10
56,2004,9,Colombia,558,1,12,14,34,4,86,80,15,1,32,4,7,27,9,0,0,0,16
57,2004,10,Colombia,557,3,13,17,22,4,60,72,7,2,43,1,5,24,11,0,0,0,14
58,2004,11,Colombia,808,7,8,38,59,9,177,90,17,4,58,4,8,26,14,0,0,1,20
59,2004,12,Colombia,865,2,10,46,85,24,149,84,28,2,66,2,20,41,18,0,0,2,43
60,2005,1,Colombia,770,6,17,19,59,14,204,80,38,4,40,1,10,43,21,2,0,1,30
61,2005,2,Colombia,832,8,8,44,67,15,234,131,24,6,50,0,22,32,12,0,0,1,20
62,2005,3,Colombia,936,11,15,37,74,9,167,126,29,2,52,2,27,48,12,1,0,3,22
63,2005,4,Colombia,1043,5,30,51,101,11,186,132,38,5,51,3,13,38,17,0,0,2,11
