,year,month,location,-999,threaten,protest,changepower,purge,changeelection,cooperate,violencelethal,legalchange,censor,violencenonlethal,praise,arrest,disaster,mobilizesecurity,raid,coup,defamationcase,martiallaw
0,2000,1,Kenya,8,0,1,0,0,0,0,3,0,0,1,0,0,5,0,0,0,0,0
1,2000,2,Kenya,23,0,0,0,0,0,2,4,0,0,2,0,1,18,0,0,0,0,0
2,2000,3,Kenya,26,0,1,0,2,0,3,1,0,0,1,1,0,9,0,0,0,0,0
3,2000,4,Kenya,13,2,0,0,0,0,1,3,2,0,2,0,0,10,0,0,0,0,0
4,2000,5,Kenya,24,0,0,0,1,0,5,3,0,0,0,0,0,7,0,0,0,0,0
5,2000,6,Kenya,16,0,1,0,0,0,2,3,0,0,2,0,1,3,0,0,0,0,0
6,2000,7,Kenya,19,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
7,2000,8,Kenya,18,0,0,0,0,0,3,10,0,0,0,2,0,11,0,0,0,0,0
8,2000,9,Kenya,5,0,2,1,1,0,3,0,0,0,0,0,0,3,1,0,0,0,0
9,2000,10,Kenya,12,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
10,2000,11,Kenya,15,0,1,0,2,0,0,5,0,0,4,0,0,1,0,0,0,0,0
11,2000,12,Kenya,9,0,0,0,0,0,0,1,3,0,2,0,0,9,0,0,0,0,0
12,2001,1,Kenya,21,1,0,0,0,2,1,1,0,1,0,1,0,2,0,0,0,0,0
13,2001,2,Kenya,15,0,0,0,0,0,3,3,0,2,0,0,1,0,1,0,0,0,0
14,2001,3,Kenya,22,0,0,0,3,0,0,5,0,0,0,0,4,7,0,0,0,0,0
15,2001,4,Kenya,29,1,2,0,1,0,2,4,0,0,4,0,1,10,0,0,1,0,0
16,2001,5,Kenya,19,0,0,1,0,0,5,7,0,0,0,1,3,2,0,0,0,0,0
17,2001,6,Kenya,10,0,0,0,3,0,0,0,3,0,0,2,1,0,0,0,0,0,0
18,2001,7,Kenya,23,0,2,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0
19,2001,8,Kenya,20,0,0,4,0,0,3,0,2,0,0,0,0,4,0,0,0,0,0
20,2001,9,Kenya,9,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
21,2001,10,Kenya,21,0,1,0,0,1,2,7,0,0,0,1,0,0,0,0,0,0,0
22,2001,11,Kenya,4,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0
23,2001,12,Kenya,7,0,0,0,0,0,1,1,0,2,3,0,4,1,0,0,0,0,0
24,2002,1,Kenya,4,0,0,0,1,0,2,1,0,0,0,0,0,10,0,0,0,0,0
25,2002,2,Kenya,5,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0
26,2002,3,Kenya,12,1,0,0,0,1,3,6,2,0,0,0,1,2,0,0,0,0,0
