host,scraper,sections
noticias.caracoltv.com,SitemapScraper,
bluradio.com,SitemapScraper,
noticias.canalrcn.com,SitemapScraper,"/politica/, /nacional/"
lasillarota.com,RecursiveSitemapScraper,"/nacion/, /estados/, /metropoli/"
elespectador.com,RecursiveSitemapScraper,
eltiempo.com,SitemapScraper,
semana.com,SitemapScraper,/nacion/
elcolombiano.com,RecursiveSitemapScraper,/colombia/
elheraldo.co,RecursiveSitemapScraper,
vanguardia.com,RecursiveSitemapScraper,"/area-metropolitana/, /colombia/, /politica/"
elnuevosiglo.com.co,RecursiveSitemapScraper,
eluniversal.com.co,RecursiveSitemapScraper,
elpais.com.co,SitemapScraper,
lafm.com.co,SitemapScraper,"/colombia, /bogota/, /politica/"
razonpublica.com,RecursiveSitemapScraper,
caracol.com.co,RecursiveSitemapScraper,
pulzo.com,RecursiveSitemapScraper,/nacion/
proclamadelcauca.com,SitemapScraper,
laorejaroja.com,RecursiveSitemapScraper,
lanuevaprensa.com.co,RecursiveSitemapScraper,
