host,scraper,sections
extra.ec,RecursiveScraper,/actualidad/
eluniverso.com,RecursiveScraper,/noticias/
elcomercio.com,SitemapScraper,/actualidad/
eltelegrafo.com,RecursiveScraper,/noticia/
lahora.com.ec,RecursiveScraper,/noticia/
eldiario.ec,SitemapScraper,noticias
expreso.ec,RecursiveScraper,"/actualidad/, /guayaquil/"
metroecuador.com.ec,SitemapScraper,/ec/noticias/
diarioque.ec,RecursiveScraper,"/actualidad/, /noticias/"
laprensa.com.ec,RecursiveScraper,
lagaceta.com.ec,RecursiveScraper,
elnorte.ec,RecursiveScraper,/actualidad/
