,city,country,subcountry,geonameid
0,les escaldes,andorra,escaldes-engordany,3040051
1,andorra la vella,andorra,andorra la vella,3041563
2,umm al qaywayn,united arab emirates,umm al qaywayn,290594
3,ras al-khaimah,united arab emirates,raʼs al khaymah,291074
4,khawr fakkān,united arab emirates,ash shāriqah,291696
5,dubai,united arab emirates,dubai,292223
6,dibba al-fujairah,united arab emirates,al fujayrah,292231
7,dibba al-hisn,united arab emirates,al fujayrah,292239
8,sharjah,united arab emirates,ash shāriqah,292672
9,ar ruways,united arab emirates,abu dhabi,292688
10,al fujayrah,united arab emirates,al fujayrah,292878
11,al ain,united arab emirates,abu dhabi,292913
12,ajman,united arab emirates,ajman,292932
13,adh dhayd,united arab emirates,ash shāriqah,292953
14,abu dhabi,united arab emirates,abu dhabi,292968
15,zaranj,afghanistan,nīmrūz,1120985
16,taloqan,afghanistan,takhār,1123004
17,shīnḏanḏ,afghanistan,herat,1125155
18,shibirghān,afghanistan,jowzjān,1125444
19,shahrak,afghanistan,ghowr,1125896
20,sar-e pul,afghanistan,sar-e pol,1127110
21,sang-e chārak,afghanistan,sar-e pol,1127628
22,aībak,afghanistan,samangān,1127768
23,rustāq,afghanistan,takhār,1128265
24,qarqīn,afghanistan,jowzjān,1129516
25,qarāwul,afghanistan,kunduz,1129648
26,pul-e khumrī,afghanistan,wilāyat-e baghlān,1130490
27,paghmān,afghanistan,kabul,1131316
28,nahrīn,afghanistan,wilāyat-e baghlān,1132495
29,maymana,afghanistan,faryab,1133453
30,mehtar lām,afghanistan,laghmān,1133574
31,mazār-e sharīf,afghanistan,balkh,1133616
32,lashkar gāh,afghanistan,helmand,1134720
33,kushk,afghanistan,herat,1135158
34,kunduz,afghanistan,kunduz,1135689
35,khōst,afghanistan,khowst,1136469
36,khulm,afghanistan,balkh,1136575
37,khāsh,afghanistan,nīmrūz,1136863
38,khanabad,afghanistan,kunduz,1137168
39,karukh,afghanistan,herat,1137807
40,kandahār,afghanistan,kandahār,1138336
41,kabul,afghanistan,kabul,1138958
42,jalālābād,afghanistan,nangarhār,1139715
43,jabal os saraj,afghanistan,parvān,1139807
44,herāt,afghanistan,herat,1140026
45,ghormach,afghanistan,badghis,1141089
46,ghazni,afghanistan,ghaznī,1141269
47,gereshk,afghanistan,helmand,1141540
48,gardēz,afghanistan,paktia,1141857
49,fayzabad,afghanistan,badakhshan,1142170
50,farah,afghanistan,farah,1142264
51,kafir qala,afghanistan,herat,1142404
52,charikar,afghanistan,parvān,1145352
53,barakī barak,afghanistan,lowgar,1147066
54,bāmyān,afghanistan,bāmīān,1147242
55,balkh,afghanistan,balkh,1147290
56,baghlān,afghanistan,wilāyat-e baghlān,1147540
57,ārt khwājah,afghanistan,takhār,1148106
