Column1,title,text,url
0,Kenyan conference passes final draft of proposed new constitution,"[""NAIROBI, Kenya (AP) - Kenyans from all walks of life have approved a new constitution that, if enacted, would drastically reduce the power of the East African nation's president and, delegates hope, create a more democratic nation.  "",""The draft must now go to parliament for final passage.  "",""Delegates at a national constitutional conference, which includes lawmakers, women's groups, religious organizations and representatives of Kenya's more than 60 districts, passed the final draft late Monday, Yash Pal Ghai, head of the conference, told The Associated Press on Tuesday.  "",""The drawn-out process of drafting the constitution has been dogged by controversy and caused public disputes in President Mwai Kibaki's government.  "",""A number of senior Cabinet ministers walked out of the conference on Monday, hours before delegates adopted the draft charter.  "",""The ministers were angered that delegates had rejected proposals for a compromise on a disagreements about the powers of the president and the re-creation of the post of prime minister, Vice President Moody Awori said Tuesday.  "",""But Awori said the government was committed to ensuring that Kenya has a new constitution by June 30.  "",""\""It is the wish of the government that the new constitution should be a unifying factor and provide a sound framework for lasting peace, stability and economic and social development for all people of Kenya,\"" he told reporters.  "",""Since independence from Britain in 1963, Kenya has been ruled by autocratic presidents who have amended the current constitution to enhance their powers.  "",""Under the draft constitution, the prime minister -- who would be the leader of the largest party in parliament -- would appoint the Cabinet and chair ministerial meetings. The president, who would be directly elected, would remain head of the armed forces and chair a National Security Council which would be responsible for internal security and defense policy.  "",""Kenya has not had a prime minister since 1964, and the president currently appoints all high-ranking public officials.  "",""Ghai said that the draft constitution would allow Kibaki to retain his enormous powers until the next election, scheduled for 2007. There would also be no prime minister until after that vote.  "",""It is not clear when the draft constitution will be presented before parliament, where two-thirds of Kenya's 222-member National Assembly will have to vote in favor of the charter for it to be adopted.  "",""The 629-member constitutional conference has been deliberating, on and off, since last April.  "",""The draft constitution was initially written by a government-appointed commission and was based on the opinions of Kenyans countrywide.  "",""The commission was appointed by former President Daniel arap Moi in October 2000 after pressure from human rights groups, political activists and opposition legislators.  "",""Moi, who had ruled for 24-years, was constitutionally obliged to step down at December 2002 elections and his Kenya African Union Party, or KANU, was swept from power by an opposition alliance led by Kibaki.  "",""While campaigning ahead of the elections, Kibaki promised widespread reforms and said a new constitution would be adopted within 100 days of his taking office.  "",""But since his National Rainbow Coalition ended the 39-rule of KANU with a landslide victory, the constitutional review process has been marred by disputes and delays.  "",""The country's current constitution was drawn up just before independence in 1963.  "",""(tm/ae)  ""]",ap.com/Kenyan conference passes final draft of proposed new constitution
0,"Again, Obaseki advocates constitutional provision for state, community policing","[""Edo State Governor, Mr. Godwin Obaseki has again called for the review of the security architecture in the country, maintaining that the country’s recurring security challenges call for constitutional review to allow for state and community policing with necessary safeguards to check abuse."",""Obaseki made the submission when he hosted participants of the Senior Executive Course 40 of the National Institute for Policy and Strategic Studies (NIPSS), Kuru, to a dinner at the Government House in Benin City, at the weekend."",""He said Edo State will continue to strengthen her security architecture, stressing that the “security of lives and property cannot and should not remain on the Exclusive Legislative List in the country’s constitution. There should be constitutional provision for state and community policing with necessary safeguards put in place.”"",""The governor who spoke on the theme of the Course 40 study tour of the state: Strengthening Internal Security Framework and Community Policing: Models, Policy Options and Findings, noted that the theme was apt and relevant to tackling the current security challenges faced in the country."",""Obaseki said, “The Institute, which holds special significance to sustaining the country, needs to investigate and proffer realistic and sustainable solutions to the internal security challenges facing the country.”"",""He expressed appreciation to the Institute for granting the state government’s request to allow for one senior civil servant from the state to be trained during the Institute’s annual course."",""Leader of the Senior Executive Course 40 from the Institute, Assistant Inspector General of Police, Mr. Mohammed Katsina, expressed appreciation to the state government for its hospitality and support during the study tour of the state by members of the course."",""According to Katsina, “We came here to seek knowledge and we have gotten more than we sought. I must admit that Governor Godwin Obaseki is truly working. The memories and experiences we had in the state will always be with us.”"",""The dinner was rounded off with the presentation of souvenirs by the governor to his guests.  ""]",vanguardngr.com/2018/05/obaseki-advocates-constitutional-provision-state-community-policing
0,Nigeria lawmakers back changes to succession rules,"[""ABUJA (Reuters) - Nigeria’s parliament approved a constitutional amendment on Thursday on transferring presidential powers, aimed at avoiding a repeat of a crisis when the late President Umaru Yar’Adua fell seriously ill last year."",""Under the amendment, when the president is absent or unable to discharge his duties, he must inform parliament that he is handing over power to the vice president. If the president fails to send a letter within 21 days, parliament can designate the vice president as acting president by a majority vote."",""Yar’Adua never wrote a formal letter to parliament handing over power when he disappeared from public view, leaving Africa’s most populous country without a clear leader for months. The uncertainty ended only when Yar’Adua died last month and his deputy Goodluck Jonathan was sworn in to succeed him."",""The House of Representatives passed the amendment, part of a package of constitutional changes, on Thursday following Senate approval the previous day. It must now be approved by two thirds of Nigeria’s 36 state legislatures before it becomes law."",""Parliament also approved changes to the 1999 Constitution which will allow politicians who are accused of fraud, but not convicted, to run for federal and state office."",""More than a dozen former governors and ministers have been accused of corruption in one of the world’s most tainted countries, but few have been convicted, with cases getting bogged down in legal wrangling."",""Corruption is endemic in Nigeria, from policemen at checkpoints demanding bribes to senior government officials accused of embezzling millions of dollars."",""A federal election is due to take place before the current presidential term ends in May 2011."",""Parliament also voted to make it more difficult to run for office by requiring candidates to be college educated. Currently, a politician needs only a high school-level certificate.""]",reuters.com/article/2010/06/03/us-nigeria-succession-idUSTRE65244X20100603
0,Ireland to hold referendum on legalising abortion,"[""Ireland will hold a referendum on May 25 on whether to alter its constitution to legalise abortion, Housing Minister Eoghan Murphy announced on Wednesday.\nThe move follows the Irish Senate voting in favour of holding the poll by a wide margin Tuesday night.\n“I have signed the polling day order and I can confirm that a referendum on repealing the Eighth Amendment of the constitution and allowing the Oireachtas (Irish parliament) to legislate in this area will be held on Friday 25th of May 2018,” Murphy said.\n\n\n\r\n(adsbygoogle = window.adsbygoogle || []).push({});\r\n\nIrish Prime Minister Leo Varadkar last year won leadership of the governing centre-right Fine Gael party after campaigning on same-sex marriage and liberalising abortion laws in the overwhelmingly Catholic country.\nThe election of Varadkar, Ireland’s first openly gay leader, was seen as a watershed moment on the socially conservative island.\nThe Eighth Amendment of the Irish constitution recognises the equal right to life of the unborn and the mother.\nAbortion is illegal unless there is a real and substantial risk to the life of the mother, and a woman convicted of having an illegal termination faces 14 years imprisonment.\nHowever, women are free to travel abroad for abortions and thousands do so every year, mainly to England.\nThe Irish parliament has previously rejected proposed legislation to hold a referendum, as well as to relax the laws to allow abortion in cases of fatal foetal abnormality.\nAFP"",""Ireland will hold a referendum on May 25 on whether to alter its constitution to legalise abortion, Housing Minister Eoghan Murphy announced on Wednesday."",""The move follows the Irish Senate voting in favour of holding the poll by a wide margin Tuesday night."",""“I have signed the polling day order and I can confirm that a referendum on repealing the Eighth Amendment of the constitution and allowing the Oireachtas (Irish parliament) to legislate in this area will be held on Friday 25th of May 2018,” Murphy said."",""Irish Prime Minister Leo Varadkar last year won leadership of the governing centre-right Fine Gael party after campaigning on same-sex marriage and liberalising abortion laws in the overwhelmingly Catholic country."",""The election of Varadkar, Ireland’s first openly gay leader, was seen as a watershed moment on the socially conservative island."",""The Eighth Amendment of the Irish constitution recognises the equal right to life of the unborn and the mother."",""Abortion is illegal unless there is a real and substantial risk to the life of the mother, and a woman convicted of having an illegal termination faces 14 years imprisonment."",""However, women are free to travel abroad for abortions and thousands do so every year, mainly to England."",""The Irish parliament has previously rejected proposed legislation to hold a referendum, as well as to relax the laws to allow abortion in cases of fatal foetal abnormality."",""AFP""]",punchng.com/ireland-to-hold-referendum-on-legalising-abortion
0,Thai king signs junta’s new constitution,"[""Thailand’s king signed a new military-backed constitution on Thursday that strengthens the army’s hand in government and puts the country on the path to polls after three years of junta rule."",""The military says the charter — Thailand’s twentieth since 1932 — will curb unrest in the politically-split kingdom and keep out corrupt lawmakers."",""But opponents say the new document means any polls, whose date keeps slipping, will only offer Thais a form of neutered democracy with a fully appointed senate and tough controls on elected politicians."",""King Maha Vajiralongkorn, who ascended the throne following the October death of his widely revered father Bhumibol Adulyadej, signed the document in a televised ceremony in Bangkok on Thursday afternoon."",""In a pomp filled ceremony, the king then bestowed the signed charter to Thailand’s junta chief inside a ornate throne hall filled with white-clad political grandees and foreign dignitaries."",""Vajiralongkorn surprised many earlier this year by ordering rewrites to parts of the charter that deal with his powers."",""But in a sign of the opacity surrounding all things royal in Thailand, authorities have yet to release the wording of those new sections."",""Thailand has stumbled through more than a decade of political instability that has hampered growth in what was once one of the region’s fastest growing economies."",""In a period dubbed “the lost decade” Thais witnessed repeated rounds of deadly protests, a string of short-lived governments and two military coups."",""– Back to the future? –"",""The charter received popular approval in a referendum last August, although the junta banned political campaigning against it and the public was not aware of the new king’s desire to tweak it."",""Analysts say the latest constitution harks back to the Cold War-era when Thailand’s elected lawmakers were often kept in check by unelected bodies and committees in what many called “guided democracy”."",""Thitinan Pongsudhirak, a politics expert at Chulalongkorn University, said the document is a far cry from Thailand’s most liberal charter, the 1997 so-called “People’s Constitution”."",""“The new charter reverses progress on people’s representation that culminated with the 1997 constitution,” he told AFP."",""“Now appointments are back en masse at the expense of elected representatives.”"",""The kingdom’s political rift broadly pits rural and poor supporters of ousted premiers Thaksin and Yingluck Shinawatra versus a military-backed Bangkok middle class and business elite."",""Shinawatra-linked parties have won every election since 2001. Their opponents accuse them of corruption and damaging populist policies."",""In addition to an appointed upper house, the new constitution bolsters the powers of the country’s interventionist constitutional court and makes it easier to impeach a civilian leader."",""With royal approval secured, the junta’s drafting committee will now draw up a raft of organic laws that critics fear could further hem-in political parties, who have been barred from organising since the coup."",""The military says the charter will help purge Thailand of corrupt civilian politicians and raise the possibility of elections being held by mid-2018 once it is signed."",""They have also said they will draw up a “20-year plan” for the country that any future government will be bound to follow."",""This week ousted PM Yingluck Shinawtra, who is entangled in a negligence trial since the coup that could see her jailed, said she hoped the charter would speed the kingdom’s return to democracy.""]",guardian.ng/news/thai-king-signs-juntas-new-constitution
0,Kenyan constitutional commission gives government draft charter,"[""NAIROBI, Kenya (AP) - Kenya's constitutional commission gave the government a draft constitution on Tuesday, despite a court order barring the commission from handing over the proposed charter, officials said.  "",""The Constitution of Kenya Review Commission gave Attorney General Amos Wako the draft passed last week by the constitutional convention because it was \""never served\"" with the court order, said Yash Pal Ghai, the commission's chairman.  "",""The government will now present the draft to the 222-member National Assembly, which can approve it with a two-thirds majority vote. However, parliament's annual session does not begin for another week, and a vote on the constitution is not expected to take place for at least week after the legislative session gets underway.  "",""On Monday High Court Judge Philip Ransley ordered the commission to hold on to the document, the culmination of three years work, so he could hear a lawsuit by three delegates from the convention that wrote the charter.  "",""The delegates argued the draft was flawed because it was not fully debated before being adopted on March 15 by the 629-member convention, which included lawmakers, women's groups, religious organizations and representatives of Kenya's more than 60 districts.  "",""The 27-member constitutional commission oversaw the convention.  "",""The lawsuit has been seen by many in Kenya as an extension of infighting among members of Kenya's governing coalition, who have disagreed on whether Kenya needs the powerful prime minister's role that would be created by the proposed constitution.  "",""Accepting the draft, Wako said: \""I therefore take this opportunity to appeal to all Kenyans ... to desist from any political or administrative action that will adversely affect the operation or success of\"" the constitutional review process.  "",""If approved by parliament, the draft will replace Kenya's current constitution, which was enacted at independence in 1963.  ""]",ap.com/Kenyan constitutional commission gives government draft charter
0,Parliamentary committee blamed for passing bills without enough scrutiny,"[""It has been noted that some drafts sent to the Parliamentary Committee on Constitution and Legal Affairs are passed without being revised because most members of the committee are not lawyers"",""The chairman of the committee, Mohamed Mchengelwa, made the comment on October 23, 2018 when speaking in a symposium held by civil society organisations."",""The symposium on drafts that are tabled in Parliament was organised by the Tanganyika Law Society (TLS)."",""Mchengelwa said since most members of the committee were not lawyers, they failed to analyse drafts prepared by the committee’s secretaries and their assistants with a legal eye."",""He said once such bills were tabled in Parliament things took a different turn because many MPs with legal profession were capable of analyzing them."",""“In our committee there are members that are not lawyers. Some MPs pass bills written by secretaries and paralegals. Such a situation has a drastic effect even though there occurs a fierce debate in Parliament calling for their amendment,” said Mchengelwa."",""For his part, Parliament’s assistant secretary Dunfold Mpelumbe said the doors were open for stakeholders to give their views on drafts before being tabled in the House instead of sitting on the fence."",""Mr Mpelumbe explained that parliamentary regulations gave a bigger chance and freedom to everybody to give their views so long as they observed regulations.""]",thecitizen.co.tz/news/Parliamentary-committee-blamed-for-passing-bills-/1840340-4820274-sakems
0,Big win for Ekuru Aukot’s referendum push as IEBC verifies 1M signatures threshold,"[""The Independent Electoral and Boundaries Commission (IEBC) has verified that Ekuru Aukots Punguza Mzigo Initiative pushing for a constitutional amendment indeed met the required threshold of at least one million signatures."",""The commission, in a statement to newsrooms on Thursday, stated that the initiative  sponsored by Aukots Thirdway Alliance Kenya Party  was supported by a total of 1,222,541 registered voters."",""IEBC further stated that the Aukot-led party delivered to the commission a draft Constitutional Amendment Bill and details of supporters of the draft Bill both in soft and hard copy on February 28, 2019."",""The draft Bill will now be submitted to each of the 47 County Assemblies for consideration within 3 months from the date of submission by the commission."",""Therafter, the Speakers of the respective County Assemblies will submit the decisions of their respective County Assemblies to the Speakers of the National Asembly and the Senate pursuant to Article 257(6) of the Constitution of Kenya, 2010, read the statement signed by IEBC Chairman Wafula Chebukati."",""The Punguza Mzigo initiative seeks for a constitutional review to reduce the burden of cost of governance to the taxpayers."",""The signature verification exercise began on May 29, 2019 with IEBC deploying 120 clerks and 12 teams consisting of two supervisors each.""]",citizentv.co.ke/news/big-win-for-ekuru-aukots-referendum-push-as-iebc-verifies-1m-signatures-threshold-264688
0,Burundi government backs constitution change,"[""The government of crisis-torn Burundi has approved changes to the constitution that could pave the way to a potential 14-year extension in President Pierre Nkurunziza's stay in office, senior officials said Thursday."",""Ministers, meeting on Tuesday in an extraordinary session, gave their agreement in principle to the proposed reforms, they said."",""The head of Burundi's opposition forum reacted with fury, declaring President Nkurunziza had crossed a \""red line\"" and should be chased from office."",""The present constitution derives from the country's 2000 peace agreement, which was signed in the northern Tanzanian town of Arusha to end a 12-year civil war that claimed more than 300,000 lives."",""The planned changes do not touch ethnic and gender quotas required for the government, parliament or police, \""but they no longer make a reference to the Arusha peace agreement,\"" said one of the officials, who like the other sources spoke on condition of anonymity."",""The Arusha accord stipulates clearly that no president can govern the country for more than 10 years."",""But Burundi is mired in a deep political crisis, triggered when opposition groups, determined to defend the Arusha requirement, protested against elections in April 2015 that enabled Mr Nkurunziza to stay on for a third five-year term."",""The victory of the 53-year-old leader plunged the country into turmoil, with hundreds killed in ensuing unrest. Nearly 400,000 have fled the country."",""The UN, the European Union and the African Union have previously asked the government not to step away from the Arusha agreement to avoid further inflaming the crisis."",""The draft constitution changes say \""the president of the republic is elected for a seven-year term which is renewable\"" but adds, \""no president can govern for more than two consecutive terms.\"""",""In theory, this could mean that Mr Nkurunziza could be elected in 2020 and be re-elected seven years later, together making a 14-year additional run."",""In December last year, the president indicated he could run again in 2020 \""if the people request it\""."",""READ: Nkurunziza focuses on 2020 elections, starts raising funds"",""'Declaration of war'"",""Charles Nditije, president of an umbrella group called CNARED that includes most of the country's opposition, said Mr Nkurunziza had taken an irreversible step."",""\""Pierre Nkurunziza has just definitively buried the Arusha peace accord,\"" he told AFP."",""\""This is the red line that should not have been crossed... We consider this to be a declaration of war against the Burundian people, who now have no other choice than to chase out this dictator.\"""",""A diplomatic observer, when questioned by AFP, said Mr Nkurunziza was \""rushing ahead\"", exploiting divisions within the international community to strengthen his grip."",""The draft text also sets down a significant change to government structure, creating the post of a vice president tasked with \""assisting\"" the head of state."",""The vice president will come from an ethnic group and party that differ from those of the president, but will not wield significant powers. At present, there are two vice presidents, who come from different ethnicities, who also do not have real power."",""Under the new constitution, a post of prime minister will be created, drawn from the party which wins the election, and this individual will also be head of government. At present, the head of state is also head of government."",""The constitutional draft would also scrap a current ban on any party holding more than 80 per cent of the seats in the National Assembly, regardless of their electoral score."",""Another source said that the ministers also agreed that the draft constitutional text — the fruit of a year-long consultation exercise that drew in proposals from 26,000 people — would be submitted to a referendum \""very quickly, probably in February next year.\"""",""ALSO READ: The only solution to Burundi: No fourth term for Nkurunziza"","""",""The council will be comprised of six civilians and five members of the military."",""The coming elections of 2020 could test Abiy Ahmed’s political staying power.""]",theeastafrican.co.ke/news/ea/Burundi-government-backs-constitution-change/4552908-4157702-m8ev2f
0,Jubilant Kenyans usher in new constitution,"[""NAIROBI (Reuters) - Cheered by hundreds of thousands of jubilant Kenyans waving national flags, President Mwai Kibaki signed a new constitution on Friday that curbs his sweeping powers and strengthens civic rights."",""A child is carried shoulder high during the promulgation of Kenya's new constitution at the Uhuru Park grounds in Nairobi August 27, 2010. REUTERS/Wagema Munyori"",""In a ceremony full of military pomp and traditional dance, Kenyans packed Nairobi’s Uhuru Park — or Freedom Park — to see their leaders take fresh oaths under the first overhaul of the charter since 1963."",""“I am here to witness the rebirth of our nation. It has been 40 years since our first constitution was made, this is a new dawn because we will realize development and the rights of Kenyans will be respected. It’s a happy day for Kenyans,” said Charles Oduor in the heaving crowd."",""East Africa’s largest economy endorsed the document in a peaceful referendum this month, as one of the reforms agreed upon to end months of murderous violence that erupted following a disputed presidential election at the end of 2007."",""“No one could have thought that out of the bitter harvest of the disputed election and the violence that pitted our people against each other just two years ago, we would be witnessing today the birth of a national unity that has eluded us for more than 40 years,” Prime Minister Raila Odinga said to constant cheering."",""Some 1,300 Kenyans were killed in that violence and more than 300,000 others fled their homes, fearing for their lives. The International Criminal Court (ICC) is due to issue arrest warrants for the Kenyan leaders responsible."",""Sudan’s President Omar Hassan al Bashir defied his own ICC arrest warrant for charges of genocide in Darfur to attend the Kenyan festivities, angering human rights groups who demand his arrest. Bashir denies the charges."",""Before penning his name to the new constitution, Kibaki greeted Bashir and other regional heads of state who later all released white doves."",""Nearly 70 percent of Kenyans that voted in the August 4 referendum endorsed the new supreme law, hoping for a fresh start from Kenya’s chequered history."",""The new legal framework address issues such as corruption, political patronage, land grabbing and tribalism, which have plagued the country for decades."",""Kenyans started demanding a new constitution about two decades ago, saying the basic law penned at the time of independence from Britain promoted oppression and exclusion."",""The government will now set up an implementation commission, which will oversee the enactment of the new constitution in parliament."",""The new document paves the ways for new counties, which will enjoy some autonomy and a share of the national budget, aimed at encouraging development in rural Kenya, where a majority of people live a subsistence lifestyle."",""The normally dusty streets of the capital were swept for the occasion, and some closed to traffic to allow a parade of battle tanks and military hardware."",""“Today is historic,” said Dickson Orandi, holding his 18-month son Shadrack with whom he had been standing for hours. “When he grows up he can say that he was in Nairobi on that great day.”""]",reuters.com/article/us-kenya-constitution-idUSTRE67Q28X20100827
