Column1,title,text,url
25818,CAR government resigns amid strike,"[""The poor former French colony has experienced several coups and attempted coups in the past decade.Western diplomats in Bangui said the strike, coupled with the government's resignation, could trigger a deeper political crisis."",""Work stoppage"",""The Central African Republic's main trade unions launched a general strike on January 2 to demand that the government pay seven months of arrears in salaries to civil servants and teachers."",""The stoppage has provoked demonstrations in the streets of the capital, Bangui, by students angry about not being able to attend classes."",""The government says it does not have the funds to pay the salary arrears, and a meeting between Bozize and union leaders on Thursday failed to reach a settlement."",""Bozize seized power in 2003 but then won elections two years later with support from the unions now staging the stoppage."",""The Central African Republic is already facing a humanitarian emergency in its northwest and northeast, where raids by several armed groups and counter-attacks by government soldiers have driven nearly 300,000 people from their homes since 2006."",""EU peacekeepers are due to arrive in the country in February."",""T"",""he peacekeepers, to be deployed into the country's northeast, are part of a larger EU force that has a UN mandate to protect civilians in eastern Chad from violence spilling over from Sudan's Darfur region.""]",aljazeera.com/news/africa/2008/01/2008525132614101486
27580,Ivorian political tensions mount,"[""Madi said the president's dismissal of the government and election board on Friday was \""antidemocratic and anti-constitutional,\"" and tantamount to \""a coup d'etat.\""Voter dispute"",""Tensions rose after Gbagbo sacked the head of the independent election commission amid accusations he was behind an attempt to add nearly 500,000 illegitimate voters onto the rolls."",""Opposition supporters accused the ruling party of trying to disqualify voters who are not allied with Gbagbo."",""Gbagbo asked Prime Minister Guillaume Soro to stay on to form a new government. Soro was the senior rebel leader before a 2007 peace deal ended the country's brief civil war and established the now-defunct government."",""A spokeswoman for the opposition RDR party said Gbagbo's dissolution of the government was a step toward dictatorship."",""\""We cannot let this dictatorship establish itself,\"" Anne Ouloto said."",""The independent PIT party, allied with neither the opposition nor the president, also condemned the move."",""\""It runs in the face of all the peace accords we've signed since 2004,\"" party secretary general Francois Kouablan said."",""\""That today the president thinks he has the powers to do this gives the impression that we've gone back 20 years.\"""",""At the heart of the impasse delaying a presidential vote is the question of who is really Ivorian."",""Political disarray"",""While officially the vote is expected to take place before early March, the current political disarray casts doubt on this schedule."",""The UN Security Council called recently for the election to be held before June."",""Security forces were on alert in the divided West African  country, but the situation appeared calm, including in the seaside  commercial capital of Abidjan."",""Ivorian newspapers described the announcements as a blow for the opposition, which held a number of posts in the former government and dominated the election commission."",""\""The head of state has administered an uppercut to the opposition,\"" wrote the independent Soir-Info."",""It forecast a new government \""composed entirely of the presidential majority and FN,\"" the ex-rebels of Soro."",""For the country's two main opposition newspapers, Le Nouveau  Reveil and Le Patriote, Gbabgo's announcements amount to \""tearing  up\"" the 2007 peace agreement clinched with Soro and aimed to unify  the country."",""Before its brief civil war, Ivory Coast was one of Africa's economic stars boasting a modern, cosmopolitan capital which lured tens of thousands of immigrants from poorer neighboring nations.""]",aljazeera.com/news/africa/2010/02/201021412851956288
319300,Burundi takes 18 suspects in failed coup to court,"[""Burundi took 18 people suspected of involvement in a failed coup against President Pierre Nkurunziza to the high court on Saturday, relatives of some of the accused said."",""Earlier, about a hundred demonstrators took to the streets of Bujumbura to protest against Nkurunziza's decision to seek a third term, defying the president's call the previous day for an end to the weeks-long protests."",""The country was plunged into deep crisis after Nkurunziza announced he was running for another five-year term, with clashes between police and protesters stirring memories of an ethnically driven civil war that ended a decade ago."",""\""A lot of us citizens do not want the constitution to be violated as he is not allowed to lead for the third term.... We will demonstrate until he steps down,\"" said Nduwimana Belamie, one of the protesters."",""Opponents say Nkurunziza's decision violates the constitution and the Arusha deal to end the war that pitted rebel groups of the majority Hutu population, including one led by Nkurunziza, against the army which was then commanded by minority Tutsis."",""The army is now mixed and has absorbed rival factions, but the coup attempt exposed divisions."",""The fate of General Godefroid Niyombare, who had announced the president's ouster on Wednesday, was still not clear on Saturday. Loyalist troops calmed the streets of the capital on Friday following clashes between the two factions."",""Speaking on condition of anonymity due to fears of reprisals, family members of two of the 18 men taken to court told Reuters the suspects had raw wounds on their bodies and one of them had lost hearing in one of his ears due to a beating in the cells."",""One of the men, identified by onlookers as Juvenal Niyungeko, a senior officer, was escorted into the court without shoes and restrained by handcuffs. It was not immediately clear what charges they were facing."",""Christella Harerimana, a lawyer representing three of the suspects, said one of her clients had been walking barefoot since he was arrested, and that he had been held in a house rather than a police cell, contrary to legal requirements."",""\""They have violated their human rights,\"" Harerimana said, adding it was not clear what would happen next to the men."",""The president's spokesman declined to comment on the claims of abuse when contacted by Reuters."",""Residents of Bujumbura said they were planning to come out in large numbers on Monday to protest against Nkurunziza's decision to seek a third term."",""More than 105,000 people have already fled to neighbouring countries, including to Rwanda, with the same ethnic mix as Burundi and which was torn apart by a genocide in 1994 that killed 800,000 mostly Tutsis and moderate Hutus."",""-Reuters-"","""",""The council will be comprised of six civilians and five members of the military."",""The coming elections of 2020 could test Abiy Ahmed’s political staying power.""]",theeastafrican.co.ke/news/ea/Burundi-takes-18-suspects-in-failed-coup-to-court/4552908-2719284-y44ogpz
227281,Trial suspended of Equatorial Guinea ‘coup’ accused,"[""The trial has been suspended of more than 150 people accused of involvement in an alleged December 2017 coup which the Malabo authorities say they foiled, a defence lawyer said Tuesday."",""“We don’t know why the trial was suspended” on Monday, 10 days after opening, Ponciano Mbomio Nvo, one of 16 lawyers representing the accused, told AFP."",""“They don’t tell us anything.”"",""Those in the dock since March 22 are accused of “treason” and trying to overthrow the head of state, President Teodoro Obiang Nguema, both charges which could bring the death penalty."",""Further charges are “terrorism” and possession of arms and ammunition, which alone could bring 20-year jail terms."",""In January last year, the government said it had foiled an attempted coup, which it said was organised by foreign mercenaries who had a month earlier tried to overthrow Obiang."",""At the time he was in his palace at Koete Mongomo some 50 kilometres (30 miles) from the borders with Gabon, Guinea and Cameroon."",""On December 27, 2017, three days after the alleged operation, Cameroon police detained a group of armed men on the Cameroon border."",""There followed dozens of arrests in Equatorial Guinea and warrants were issued against a number of foreigners believed to have been involved. "",""Only 79 of the 150 accused are in the dock including 24 foreigners, mainly from Chad and the Central African Republic."",""Most of those from Equatorial Guinea were heard during the first week of the trial, which drew a large crowd."",""Some testified that they had been tortured during their interrogations."",""The defendants’ lawyers have demanded their clients’ immediate release for lack of evidence. They also cited procedural “irregularities” in the case."",""Equatorial Guinea is one of Africa’s top oil producers but the bulk of the population of some 1.2 million lives in poverty. The country has lived through several coups since independence from Spain in 1968."",""Nguema, 76, is now Africa’s longest-serving leader having himself seized power in a 1979 putsch. "",""Critics accuse him of brutal repression, election fraud and corruption.""]",guardian.ng/news/trial-suspended-of-equatorial-guinea-coup-accused
110929,Comoros voids law extending leader’s term,"[""THE highest court in Comoros has annulled a law which extended the mandate of the Indian Ocean islands’ leader after weeks of heightened political tensions on the coup-prone archipelago."",""The Constitutional Court said President Mohamed Abdallah Sambi’s term in office would end later this month, and not November 2011, and recommended an interim period to agree on when the next ballot should be held."",""The three islands of Grande Comore, Anjouan and Moheli that form the Union of Comoros have a system of rotating presidency and Sambi, who is from Anjouan, was to hand over power to a leader from Moheli when his term ended in May."",""But elections have been fixed for November 2011, and residents and political leaders in Moheli have protested the move, terming it a coup which is delaying their turn at the presidency."",""“On the May 26 the mandate of the Union’s president and his two vice presidents will end,” the court said in a statement on Saturday. “During this (interim) period the government does not have the right to dissolve parliament … nor to change the members of the Constitutional Court.”"",""Earlier this year, a newly elected parliament ratified a law aligning local and federal elections, effectively extending Sambi’s term by 18 months."",""Sambi’s supporters argued the new legislation would cut bureaucracy and save costs in one of the world’s poorest countries. But his critics accused him of trying to cling on to power."",""Many on the opposition-stronghold island of Moheli, which had been due to take over the rotating presidency on May 27, felt the law was a deliberate attempt to rob them of the presidency."",""The Indian Ocean archipelago, sandwiched between Mozambique and Madagascar, has a history of political turmoil and coups since it won independence from France in 1975."",""Growing anger on Moheli saw the government deploy extra security forces there to quell bouts of civil unrest and a ban on public rallies."",""The emir of gas-rich Qatar on a brief visit to the Comoros recently said that his country would pay the salaries of the island nation’s civil servants who have not been paid for months."",""The official QNA news agency quoted a member of Sheikh Hamad bin Khalifa al-Thani’s delegation as saying he would cover all of the civil servants’ salaries for the nine months to the end of April, without specifying amounts."",""Sheikh Khalifa, whose Gulf state has estimated natural gas reserves of more than 900 trillion cubic feet (25 trillion cubic metres) – third largest in the world after Russia and Iran – visited the Comoros for several hours."",""It was the first official visit by an Arab head of state to the poor Indian Ocean archipelago, a politically tense Muslim state which has been rocked by more than 20 coups since independence from France in 1975."",""On April 13 Libyan troops took up duty as part of Sambi’s guard, in a move that prompted concern by opposition groups who say they are mercenaries for the president."",""Sambi said Tripoli had undertaken to pay the salaries of the Comoran military for a year, beginning this month.""]",guardian.ng/news/world/africa/comoros-voids-law-extending-leaders-term
179598,Current stand-off splits Egypt right in middle,"[""Already dozens of people have died at the hands of their army  the Egyptian army, which has staged a coup, overthrowing a democratically elected government. That a country at the northern gate of Africa, with a unique ancient history of early civilization should perilously drift towards turmoil and bloodshed is both very sad and unfortunate."",""This is an Egypt that we all marvelled at two years ago where change of government had been affected by mere peaceful demonstrations. So how have Egyptian people landed at this spot? What has gone wrong - has it something to do with their constitution? Or has it been failure on the part of those elected to govern, failure to correctly address the social-economic injustice in the country that has driven them to the current spot?"",""These are the questions for the Egyptian people to address on their own. All their neighbours and well wishers all over the world wish for them is to be saved from a civil war, which would worsen their plight even more, in the same way we are witnessing the terrible destruction of Syria."",""For, in the last fortnight, we have seen Egypt split right in the middle. For us, glued to our television sets, we have been shown demonstrations at two levels, presumably demos to mark the second anniversary of the coming to power of President Mohamed Mursi, now overthrown."",""There are Egyptian people supportive of President Mursi and the others who are against him who have been demonstrating. Both demos are gigantic in their own ways. For us non-Egyptians watching these things on television have found nothing terribly wrong with this development."",""Reason: such things are quite normal in a democratic order! But suddenly came, in the course of this divide in terms of support and nonsupport of Mursi, a terse statement from the Egyptian armed forces, literally handing the incumbent President, theoretically its Commander-in-Chief, with an ultimatum."",""It was not revealed what was contained in that ultimatum which was a 48- hour one. When that period lapsed, the army moved. It overthrew the President and, of course, his government. A coup dtat? A putsch? Yes! There is no other name when it involves an army taking over the reins of state power!"",""If I am dwelling a little at this point is because there is reportedly a foreign power, which would automatically react by cutting off aid to a government coming to power via a coup. But as it is known, it is always the interests of that given power that matters and not who is in power!"",""So nothing has happened to the new regime in Egypt, which has come to power via a putsch. But a lot is happening in that country, and very ugly indeed. As I am penning this perspective, the army has killed 51 people. And those killed belong to the pro-Mursi group."",""We have seen them on our TV sets where they have fallen, dead. While their brethren have continued their protests at Nasr city. Those against Mursi, camped at Tahrir Square have not been attacked by the army, which translates to selective engagement, which, does not augur well for the countrys national cohesion."",""We will come back to this point later in the course of this perspective. For those who have been following developments in Egypt following the triumph of the Spring Revolution in the footsteps of the Tunisian one earlier will recall that this is not the first time the Egyptian army had usurped power in Egypt after Mursi, and his party, the Muslim Brotherhood were elected into office."",""As we have seen before, the Supreme Committee of the Armed Forces (SCAF) had relegated to itself the major reins of state power decreeing that an elected president would not assume the position of Commanderin- Chief once voted into office. At that moment when the Egyptian people made their choice of President, the army dissolved a parliament elected earlier!"",""This is the background relating to the conduct of the Egyptian army after the Spring Revolution. As it looks like, Egyptian people have a headache that may persist for a very long time. They will need to find a way to locate the place of their army in a democracy!"",""If Tanzanian history is anything to go by, one may recall what the founding father of this nation, Mwalimu Julius Nyerere did during the early days of independence from Britain when the army, known then as Tanganyika Rifles (TR) committed a mutiny. To achieve a lasting solution, Nyerere disbanded the whole army bequeathed from colonialists and build a new one, which is what is today the Tanzania Peoples Defence Forces (TPDF)."",""Contextually, the Tanzanian paradigm is poles apart from the Egyptian one. It was a young army officer then called Colonel Gamal Abdel Nasser who overthrew the Egyptian monarchy to usher in a revolution led by what was known as the free officers of the Egyptian armed forces."",""This created a tradition of Egyptian army officers- cum-political leaders, counting in its stride men such as presidents Anwar Sadat and Hosni Mubarak, the latter to be brought down by the popular revolution from Tahrir Square in 2011. Thus spoken, it is for the Egyptian people therefore, to chart out what is best for their country and where should everyone belong."",""Perhaps the best route for them would be the constitution. Again that will require leadership that will consistently hammer and imbue into the Egyptian people across the board to appreciate the need for their army to stay in the barracks to defend the country against external aggression and not in political leadership."",""There is another factor that may have contributed to the current situation facing that country in the northern gate of Africa. That is when it has allowed religious political parties to vie for political power. Need arises, therefore, for Egypt to espouse a Secular State by its constitution. Egypt is a multicultural country."",""It has a population affiliated in other religious faiths other than Muslim. As evidenced in the course of history, no religion anywhere can claim to be monolithic. Within Islam itself, there are divisions as there are divisions within Christianity. So Tanzania, like Egypt, can hardly afford political parties rooted in a given religion or tribe because such stance is inherently divisive and anarchic."",""Given its ancient history of civilization one hopes Egypt will overcome its current predicament. This is a noble country in the northern gate of Africa. We should wish it well."","" Columnists Website: www.makwaia.com""]",dailynews.co.tz/news/current-stand-off-splits-egypt-right-in-middle.aspx
372543,Alleged Russian agents convicted for masterminding coup plot in Europe,"[""Two alleged Russian intelligence agents have been convicted on terrorism charges for their role in an attempted 2016 coup in the small European nation of Montenegro. Both were tried in absentia, and their whereabouts are unknown."",""They and eleven other people from Montenegro and nearby Serbia were sentenced on Thursday at the high court in the capital Podgorica,Reuters reports."",""Judge Suzana Mugosa ruled that the group tried to take over the countrys parliament on the eve of elections in October 2016, and to kidnap then- Prime Minister Milo Djukanovic with the aim of derailing the countrys NATO membership bid."",""Eduard Shishmakov and Vladimir Popov received 15- and 12-year jail terms respectively. Interpol has issued a red notice for them."",""Shishmakov was also tried for inciting acts against the constitution and safety of Montenegro."",""The prosecution marked the pair out as the coups masterminds, claiming that they were Russian intelligence agents, which the Kremlin denies."",""Moscowhas repeatedly calledthe allegations about their role in the coup absurd."",""Moscow must desist"",""After the verdict was read out in court, which lasted for six hours, the Montenegrin government said that the judiciary has shown its adherence to its constitutional position of autonomy and resilience against every kind of pressure and external influence, via Twitter."",""Montenegro has once again shown that its statehood and independence rest on solid foundations of the rule of law, which no one can or will be able to shake, the Government added."",""UK Foreign Secretary Jeremy Hunt called the 2016 coup attempt the most outrageous examples of Russias attempts to undermine European democracy, in a statement on Thursday."",""Russia is a great country and central to European civilization. Moscow must desist from any attacks that undermine the territorial integrity and democratic processes of its neighbors or other sovereign states, he added."",""The UK calls on Russia to choose a different path  to uphold the security of Europe, respect the rules based international system that keeps our societies safe, and to work together with us to fulfill our common responsibilities as permanent members of the UN Security Council.""]",citizentv.co.ke/news/alleged-russian-agents-convicted-for-masterminding-coup-plot-in-europe-244884
343701,African Union supends Mali after mutinous soldiers declare coup; will send mission to assess,"[""ADDIS ABABA, Ethiopia (AP) - African Union officials say they have suspended Mali and will send a mission there to assess the situation after mutinous soldiers declared a coup in the West Africa nation."",""AU Chairman Jean Ping told a delegation that met in Ethiopia's capital on Friday for an emergency peace and security meeting that a mission would deploy to Bamako on Friday."",""Ping didn't immediately give any details about the mission. He said Mali is going through a \""very serious crisis\"" and that the coup is a big setback for the country and for all democratic efforts across Africa."",""Ping's spokesman Noureddine Mezni said that according to AU rules, Mali would be temporarily suspended as a member of the continentwide body."",""Soldiers in the capital declared the coup on Thursday.""]",ap.com/African Union supends Mali after mutinous soldiers declare coup; will send mission to assess
328377,Ivory Coast Warlord Dies During Battle With Troops,"[""ABIDJAN, Ivory Coast (AP) — State television said Wednesday night that the renegade warlord Ibrahim Coulibaly, a two-time coup plotter who began the pro-democracy battle for Abidjan, died during fighting with onetime allies turned enemies."",""A senior commander for Defense Minister Guillaume Soro said Mr. Coulibaly, a self-styled general, appeared to have killed himself rather than surrender when government troops seized his stronghold in the poor Abidjan neighborhood of Abobo. The senior commander spoke on the condition of anonymity."",""“Chief Sergeant Ibrahim Coulibaly has been killed this evening during fighting with the F.R.C.I.,” or Republican Forces of Ivory Coast, state television announced in a late-night headline running at the bottom of the screen."",""But the senior commander who directed the fighting against Mr. Coulibaly said it appeared to be a suicide."",""“Our men surrounded his residence but he refused to surrender,” the commander said. “When our fighters got access, they found his body, lifeless but with no bullet wound.”"",""A spokesman for Mr. Coulibaly’s fighters, Felix Anoble, said earlier Wednesday that they were under attack in Abobo while they were waiting for United Nations peacekeepers to come to disarm them."",""On Friday, President Alassane Ouattara ordered Mr. Coulibaly and his forces to disarm or expect to have weapons seized by force. Mr. Coulibaly said the disarming would take time to organize. He pledged his allegiance to the new president, in an interview with The Associated Press, but he was not received by Mr. Ouattara."",""Brig. Gen. Michel Gueu, the military adviser to Mr. Soro, who is also the prime minister, said Tuesday that he met with a Coulibaly delegation to advise them to disarm, adding that it was a prerequisite to meeting with the two leaders."",""Mr. Coulibaly had said Mr. Ouattara was “like a father,” since he led the bodyguard of Mr. Ouattara’s wife from 1990 to 1993, when he was an army chief sergeant and Mr. Ouattara was prime minister."",""On Monday, Mr. Coulibaly’s aides accused Mr. Soro’s camp of attacking their forces. The two men had a longtime feud. In 2004, Mr. Soro and Mr. Coulibaly waged bloody battles for leadership in the rebels’ stronghold in the central city of Bouake. Mr. Soro won, and Mr. Coulibaly was forced into exile."",""The rivalry between Mr. Soro and Mr. Coulibaly was the biggest challenge to confront Mr. Ouattara’s government since Laurent Gbagbo, the former president, was arrested April 11. Mr. Ouattara defeated Mr. Gbagbo in a presidential election last year, but Mr. Gbagbo refused to step down."",""Mr. Ouattara has little control over the former rebel forces that brought him to power and that will form the new Ivorian army by integrating with Mr. Gbagbo’s old forces. The former rebels grouped loosely under Mr. Soro are commanded by five different warlords."",""Mr. Coulibaly re-emerged in Abidjan in January at the head of a force called the Invisible Commando to start the battle against Mr. Gbagbo’s forces after soldiers fired mortar shells and rockets into Abobo, a neighborhood that voted heavily for Mr. Ouattara."",""The Nov. 28 elections were supposed to reunite the country, but Mr. Gbagbo’s stubborn refusal to accept his defeat precipitated the most recent violence in a West African country in conflict for a decade. It is not known how many thousands have been killed and wounded."",""Mr. Ouattara’s government has appealed for residents to return to their normal lives."",""Late Tuesday, Mr. Ouattara’s government announced preliminary investigations into Mr. Gbagbo and his family.""]",nytimes.com/2011/04/28/world/africa/28ivorycoast
458580,Burundi coup leader General Godefroid Niyombare on the run: police,"[""The leader of coup attempt in Burundi, General Godefroid Niyombare, has gone on the run after escaping capture by troops loyal to the central African nation's president, a senior police official told AFP Friday."",""\""General Niyombare has evaded us but we know where he is hiding,\"" the official said, adding he was believed to have fled to a southern district of the capital Bujumbura."",""Niyombare had earlier Friday told AFP by telephone he was surrendering and that loyalist troops were closing in on him."",""\""We have decided to surrender. I hope they won't kill us,\"" he said."",""The senior police officer said three other pro-coup generals had been detained. The loyalist police official said they were still alive so they could be put on trial."",""The coup leaders' spokesman, Zenon Ndabaneze, was speaking to AFP confirming that the putschists had decided to surrender when loyalist troops arrested him, deputy coup leader Cyrille Ndayirukiye and another senior figure among the mutineers."",""\""We decided to give ourselves up. We have laid down our arms. We have called the security ministry to tell them we no longer have any arms,\"" Ndabaneze said, seconds before he could be heard being arrested."",""\""There will be no foul play. We won't kill them, we want to keep them so they can be judged,\"" the police official told AFP after the arrests."",""The presidency meanwhile announced that Nkurunziza — who was abroad when the coup was declared — was back in the capital and poised to address the nation."",""Nkurunziza was in neighbouring Tanzania for regional talks on Wednesday when the coup was launched, in a culmination of weeks of violent street protests over his bid to cling to power.Opposition and rights groups insist that it is unconstitutional for Nkurunziza, who has been in office since 2005, to run for more than two terms."",""The president, however, argues his first term did not count as he was elected by parliament, not directly by the people."",""Nkurunziza, a former rebel leader from the Hutu majority and born-again Christian, believes he ascended to the presidency with divine backing."",""More than 25 people have been killed and scores wounded since late April, when Burundi's ruling CNDD-FDD party — which has been accused of intimidating the opposition and arming its own militia — nominated Nkurunziza to stand for re-election in June 26 polls."",""It remains unclear, however, how many have died since the launch of the coup, and unrest could continue — with civil society activists calling for a resumption of demonstrations after the failure of the coup."",""Treasury seeks additional funding of $866m, increasing the 2019/2020 budget to $30.4bn."",""Exporting nations cited for exceeding allowable levels of chemicals in fresh farm produce.""]",theeastafrican.co.ke/news/ea/Burundi-coup-leader-General-Godefroid-Niyombare-run/4552908-2717470-up8bg2
