Column1,title,text,url,date,location,title_arrest,title_censor,title_changeelection,title_changepower,title_cooperate,title_coup,title_defamationcase,title_diplomatic,title_disaster,title_disparage,title_legalrestriction,title_martiallaw,title_mobilizesecurity,title_mobilizesupporters,title_praise,title_protest,title_purge,title_raid,title_threaten,title_violencelethal,title_violencenonlethal,text_arrest,text_censor,text_changeelection,text_changepower,text_cooperate,text_coup,text_defamationcase,text_diplomatic,text_disaster,text_disparage,text_legalrestriction,text_martiallaw,text_mobilizesecurity,text_mobilizesupporters,text_praise,text_protest,text_purge,text_raid,text_threaten,text_violencelethal,text_violencenonlethal
359883,Call for Nigeria military chief to stop intimidating press,"[""ABUJA, Nigeria (AP) — Nigeria's army chief must stop intimidating a news website and drop defamation charges, the Committee to Protect Journalists said Friday."",""Its statement comes after plainclothes police on Thursday detained Premium Times' publisher Dapo Olorunyomi and reporter Evelyn Okakwu for several hours, acting on a criminal complaint filed by chief of army staff Lt. Gen. Tukur Buratai. They were released on condition they attend a court hearing to charge them with defamation."",""Buratai had complained about the site's exclusive reporting of a major defeat suffered in an Oct. 17 battle with Boko Haram Islamic extremists that even the army acknowledged left dozens of soldiers missing in action."",""The defamation charge relates to a December story by Okakwu saying the Code of Conduct Bureau was investigating Buratai for alleged false declaration of assets over a property in Dubai allegedly bought with cash within days of his July 2016 appointment to head the army."",""The Committee to Protect Journalists condemned the defamation suit as \""a transparent ploy to intimidate and silence Premium Times' staff for their critical reporting.\"""",""A statement from Premium Times said its lawyers wrote to Buratai days ago warning that \""by your letter you have threatened the lives of our clients. ... Should any harm come to them, you, the chief of army staff, and the Nigerian army should be held accountable.\"""",""Nigeria's military and government officials frequently accuse journalists of being \""unpatriotic\"" if they report on setbacks to the military's campaign against Boko Haram's seven-year Islamic uprising."",""\nHuman Rights Watch this month noted that \""While (Nigerian) media remain largely free and vibrant ... Journalists also frequently suffer intimidation and harassment related to their work.\""""]",ap.com/Call for Nigeria military chief to stop intimidating press,19-01-17 19:00,,,,,,,,"{""V"":[""Call"",[0]],""ARG1"":[""for Nigeria military chief to stop intimidating press"",[1,2,3,4,5,6,7,8]]}",,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""Nigeria 's army chief"",[0,1,2,3]],""ARGM-MOD"":[""must"",[4]],""V"":[""drop"",[11]],""ARG1"":[""defamation charges"",[12,13]]}",,,"{""ARG0"":[""Nigeria 's army chief"",[0,1,2,3]],""V"":[""intimidating"",[6]],""ARG1"":[""a news website"",[7,8,9]]}",,,,,,,,,,,
427825,Homosexuality: Nigerian brothers sue Smollett’s lawyers for defamation,"[""(NAN)The two Nigerian brothers who allegedly participated in a staged hate attack on Jussie Smollett have filed a defamation suit against Smolletts lawyers."",""Olabinjo and Abimbola Osundairo accused the attorneys of smearing their reputations in a bid to salvage Smolletts image according to Variety."",""The suit alleges that Smolletts attorneys, Mark Geragos, and Tina Glandian gave interviews in which they sought to scapegoat the brothers."",""The suit also accuses Glandian of falsely suggesting that Abimbola had sexual relations with Smollett, exposing him to a backlash in the Nigerian community."",""News Agency of Nigeria (NAN) reports that Smollett told Chicago police on Jan. 29 that he was attacked by two men who shouted racial and homophobic slurs and put a noose around his neck."",""Police later traced the attack to the Osundairo brothers, who confessed that Smollett had paid them to stage the attack."",""In the suit, the brothers state that Smollett asked them to help him stage a social media hoax, and that they went along with it because he is a wealthy actor and they were aspiring to make it in Hollywood."",""Smolletts motivation was simple, he wanted his employer and the public to notice and appreciate him as a successful Black, an openly gay actor, the suit states."",""They further said Smollett directed every aspect of the attack, including the location and the noose."",""NAN also reports that Smollett has maintained his innocence. He was indicted on 16 counts of filing a false police report."",""In a surprise move, the Cook County States Attorneys office dropped all charges against him in exchange for the forfeiture of a $10,000 bond."",""After the charges were dropped, Glandian gave interviews defending Smollett. In one, she noted that Abimbola is a personal trainer who advertises steroid-free bodybuilding, and said that it was ridiculous."",""The suit contends that Glandian was implying that Osundairo distributes illegal Nigerian steroids."",""Glandian also suggested that the two brothers wore whiteface makeup on the night of the attack, in an effort to explain why Smollett told police that his attackers were white-skinned."",""The suit states that that is not true. The suit also accuses Glandian of falsely implying that Abimbola Osundairo had sex with Smollett."",""The brothers are Nigerian-American and have Nigerian relatives. The suit notes that homosexual activity is a crime in Nigeria."",""Ms. Glandians globally broadcasted statements that Bola Osundairo is homosexual endangers him and the lives of his Nigerian family, the suit states."",""The suit also contends that the brothers have been financially harmed by the attorneys effort to blame them for the attack."",""Ms. Glandians statements have caused considerable damage to Plaintiffs careers, as they have lost talent agent contracts and career opportunities, the suit alleges."",""Glandian and Geragos issued a response, vowing to expose the brothers for perpetrating a fraud on the public."",""At first we thought this comical legal document was a parody. Instead, this so-called lawsuit by the brothers is more of their lawyer driven nonsense."",""A desperate attempt for them to stay relevant and further profit from an attack they admit they perpetrated."",""While we know this ridiculous lawsuit will soon be dismissed because it lacks any legal footing, we look forward to exposing the fraud the Osundairo brothers and their attorneys have committed on the public, the attorneys said.""]",sunnewsonline.com/homosexuality-nigerian-brothers-sue-smolletts-lawyers-for-defamation,24-04-19 20:00,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""two Nigerian brothers who allegedly participated in a staged hate attack on Jussie Smollett"",[2,3,4,5,6,7,8,9,10,11,12,13,14,15]],""V"":[""filed"",[17]],""ARG1"":[""a defamation suit"",[18,19,20]],""ARG3"":[""against Smolletts lawyers"",[21,22,23]]}",,,,,,,,,,,,,,
127744,"Alleged missing $4.6m: Sylva’s ex-speech writer arraigned, remanded in custody","[""A former speech writer to ex-governor Timipre Sylva, Mr. Jonah Okah has been arraigned before Magistrate Court 7 in Yenagoa, over an allege case of criminal defamation levied against Mr. Ritchie Etonye, the Bayelsa state Government House Accountant."",""The accused, a staff of the state judiciary who was arraigned before Magistrate Pere Bossa pleaded not guilty to the charges brought against him but was asked to be remanded in Okaka Prisons, in Yenagoa, while the case has been adjourned to September 20."",""His arrest and prosecution followed a petition to the police by Mr. Ritchie Etonye over a false allegation Okah levied against him, which he also publicized on his Facebook account, where he (Okah) claimed that he had discussed with Etonye on the phone and that he confessed to have absconded with the sum of $4.6 million, belonging to the state government."",""While expressing his innocence, Etonye stressed in the petition dated 30th August, 2016, that he neither discussed with Okah, as he claimed nor absconded with any money belonging to the Bayelsa State Government, stressing that, Okah’s action constituted an offence under section 302 of the criminal code law of Bayelsa State."",""Etonye is demanding among other things an unreserved apology from Okah, which should also be disseminated via same media he used for the false allegation against him as condition to halt litigation against Okah."",""He further requested Okah to publish the apology letter in two national newspapers and two local papers with a copy addressed to his professional body, the Association of National Accountants of Nigeria, ANAN, to clear his name of any misconduct.""]",vanguardngr.com/2016/09/alleged-missing-4-6m-sylvas-ex-speech-writer-arraigned-remanded-custody,02-09-16 20:00,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""ARG1"":[""Mr. Jonah Okah"",[0,1,2,11,12,13]],""V"":[""arraigned"",[16]],""ARGM-LOC"":[""in Yenagoa"",[17,18,19,20,21,22]],""ARG2"":[""over an allege case of criminal defamation levied against Mr. Ritchie Etonye , the Bayelsa state Government House Accountant"",[24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42]]}",,,,,,,,,,,,,,
312326,"Dammy Krane arraigned over alleged defamation, threat to life","[""A Popular Nigerian singer, composer and a performer, Johnson Oyindamola, popularly known as Dammy Krane, was Monday arraigned by the Police, before a Lagos Magistrate’s court sitting in Igbosere, over threat to life and defamation."",""The singer was docked on a three count charge bordering on conspiracy, threat to life, defamation, and conduct likely to cause a breach of peace, preferred against him by the police."",""The Afro pop singer, was said to have threatened the lives of staff members of betting company, Merrybet Gold Limited, on July 29, 2019, and also released a song in which he accused the firm of breach of contract."",""The prosecutor, Inspector J .I Enang, told the court that the musician threatened a sport betting company, Merrybet Gold Limited, by posting an audio and video, on the internet accusing the company of owing him."",""He said that the defendant attended a game show sponsored by the betting company but lost."",""Dammy Krane was said to have, however, demanded some money for appearing on the show. But that the firm disagreed, insisting that the sum was only given to winners."",""The embittered musician subsequently went on Cool FM radio where he said the betting firm owed him money and breached a contractual agreement."",""He was also accused of conspiring with others at large to conduct himself in a manner likely to cause breach of peace."",""Dammy Krane was alleged to have threatened public peace when he posted an audio and video message on Cool FM 96.9"",""The prosecutor said “Oyindamola and others at large on July 29, 2019, at Cool FM in Lagos, conspired with others at large to commit felony to wit: Conduct likely to cause breach of peace and threat to life”."",""“Oyindamola and others at large on the same date, time and place, threatened the life of the staff of Merrybet Gold Limited,” He said."",""According to the prosecutor, the offences committed are punishable under Sections 301, 411 and 168 (d) of the criminal law of Lagos State 2015."",""However, the 27-year-old defendant pleaded not guilty to the three-count charge against him."",""The defendant’ s counsel Mr Adebayo Oniyelu, urged the court to grant him bail in liberal terms, as he is a first time offender."",""Oniyelu, said that he would be produced whenever he is needed."",""He said ” We humbly apply for the bail of the defendant, Section 35 (5), states that an accused person is still presumed innocent until proven guilty.”"",""” He is a well known and a popular musician, if granted bail, he would be made available. He has been in police custody since Friday 13, September,” Oniyelu added."",""In his response to the bail application, the prosecutor Enang, said that he was going to oppose the bail, as the offence is a national issue."",""He also said that he heard on radio and on newspaper that the defendant was going to be arraigned at Igbosere, adding that it is a national issue."",""READ ALSO: British PM, Boris Johnson, appoints Nigerian ‘Badenoch’ as Minister"",""When Chief Magistrate Afolashade Botoku, asked to know the nature of the offence of the defendant, Enang said it is an international issue that is all over the media."",""The defendant’ s lawyer, however, told the court that the defendant and the complainant had a disagreement over a breach of contract."",""He said “The defendant, performed for the complainant and he was being owed the sum of N1million, and when he demanded for it, the next thing we saw was his arrest”."",""One of the company’s representative, Mr Otemu Anaonye, told the court that the company is not owing the defendant."",""The company’s lawyer, Mr N. Anachebe, who was holding watching brief, for the company, said, ” The defendant posted audio and video messages on his Instagram page claiming that the company was owing him, he was asked to pull it down, but he refused.”"",""After listening to parties in the matter, Magistrate Botoku asked, if the crux of the matter was defamation, she said if so, it should be a civil matter."",""Anachebe, responded that ” A case of defamation can be both criminal and civil”."",""A lawyer in the court Mr Olumide Ajetunmobi, applied to the court of his interest to be added as one of the sureties in the case."",""Ajetunmobi,  said, ” I humbly apply to stand as additional surety, for the defendant”."",""Dammy Krane who was previously signed to 2baba’s Hypertek Records is not a stranger to controversies and scandals."",""It can be recalled that on June 19, 2017, he was arrested in Miami, U.S for credit card fraud."",""His details were also updated on the US jail base website."",""According to a report published by Miami News-Times at the time, he used a bogus card to book a private jet flight to Washington, D.C."",""When the authorities searched him, they found seven false credit cards in his wallet."",""He was released from jail in Miami after meeting his bail conditions, set at $7,500."",""The 27-year-old pop star rose to prominence in 2012, at the age of 20, when he released his single ”My Darling” which became a hit."",""VANGUARD""]",vanguardngr.com/2019/09/dammy-krane-arraigned-over-alleged-defamation-threat-to-life,15-09-19 20:00,Nigeria,,,,,,,"{""ARG1"":[""Dammy Krane"",[0,1]],""V"":[""arraigned"",[2]],""ARG2"":[""over alleged defamation , threat to life"",[3,4,5,6,7,8,9]]}",,,,,,,,,,,,,,,,,,,,,"{""ARG1"":[""A Popular Nigerian singer , composer and a performer , Johnson Oyindamola , popularly known as Dammy Krane ,"",[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]],""ARGM-TMP"":[""Monday"",[20]],""V"":[""arraigned"",[21]],""ARG0"":[""by the Police"",[22,23,24]],""ARGM-LOC"":[""before a Lagos Magistrate ’s court sitting in Igbosere"",[26,27,28,29,30,31,32,33,34]],""ARG2"":[""over threat to life and defamation"",[36,37,38,39,40,41]]}",,,,,,,,,,,,,,
52004,Committee welcomes striking out of Criminal Defamation Laws in Zimbabwe,"[""The Committee to Protect Journalists (CPJ), has welcomed the Zimbabwe Supreme Constitutional Court striking out of the country’s criminal defamation laws."",""A statement issued in Dakar by CPJ’s Deputy Executive Director, Robert Mahoney, said the Supreme Constitutional Court made the ruling on Wednesday, Feb. 3."",""“The move is a welcome step toward safeguarding press freedom. This is an important victory for freedom of expression in Zimbabwe."",""“The government has too often resorted to criminal defamation to muzzle independent journalists”, it said."",""The court’s panel of nine judges, led by Chief Justice Godfrey Chidyausiku, ruled that all laws assigning criminal penalties to defamation contradicted guarantees of press freedom enshrined in Zimbabwe’s constitution."",""According to the statement, the ruling is in response to a lawsuit brought by the Zimbabwean branch of the Media Institute of Southern Africa and four journalists."",""It named the journalists as Nqaba Matshazi, Godwin Mangudya, Sydney Saize, and Rodger Stringer, who were said to have been individually arrested on charges of defaming politicians in 2011.""]",guardian.ng/news/committee-welcomes-striking-out-of-criminal-defamation-laws-in-zimbabwe,04-02-16 19:00,Nigeria,,,,,,,"{""ARG0"":[""Committee"",[0]],""V"":[""welcomes"",[1]],""ARG1"":[""striking out of Criminal Defamation Laws in Zimbabwe"",[2,3,4,5,6,7,8,9]]}",,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""The Committee to Protect Journalists ( CPJ )"",[0,1,2,3,4,5,6,7]],""V"":[""welcomed"",[10]],""ARG1"":[""the Zimbabwe Supreme Constitutional Court striking out of the country ’s criminal defamation laws"",[11,12,13,14,15,16,17,18,19,20,21,22,23,24]]}",,,,,,,,,,,,,,
113822,Buhari campaign group drags Atiku to court,"[""The Buhari Campaign Organisation has instituted a N40million defamation suit against the People’s Democratic Party presidential candidate Atiku Abubakar. "",""The campaign group is accusing Abubakar of defaming president Muhammadu Buhari and his family."",""The suit, filed before a High Court of the Federal Capital Territory, is asking the court to compel the PDP standard-bearer to pay damages for alleging that the President and his family members own substantial shares in 9mobile and Keystone Bank."",""Abubakar through his spokesperson, Shaibu, on December 26, demanded a probe into the ownership of Etisalat Nigeria and Keystone Bank."",""He said the call was necessary “in view of reports that members of President Muhammadu Buhari’s family now own substantial share in Etisalat Nigeria which has an estimated $2 billion (about N727 billion at 360 per dollar) of its estimated $20 billion global net worth.”"",""The plaintiffs are seeking a declaration that “the 1st Defendant (Phrank Shaibu) on behalf and for the 2nd Defendant (Atiku) neglectfully, unlawfully and recklessly permitted and caused to be published in Newspapers, defamatory and damaging statements against the 1st Plaintiff (President Buhari)”."",""While the telecommunication company are yet to refute the claims by Abubakar, the management of Keystone Bank says it has no ties with Buhari."",""“The fact of the ownership of Keystone Bank by the Asset Management Corporation of Nigeria was never in doubt. On March 23, 2017, AMCON divested its ownership of Keystone Bank after successful bidding that followed due process,” the Bank said in a statement on January 9, 2019."",""“We confirm that the Sigma Golf-Riverbank Consortium owns 100 per cent of Keystone Bank. From the records available to us which are verifiable at the Corporate Affairs Commission, the core investors (Sigma Golf Nigeria Limited and Riverbank Investment Resources Limited) have no relationship with either President Muhammadu Buhari or Alhaji Abubakar Atiku, as may be widely speculated.”""]",guardian.ng/news/buhari-campaign-group-drags-atiku-to-court,22-01-19 19:00,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""The Buhari Campaign Organisation"",[0,1,2,3]],""V"":[""instituted"",[5]],""ARG1"":[""a N40million defamation suit against the People ’s Democratic Party presidential candidate Atiku Abubakar"",[6,7,8,9,10,11,12,13,14,15,16,17,18,19]]}",,,,,,,,,,,,,,
336546,Kenyan politician wins libel lawsuit against newspaper,"[""NAIROBI, Kenya (AP) - A court ruled Thursday that a Kenyan newspaper defamed a politician in a story that suggested she tried to divert attention from a carjacking that left her stuck in a trunk with a Catholic priest.  "",""The Standard newspaper and writer Ochieng Oreny were ordered to pay 4.5 million shillings (about US$63,500) to Martha Karua, the Minister for Justice and Constitutional Affairs. Calls to The Standard were referred to the managing editor, whose phone rang unanswered Thursday.  "",""The article, which was published in December 2003, suggested Karua instigated a raid on prostitution in Nairobi -- a sweep that resulted in the arrest of several politicians who were allegedly soliciting sex -- to divert attention from her carjacking.  "",""\""The defendants were reckless and malicious in publishing the article (and) they failed to apologize when the complainant wrote to them five days later demanding an apology,\"" Justice Kihara Kariuki said.  "",""Karua also has sued a radio station that commented on the incident, which was widely reported in Nairobi.  ""]",ap.com/Kenyan politician wins libel lawsuit against newspaper,03-05-06 20:00,,,,,,,,"{""ARG0"":[""Kenyan politician"",[0,1]],""V"":[""wins"",[2]],""ARG1"":[""libel lawsuit against newspaper"",[3,4,5,6]]}",,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""A court"",[0,1]],""V"":[""ruled"",[2]],""ARGM-TMP"":[""Thursday"",[3]],""ARG1"":[""that a Kenyan newspaper defamed a politician in a story that suggested she tried to divert attention from a carjacking that left her stuck in a trunk with a Catholic priest"",[4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34]]}",,,,,,,,,,,,,,
2028,"Kenyan media condemn ""draconian"" press law","[""NAIROBI, Oct 15 (Reuters) - Kenya’s media united in outrage on Thursday after lawmakers approved a new bill threatening reporters with fines and prison if they published anything that defamed parliament."",""The bill, which was approved late on Wednesday and still needs to be passed by the senate and president to become law, introduced a new offence of criminal defamation of parliament."",""One MP said it was needed to protect politicians against “mob justice”."",""But many of Kenya’s vociferous newspapers published front page editorials under banner headlines condemning the move, saying it would undermine investigations into pervasive corruption and shield unscrupulous officials."",""“Dark day in graft war as MPs kill media probe,” wrote The Standard. “It’s a crime to say anything MPs don’t like,” said Daily Nation and “Parliament passes law to punish media,” said The Star."",""Convicted journalists would face fines of up to 500,000 Kenyan shillings ($4,900) or two years in prison, under part of the Parliamentary Powers and Privileges Bill 2014 passed on Wednesday."",""MP Nicholas Gumbo was quoted in The Standard saying it would protect him and his colleagues from mob justice. “Are we just going to allow false and scandalous information to be written about us just because we are MPs?” he asked, according to the paper."",""The Media Council of Kenya press regulator condemned the bill, saying it could be used “to silence critical reporting” and called on the senate to repeal the restrictive clauses."",""Francis Atwoli, the Secretary-General of the Central Organisation of Trade Unions, said the president should block it. “The decision ... depicts a House hell-bent on taking Kenyans back to the old days when such draconian laws were exploited by the state to intimidate and harass the media in order to cover up for the ills in government,” he told Daily Nation."",""Kenyan lawmakers approved another law restricting the media in 2013, but President Uhuru Kenyatta - who has promised a crackdown on corruption - rejected the legislation after widespread protests. ($1 = 102.9500 Kenyan shillings)   (Editing by George Obulutsa and Andrew Heavens)""]",reuters.com/article/kenya-media-idUSL8N12F2KT20151015,14-10-15 20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""ARG1"":[""Kenya ’s media"",[0,1,2]],""V"":[""united"",[3]],""ARGM-MNR"":[""in outrage"",[4,5]],""ARGM-TMP"":[""after lawmakers approved a new bill threatening reporters with fines and prison if they published anything that defamed parliament"",[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]]}",,"{""ARG1"":[""Kenya ’s media"",[0,1,2]],""V"":[""united"",[3]],""ARGM-MNR"":[""in outrage"",[4,5]],""ARGM-TMP"":[""after lawmakers approved a new bill threatening reporters with fines and prison if they published anything that defamed parliament"",[6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]]}",,,,,,,,,,,,,,
156484,N100m defamation suit: EFCC dismisses Jonathan godson’s threat,"[""THE Economic and Financial Crimes Commission has dismissed the threat by the political godson of former President Goodluck Jonathan, Mr. George Turnah, to institute a N100m defamation suit against it."",""Turnah had on Sunday, through his lawyers, demanded N100m from the EFCC and a social media activist, Mr. Bodmas Kemepadei, as compensation for alleged defamatory statements against him."",""The embattled former Special Adviser to an ex-Managing Director of the Niger Delta Development Commission also sought an “unreserved” apology from the EFCC and Kemepadei over the alleged defamatory statements made against his person."",""Turnah is currently facing charges bordering on money laundering and false pretences."",""But the Zonal Head of the EFCC, South-South, Mr. Ishaq Salihu, said the commission would not be cowed by Turnah’s demands."",""Salihu explained that those who were ready to commit economic crimes against the country should be ready to spend their time in jail."",""He stated that the commission was under an obligation to press charges against Turnah, who had only worked in the National Youth Service Corps and the NDDC and allegedly amassed unjustified wealth."",""Salihu maintained that since the EFCC had been able to establish a prima facie case against Turnah, it was normal for the former NDDC official to face trial."",""He said, “We took him (Turnah) to court and we asked the court to give us a forfeiture order because this is somebody that has never worked anywhere apart from the NYSC and the NDDC."",""“He worked with the NYSC in 2010 and the rest was in the NDDC. So, he cannot justify the amount (of money) he has. We should be able to call a spade a spade. The EFCC has gone beyond being cowed in this country."",""“We stand by the truth; we did not act arbitrarily; we have a charge and we have taken him to court for it. If at the end of the day, the judge, in his wisdom, finds that we don’t have a case, so be it."",""“But we have established a prima facie case against him. This is somebody that took over N75m for beauty pageant and paid N40,000 each to them (participants, instead of N5m)."",""“This is somebody that got a receipt showing that he paid N25m to a particular television station and at the end, the TV station has replied the EFCC that there was no transaction of such with the man at all.”"",""Salihu pointed out that the anti-graft commission was up to the task in pursuing the Turnah’s matter in court to a logical conclusion."",""“We are up to the task. We have one of the best and vibrant legal department in Nigeria in the EFCC and we are not cowed at all."",""“We are already in court and we are not going to take issues with him. If anybody commits a crime, he or she should be able to do the time,” Salihu added."",""Copyright PUNCH.                \nAll rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH."",""Contact: [email protected]""]",punchng.com/n100m-defamation-suit-efcc-dismisses-jonathan-godsons-threat,05-06-17 20:00,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""THE Economic and Financial Crimes Commission"",[0,1,2,3,4,5]],""V"":[""dismissed"",[7]],""ARG1"":[""the threat by the political godson of former President Goodluck Jonathan , Mr. George Turnah , to institute a N100 m defamation suit against it"",[8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32]]}",,,,,,,,,,,,,,
70456,Journalists acquitted in Thai navy defamation trial,"[""An Australian journalist and his Thai colleague were acquitted of criminal defamation Tuesday over a report implicating Thailand’s navy in human trafficking, as the country faces heavy criticism for its role in the deadly trade."",""The pair were also found not guilty on another charge of breaching the nation’s tough Computer Crimes Act in a high-profile trial that had sparked condemnation from human rights groups and the United Nations."",""Alan Morison and Chutima Sidasathian, of the Phuketwan news website, had faced up to seven years in jail over a July 2013 article quoting a Reuters news agency investigation that said some Thai navy members were involved in trafficking Rohingya Muslims fleeing Myanmar."",""“The court has acquitted (the pair),” their lawyer Siriwan Vongkietpaisan told AFP shortly after the verdict was delivered at Phuket Provincial Court."",""The ruling is a rare bright spot for the media in a nation governed by a junta that has stamped down on freedom of expression."",""Amnesty International welcomed the verdict but added that the two journalists “should never have had to stand trial in the first place”."",""“This is just the latest in a long line of attacks on freedom of expression and media outlets since the military seized power in 2014,” regional spokesman Josef Benedict said."",""The acquittal comes after the region’s people-trafficking trade was dramatically laid bare this year when dozens of migrants’ graves were found on the Thai-Malaysia border."",""As the network unravelled amid a Thai crackdown, migrants were abandoned at sea and in jungle camps, in a crisis that eventually forced Southeast Asian governments to respond."",""– Trade in humans –"",""Speaking to AFP after the verdict, Chutima said: “The judge did the right thing, this is a big step for freedom of expression and freedom of the media in Thailand.”"",""Southern Thailand has long been known as a nexus for lucrative and largely unchecked smuggling networks through which persecuted Rohingya Muslims in Buddhist-majority Myanmar, and Bangladeshi economic migrants, pass on their way to Malaysia."",""Officials have been accused by human rights groups of turning both a blind eye to — and complicity in — the trade."",""Thai prosecutors have indicted 72 people over the trade, including local officials and a senior army general."",""However no other military figures have been arrested, something that has raised eyebrows among rights groups and observers who say it is unlikely such an influential officer would have acted alone."",""Last month — for the second year in a row — Thailand was placed by the United States on the bottom tier of its ranking of countries failing to tackle human trafficking alongside nations like Iran, Libya, North Korea and Syria."",""Reuters has not been charged over its reporting — part of a series honoured with a Pulitzer Prize last year — and rights groups had accused the navy of trying to muzzle the smaller Phuket-based English-language media outlet."",""David Crundwell, a chief spokesman for Reuters, said the agency was “pleased” to hear the verdict."",""The navy has 30 days to appeal against the verdict.""]",guardian.ng/news/journalists-acquitted-in-thai-navy-defamation-trial,31-08-15 20:00,Nigeria,,,,,,,"{""ARG1"":[""Journalists"",[0]],""V"":[""acquitted"",[1]],""ARGM-LOC"":[""in Thai navy defamation trial"",[2,3,4,5,6]]}",,,,,,,,,,,,,,,,,,,,,"{""ARG1"":[""An Australian journalist and his Thai colleague"",[0,1,2,3,4,5,6]],""V"":[""acquitted"",[8]],""ARG2"":[""of criminal defamation"",[9,10,11]],""ARGM-TMP"":[""as the country faces heavy criticism for its role in the deadly trade"",[12,24,25,26,27,28,29,30,31,32,33,34,35,36]],""ARG3"":[""over a report implicating Thailand ’s navy in human trafficking"",[13,14,15,16,17,18,19,20,21,22]]}",,,,,,,,,,,,,,
