Column1 ,title,text,url
0,Marine police to be deployed to Lake Victoria over insecurity,"[""The Kenya Marine police will be deployed to Lake Victoria to contain constant attacks on Kenyan fishermen by pirates and Ugandans."","" African Union High Representative for Infrastructure Raila Odinga said the police unit will patrol the lake to ward off pirates who have run riot at the lake."",""Raila's sentiments come following a most recent incident, in which criminals attacked and injured six fishermen from Bondo."",""According to the Chairman of Kuoyo Beach Management Unit (BMU) Mr Willis Opiyo, the fishermen were attacked by thugs who were armed with machetes and knives."",""The chairman also stated that during the attack, the thugs took away the fishermen’s two boat engines worth Sh460, 000."",""Opiyo, who confirmed the attack, condemned the rampant attacks on the lake, pleading with the government to consider reinstating police officers who used to patrol the lake."",""“Insecurity has been on the rise in the lake but no action has been taken despite our persistent plea to the government,” he lamented."",""Speaking during the burial of a former teacher, Mr Festus Miyayi in Nyanyonga village in West Yimbo ward, Raila said the officers will be permanently based in the lake to deal with the pirates who have continued to threaten peace in the region."",""Two months ago, some fishermen were attacked and their four boat engines stolen."",""Bondo MP Gideon Ochanda said fishermen have suffered great losses due to the incessant attacks and harassment by the pirates and Ugandan authorities."",""\""This is a great step by the state to ensure that all the criminals are flushed out of the lake,\"" said Ochanda."",""We are undertaking a survey to help us improve our content for you. This will only take 1 minute of your time, please give us your feedback by clicking HERE. All responses will be confidential."",""Related Topics"",""Marine policeLake VictoriaFishermen woes""]",standardmedia.co.ke/article/2001340319/marine-police-to-be-deployed-to-lake-victoria-over-insecurity
0,TIMES OF DESPERATION! Gov’t deploys KDF doctors to hospitals,"[""The government has now deployed the Kenya Defence Forces (KDF) doctors to attend to emergency cases at the countrys largest referral hospital  Kenyatta National Hospital (KNH) even as the doctors and nurses strike enters the fifth day."",""The decision by the government was orchestrated by the move by 200 consultants attached to the hospital joined their striking colleagues to push for the implementation of the 2013 Collective Bargaining Agreement (CBA) that awarded them a 300% pay increment and agreed to employ more doctors and nurses to reduce their workload and doctor to patient ratio from the current 1:16,000."",""Industrial action by health workers is relatively rare but emanates from reasons such as dissatisfaction over pay and many medics feeling undervalued and overworked."",""During such periods, agony, misery and pain are all written on the faces of the patients who are in most cases turned away or left unattended."",""The strike by the health workers has dealt a major blow to thousands of patients since the countrys largest population depends on public health facilities."",""There has a marked reduction in various other activities at the health centres despite the increasing distress among patients and their caretakers."",""The strike may be fairly short but the effects are more prolonged and extensive."",""For many people, a strike by doctors and nurses is inconsistent with their over-riding duty to advocate for their patients. Doctors strikes also inevitably expose patients to risk of serious harm."",""The current situation has been further complicated as the health workers are opposing policies that are perceived to threaten the standard of care they are able to deliver which include long working hours and shortage of staff in public facilities."",""Strikes by doctors highlight the conflict between doctors rights as employees and their duty to patients. They are, however, a global phenomenon, with strikes having been reported in Ghana, Australia and India in the past years."",""They, however, highlight the straining relationship between the government and civil servants over pay and working conditions."",""The decision by consultants attached to the Kenyatta National Hospital to down tools in solidarity with their striking colleagues serves to paint the gravity of the matter."",""The government and the health workers unions have maintained hardliner stances with each faction advancing its interests."",""Talks between the government and these unions have failed severally with patients left to die and others turned away."",""On Friday, December 9, President Uhuru Kenyatta expressed optimism that they would reach a deal with the striking doctors.""]",citizentv.co.ke/news/times-of-desperation-govt-deploys-kdf-doctors-to-hospitals-151495
0,"Niger, Chad to fight in Nigeria against Boko Haram","[""NIAMEY, Niger (AP) — Niger's defense minister says his country and Chad will send troops to neighboring Nigeria to fight Boko Haram extremists."",""Hassoumi Massaoudou said late Thursday that the military deployment by the two countries is meant to secure their borders from Islamic extremists, who have staged several attacks in recent weeks in Niger, including one in Bosso that killed at least 26 soldiers."",""He would not give more details on the number of soldiers, or their timing, but said they will remain in Nigeria's Borno state until the zone is secured."",""The two countries, along with Cameroon and Nigeria, are part of a multinational force committed to fighting Boko Haram."",""The seven-year insurgency by the Nigeria-based extremists has killed at least 20,000 people and displaced 2.7 million people.""]","ap.com/Niger, Chad to fight in Nigeria against Boko Haram"
0,"Libyan, Egyptian observers to deploy in Uganda to monitor its border
with Sudan","[""\nKAMPALA, Uganda (AP) - Egyptian and Libyan military observers will be\ndeployed in Uganda to monitor its border with Sudan in an attempt to\nimprove relations between the two countries, an Ugandan official said\nWednesday.\n"",""\nUganda severed diplomatic ties with Sudan in 1994, accusing its\nneighbor of supporting rebels of the Lord's Resistance Army which have\nwreaked havoc in northern Uganda.\n"",""\n\""Two issues were discussed. How can we make sure the LRA is no longer\na threat to Uganda? Two, we have to see that they are moved away from\nthe Uganda-Sudan border.\"" said Foreign Minister Eriya Kategaya.\n"",""\nHe said the deployment of the unarmed observers would ensure there\nwas nothing taking place on the Ugandan side of the border to undermine\nSudan's security.\n"",""\nSudan has accused Uganda of supporting southern Sudanese rebels in\nthat country's 17-year civil war and of allowing them passage through\nnorthern Uganda.\n"",""\nKategaya, who did not offer any further details on how or when the\nobservers would be deployed, spoke at the end of a two-day meeting of\nforeign ministers of Uganda, Sudan, Egypt and Libya during which they\ndiscussed the restoration of diplomatic ties between Sudan and Uganda.\n"",""\nA follow-up meeting will be held in the Sudanese capital, Khartoum,\non Oct. 5 to work out the details of the observer mission, Kategaya\nsaid.\n"",""\nThe LRA, which has bases in southern Sudan, has laid waste to\nnorthern Uganda for 13 years and kidnapped thousands of children to\nserve as porters and soldiers.\n"",""\nThe ministers agreed that the LRA should also be moved away from the\nUgandan border, Kategaya said.\n"",""\nHe did not explain how any of these proposals would be implemented.\n"",""\n\""We shall set up the mechanisms on how all this will work when we\nmeet again,\"" Kategaya told reporters.\n"",""\nA team, including representatives of the U.N. Children's Fund, the\nU.N. High Commissioner for Refugees, the Carter Center and a Canadian\ndiplomat will be set up to repatriate Ugandan children abducted by the\nLRA in southern Sudan, Kategaya said.\n"",""\nUnder an agreement mediated by former U.S. President Jimmy Carter,\nhead of the Carter Center, in Kenya last December, Sudan and Uganda\nagreed to exchange prisoners of war, return abducted children and resume\ndiplomatic ties.\n"",""\nUganda freed 110 Sudanese soldiers captured when its troops crossed\ninto Sudan in pursuit of LRA rebels. Months later, Sudan obliged the LRA\nto free two dozen Ugandan children but Uganda has criticized the speed\nand small number of repatriations.\n"",""\nIt was also agreed Wednesday that Uganda will station two diplomats\nin the Libyan Embassy in the Kenyan capital, Nairobi, to handle\nSudan-Ugandan interests, Kategaya said.\n"",""\n(hw/ae)\n""]","ap.com/Libyan, Egyptian observers to deploy in Uganda to monitor its border
with Sudan"
0,NAF deploys 150 Special Forces to Taraba,"[""Nigerian Air Force (NAF) on Sunday deployed 150 personnel of its special forces to its newly established 23 Quick Response Wing (QRW) in Nguroje, Sarduana Local Government Council in Taraba."",""Other Quick Response Wings established by NAF in the North Central region are located in Doma, Nasarawa State and Agatu in Benue."",""The Chief of Air Staff, Air Vice Marshal Sadique Abubakar, who addressed the troops in Jalingo before their departure, urged the personnel to be professional in the discharge of their duties."",""Represented by AVM Napoleon Bali, the Director of Operations, NAF Headquarters, Abubakar said “let me use this opportunity to reiterate the need for you to be professional in discharging your duties."",""“You must always abide by the Nigerian Air Force Code of Conduct and Rules of Engagement (ROE) as well as the Laws of Armed Conflict."",""“I, therefore, urge you to consider it as a rare privilege to be part of the pioneer troops to establish the unit."",""“Accordingly, you need to maintain cordial relationship with the host community as they support you in your assigned responsibilities.”"",""The chief of air staff said the special forces were part of the ongoing NAF policy to build a robust Air Force capable of responding effectively, efficiently and timely to Nigeria’s national security imperatives."",""He noted that the deployment marked the commencement of operations at the newly established Quick Response Wings in the North Central region of the country."",""He added that evolving security challenges in the country and the need to create peaceful environment to facilitate increased economic activities necessitated the establishment of the unit in Nguroje."",""Abubakar urged the troops to partner with other security agencies to support Taraba in containing insecurity."",""The air chief appreciated President Muhammadu Buhari, the Taraba Government, the host community and all who contributed to the smooth take off of the new unit."",""The establishment of new units is in line with the chief of air staff’s vision of repositioning NAF into a highly professional and disciplined force through capacity building initiatives."",""It is also for timely employment of air power in response to Nigeria’s national security imperatives. (NAN)""]",vanguardngr.com/2018/05/naf-deploys-150-special-forces-taraba
0,"NSCDC deploys officers, FRSC details 15000 for traffic control to Osun","[""The Nigeria Security and Civil Defence Corps (NSCDC) has deployed officers to complement efforts by other security agencies to maintain law and order before, during and after the election."",""Commandant General of the NSCDC, Abdullahi Gana Muhammadu, said personnel from Osun, Oyo, Kogi, Edo, Ondo and Kwara states as well as the headquarters in Abuja were to be stationed at black spots to ensure public safety and the protection of critical infrastructure."",""Mobile surveillance vehicles and sniffer dogs have also been released for the assignment."",""A statement signed by the Public Relations Officer of the Corp, Emmanuel Okeh, said medical and rapid response teams as well as the Special Forces Unit had been deployed in the state."",""He advised the people to avoid acts of violence, thuggery and rigging in order not to truncate the electoral process."",""Also, the Federal Road Safety Corps (FRSC) has deployed 15,000 personnel with 60 vehicles to man strategic routes during the exercise."",""The Corps Marshal, Dr. Boboye Oyeyemi, said while Ibadan – Akure expressway would be opened for free vehicular movement, vehicles will not be allowed to drive off the highway into Osun State as all connecting roads would be blocked."",""All roads leading to the state through Iwo, Ila, Orangun, Erin-Ile and others will be temporarily closed from 7am to 4pm on the day of election.""]",guardian.ng/news/nscdc-deploys-officers-frsc-details-15000-for-traffic-control-to-osun
0,UN to probe 'horrific' Mali attacks as death toll jumps to 160,"[""The United Nations has sent a team of investigators to Mali's restive Mopti region, where more than 150 people were killed this weekend, a spokeswoman said on Tuesday."",""The raid took place on Saturday in the village of Ogossagou, home to the Fulani herding community, near the town of Mopti in central Mali."",""Local officials and security sources told AFP news agency that the death toll had climbed to 160, while the UN rights office said at least 153 people were killed and 73 were wounded."",""The \""horrific attacks\"" marked a \""significant\"" surge in \""violence across communal lines and by so-called 'self-defence groups' apparently attempting to root out violent extremist groups\"", said Ravina Shamdasani, spokeswoman for the UN rights office."",""In the Mopti region alone, attacks had led to \""some 600 deaths of women, children and men, as well as thousands of displaced persons\"" since March 2018, she told reporters."",""More than a third of those killed had died since the beginning of 2019, she added."",""The UN has sent a team of 10 human rights officers, a child protection officer and two crime scene investigators to the Mopti region to investigate Saturday's attack, Shamdasani said."",""\""We are in direct contact with the authorities,\"" she said adding that the UN had offered to help to \""bring the perpetrators to justice in order to break the circle of impunity\""."",""An armed group from within the Dogon ethnic group - a hunting and farming community with a long history of tension with the Fulani over access to land - is suspected of having carried out Saturday's raid."",""On Sunday, the Malian government announced the dissolution of one Dogon militia."",""Shamdasani said that \""on many occasions, the attacks are said to be motivated by a desire to root out individuals linked to violent extremist groups\""."",""Raids remain a persistent threat, and in the ethnic mosaic of the centre of the country, the attacks have taken a bloody toll on groups with a history of rivalry."",""The Fulani, who are mainly Muslim, have been accused of supporting a violent preacher, Amadou Koufa, who rose to prominence in central Mali four years ago."",""So-called \""self-defence groups\"" have emerged in the Dogon community with the declared aim of providing protection against Fulani armed groups."",""\""There is this development of stigmatisation ... They are deliberately targeted,\"" Shamdasani said."",""Ibrahim Boubacar Keita, Mali's president, vowed on Monday to beef up security during a visit to the area. \""Justice will be done,\"" he vowed."",""Amadou Diallo, a local councillor who denounced the attack as \""ethnic cleansing\"", told AFP the death toll had jumped to 160 and \""will probably be higher still\""."",""An AFP reporter on Monday said many homes in the village had been burned down and the ground was littered with corpses. \""I have never seen anything like that. They came, they shot people, burned homes, killed the babies,\"" said 75-year-old survivor Ali Diallo."",""Saturday's attack was the deadliest in Mali since the 2013 French-led military intervention that drove back armed groups who had taken control of the north of the country."",""\""The state is no longer there; there is no state protection to ensure safety and its presence in those areas,\"" Adama Gaye, West African analyst and former director of the Economic Community of West African States (ECOWAS) regional bloc, told Al Jazeera, warning that attacks on the Fulani had become a recurrent problem which needed to be addressed by the Mali government and at the regional level."",""\""People have concluded that there is even a risk of genocide - they are using the word genocide regarding the Fulanis ... it's a very serious situation.\"""",""Christophe Boulierac, a spokesman for the UN children's agency UNICEF, told reporters in Geneva that around one-third of those killed were children, and that 31 children were also injured."",""\""This tragic killing and maiming of defenceless children is on an unprecedented scale,\"" he said.""]",https://www.aljazeera.com/news/2019/03/united-nations-investigate-horrific-massacre-mali-190326135707656.html
0,ECOWAS to deploy troops to secure Mali,"[""West Africa's regional bloc ECOWAS will send troops to Mali by Monday as part of an international military campaign to contain Islamist rebel groups controlling the north of the country, an Ivory Coast official has said."",""The planned deployment was announced on Saturday as French troops, sent to Mali after the rebels captured a strategic town in the south, continue to fight alongside Malian troops to halt the rebels' advance."",""The town of Konna has since been wrested from the rebels after French troops launched airstrikes on Friday in which a French pilot was killed."",""\""The mandate for the deployment was signed by the president [of Ivory Coast] yesterday ... Monday by the latest, the troops will be there or will have started to arrive,\"" said Ali Coulibaly, Ivory Coast's African integration minister."",""Alassane Ouattara, the Ivorian president, currently holds the rotating chairmanship of ECOWAS."",""First deployment"",""ECOWAS has for months lobbied the international community to support its plan for a regional military force to end the nine-month occupation of Mali's north by groups that include Ansar Dine, MUJWA and AQIM, al-Qaeda's North African affiliate."",""The arrival of ECOWAS troops would be the first deployment by African nations."",""France, Mali's former colonial master, said it was involved in a legitimate military campaign mandated by the United Nations. A UN resolution paving the way for troop deployment was crafted by France last October and adopted in December."",""Jean-Yves Le Drian, the French defence minister, said on Saturday that Friday's fighting lasted five hours and resulted in several deaths. He did not give details about casualties, only saying a French pilot was among the dead."",""\""France will do everything it can to help the people of Mali to fight jihadists ... [These] are the same people holding our hostages,\"" Le Drian said."",""Earlier, Jean-Marc Ayrault, France's prime minister, briefed the French people on the deployment of troops to Mali."",""Western governments, particularly France, had voiced alarm after the al-Qaeda-linked rebel alliance captured Konna on Thursday, a gateway towards the capital, Bamako, 600km to the south."",""The capture of Konna by the rebels, who have imposed strict Sharia law in northern Mali, had caused panic among residents in the towns of Mopti and Sevare, 60km to the south."",""State of emergency"",""Interim President Dioncounda Traore, under pressure for tougher action from Mali's military, declared a state of emergency on Friday. Traore will fly to Paris for talks with his French counterpart, Francois Hollande, on Wednesday."",""Calm returned after residents reported Western soldiers and foreign military aircraft arriving late on Thursday at Sevare's airport, the main one in the region."",""Hollande said France would not stand by to watch the rebels push southward."",""Paris has repeatedly warned that the rebel’s seizure of the country's north in April, which was boosted by the chaos created after junior army officers overthrew the government, gave them a base to attack neighbouring African countries and Europe."",""\""We are faced with blatant aggression that is threatening Mali's very existence. France cannot accept this,\"" Hollande, who recently pledged his country would not meddle in African affairs, said in a New Year speech to diplomats and journalists in Paris."",""French military operations in support of the Malian army against rebels \""will last as long as necessary,\"" France's UN ambassador, Gerard Araud, wrote in a letter to the Security Council obtained by Reuters."",""In Washington, a US official told Reuters the Pentagon was weighing options in Mali, including intelligence-sharing with France and logistics support.""]",aljazeera.com/news/africa/2013/01/2013112105642780974
0,"18,000 security personnel deployed for April 11 polls in Sokoto, Kebbi, Zamfara states – AIG","[""Mr Bala Hassan, the Assistant Inspector-General of Police (AIG) in charge of zone 10, said on Thursday that about 18,000 security personnel would be deployed to provide security during the April 11 elections in Sokoto, Kebbi and Zamfara states."",""Hassan told the newsmen in Sokoto that the security personnel had been briefed on the operational modalities for ensuring adequate security before, during and after the elections in the affected states. He said that the zonal command had fine tune its method of operations to prevent any form of electoral malpractices."",""“We have taken concrete security measures to improve on what we have done in the presidential elections in order to ensure peaceful conduct of the gubernatorial and state assembly elections,” he said. The AIG said that no crisis was recorded during the March 28 election and attributed the success acheived to the security measures put in place by the police."",""Hassan directed the three commissioners of police under his supervision to ensure effective monitoring of the election in their respective areas of operations. ” We have done it in the last Presidential and National Assembly elections and we are battle-ready to do the same to enable eligible electorate exercise their civil responsibility through peaceful atmosphere,” he said."",""He advised trouble makers to stay clear from the zone, adding that the police would deal ruthlessly with any person or group of people planning to breach the peace in the affected states. “We will not tolerate any form of political violence as anti- thungery units are battle ready to exercise their constitutional responsibility, ” the AIG warned.""]",vanguardngr.com/2015/04/18000-security-personnel-deployed-for-april-11-polls-in-sokoto-kebbi-zamfara-states-aig
0,Rwanda to send peacekeeping troops to CAR,"[""Rwanda plans to send troops to assist an African Union-led force restoring security to Central African Republic, where a a peacekeeper died of injuries sustained in an attack."",""\""Rwanda was asked by the AU to contribute troops to the CAR and deploy urgently, and yes, right now the RDF (Rwanda Defence Force) is preparing to go,\"" Rwanda's foreign minister Louise Mushikiwabo said on Friday in a message posted on her Twitter account."",""Saying that Kigali troops will leave for Bangui \""very soon,\"" the foreign minister did not give details of how many troops will be sent. Military spokesman Joseph Nzabamwita said the army would announce troop numbers \""at the appropriate time\""."",""A Chadian peacekeeper injured in a Thursday attack on a patrol for the African-led International Support Mission to the Central African Republic died, AFP reported citing MISC's spokesman."",""Human Rights Watch and Amnesty International have both warned against escalating war crimes committed in the African nation that has left more than a thousand killed since clashes started on December 5, and hundreds of thousands displaced."",""Both human rights groups called on international community to aid the French 1,600-strong peacekeeping force deployed to CAR alongside AU forces."",""The US has been airlifting Burundian troops into the country as part of that force."",""Sectarian violence"",""Christian armed groups, known as the Anti-Balaka, attacked Muslim neighborhoods in Bangui on Friday, according to MISCA's spokesman."",""\""Anti-balaka fighters attacked the PK 5 neighbourhood and another neighbourhood called Fatima,\"" he said, adding that MISCA troops were on their way to the fighting."",""CAR has been reeling in sectarian violence which started in the capital, Bangui, with an early morning attack by Christian militiamen from the Anti-Balaka group who went door to door, killing at least 60 Muslims."",""A Muslim rebel group, the de facto government forces known as the Seleka, retaliated against Christians by killing nearly 1,000 men in two days, including a small number of women and children."",""The days that followed the initial burst of violence in Bangui, human rights violations and abuses continued at a staggering pace, Amnesty said."",""The violence prompted hundreds Central Africans to flee their homes. According to Amnesty, a total of 614,000 people have been displaced across the country, including 189,000 in Bangui alone, about a quarter of the city’s population.""]",aljazeera.com/news/africa/2013/12/rwanda-send-peacekeeping-troops-car-201312208195462305
