Column1,title,text,url,date
38092,Presidency hails Senate over stance on Buhari’s medical vacation,"[""The Senior Special Assistant to the President on National Assembly Matters (Senate), Ita Enang has commended the Senate for its stance that President Muhammadu Buhari has not violated the law."",""The Senate said this in a statement signed by its Spokesman, Dr Sabi Abdullahi in Abuja on Thursday."",""The Senate was reacting to protests by a coalition of civil society organisations demanding that Buhari resumes duty or resigns."",""Buhari is presently on medical vacation in the United Kingdom."",""The Senate maintained that Buhari had broken no law as he complied with the provisions of the nation’s constitution which stipulated that he must handover to the vice president and duly inform the two chambers of the legislature about his medical vacation."",""According to Enang, the National Assembly is satisfied that the president’s absence left no vacuum, and therefore cautioned protesters against creating unnecessary tension in the country."",""Enang, who was fielding questions from newsmen after an interactive session with law students from Akwa Ibom who visited him in his office, described the Senate’s position as commendable and constitutional."",""“The stance of the senate is very patriotic; very commendable and very constitutional."",""“The Senate has always stood right and upright on matters of national interest and whenever there is an objection or anything that the senate has an objection to, we look at it maturely and we look at it amicably and in this particular situation as in most other situations I commend the Senate."",""“We thank the senate for the stabilising statement and for the position they have taken because it is the position of the law of the Constitution.”"",""The presidential aide said that the President was entitled under the constitution to go on medical vacation, saying that Bujari had already complied with all relevant sections of the nation’s constitution."",""“The president is entitled to under the Constitution transmit a formal letter to the Senate and House of Representatives informing them of his vacation and until he returns and transmits another letter, the acting President is still in charge and there is no vacuum in the country."",""“So all actions of the government like that of the executive, legislature and the judiciary are going on and nothing is affected adversely by the vacation of Mr President since there is no vacuum in the country,’’ he added."",""On the interactive session with the students, Enang said the meeting was part of the responsibilities of his office to serve as mentor to the young graduating lawyers from Akwa Ibom and other states in the South South region."",""“We take this opportunity to answer questions from them; we tell them about life experiences we have had; we tell them about what they are coming out to face; we answer the questions and we encourage them to keep the decent and standard tradition of the Bar, that is when they are eventually called to Bar."",""“They are preparing for their examinations now, they are young students and I as a very senior lawyer, I take the opportunity of my presence in Abuja and the offices I hold to invite them for lunch, to mentor them, talk to them, answer questions from them and encourage them to come into the practice well prepared.’’"",""According to Enang, he sees the interactive session as an opportunity to also educate the students on developmental activities of the government and the need to always promote peaceful and cordial co-existence among the diverse ethnic groups in the country.""]",guardian.ng/politics/presidency-hails-senate-over-stance-on-buharis-medical-vacation,2017-08-10T00:00:00.000Z
151043,Boko Haram: Saraki hails US over sale of fighter jets,"[""The Senate President, Dr. Bukola Saraki, has commended the United States government for approving the sale of A29 Super Tucano fighter jets to the Nigerian Air Force, saying it would boost the fight against insurgency in the North-East."",""Saraki was responding to the announcement by the Nigerian Air Force on Wednesday that the US Ambassador to Nigeria, Mr. Stuart Symington, had presented Letters of Offer and Acceptance to Nigeria."",""The letter represents the US government’s official offer to sell defence articles and services to Nigeria during a visit by the ambassador to the Chief of Air Staff, Air Marshall Sadique Abubakar."",""The Senate President, in a statement on Friday by his Special Adviser on Media and Publicity, Mr. Yusuph Olaniyonu, said the development was a positive indication that the Americans were genuinely interested in helping to restore peace to Nigeria by ending Boko Haram insurgency."",""While promising that the Senate would support the plan by the President Muhammadu Buhari-led administration to purchase high-powered security equipment in order to strengthen the armed forces, Saraki recalled that when he received an eight-man US congressional delegation headed by Senator Christopher Coons of Delaware on August 28, 2017, the need to lift embargo on sale of weapons to Nigeria by the US was a major point of discussion."",""Saraki said, “My gratitude and that of my colleagues goes to Senator Coons and other members of his delegation for giving congressional backing to this arms sales arrangement. They have kept their word and backed it up with action. During that visit, they promised that they would help to ensure the arms sales embargo against Nigeria was lifted. Now, we can see that they are true partners in the fight against terrorism in Nigeria.”"",""The Senate President also commended Symington for demonstrating consistent commitment to helping Nigeria to fully restore peace in the troubled North-East geopolitical zone."",""He said, “Since his first meeting with me after he resumed, Ambassador Symington had promised that he would make the lifting of the US ban on sale of military hardware to Nigeria one of his priority deliverables. Now, he has shown he is a true partner in Nigeria’s counter-insurgency campaigns.”"",""He also called on Nigeria’s partners across the world, especially in Europe, to emulate the US by supporting the anti-insurgency campaign through gestures like sale of arms and provision of assistance towards the rebuilding, reconstruction and rehabilitation of the war-ravaged areas in the North-East."",""Copyright PUNCH.\nAll rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH."",""Contact: [email protected]"",""DOWNLOAD THE PUNCH NEWS APP NOW ON\n\n\n\n\n\nReceive Alerts on: Whatsapp: +2349090060943, Twitter: @MobilePunch, BBM: C003D3DC0 \nShare your story with us:  SMS: +2349090060943, Whatsapp: +2349090060943, Email: [email protected] \n\n\n.socialmedia {\nmargin-bottom:20px;\nmargin-top:20px;\nfont-family: 'Open Sans', sans-serif;\n}\n\n.socialmedia h3 {\nfont-size:14px;\nmargin-bottom:10px;\nfont-weight:bold;\ntext-align:left;\n\n}\n\n.socialmedia h3 span {\n\nfont-size:14px;\nfont-weight:normal;\nline-height:1.5em;\n\n}\n\n.socialmedia h3 span#whatsapp {\nwidth:50px;\nheight:50px;\nbackground:url(\""https://cdn.punchng.com/wp-content/uploads/2018/05/07104600/wa1.png\"") no-repeat;\n}\n\n.socialmedia h3 span a {\ncolor:gray;\n}\n\n#main h3 {\nfont-weight:bold;\nfont-size:24px;\n}\n\n.box_app {\n  background-color:#fafafa;\n  width: 100%;\n  text-align: left;\n}\n\n\n\n\n\n\n(adsbygoogle = window.adsbygoogle || []).push({});""]",punchng.com/bharam-saraki-hails-us-over-sale-of-fighter-jets,2017-12-30T00:00:00.000Z
290490,Edo residents hail Obaseki for ongoing reconstruction of 140 roads,"[""With the mobilisation of contractors to reconstruct over 140 roads across the state, residents of Edo State have applauded Governor Godwin Obaseki’s resolve to bridge the infrastructure gap in the state, noting that the development would immensely impact their lives and businesses."",""The reconstruction of the roads is a measure by the Governor Obaseki-led government to put the roads in good shape, while work advances on new roads.\nEdo State Governor, Mr. Godwin Obaseki"",""A cross-section of residents across the state, who spoke to journalists at the weekend, hailed the governor for rehabilitation of the roads, as the decision to work on the roads in the dry season will ensure that they are durable."",""A resident in Mosheshe Street in Ugbekun area of Benin City, Mr. Austin Iserenren, said “the gesture by Governor Obaseki has brought relief to us who reside here. We have endured hardship for quite some time. Before this project was awarded for reconstruction, we struggled to get out of our neighbourhood, especially during raining season."",""“I commend Governor Obaseki for this step. I am truly surprised that the reconstruction of the road has come to fruition. When officials of the state government were here not long ago to do assessment of the road, I said this was another stunt by the state government because we have seen similar things in the past and nothing came out of them,” he added."",""A resident in Irrua, Esan Central Local Government, Mrs. Grace Omo, said the reconstruction of roads in the area will open the area up for development, noting, “It will be easier for people to commute and carry out their business. We appreciate the governor for his good intentions for us. Before now, during rainy season, the roads were terrible and difficult to pass through.”"",""The re-construction works are ongoing on Jemila Street/Ohovbe Road in Ikpoba Hill, and Lawani Junction by Urubi Street, Sokponba Road, Aburime Street and Delta Crescent off Ikpokpan."",""Others are Boundary Road and Commercial Avenue, as well as Ogbelaka, Yoruba Street and Dumez Road, Ugbor-Amagba Road, as well as roads in  Government Reservation Area (GRA) in Benin City."",""Work is also ongoing on Mousco – Ukpenu Road, Ekpoma; Irrua – Uromi Road; Secretarial Road, Igueben; Union Bank Road, Igueben and Uwenlebo Road, Ekpoma, in Edo Central."",""28 drown in India bus crash, many of them children""]",vanguardngr.com/2018/11/edo-residents-hail-obaseki-for-ongoing-reconstruction-of-140-roads,2018-11-24T00:00:00.000Z
60196,FG committed to restore peace to all parts of Nigeria – Buhari,"[""President Muhammadu Buhari on Thursday in Abuja reiterated his administration’s determination to restore peace to all parts of the country."",""The president made this known when he received the executive members of the Christian Association of Nigeria from 19 Northern states in the Presidential Villa."",""According to the president, the restoration of peace in troubled areas will remain top priority of the government."",""“Restoring peace is top priority. We will continue to encourage the law enforcement agencies to combat all forms of violent crimes and ensure that our people live in peace,’’ he said."",""President Buhari reassured that he would keep faith with the oath of office he swore and treat all Nigerians equally."",""He urged the clerics to promote religious harmony by “enhancing understanding among different faiths”."",""Buhari also disclosed that the government would maintain the priority it had placed on agriculture and mines and steel development to kick-start the economy."",""In his remarks, the leader of the group, Rev. Yakubu Pam, said it was not a mistake that God had chosen President Buhari to lead the country at these challenging times."",""He expressed the readiness of the association to support the President Buhari-led administration to deliver good governance."",""“You have good intentions for Nigeria, judging from the programmes that have been outlined,’’ he said."",""Pam also highlighted ethno-religious challenges in the country, freedom of worship, and herdsmen/farmers’ clashes in their discussion with the president."",""He commended the efforts of the Federal Government in ensuring the release of 21 abducted Chibok schoolgirls and for checking the activities of Boko Haram insurgents."",""Pam also saluted the president over the ongoing anti-corruption campaign, which he said “should be fought to the logical conclusion.”""]",guardian.ng/news/fg-committed-to-restore-peace-to-all-parts-of-nigeria-buhari,2016-11-03T00:00:00.000Z
151835,Buhari congratulates Pope Francis at 80,"[""President Muhammadu Buhari on Friday congratulated Pope Francis as he turns 80 on Saturday (today)."",""In a statement by his Special Adviser on Media and Publicity, Mr. Femi Adesina, Buhari said he was joining the Roman Catholic Church in particular, and the Christendom in general, in celebrating “this milestone in the life of the Pontiff.”"",""He said the Pope had shown uncommon humility, generosity and love for humanity."",""The statement read, “President Buhari believes Pope Francis has lived, preached and demonstrated the tenets of the Christian faith like Saint Francis of Assisi, who influenced the world around him by caring for the weak, the poor and helpless."",""“The President assures that the teachings of His Holiness on peace, love and tolerance in a world embroiled in conflicts will not be lost on leaders, and will continue to resonate through many generations.”"",""Copyright PUNCH.                \nAll rights reserved. This material, and other digital content on this website, may not be reproduced, published, broadcast, rewritten or redistributed in whole or in part without prior express written permission from PUNCH."",""Contact: [email protected]""]",punchng.com/buhari-congratulates-pope-francis-80,2016-12-17T00:00:00.000Z
86931,PDP presidential primaries: How aspirants stand,"[""Atiku, surprisingly, thanked his former Vice President Olusegun Obasanjo his victory."",""Senate President Bukola Saraki, Governor Ibrahim Dankwambo of Gombe State and former Vice President Atiku Abubakar shortly after Atiku was declared the winner of the PDP presidential primaries at the PDP national convention in Port Harcourt"",""Atiku paid tributes to his rivals. He promised to work with them. “We shall all be partners,” he said."",""http://editor.guardian.ng/wp-content/uploads/2018/10/WhatsApp-Video-2018-10-07-at-13.10.50.mp4"",""Governor Okowa has returned to go over the votes scored by each of the candidates – a prelude to the formal declaration of the winner."",""Rivers state governor, Nyeaom Wike, a known supporter of Aminu Tambuwal, and his delegates have left the stadium even before Atiku delivers his acceptance speech"",""Atiku Abubakar gets a congratulatory hug from a PDP chieftain while the director general of his campaign organisation Chief Gbenga Daniel and Senator Ben Murray-Bruce look on."","".@OfficialPDPNig, thank you for choosing me. This is a victory for all of us. The task to get Nigeria working again starts now. #NigeriaWillWork #LetsGetNigeriaWorkingAgain pic.twitter.com/Ud4wYv7e9P"",""— Atiku Abubakar (@atiku) October 7, 2018"",""Atiku Abubakar has won more votes than Tambuwal. 912 votes and counting."",""Rivers State delegates, who voted overwhelmingly for Governor Aminu Tambuwal, are sober a source told our correspondent in Port Harcourt."",""With a total of 1553 votes already accounted for including void votes, Atiku Abubakar is expected to win the primaries."",""Below are what each of the contenders scored so far:"",""Ibrahim Dankwambo – 111"",""Ahmed Makarfi – 74"",""Rabiu Kwankwaso – 158"",""Jonah Jang – 19"",""Datti Ahmed – 5"",""David Mark – 35"",""Kabiru Turaki – 65"",""Sule Lamido – 96"",""Attahiru Bafarawa – 48"",""Bukola Saraki – 317"",""Aminu Tambuwal – 693"",""The People’s Democratic Party is currently holding its national convention to select its candidate for the next general elections."",""The voting has been done by about 4000 delegates who are at the Port Harcourt venue.""]",guardian.ng/news/pdp-presidential-primaries-how-aspirants-stand,2018-10-07T00:00:00.000Z
201944,Kivejinja: Kudos for TZ for fostering Kiswahili,"[""Uganda has praised Tanzania for uniting its people through the use of Kiswahili as a national language"",""“I would like to pay tribute to the founders of Tanzania for discovering an important tool in the foundation of the nation”, said the Uganda deputy prime minister Kirunda Ali Kivejinja on Friday."",""He said on Friday in Zanzibar when closing the first international conference on Kiswahili organized by the East Africa Community that with more than 120 ethnic groups Tanzania has managed to use Kiswahili as “the most efficient and effective integration tool”."",""Dr Kivejinja, who is the current Chairperson of the EAC Council of Ministers, reiterated the need for Kiswahili to be mass oriented and used as a tool for integrating the people of East Africa."",""“It is through the use of Kiswahili as a tool for integration that the region shall achieve the provision of Article 137 (2) of the EAC Treaty that provides Kiswahili to be developed as a lingua franca of the Community”, he pointed out."",""He underscored the commitment of the Community’s leadership in implementing the Sustainable Development Goals (SDGs) and tasked the EACK to generate proposals on how Kiswahili can be used in the achievement of these goals. Dr. Kivejinja expressed his appreciation on the role played by the East African Kiswahili Commission (EAKC) - an institution of the EAC - in elevating the Kiswahili from a lingua franca to the official language of the region."",""The EAKC Executive Secretary, Prof. Kenneth Simala confirmed that efforts were underway towards the implementation of a policy directive made last year towards making Kiswahili as an official language of the EAC."",""When she opened the conference on Wednesday, the vice president Samia Suluhu Hassan emphasized that the people of EA should be active agents for change to spearhead the promotion of the language throughout the region."",""“Tanzania shall continue standing at the forefront of the promotion of Kiswahili, and is ready and willing to provide Kiswahili teachers to the rest of the region,” she said."",""The EAC, Amb. Liberat Mfumukeko affirmed there was no doubt that Kiswahili was an important ingredient in the integration and sustainable development of the EAC."",""In recent years the EAC through its legislative organ, the East African Legislative Assembly (Eala), has been pushing for Kiswahili to be made one of the official working of the Community besides English."",""A Resolution to the effect was passed by Eala during its session held in Arusha in August last year."",""Under the EAC Treaty, English remains the official language while Kiswahili has a status of lingua franca, a community-wide language."",""It is both a national and official language of Tanzania and the national language in Kenya and of late Rwanda."",""Outside the two countries, it is spoken by 70 per cent and 50 per cent of the general public in Burundi and Rwanda respectively."",""It is also widely spoken in several other countries in eastern, central and southern Africa."",""U T I L I T Y"",""The East African Kiswahili Commission (EACK) is an institution of the East African Community based in Zanzibar, The United Republic of Tanzania. The Commission started its operations in May, 2015 and has developed the Annual Operations Plan for 2016-2017. The Commission’s vision is to be the leading body in the promotion and coordination of the development and usage of Kiswahili for regional integration and sustainable development.""]",thecitizen.co.tz/news/Kivejinja--Kudos-for-TZ-for-fostering-Kiswahili/1840340-4089086-lq3vj9,2017-09-10T00:00:00.000Z
262702,Itsekiri group congratulates Buhari,"[""Itsekiri Legacy Rebirth,  ILR, a socio-cultural group, has congratulated president-elect, Gen Muhhamadu Buhari (retd) and his vice, Professor Yemi Osibanjo “for a battle well fought and a victory well deserved.”"",""A statement by the group’s Chairman, Dr. Alex Ideh, said: “The same congratulations go to All Progressives Congress and all Senators and House of Representatives, elected on its platform."",""“We are delighted that the smear campaigns inflicted on you and some APC leaders did not find favour with Nigerians, who identified with your towering image anchored on transparency and incorruptibility.”""]",vanguardngr.com/2015/04/itsekiri-group-congratulates-buhari,2015-04-08T00:00:00.000Z
354128,Pope Francis salutes migrants from Nigeria during his weekly general audience he...,"[""Pope Francis salutes migrants from Nigeria during his weekly general audience he held in the Pope Paul VI hall, at the Vatican, Wednesday, Aug. 12, 2015. (L'Osservatore Romano/Pool Photo via AP)""]",ap.com/Pope Francis salutes migrants from Nigeria during his weekly general audience he...,2015-08-12T00:00:00.000Z
112605,Ajasin commends Yoruba  summit on restructuring,"[""The Chairman of Atayese, Mr. Tokunbo Ajasin, has commended the recent convention of the Yoruba Summit to prepare a Yoruba position and chart a way to securing the process popularly referred to in Nigerian parlance as restructuring."",""Speaking on behalf of Atayese, Ajasin, in a goodwill message, said: “I commend the efforts of the organisers. Without efforts of this kind, political life among the Yoruba will most easily implode and anomie will cap the infusion of socio economic insecurity, psychological uncertainty and political cynicism that characterise and pervade life and living in today’s Yoruba nation and the Nigerian state.                                                                  "",""“In spite of the failing Nigerian post-colonial state, the Yoruba remain a sophisticated people, who over the years have imposed definitive and defining parameters on the Nigerian political terrain. "",""“The life and times of the pre-eminent Yoruba of our time, Baba Oloye Obafemi Awolowo, is a living testimony to this claim. Over and over again, the Yoruba nation has produced the leading players, the winning formula and indeed the brightest light in attempts to work and move up this experiment of 1914 by Lugard.”                                                  "",""Ajasin said in as much as the Nigerian state continues to falter and is threatened by the reality of state failure, the Yoruba nation itself needs to practise what it preaches, which is the true democratic federalism. "",""He urges the citizens to return to their homes and communities to have a rethink on their ethics and commence work from were other elites left off in building a modern state on the basis of a sound moral community, as the leading nations and states throughout history have done.                 \u0009\u0009  "",""“When this is embedded in our youths, our communities, our socio political organizations; the mechanics of true federalism which we have gathered to belabor will be the preferred mode and method of governance…. with the Yoruba nation in the lead and the Nigerian experiment a success,” he stated.""]",guardian.ng/news/ajasin-commends-yoruba-summit-on-restructuring,2017-09-09T00:00:00.000Z
