Column1,title,text,url
352153,Muslim girls attend a demonstration calling on the government to rescue the 276...,"[""Muslim girls attend a demonstration calling on the government to rescue the 276 missing kidnapped school girls of a government secondary school Chibok, in Lagos, Nigeria, Monday, May 5, 2014. Leader of a protest march Saratu Angus Ndirpaya of Chibok town, said that Nigeria's First Lady ordered her and another protest leader to be arrested Monday, and expressed doubts there was any kidnapping and accused them of belonging to the Islamic insurgent group blamed for the abductions. (AP Photo/ Sunday Alamba)""]",ap.com/Muslim girls attend a demonstration calling on the government to rescue the 276...
242930,Nnewi residents in mass protest against incessant kidnapping,"[""AWKA â€” COMMERCIAL activities were, yesterday, paralysed in the industrial town of Nnewi in Anambra State as markets, banks and courts were closed down in protest against incessant kidnapping in the area."",""Traders from various parts of the country, who were in the market noted for motorcycle and vehicle spare parts, were taken aback as the town looked a shadow of itself, with traders obeying the directive of their leaders to remain at home to drive home their point for security operatives to rise to the occasion and find solution to the problem of kidnapping in the town."",""At about 9a.m., doctors at the Nnamdi Azikiwe University Teaching Hospital, lawyers at the High Court complex and traders carried placards and marched round some places in the town, calling on the authorities concerned to do something immediately before everybody that had something to do in Nnewi flee to other cities in the country where their safety could be guaranteed."",""Placards"",""Some of the placards waved by the protesters read, â€œPolice can no longer maintain peace in Nnewiâ€, â€œIG, please come to our rescueâ€, â€œLives of people at Nnewi no longer safeâ€, â€œDoctors say no to kidnappingâ€, â€œKidnappers leave lawyers aloneâ€, â€œCorruption and unemployment breed crimeâ€, â€œGovernment do something about kidnappingâ€ and â€œKidnappers paralyse business in Nnewiâ€."",""President of Nnewi Traders Association, Chief Gozie Akudolu, said the business community and professionals in the town decided to protest because commercial activities at Nnewi were grinding to a halt as a result of kidnapping that had become the order of the day."",""According to him, no fewer than 62 notable importers have fled the town in the last few months when they could no longer live with the fear of being kidnapped."",""â€œOn behalf of the traders, I want to say that the protest and closure of the markets will continue until we get an assurance that our security is guaranteed. As it is, everybody is afraid to do his genuine business at Nnewi and we no longer sleep with our eyes closed."",""â€œWe are tired of paying millions of naira as ransom to kidnappers when we have the Police to protect us."",""â€œThe Inspector-General of Police should remove most of the policemen in Anambra State because they are no longer in a position to fight crime in the state, as they are only after the money they collect at the numerous check points."",""â€œIf the Police are incompetent to handle the issue, the Federal Government should deploy soldiers to Nnewi to maintain law and order,â€ Akudolu said."",""Commisioner of Police speaks"",""Commissioner of Police, Mr. Philemon Leha, who also addressed the protesters, said nobody should be happy with the situation of things in Anambra State in terms of the failure of security."",""â€œI was worried when I learnt that the entire markets and courts in Nnewi were closed down. I am also worried that the problem of kidnapping has continued despite the efforts of the Police to fight crime in the state,â€ the Commissioner said."",""According to him, the IG had on several occasions summoned all the Police Commissioners in the South-East Zone over the matter, while the governors of the zone have also been deliberating on the issue."",""He added that the IG, who is from this zone, is highly disturbed."",""He also said that all members of the State Security Council would address all the stakeholders at Nnewi today on the issue and assured the people that a lasting solution to the problem would soon be found.""]",vanguardngr.com/2010/06/nnewi-residents-in-mass-protest-against-incessant-kidnapping
11224,"Six months after girls abducted, Nigerians protest near president's house","[""ABUJA (Reuters) - Protesters demanding the release of more than 200 Nigerian schoolgirls kidnapped six months ago by Islamist militants, demonstrated infront of the president’s home on Tuesday, urging the government to do more to free them."",""Around 60 people in red T-shirts that read “Bring Back Our Girls” marched to the residence of President Goodluck Jonathan in a leafy part of the Nigerian capital, which was guarded by more than 150 armed police."",""Scores of other protesters were prevented from joining the rally by other police lines at the top of the street."",""“I want the president to try and bring back my friends,” said Rebecca Ishaku, who managed to escape from the clutches of the Boko Haram militants after they attacked a remote northeastern school in April."",""“I can’t even imagine what’s happening to them.”"",""The kidnapping of around 270 girls from the northeastern village of Chibok shocked the world and raised doubts about Nigeria’s ability to defeat the Islamist radicals."",""Some of the girls were able to flee or were released, but more than 200 remain in captivity and Nigeria’s slow response to the crisis coupled with its failure to locate the captives has brought it widespread criticism at home and abroad."",""A leader of the organisation of Chibok parents, Hosiah Lawan, struggled to hold back tears as he addressed the crowd, some of whom were also crying. He said government reassurances of an imminent rescue had originally given him hope."",""“That hope is now fading fast,” he said."",""Jonathan sent his minister for lands and housing, Akon Eyakenyi, to meet the protesters, who were chanting “Bring back our girls now, and alive!” and waving banners."",""“The president will do something .... by the grace of God the girls will be brought back home,” Eyakenyi said."",""Jonathan’s administration has said the military is overstretched in the northeast and that a botched rescue would seriously endanger the girls’ lives."",""Boko Haram is fighting to carve an Islamic state out of religiously mixed Nigeria and is seen as the biggest security threat to Africa’s top economy and leading energy producer. It is also seen as a growing menace to neighbouring states."",""In the past two months Boko Haram has seized territory near the Cameroon border, possibly inspired by similar moves by Sunni Muslim militants in Iraq and Syria."",""Leaders of Niger, Nigeria, Chad, Cameroon and Benin on Tuesday announced plans to step up the fight against Boko Haram with an extra battalion and a command centre."",""A few hundred other mostly women protesters gathered just north of the town centre on Tuesday, a Reuters witness saw, under the watchful eye of some 60 pro-Jonathan youths, a few of them armed with whips."",""“Every day I’m crying,” Rebecca Samuel, whose daughter is still with the rebels, told Reuters, her face in her hands. “I believe the government can do it. They can get them back.”""]",reuters.com/article/us-nigeria-girls-idUSKCN0I32FX20141014
344618,"Widespread anger over gas prices, corruption emerges as paralyzing strike begins in Nigeria","[""LAGOS, Nigeria (AP) - A national strike fueled by widespread dissent over spiraling gas prices paralyzed Nigeria on Monday, as tens of thousands of protesters took over the empty streets to criticize government corruption in one voice."",""Protests remained largely peaceful across the country on the strike's first day, though a police shooting in Lagos left one dead and four wounded, while another in the northern city of Kano killed two more."",""Still, the widespread anger could be felt just like the heat pouring off burning tires and debris left scattered by some protesters, upset by the ingrained graft and failures of Nigeria's young democracy."",""\""It is high time to take Nigeria into our hands,\"" said Bola Adejobi, 53, who works as an educational consultant and an interior designer said. \""It happened in Egypt. It happened in Libya.\"""",""Labor unions called the strike after President Goodluck Jonathan's administration announced Jan. 1 it unilaterally removed subsidies that kept gasoline prices low in the nation of 160 million people. The decision saw gas prices rise from $1.70 per gallon (45 cents per liter) to at least $3.50 per gallon (94 cents per liter). That spurred a spike in prices for food and transportation across a country where most live on less than $2 a day"",""Cheap gasoline remains the only noticeable benefit for Nigeria's public after 50 years of oil production that has seen military leaders and politicians embezzle billions in government funds. Gasoline also remains vital in a nation where electricity remains scarce."",""\""People have to understand that in the West, petrol is for your car. In Africa, in Nigeria especially, petrol is your life,\"" said musician Seun Anikulapo-Kuti, son to the late Afrobeat legend Fela. \""There's no light without petrol. Everybody runs a generator.\"""",""The scope of the strike Monday became clear at first light in Lagos. The typically snarled streets of the commercial capital stood empty. Trade unions set up informal roadblocks, aided by local gang members who attacked cars of those driving in spite of the strike."",""More than 10,000 people later gathered at a public park in Lagos, with nearly everyone shouting their criticisms of Jonathan and Nigeria's federal government. Placards and banners bore an effigy of Jonathan with devil horns and fanged teeth, working as an attendant at a gas station. In Nigeria's capital Abuja, thousands also demonstrated in the streets."",""While most businesses remained closed Monday, some flights left Lagos' Murtala Muhammed International Airport. Oil production also apparently continued in Nigeria, which produces about 2.4 million barrels of oil a day and remains a top crude supplier to the U.S. However, the unions representing oil workers had promised to go along with the national strike."",""Activists also wore shirts bearing symbols for a loose-knit group of protests called \""Occupy Nigeria,\"" inspired by those near Wall Street in New York. The anger of those gathered also extended to the government's weak response to ongoing violence in Nigeria by a radical Muslim sect that, according to an Associated Press count, killed at least 510 people last year."",""Famous Nigerian authors, including Chinua Achebe, issued a statement Monday saying they supported the strike, and warning that if left unattended the violence by the sect known as Boko Haram could sweep the country."",""\""The country's leadership should not view the incessant attacks as mere temporary misfortune with which the citizenry must learn to live; they are precursors to events that could destabilize the entire country,\"" their statement read."",""Police largely stood by as some protesters lit bonfires and pulled metal barriers into a Lagos highway. As officers picked up the barriers, some demonstrators moved to help them."",""In the Ogba neighborhood, however, witnesses and a doctor said a police officer opened fire on a group of protesting youths, killing one and wounding four others. An angry crowd later pushed the corpse through the neighborhood in a wheelbarrow, shouting promises of revenge, setting fires and knocking over police traffic posts."",""The police officer accused of killing the protester has been arrested, Lagos state police spokesman Samuel Jinadu said."",""In Nigeria's second-largest city of Kano, protest organizer Ashiru Sharif said two young men were shot dead by security officers who opened fire on a crowd of chanting protesters."",""\""We were not attacking anybody,\"" said Sharif, adding that 24 other peaceful protesters were wounded."",""Meanwhile, angry protesters attacked the seat of Kano's state government, setting offices and cars ablaze, local police commissioner Ibrahim Idris said. Security officers there shot at the mob, resulting in a stampede that left seven wounded, Sharif said. Authorities later set a dusk-to-dawn curfew to tamp down on the violence."",""Violence also cut across religious lines in Nigeria, which is divided into a largely Christian south and Muslim north. In Edo state, state police commissioner David Omojola said that a mob attacked a Muslim neighborhood in the southwestern city of Benin, leaving people injured. Rioters also attempted to torch a mosque, but were stopped by the police, Omojola said."",""It remains to be seen how long the strike will last. The unions have said described it as indefinite, saying they'll only stop if the government restores the fuel subsidies. Jonathan has remained adamant the subsidies must remain in place to save the country about $8 billion a year, money he says will go toward badly needed road and public projects."",""But Monday's demonstrations show Nigerians as a whole appear unwilling to let the government in a nation where corruption runs rampant have any more money."",""\""Corruption is the bane of this nation,\"" said Udoka Iloba, a 40-year-old accountant. \""Nigerians are tired.\"""",""------"",""Associated Press writers Ibrahim Garba in Kano, Nigeria; Lekan Oyekanmi in Abuja, Nigeria and Yinka Ibukun in Lagos, Nigeria contributed to this report."",""------"",""Jon Gambrell can be reached at http://www.twitter.com/jongambrellAP[http://www.twitter.com/jongambrellAP].""]","ap.com/Widespread anger over gas prices, corruption emerges as paralyzing strike begins in Nigeria"
393819,Pakistan Islamists protest for second day after Christian acquitted of blasphemy,"[""Islamist protesters blocked roads in major cities of Pakistan for a second day on Thursday, opposing a Supreme Court decision the previous day to acquit a Christian woman on death row for blasphemy allegations, media said."",""Knots of protesters from an ultra-Islamist party blocked roughly 10 key roads in the southern city of Karachi and others in eastern Lahore, Geo TV and other channels said. Private schools in both cites were shut, as well as in the capital."",""Groups of about 200 protesters from the Tehreek-e-Labaik (TLP) party sat under large tents, listening to speeches on two blocked roads in Karachi, a Reuters witness said."",""In one speech, a TLP speaker exhorted supporters to light new fires if the police managed to douse burning tires and other objects they had already set ablaze."",""The demonstrators were protesting against the courts decision to free Asia Bibi, a mother of four, who had been living on death row since 2010, as the first woman sentenced to death by hanging under Pakistans tough blasphemy laws."",""Bibi was accused of making derogatory remarks about Islam after neighbors objected to her drinking water from their glass because she was not Muslim."",""But a three-judge panel set up to hear the appeal, headed by Chief Justice Saqib Nisar, ruled the evidence was insufficient."",""The case has divided Pakistan, where two politicians who sought to help Bibi were assassinated, and outraged Christians worldwide, with Pope Francis saying he personally prayed for Bibi."",""In a televised national broadcast late on Wednesday, Prime Minister Imran Khan warned the protesters the government would act against any prolonged blockade."",""We will not allow any damages. We will not allow traffic to be blocked, Khan said. I appeal to you, do not push the state to the extent that it is forced to take action."",""Khans broadcast followed comments by a senior leader of the Islamist TLP group, calling for Chief Justice Nisar and the other two judges to be killed."",""They all three deserve to be killed, TLP co-founder Muhammad Afzal Qadri told a protest in Lahore. Either their security, their driver, or their cook should kill them."",""He also called for the ouster of Khans new government and urged army officers to rise up against powerful military chief General Qamar Javed Bajwa."",""Hafiz Saeed, an influential Islamist whom the U.S. accuses of being the mastermind of attacks in Mumbai in 2008 that killed 166, has called for protests after Friday afternoon prayers."",""Another Islamist group, the Milli Yakjehti Council, is also meeting on Thursday to discuss Bibis case and may launch protests.""]",citizentv.co.ke/news/pakistan-islamists-protest-second-day-christian-acquitted-blasphemy-217097
98889,"Tricyclists, visually-impaired persons protest in Owerri","[""Scores of tricycle operators, popularly known as keke, yesterday staged a protest in different parts of  metropolis against a ban placed on them by the officials of the state- owned Environmental Transformation Commission (ENTRACO). The commission ordered them not to operate within the capital city from December1. "",""They also expressed misgivings that the state governor, Rochas Okorocha, could not address them on Monday as announced."",""Also, visually -impaired persons had on Monday staged their own protest. The obstructed vehicular and human traffic in the capital city, especially in front of the venue of the swearing in of the new 28 commissioners, Imo International Convention Centre (IICC), Owerri."",""They accused the state government of not taking care of their welfare, insisting on an immediate release of subventions accruable to them, among other packages. They also demanded that school for the blind be built."",""Protesting keke operators allegedly destroyed vehicles belonging to the officials of the ENTRACO.They blocked roads leading to the Government House."",""The governor had directed the ban from October, but he later extended it to December 1. ""]",guardian.ng/news/tricyclists-visually-impaired-persons-protest-in-owerri
31486,Libya protesters force internet shutdown,"[""Knife-wielding protesters have stormed the headquarters of Libya's largest telecoms provider and forced an eight-hour shutdown of internet access in the south and west of the country."",""Dozens of protesters calling for Prime Minister Ali Zeidan to resign occupied Libyan Telecom and Technology's headquarters in the eastern suburbs of the capital, Tripoli, on Saturday, forcing staff to cut internet service, said LTT communications chief Mourad Bilal."",""\""Thanks to the activation of a Plan B by our telecommunications technicians, internet has now been restored in the regions that experienced outages,\"" Bilal told AFP news agency."",""Besides calling for the prime minister's ouster, Bilal said, the group condemned the blockade of vital oil terminals in eastern Libya by local security guards demanding regional autonomy."",""The months-long blockade has dealt a blow to the country's economy and slashed oil production from nearly 1.5 million barrels per day to just 250,000."",""Since the overthrow of Libya's longtime leader Muammar Gaddafi in 2011, authorities have struggled to impose their authority and stem rising lawlessness.""]",aljazeera.com/news/africa/2013/12/libya-protesters-force-internet-shutdown-2013122253210585577
342033,Muslims trail a US flag and promenade a portrait of U.S. President Barrack Obama...,"[""Muslims trail a US flag and promenade a portrait of U.S. President Barrack Obama during a protest in Kano, Nigeria. Saturday, Sept. 22, 2012. Some thousands of people walked through the streets of Nigeria's largest city to protest a film that Muslims say is offensive about the Prophet Muhammad. (AP Photo/Salisu Rabiu)""]",ap.com/Muslims trail a US flag and promenade a portrait of U.S. President Barrack Obama...
359427,Bring back our girls campaigners chant slogans and sing during a protest calling...,"[""Bring back our girls campaigners chant slogans and sing during a protest calling on the government to rescue the remaining kidnapped girls of the government secondary school who were abducted almost three years ago, in Lagos, Nigeria Thursday, April. 13, 2017. Nigeria's government says negotiations continue for the release of the remaining Chibok schoolgirls who were kidnapped three years ago by Boko Haram extremists. (AP Photo/ Sunday Alamba)""]",ap.com/Bring back our girls campaigners chant slogans and sing during a protest calling...
300104,"Plateau LG polls: Angry youths block roads, insist on results","[""Angry youths in Mangu have blocked the only road leading to Jos to protest alleged refusal of electoral officers to release the results of the Plateau local governments elections held on Wednesday."",""The  youths have refused all entreaties to vacate the road, and have vowed to remain there until the Plateau State Independent Electoral Commission (PLASIEC), announced the outcome of the polls."",""The trouble started Wednesday night when the Returning Officer for the local government, Mr Christopher Beten, General Manager, Plateau Environmental Protection Agency, started the collation of results from the wards, but abandoned the exercise midway."",""“The official had collected results from some wards when a call came. He immediately told the agents and other ward returning officers waiting to take their turns, that he had been summoned to Jos,” a security source told Newsmen."",""The source said that the caller also spoke with the Electoral Officer in charge of Mangu Local Government, Mr Hosea Plang, as well as a senior Police officer maintaining law and order at the centre, adding that the trio left the collation centre few minutes later."",""“This happened last night, but since they left, we have not seen any of them."",""“We suspect that they want to manufacture figures and announce same in Jos. That is why the youths are angry and have reacted by blocking the highway to demand for the declaration of the results,” the source told NAN."",""The youths’ action, motorists coming from Shendam and Langtang axis have been stopped from moving to Jos, while those from Jos are massed up on the other side, waiting to be allowed to move."",""A spokesman of the youths, who gave his name as James, told Newsmen that the road would remain blocked “until the Returning Officer comes back to declare the result of yesterday’s election”."",""“We, the youths of Mangu, will not allow any car to pass through Mangu town until the needful is done by PLASIEC officials that conducted the local governments elections yesterday (Wednesday),” he said."",""Contacted, Mr Terna Tyopev, spokesman of the Plateau Police Command, confirmed the protest, but said that security personnel were trying to calm the youths."",""“We are trying to ensure that the situation does not get out of hand."",""“The Divisional Police Officer (DPO), in Mangu has confirmed the whole situation to me, but we are doing our best and have appealed to the youths to be peaceful in their protest, ’’ he said."",""A similar situation is brewing in Pankshin Local Government where the PLASIEC Returning Officer has yet to show up at the collation centre as at 8.22 a.m. this morning."",""“We have just brought results collated from the wards to the local government collation centre, but there is no single PLASIEC official around to receive them,” Mr Samuel Goar, a former chairman of the local government, told NAN on Thursday."",""According to him “there appears to be some sinister move by PLASIEC and the state government to manipulate the election in favour of a political party, but we shall not accept such manipulation”."",""He said that candidates worked very hard for success at the polls and should not be robbed of the fruits of such labour."",""Also Speaking, Mr Dom Joseph, an official of the PDP, decried the attitude of PLASIEC officials, declaring that such behaviour was “shocking, disturbing and uncalled for”."",""“We suspected some foul play when they started sharing the sensitive materials and distributed duplicated copies of the results sheets instead of the original, to the 20 wards."",""“Since last night, we have been waiting for the PLASIEC officials, but none has surfaced so far. I have never seen a situation like this,” he said."",""Mr Benedict Shiknughul, PDP Vice Chariman, Plateau Central, told NAN in Mangu that the situation was “scary”."",""“What we have gathered is that PLASIEC has been told not to announce any result at the collation centres. The ploy is to cook figures and announce same in Jos."",""“We are surprised by what is happening because the tension it is generating is not good for the security situation in Plateau,” he said."",""Contacted, Mr Joshua Pesun, PLASIEC commissioner in charge of voter education and publicity, refused to comment on the development."","" ""]",vanguardngr.com/2018/10/plateau-lg-polls-angry-youths-block-roads-insist-on-results
