Column1,title,text,url
73163,Liberia’s Weah replaces controversial justice minister,"[""Liberia’s new president George Weah has bowed to intense pressure and replaced his choice for justice minister after local media reported lawyer Charles Gibson was stripped of his licence for embezzling a client."",""A statement withdrawing the nomination “with immediate effect” was issued late Wednesday following the first serious hiccup for the ex-football star since being sworn in for a six-year term on January 22."",""Gibson, a high-profile legal figure, was once suspended by the Supreme Court for duping a client out of $25,000, and was ordered to repay the costs."",""He will be replaced by Musa Dean, previously a lawyer with the National Elections Commission (NEC), who battled Weah’s political opponents in the Supreme Court as they tried to delay the presidential vote that the sportsman won in a landslide."",""The new nomination must be approved by the senate."",""Weah has given posts to a mixture of inexperienced but loyal figures from his Congress for Democratic Change (CDC) party, along with some key members held over from the former government."",""The former AC Milan and Paris St Germain star has slashed the price of rice and taken a personal pay cut of 25 percent since his inauguration, after campaigning on a platform to raise living standards and tackle corruption.""]",guardian.ng/news/liberias-weah-replaces-controversial-justice-minister
470707,UN chief sacks South Sudan peace force commander,"[""UN Secretary-General Ban Ki-moon on Tuesday sacked the commander of the peacekeeping force in South Sudan following a damning report showing failure to protect civilians during recent violence in Juba."",""The report from a UN special investigation found that a lack of leadership in the UN mission culminated in a \""chaotic and ineffective response\"" during the heavy fighting in the capital from July 8 to 11."",""Lieutenant General Johnson Mogoa Kimani Ondieki of Kenya had been the force commander since May."",""Aid workers"",""Peacekeepers abandoned their posts and failed to respond to pleas for help from aid workers under attack in a nearby hotel, according to a summary of the report."",""The UN mission known as UNMISS has 16,000 troops deployed in South Sudan, which has been at war since December 2013."",""\""The special investigation found that UNMISS did not respond effectively to the violence due to an overall lack of leadership, preparedness and integration among the various components of the mission,\"" said UN spokesman Stephane Dujarric."",""Serious shortcomings"",""Chinese peacekeepers abandoned their positions at least twice and Nepalese peacekeepers failed to stop looting inside the UN compound, the inquiry found."",""Mr Ban said he was \""deeply distressed by these findings\"" and \""alarmed by the serious shortcomings identified by the special investigation\""."",""Treasury seeks additional funding of $866m, increasing the 2019/2020 budget to $30.4bn."",""Exporting nations cited for exceeding allowable levels of chemicals in fresh farm produce.""]",theeastafrican.co.ke/news/ea/UN-chief-sacks-South-Sudan-peace-force-commander/4552908-3438194-gw1o52
387983,Magufuli fires intelligence chief Kipilimba ahead of elections,"[""Tanzanian President John Pombe Magufuli has sacked the countrys intelligence chief Modestus Kipilimba just one year before the general elections."",""Dr. Kipilimba had only served for three years out of the five years of his term."",""According to Reuters, the latest move is seen as indicating a shake-up of the intelligence network ahead of elections next year."",""The Citizen, a Tanzanian newspaper, said his tenure is one of the shortest since Tanzanias independence in 1961."",""The press statement announcing his sacking was signed by the head of presidential communications, Gerson Msigwa."",""It said he will be assigned other duties but with no specifics on what the new responsibilities would be."",""Prior to his appointment, he had served as the director of the National Electoral Commission (NEC) voters register."",""He was appointed to head intelligence in 2016 just a few months after President Magufuli was sworn in as the president of Tanzania."",""According to the Guardian, Diwani Athumani has been sworn in to serve as the new intelligence chief."",""Up until his appointment Commissioner Athumani headed the Prevention and Combating of Corruption Bureau (PCCB).""]",citizentv.co.ke/news/magufuli-fires-intelligence-chief-ahead-of-elections-276331
34024,Zuma sacks three ministers in reshuffle,"[""South African President Jacob Zuma has reshuffled his cabinet for a fourth time, sacking three ministers, including a former anti-apartheid activist and a critic of his administration."",""Tokyo Sexwale, who has been human settlement minister, was fired on Tuesday along with embattled communications minister Dina Pule and the minister of traditional affairs, Richard Baloyi."",""The reshuffle, announced less than a year before Zuma seeks re-election for another five-year term, followed Sexwale's criticism of the president's stewardship of the economy, Africa's largest."",""Sexwale, a wealthy businessman, was jailed on the Robben Island like Nelson Mandela, the country's first black president and an anti-apartheid icon."",""The businessman was among a group of senior African National Congress (ANC) members looking to replace Zuma last year."",""However, Zuma is almost assured of being the party's presidential candidate in 2014 after winning an ANC leadership contest in December."",""Analysts say he has high chances of winning the 2014 election given his ruling ANC's stranglehold over politics but international credit agencies have downgraded South Africa in the last year, citing his ineffectual leadership among other long-term risks."",""Shady deals"",""One of the dismissed ministers has been facing allegations of being involved in shady deals."",""Pule stands accused of giving preferential treatment to a firm run by her then-boyfriend - a charge she denies."",""The ministers of energy and transport swapped portfolios while the much-maligned basic education minister, Angie Motshekga, at the centre of scandal in which textbooks went undelivered for months to a province, kept her post."",""Many ANC veterans feel Zuma has steered Mandela's former liberation movement away from its idealistic beginnings and into a morass of graft, cronyism and a culture of self-enrichment."",""Mandela, now 94 years old, has spent a month in hospital battling a lung infection that has left him in critical condition.South Africa was mired in recession when Zuma came to power, but since then has struggled to pick up to pre-2008 growth rates of around 5 percent."",""Since the ANC assumed power after the end of apartheid in 1994, the government has built hundreds of thousands of houses and provided basic service to millions of poor blacks left by the wayside during white-minority rule."",""But festering labour strife in the mining sector, a poor education system and a rigid jobs market have been eroding South Africa's economic competitiveness.""]",aljazeera.com/news/africa/2013/07/20137917372167268
99650,Turkey denies Damascus claim it sent troops into Syria,"[""The Turkish government denied claims that it had sent troops into northern Syria, where the regime backed by the Russian air force has launched a major campaign, state-run Anatolia news agency said on Monday, quoting the defence minister."",""“It is not true,” Ismet Yilmaz told parliament on Sunday night when asked whether Turkish soldiers had intervened in the fighting in the Syrian province of Aleppo."",""“The Turkish military has no intention of intervening in Syria.”"",""The Syrian government claimed that on Saturday 12 pick-up trucks equipped with heavy machine guns and ammunition had crossed into Syria from Turkey via the Bab al-Salama border crossing."",""They “were accompanied by around 100 gunmen, some of them Turkish forces and Turkish mercenaries,” Syrian state news agency SANA quoted the foreign ministry as saying."",""Turkish artillery struck at targets of Kurdish militia at the weekend, with Ankara insisting that it was returning fire under the rules of engagement."",""The regime in Damascus has condemned Ankara over the shelling while urging the United Nations to act."",""Meanwhile, Saudi Arabia has said it deployed warplanes to a Turkish airbase in order to “intensify” its operations against the Islamic State group in Syria."",""Turkey’s Yilmaz said a decision had been made with Saudi Arabia for the deployment of four F-16 jets."",""“They have not arrived today but they may tomorrow. An agreement had been reached in principle,” he said.""]",guardian.ng/news/turkey-denies-damascus-claim-it-sent-troops-into-syria
69197,Iraq speaker calls on PM to sack ‘corrupt’ ministers,"[""Iraqi parliament speaker Salim al-Juburi called Monday for the premier to sack ministers who are clearly negligent and corrupt as part of a wide-ranging reform drive."",""“We asked the prime minister to dismiss a number of ministers who are clearly guilty of dereliction, negligence and corruption,” Juburi said in televised remarks."",""Juburi did not mention specific ministers in his public remarks."",""But a parliamentary official said that said those responsible for electricity and water resources were both proposed for the chopping block in a meeting Monday between the speaker and political leaders."",""A parliamentary official said that the ministers responsible for electricity and water resources were both proposed for the chopping block in a meeting on Monday."",""Earlier, Juburi called on legislators to back an ambitious reform plan outlined the day before by Prime Minister Haider al-Abadi, but the parliament speaker has also said that more steps are needed."",""A plan for additional reforms in addition to Abadi’s will be discussed in parliament on Tuesday."",""Amid a major heatwave that has seen temperatures top 50 degrees Celsius (120 degrees Fahrenheit), protesters have railed for weeks against the poor quality of services, especially power outages that leave just a few hours of government-supplied electricity per day."",""Thousands of people have turned out in Baghdad and various cities in the Shiite south to vent their anger at the authorities."",""Various parties and politicians have sought to align themselves with the protesters — at least in their rhetoric — to take advantage of the movement and mitigate the risk to themselves."",""While people have protested over services and corruption before, those demonstrations failed to bring about significant change."",""And even with popular pressure and Sistani’s backing, the entrenched nature of corruption in Iraq and the fact that parties across the political spectrum benefit from it will make any efforts to change the system extremely difficult.""]",guardian.ng/news/iraq-speaker-calls-on-pm-to-sack-corrupt-ministers
378009,DPP officially revokes Murgor appointment as public prosecutor,"[""The appointment of lawyer Philip Murgor as a public prosecutor has officially been revoked."",""A gazette notice dated November 15 said the Director of Public Prosecution Noordin Haji has amended it by deleting the expression Philip Kipchirchir Murgor."",""His status as Prosecutor was the subject of a heated debate in a murder case involving his client Sarah Wairimu Cohen."",""On September 26, lawyer for the Cohen siblings Cliff Ombeta told the court that Murgors status is a matter of public interest."",""He told the court that Murgor had been appointed in January this year and was to serve in the position for two years."",""According to Ombeta, Murgor should not have been representing his client as Defense counsel."",""Murgor however insisted that Ombeta should have filed a formal application challenging the position."",""This is all a distraction, a waste of time and an abuse of the process. It should not affect the plea, the lawyer said."",""He intimated that he had wasted two months with no work assigned to him and subsequently resigned on March 7."",""We were working together with Mwaniki (Prosecutor in Cohen case) at the Supreme CourtI wrote a letter and even returned it to the DPP and on page 67, Mwaniki responded and acknowledged, Murgor told the court."",""The revelation saw the court rule that Sarah Wairimu be detained for a longer period until the matter involving her lawyer is resolved."",""Two days later, Justice Stella Mutuku ruled that Murgor would continue to represent Wairimu noting that he was no longer a Prosecutor.""]",citizentv.co.ke/news/dpp-officially-revokes-murgor-appointment-as-public-prosecutor-293739/indexutm_source=relatedarticles&utm_medium=deeplinking&utm_campaign=AlsoRead
20732,Tanzania's Magufuli sacks officials who failed to recall public works budget figures,"[""DAR ES SALAAM (Reuters) - Tanzanian President John Magufuli sacked two senior officials late on Monday after they failed to recall immediately how much money was allocated by the government in their respective districts for public road construction projects."",""Magufuli, nicknamed “the Bulldozer” for his infrastructure projects and leadership style, launched his reform drive after he was elected in late 2015, promising to transform an economy hobbled by red-tape and corruption and carry out a major building program."",""He has sacked thousands of civil servants over the past two years in a crackdown on government inefficiency and corruption."",""A statement issued by the president’s office said the sacked director of the Bukoba Municipal Council, Erasto Aron Mfugale, and the director of the Bukoba Rural Municipal Council, Mwantum Kitwana Dau, would be assigned to other duties."",""The president’s office did not explain the reasons for the sackings."",""However, the two municipal directors were dismissed just hours after the president summoned them at a public gathering and demanded that they announce exactly how much was allocated by the government for road construction in their districts."",""“You can’t talk to me like that,” Magufuli said at the launch of a new airport in the lakeside town of Bukoba, which was televised live. Dau had informed the president that she oversees many departments and could therefore not immediately recall the exact budget allocated for road projects."",""The two dismissed officials were not immediately available for comment."",""Magufuli, who served as the public works minister for nearly 20 years before becoming president, is widely known for having data at his fingertips, and frequently recites monetary figures and exact lengths of roads to their decimal points without referring to notes."",""He has purged more than 20,000 “ghost workers” from the public service payroll and sacked 12,000 government employees for forging their academic transcripts."",""“I will continue to straighten out those few people who have been looting this country in order to ensure that the majority of the population can reap the benefits,” he said."",""Magufuli has won praise from some Western donors for cracking down on corruption and tax evasion."",""Critics accuse his administration of being increasingly autocratic, but the president declared on Monday that his government “respects democracy”.""]",reuters.com/article/us-tanzania-politics/tanzanias-magufuli-sacks-officials-who-failed-to-recall-public-works-budget-figures-idUSKBN1D70E7
398329,Sonko suspends top county officials,"[""Nairobi Governor Mike Sonko on Monday suspended three county government officials suspected to have misused public funds during their time in office."",""The officials sent packing include; Chief of Staff Brian Mugo, acting Finance Chief Officer Ekaya Alumasi and acting Head of County Treasury Stephen Mutua."",""Sonko has subsequently asked the Directorate of Criminal Investigations (DCI) to move quickly and investigate the matter."",""The Nairobi governor also reiterated that if the officials are found guilty they will be prosecuted."",""At the same time, the governor reshuffled his cabinet, appointing a new County Executive for Commerce."",""Ive formally appointed Mr. Newton Munene as the new Commerce, Tourism \u0026 Cooperatives Executive after the Nairobi City County Assembly approved his nomination. Mr. Allan Igambi Esabwa, who has been serving in the docket, will now take over as the new Finance Executive, said Sonko."",""Mr. Charles Kerich who has been Acting Finance Executive remains in the Lands, Housing and Urban renewal docket.""]",citizentv.co.ke/news/sonko-suspends-top-county-officials-over-alleged-graft-208280
144112,524 dismissed soldiers plead for mercy,"[""Five hundred and twenty-four dismissed soldiers have pleaded with the Nigerian Army to “tamper justice with mercy’’ and review their dismissal."",""The Chief Commissioner, Public Complaints Commission, Mr Emmanuel Ogbole, made the disclosure on Tuesday when he visited the Chief of Army Staff, Lt.-Gen. Tukur Buratai, to submit the case files of the ex-soldiers."",""Ogbole said that the affected soldiers had earlier visited the commission and pleaded with it to intervene on their behalf in respect of their dismissal."",""He said, “In summary, we are not here to take any decision on the issue, we are here to transmit their complaints which were recorded and documented for us to you."",""“This is to enable you to look into them and take the appropriate action in the best interest of the Nigerian army and the nation at large.”"",""Responding, Buratai said the cases would be studied in their individual merit and resolved in the best interest of the army and the nation."",""He said, “The complaints of 524 ex-soldiers which you presented to me are going to be studied, we will look at each case on its merit."",""“I assure you that they are going to be resolved in the best interest of the Nigerian army and in the best interest of our country."",""“We know that 524 soldiers are almost a battalion and we will definitely feel the impact of these guys."",""“But notwithstanding, we will still look at their cases critically based on their merits in the interest of our service and the country.”"",""The army had in 2014 dismissed 5,000 soldiers for various offences, including alleged refusal to fight the Boko Haram terrorists in the North East."",""However, 3,032 were pardoned and redeployed to the North East to fight the insurgents."",""Their cases were reviewed by a military panel led by the General Officer Commanding, 1 Division, Maj.-Gen. Adeniyi Oyebade."",""(NAN)""]",punchng.com/%2a/524-dismissed-soldiers-plead-for-mercy
