Column1,title,text,url,date,location,title_arrest,title_censor,title_changeelection,title_changepower,title_cooperate,title_coup,title_defamationcase,title_diplomatic,title_disaster,title_disparage,title_legalrestriction,title_martiallaw,title_mobilizesecurity,title_mobilizesupporters,title_praise,title_protest,title_purge,title_raid,title_threaten,title_violencelethal,title_violencenonlethal,text_arrest,text_censor,text_changeelection,text_changepower,text_cooperate,text_coup,text_defamationcase,text_diplomatic,text_disaster,text_disparage,text_legalrestriction,text_martiallaw,text_mobilizesecurity,text_mobilizesupporters,text_praise,text_protest,text_purge,text_raid,text_threaten,text_violencelethal,text_violencenonlethal
324423,Burundi could pull out of Rome Statute after launch of probe,"[""Burundi has threatened to reconsider its membership to the Rome Statute after the International Criminal Court launched preliminary investigations into post-election killings in the country."",""Foreign Affairs Minister Alain Nyamitwe said ICC prosecutor Fatou Bensouda had not taken into account the principle of complementarity, where national courts are given the first priority to investigate the killings that have taken place in Burundi since April last year."",""Mr Nyamitwe said Burundi is yet to decide on its membership of the ICC but “should the ICC not respect what the African Union has been asking for, then we have no choice but to follow what others in the continent have come up with as an alternative.”"",""READ: ICC to probe deadly violence in Burundi"",""Members of the African Union have backed a Kenyan proposal to push for withdrawal from the International Criminal Court, saying it unfairly targets the continent."",""The principle of complementarity states that national courts are empowered to investigate and punish perpetrators of crimes against humanity and genocide and that the ICC can only investigate if the national courts are not able to, or if the UN Security Council asks for its participation."",""Ms Bensouda recently warned that those alleged to be committing crimes that fall within the jurisdiction of the ICC could be held individually accountable."",""Since violence erupted in April last year following President Pierre Nkurunziza’s decision to run for a third term, more than 400 people have been killed and thousands have fled the country. International human-rights organisations have accused Burundi security forces of carrying out targeted killings of presumed opponents of the president’s third term."",""The African Union made a resolution to reject the trials of sitting heads of state and senior government officials at the ICC and has instead proposed to expand the jurisdiction of the Arusha-based African Court of Human and People’s Rights to include international crimes."",""READ: Mistrial brings into question main role of ICC in fighting impunity"",""Sudan’s President Omar al-Bashir is currently wanted by the ICC for crimes against humanity in the province of Darfur."",""Because 34 out of Africa’s 54 countries have signed the Rome Treaty establishing the court, ICC supporters say they are obligated to apprehend President al-Bashir. However, he recently visited South Africa and Uganda, and neither of them arrested him."",""Meanwhile, former Tanzanian president Benjamin Mkapa — who is the facilitator of the inter-Burundi dialogue — said the talks were the only option to resolve the crisis."",""Relaunched"",""The dialogue, which has been suspended more than five times since last year, was recently relaunched in Arusha where, according to Mr Nyamitwe, both the government and the opposition had equal opportunities to express their views."",""However the opposition alliance, the National Council for the Respect of the Arusha Agreement and the Rule of law in Burundi  (CNARED) was left out and only some members of the alliance were individually invited to Arusha, creating division within the opposition."",""READ: Mkapa in tight spot amid claims of UK, AU bias in Burundi ‘dialogue’"",""The Burundi government said CNARED was not legally recognised and Bujumbura would not engage with those who took part in the failed coup last year."",""But CNARED spokesman Pancrace Cimpaye told The EastAfrican that after meeting the facilitator separately, they are going to push for their participation. They argued the alliance was formed to restore peace in the country and for thousands of Burundi refugees to return to their homeland."",""“We are not going to make impositions, all we need is peace and we won’t push for conditions,” said Mr Cimpaye."",""Despite the country gradually returning peace and stability, the National Human Rights Commission said at least 130 people have been killed this year alone. The commission said there are also allegations of torture, abductions and arbitrary arrests."",""“We are encouraging the police and the judiciary to ensure no one is arrested based on their participation in last year’s protests,” said the chairman of the commission, Jean Baptist Baribonekeza."",""Additional reporting by Fred Oluoch."","""",""The council will be comprised of six civilians and five members of the military."",""The coming elections of 2020 could test Abiy Ahmed’s political staying power.""]",theeastafrican.co.ke/news/ea/Burundi-could-pull-out-of-Rome-Statute-after-launch-of-probe/4552908-3256170-wmtoolz,17-06-16 20:00,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""Burundi"",[0]],""V"":[""threatened"",[2]],""ARG1"":[""to reconsider its membership to the Rome Statute"",[3,4,5,6,7,8,9,10]],""ARGM-TMP"":[""after the International Criminal Court launched preliminary investigations into post - election killings in the country"",[11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26]]}",,
328034,Islamists Threaten to Kill Hostage,"[""A group claiming to be Al Qaeda’s North African wing has threatened to kill a British hostage in 20 days unless the British government releases Abu Qatada, a Jordanian-born Palestinian cleric being held on suspicion of inciting terrorist attacks. The group, Al Qaeda in the Islamic Maghreb, posted the threat on an Islamic Web site, saying it “will kill the British hostage” if the cleric, whose real name is Omar Mahmoud Othman, was not freed. The hostage, who has not been identified, was one of four tourists kidnapped on the border of Niger and Chad in January; two of them were released last week, leaving the Briton and a Swiss man in the captors’ custody. The Foreign Office said Britain would abide by a longstanding policy not to make “substantive concessions to hostage takers.”""]",nytimes.com/2009/04/28/world/africa/28briefs-hostage,20-11-14 0:18,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""Islamists"",[0]],""V"":[""Threaten"",[1]],""ARG1"":[""to Kill Hostage"",[2,3,4]]}","{""ARG0"":[""Islamists"",[0]],""V"":[""Kill"",[3]],""ARG1"":[""Hostage"",[4]]}",,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""A group claiming to be Al Qaeda ’s North African wing"",[0,1,2,3,4,5,6,7,8,9,10]],""V"":[""threatened"",[12]],""ARG1"":[""to kill a British hostage in 20 days unless the British government releases Abu Qatada , a Jordanian - born Palestinian cleric being held on suspicion of inciting terrorist attacks"",[13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42]]}","{""ARG0"":[""A group claiming to be Al Qaeda ’s North African wing"",[0,1,2,3,4,5,6,7,8,9,10]],""V"":[""kill"",[14]],""ARG1"":[""a British hostage"",[15,16,17]],""ARGM-TMP"":[""in 20 days"",[18,19,20]],""ARGM-ADV"":[""unless the British government releases Abu Qatada , a Jordanian - born Palestinian cleric being held on suspicion of inciting terrorist attacks"",[21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42]]}",
79217,Niger Delta Avengers threatens to resume hostilities,"[""The Niger Delta Avengers (NDA) yesterday vowed to resume hostilities in the region, warning that unlike the 2016 operation, there will be casualties and that they will crush anything that stands on their way."",""The group, in a statement by its spokesman, Murdoch Agbinibo, cautioned that they would not spare anything or anyone in their path to destroy the country’s economy by blowing up pipelines and oil installations."",""The threat may not be unconnected with last Saturday’s aborted Port Harcourt meeting of the Pan Niger Delta Elders Forum (PANDEF) and the failure of Niger Delta elders to settle their differences."",""The meeting of the E.K Clark led PANDEF scheduled to hold in Port Harcourt, Rivers State, was distrusted by Police, a development that anger many Niger Delta people."",""“Our next line of operation will not be like the 2016 campaign, which we operated successfully without any casualties. This outing will be brutish, brutal and bloody, as we shall crush everything we meet on our path to completely put off the fires flairing gas in our communities and cut every pipe that moves crude from our region."",""“We can assure you that every oil installation in our region will feel warmth of the wrath of the Niger Delta Avengers,” the statement reads."",""They reminded the operators of the social media avengers that the NDA was not the same as the Movement for the Emancipation of the Niger Delta (MEND), saying they were men of their words."",""To all partners of government whose interest is the sufferings of the Niger Delta people, the Avengers are back and will not spare anything or anyone on our path to actualise a united and free Niger Delta."",""“The high command of the Niger Delta Avengers wish to bring to the notice of the International Community and the general public that there is no such militant group with the name Reformed Niger Delta Avengers."",""“It is not operated by any of our operatives but a money making tool in the hands of certain disgruntled Niger Delta political jobbers in connivance with top government functionaries of the President Muhammadu Buhari led government,” the statement added.""]",guardian.ng/news/niger-delta-avengers-threatens-to-resume-hostilities,03-11-17 20:00,Nigeria,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""Niger Delta Avengers"",[0,1,2]],""V"":[""threatens"",[3]],""ARG1"":[""to resume hostilities"",[4,5,6]]}",,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""The Niger Delta Avengers ( NDA )"",[0,1,2,3,4,5,6]],""ARGM-TMP"":[""yesterday"",[7]],""V"":[""vowed"",[8]],""ARG1"":[""to resume hostilities in the region"",[9,10,11,12,13,14]],""ARGM-ADV"":[""warning that unlike the 2016 operation , there will be casualties and that they will crush anything that stands on their way"",[16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37]]}",,
20728,Tanzania threatens to de-register churches who rap president from pulpit,"[""DAR ES SALAAM (Reuters) - Tanzania has threatened to revoke the registration of religious organizations that “mix religion and politics” after a cleric criticized President John Magufuli’s leadership in a Christmas sermon.    Opposition leaders in Tanzania say tolerance for dissent has been rapidly disappearing since Magufuli took office in late 2015 with pledges to reform East Africa’s third-biggest economy and crack down on large-scale corruption.     Tanzania’s constitution protects freedom of worship, but religious organizations must register at the country’s Home Affairs Ministry to get a license to operate legally.    “Recently, some leaders of (religious) societies have been using their sermons to analyze political issues, which is contrary to the law,” the permanent secretary in the Ministry of Home Affairs, Projest Rwegasira, said late on Thursday.     “Any violation of the law could lead to cancellation of the registration of the concerned religious society,” he said in a statement.    The warning was issued just days after the head of a Pentecostal church in the commercial capital Dar es Salaam criticized Magufuli’s leadership, saying his government was closing democratic space.    Zachary Kakobe, self-proclaimed bishop and founder of the Full Gospel Bible Fellowship Church, accused the Tanzanian government of “quietly turning the country into a one-state rule by systematically banning political activity.”    The Home Affairs Ministry responded by issuing a public notice to religious organizations after the ruling Chama Cha Mapinduzi (CCM) party accused Kakobe of mixing religion and politics.    Tanzanian police banned political protests and rallies indefinitely in June last year, saying political activity would only be allowed during elections.    Magufuli, nicknamed “the Bulldozer” for pushing through his policies, has won some praise from Western donors for an anti-corruption campaign and cuts to wasteful public spending. But opponents accuse him of increasingly undermining democracy by curbing dissent and stifling free speech.     Magufuli has publicly denied the allegations, saying he is no dictator. But several newspapers have been shut and more than a dozen suspects prosecuted for allegedly insulting the president via WhatsApp and other social media platforms."",""The CCM won 42 of 43 local government elections in November, prompting the main opposition parties to announce a boycott of several parliamentary by-elections early next year, citing foul play. Smaller opposition parties will participate in the polls.     Tanzania, one of sub-Saharan Africa’s most stable democracies, has held five relatively peaceful multi-party elections since 1995, all won by the CCM.""]",reuters.com/article/us-tanzania-politics/tanzania-threatens-to-de-register-churches-who-rap-president-from-pulpit-idUSKBN1EN0WW,28-12-17 19:00,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""Tanzania"",[0]],""V"":[""threatens"",[1]],""ARG1"":[""to de - register churches who rap president from pulpit"",[2,3,4,5,6,7,8,9,10,11]]}",,,,,,,,,,,,,,,,,,,"{""ARG0"":[""a cleric"",[18,19]],""V"":[""criticized"",[20]],""ARG1"":[""President John Magufuli ’s leadership"",[21,22,23,24,25]],""ARGM-LOC"":[""in a Christmas sermon"",[26,27,28,29]]}",,"{""ARG0"":[""Tanzania"",[0]],""V"":[""threatened"",[2]],""ARG1"":[""to revoke the registration of religious organizations that “ mix religion and politics ”"",[3,4,5,6,7,8,9,10,11,12,13,14,15,16]],""ARGM-TMP"":[""after a cleric criticized President John Magufuli ’s leadership in a Christmas sermon"",[17,18,19,20,21,22,23,24,25,26,27,28,29]]}",,
18257,UPDATE 1-Nigeria oil union threatens industrial action in Chevron dispute,"[""ABUJA, Aug 1 (Reuters) - One of Nigeria’s main oil and gas trade unions on Thursday  threatened to take industrial action over a staffing dispute with Chevron."",""Nigeria, an OPEC member, is Africa’s largest oil producer and crude sales make up around 90% of foreign exchange in Africa’s largest economy. The dilapidated state of its refineries means the country imports most of its refined fuel."",""The Nigeria Union of Petroleum and Natural Gas Workers (NUPENG) has accused U.S. oil major Chevron of sacking hundreds of Nigerian workers and altering contracts, both of which it said were in violation of an agreement."",""The union, in a statement issued on Thursday, made a number of demands which included the return to work of all “NUPENG executives”. It said 500 of its members had been removed from their posts, although it was not clear if they were all executives."",""“Should Chevron Nigeria Limited and its contractors fail to honour or comply with our demands within the next seven days, we would also not hesitate to take all necessary legal options available to us; including industrial actions,” NUPENG’s national president said in the statement."",""A Chevron spokesman said he was unable to provide immediate comment. (Reporting by Camillus Eboh Writing by Alexis Akwagyiram Editing by David Goodman and Alexandra Hudson)""]",reuters.com/article/nigeria-oil/update-1-nigeria-oil-union-threatens-industrial-action-in-chevrondispute-idUSL8N24X5QF,31-07-19 20:00,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""UPDATE 1-Nigeria oil union"",[0,1,2,3]],""V"":[""threatens"",[4]],""ARG1"":[""industrial action"",[5,6]],""ARGM-LOC"":[""in Chevron dispute"",[7,8,9]]}",,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""One of Nigeria ’s main oil and gas trade unions"",[0,1,2,3,4,5,6,7,8,9]],""ARGM-TMP"":[""on Thursday"",[10,11]],""V"":[""threatened"",[12]],""ARG1"":[""to take industrial action over a staffing dispute with Chevron"",[13,14,15,16,17,18,19,20,21,22]]}",,
254655,Bayelsa govt warns LG chairmen against misappropriation of funds,"[""YENAGOA â€” Bayelsa State Government, yesterday, warned local government chairmen over misappropriation of public funds, threatening to deal decisively with any one caught looting the treasury."",""The warning is coming on the heels of the state Ministry of Education’s three years ultimatum to teachers in its employment without professional qualification to obtain such prerequisite qualification or be thrown out of service."",""The state Deputy Governor, Mr. Werinipre Seibarugu, who gave the warning while receiving the delegation of state chapter of the Association of Local Government Chairmen of Nigeria, ALGON,Â  in his office, stressed the need for transparency and accountability in the third tier of government."",""He lamented that loans taken by previous local government area administrators had turned out to be a burden, because they were not tied to specific projects that would have increased their revenue base."",""â€œThere was lack of proper documentation of loans taken and as a result, there is need for you to itemise the projects, its effects before venturing into taking loan.”"",""“In no distance time, the state government will set up a committee that would take a cursory look at the finances of the eight constitutionally recognised local government areas in the state, especially in the areas of loan,â€ he said.""]",vanguardngr.com/2010/08/bayelsa-govt-warns-lg-chairmen-against-misappropriation-of-funds,25-08-10 20:00,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""YENAGOA â€ ” Bayelsa State Government"",[0,1,2,3,4,5]],""V"":[""threatening"",[19]],""ARG1"":[""to deal decisively with any one caught looting the treasury"",[20,21,22,23,24,25,26,27,28,29]]}",,
374123,Bobasi residents threaten to recall MP Obiri over Lake Basin mall scandal,"[""Residents of Bobasi Constituency in Kisii County have threatened to recall their Member of Parliament Innocent Obiri following his arrest and subsequent arraignment over graft allegations."",""The irate residents held demonstrations to express disappointment after the legislator was charged in connection with the Ksh.4.1 billion Lake Basin Mall scandal."",""Hii punde kuanzia kesho tutakuwa tukikusanya sahihi ili tumtume Obiri nyumbani kisheria. Vile ambavyo the constitution says that if somebody is not performing we can collect signatures and recall them, said Youth Leader Rodgers Ongeri."",""[Starting tomorrow we will be collecting signatures to send Obiri home in accordance with the constitution which says that if somebody is not performing they can be recalled.]"",""Hakuna kazi inaendelea kwa constituency. Obiri aongezewe muda kidogo ata wiki moja akae kwa cell achunguzwe, lamented Moses Anyona, a resident of Bobasi."",""[There is no work going on in the constituency at the moment. Obiri should be detained for a week pending investigations.]"",""Obiri, alongside Kisumu County Assembly Speaker Onyango Oloo and former Lake Basin Development Authority (LBDA) Managing Director Peter Anguko Abuok last week pleaded not guilty to Ksh.4.1 billion graft charges.""]",citizentv.co.ke/news/bobasi-residents-threaten-to-recall-mp-obiri-over-lake-basin-mall-scandal-276580,14-09-19 20:00,Kenya,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""Bobasi residents"",[0,1]],""V"":[""threaten"",[2]],""ARG1"":[""to recall MP Obiri over Lake Basin mall scandal"",[3,4,5,6,7,8,9,10,11]]}",,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""Residents of Bobasi Constituency in Kisii County"",[0,1,2,3,4,5,6]],""V"":[""threatened"",[8]],""ARG1"":[""to recall their Member of Parliament Innocent Obiri following his arrest and subsequent arraignment over graft allegations"",[9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]]}",,
411484,Economic Freedom Party dismisses Mandera Census figures,"[""The Economic Freedom Party (EFP) has threatened to go to court to challenge the population census results.""]",standardmedia.co.ke/article/2001348084/economic-freedom-party-dismisses-mandera-census-figures,04-11-19 15:31,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""The Economic Freedom Party ( EFP )"",[0,1,2,3,4,5,6]],""V"":[""threatened"",[8]],""ARG1"":[""to go to court to challenge the population census results"",[9,10,11,12,13,14,15,16,17,18]]}",,
312681,AI: Protesters threaten to embark on ’40-day civil disobedience’,"[""The Coalition for Civil Rights and Good Governance has threatened to embark on “40 days civil disobedience” over the refusal of Amnesty International (AI) to leave the shores of Nigeria."",""The group said this on the 7th day of its “occupy Amnesty International office”, Abuja over the NGO’s alleged connivance with some agents of destabilisation to cause unrest in Nigeria."",""CCRGG vowed not to give up until the NGO leaves Nigeria."",""Princess Ajibola, a leader of the group, said the organisation will not back down on its reqauest."",""He statement below:"",""Seven days ago, we took the bold step of standing up for our country by openly confronting the monster that threatens its future in the form of an international non-governmental organization called Amnesty International. We consistently occupied the Amnesty International for the seven-day period irrespective of the intense blackmail and propaganda directed at us by the NGO."",""In the course of the seven days, over two million protestors took part in the anti-Amnesty International protests in Lagos and more than one million participated in Abuja under rain, sun and unwarranted brutality from Amnesty International."",""The occupation has been illuminating for us because it surfaced a lot of facts and useful information that were hitherto in the realm of conjecture."",""For one, we have been able to establish that the conspiracy against the existence of Nigeria is more extensive and elaborate than previously thought. While Amnesty International is the arrowhead of the foreign component of this evil agenda, it has a large network of other NGOs, CSOs and even quasi-business entities that are running errands for it – these are the groups that jointly issued statements to condemn the occupation of Amnesty International’s office. Individuals that are on its payroll equally exposed themselves as such by condemning our action."",""The extent of Amnesty International’s infiltration of Nigeria is alarming to a point where it even has the National Human Rights Commission (NHRC) on a leash like a dog. It launched NHRC like an attack dog against this protest in an act of desperation forgetting that it has exposed the lapses at the Commission in terms of playing its own role of monitoring issues of human rights in Nigeria. We now understand that NHRC deliberately abandoned its duties to create a vacuum for Amnesty International to exploit. Our protest exposed this unholy alliance, which forced NHRC to tediously attempt to disparage our efforts."",""Not to be left out are members of the opposition. The people that contracted Amnesty International to run local side shows for them in the course of implementing its internationally hatched destabilization agenda. They owned and tele-guide the proscribed organizations like IMN and IPOB as well as anarchist movements like RevolutionNow and DaysofRage, which have been deployed to cause widespread violence. Even as we occupied its offices, the NGO continued to defend the rights of these groups to destroy Nigeria without being challenged or prevented from doing so. It defended their incitement and call to violence as “freedom of speech”."",""For those that ever doubted that Amnesty International is interested in plunging into war, its sponsorship of the fake revolution by the proscribed and anarchist movements against the democratically elected Federal Government led by President Muhammadu Buhari is a final proof that should jolt all patriotic citizens into action. We should be alarmed that upon being found out as a subversive organization, instead of giving up its destabilization agenda, Amnesty International has rather intensified its attack on the Nigerian state while urging that inciting and hate speech should be allowed as “freedom of expression”."",""This strategy had served the NGO in other countries that are today in disarray and it is to our collective peril to allow it replicate same successfully in Nigeria."",""It is instructive that Amnesty International and its allies have condemned our occupation of its offices while decrying our call for more Nigerians to join the protests against its subversive activities while defending the rights of anarchist movements to do exactly the same thing and even worse against the Nigerian state and its government."",""The implication is that the NGO is not willing to accept the treatment it is encouraging its clients to give the federal government. It is clear that this organization knows that the people it is supporting are doing the wrong thing but it is defending them simply because it wants to get at the government and weaken it."",""It was discovered that the protests being backed by Amnesty International are a fallback position after its support for Boko Haram and the Islamic State West Africa Province (ISWAP) did not translate into an ability to penetrate metropolitan cities and carry out attacks against places of interests. An option to use violent protests by IMN and IPOB similarly failed."",""But we have also learnt that this NGO has no desire of giving up on its destabilization agenda as it will always plot new schemes to achieve its goals whenever its strategy is defeated."",""This is why we have resolved that Amnesty International must leave Nigeria now. We stood up, as a coalition of several groups, to challenge its subversive activities in the last seven days. We expect that this organization will use the benefit of the end of the seven days occupation to slink away at night because criminals are accustomed to making their getaway under the cover of darkness."",""But where we discover that the NGO continues to violate the space of Nigeria by remaining in the country after these seven days of occupation, we want to categorically warn that the various groups may be forced to return on Monday, this time for a round 40 of days of occupation."",""If we are pushed to begin the 40 days occupation, our member will make a daily advance of one metre upon the premises of Amnesty International until we enter its reception, workstations, conference room and offices to bodily throw out its staffers and escort them to the airport. The 40 days will witness impassioned Nigerians overrunning this Office with their properties to permanently occupy the place until the needful is done."",""Vanguard""]",vanguardngr.com/2019/08/ai-protesters-threaten-to-embark-on-40-day-civil-disobedience,07-08-19 20:00,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""The Coalition for Civil Rights and Good Governance"",[0,1,2,3,4,5,6,7]],""V"":[""threatened"",[9]],""ARG1"":[""to embark on “ 40 days civil disobedience ” over the refusal of Amnesty International ( AI ) to leave the shores of Nigeria"",[10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33]]}",,
252674,Aviation minister threatens to sue Arik Air,"[""The Minister of Aviation, Princess Stella Oduah, has threatened to institute a legal action against Arik Air, for levelling unfounded allegations against her."",""This is contained in a statement issued on Friday in Abuja, by Mr Joe Obi, Special Assistant (media) to the minister. ."",""It stated that a recent publication by the management of the airline was designed to embarrass the minister."",""It said that Arik Air was owing the ministry N85.4 billion and stressed that Oduah had no stake in the company."",""The release stated that the minister could not have contemplated acquiring a stake in any airline and cautioned that the time was ripe for Arik Air to change its business module to resolve its financial crisis."",""It would be recalled that Arik Air was prevented from operation since Thursday by labour unions of the Federal Aviation Authority of Nigeria, FAAN. (NAN).""]",vanguardngr.com/2012/09/aviation-minister-threatens-to-sue-arik-air,21-09-12 20:00,Nigeria,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""Aviation minister"",[0,1]],""V"":[""threatens"",[2]],""ARG1"":[""to sue Arik Air"",[3,4,5,6]]}",,,,,,,,,,,,,,,,,,,,,"{""ARG0"":[""The Minister of Aviation , Princess Stella Oduah"",[0,1,2,3,4,5,6,7]],""V"":[""threatened"",[10]],""ARG1"":[""to institute a legal action against Arik Air , for levelling unfounded allegations against her"",[11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]]}",,
