Column1,title,text,url,date,location
45593,At least 25 dead in blast at Cairo church,"[""A bombing in a Cairo church on Sunday near the headquarters of the Coptic pope killed at least 25 people, state media reported."",""It was the deadliest suspected attack on the country’s beleaguered Christian minority in recent memory."",""The explosion ripped through the church around 10:00 am (0800 GMT), Egyptian security officials said, shattering its windows."",""State television cited a security official as saying a bomb made of TNT appeared to have been the cause of the explosion."",""Ambulances lined up outside the church in the capital’s Abbasiya district to evacuate the dead and wounded."",""A crowd gathered outside the church chanting: “Tell the sheikh, tell the priest, Egyptians’ blood is not cheap”."",""The church is close to the St Mark’s Cathedral, the seat of Coptic Pope Tawadros II."",""Copts, who make up about 10 percent of Egypt’s population of 90 million, have faced persecution and discrimination that spiked during the 30-year rule of Hosni Mubarak, who was toppled by a popular uprising in 2011."",""Dozens have been killed in recent years in sectarian attacks and clashes throughout Egypt."",""In 2011, a suicide bomber killed 21 worshippers outside a church in the coastal city of Alexandria."",""Islamist extremists have regularly incited violence against Copts, especially since the military overthrow of Islamist president Mohamed Morsi in 2013."",""They accused the Christians of supporting his ouster, which came after millions of protesters took to the streets demanding his resignation."",""On August 14, 2013, mobs attacks dozens of churches across the country after police killed hundreds of pro-Morsi protesters in Cairo.""]",guardian.ng/news/at-least-25-dead-in-blast-at-cairo-church,10-12-16 19:00,Nigeria
103346,"US commando killed, four wounded in Somalia attack","[""An American commando was killed Friday in an attack in southern Somalia that also wounded four US military personnel along with a Somali soldier, officials said."",""The attack occurred in Jubaland, where a large force comprising about 800 Somali, Kenyan and US troops were working to clear a large area of Al-Qaeda-aligned Al-Shabaab fighters."",""The multinational force “came under mortar and small-arms fire at approximately 2:45 pm Mogadishu time (1145 GMT), killing one US service member and injuring four US service members and one partner force member,” the US military’s Africa Command said in a statement. "",""A military official told AFP the dead American was a special operations commando, but further details were not being released pending notification of next of kin. "",""US President Donald Trump offered his condolences via Twitter."",""“My thoughts and prayers are with the families of our serviceman who was killed and his fellow servicemen who were wounded in Somolia. They are truly all HEROES,” Trump tweeted, misspelling the name of the country in which the attack took place."",""The mission’s objectives were to “clear Shabaab from contested areas, liberate villages from Shabaab control and establish a permanent combat outpost designed to increase the span of federal government of Somalia security and governance,” Africa Command said."",""“The US provided advice, assistance and aerial surveillance during the mission.”"",""More than 500 American forces are partnering with African Union Mission to Somalia (AMISOM) and Somali national security forces in counterterrorism operations, and have conducted frequent raids and drone strikes on Al-Shabaab training camps throughout Somalia."",""Last year, a Navy SEAL was killed in a nighttime attack in Somalia, marking the first US military combat death there since the infamous “Black Hawk Down” events of 1993, when 18 American servicemen died in the Battle of Mogadishu."",""Since 2007, Al-Shabaab has been fighting to overthrow the internationally backed government in Somalia.""]",guardian.ng/news/us-commando-killed-four-wounded-in-somalia-attack,08-06-18 20:00,Nigeria
362018,"Armed men attack army checkpoint in Mali, killing 2 soldiers","[""BAMAKO, Mali (AP) — A Mali defense ministry official says armed men have attacked an army checkpoint outside the town of Menaka near the border with Niger, and a local official says two soldiers have been killed."",""Col. Diarran Kone, a spokesman with Mali's Defense Ministry, confirmed Friday's attack."",""A local official said one person was wounded and two others went missing in the attack. The official, who spoke on condition of anonymity out of fear for his own security, said a car was also stolen."",""No group has claimed responsibility, but al-Qaida-linked extremists have been launching attacks against the military for years. Extremists most recently targeted Mali's military Feb. 12 in Timbuktu, killing three soldiers."",""A French-led operation pushed Islamic militants from strongholds in northern Mali in 2013, but insecurity remains.""]","ap.com/Armed men attack army checkpoint in Mali, killing 2 soldiers",18-02-16 19:00,
109717,IS shelling kills 14 civilians in east Syria city: monitor,"[""Fourteen civilians were killed late Monday when Islamic State group jihadists shelled a government-controlled neighbourhood of Syria’s eastern Deir Ezzor city, a monitor said."",""Three children were among the dead in the regime-held Al-Joura district, according to the Syrian Observatory for Human Rights."",""“The shelling hit just before families were gathering to break the Ramadan fast,” said Observatory head Rami Abdel Rahman. "",""Besieged by IS since early 2015, the regime-controlled third of Deir Ezzor city is home to an estimated 100,000 people."",""Most of the surrounding oil-rich province is also controlled by IS. "",""“At least six mortar rounds hit the Al-Joura district. Daesh has been regularly hitting this neighbourhood with mortars,” said Omar Abu Leila, an activist from Deir Ezzor 24, which publishes news on the city. "",""He said over 40 people had been wounded, including women and children. "",""“Some of them are in critical condition, but the health situation in the neighbourhood is deteriorating because of the lack of staff, medicine, and medical equipment,” he told AFP. "",""The World Food Programme has ben dropping humanitarian aid into Deir Ezzor since April 2016, and Russian and Syrian government planes have also carried out their own independent air drops."",""More than 320,000 people have been killed since Syria’s conflict broke out in March 2011. ""]",guardian.ng/news/world/is-shelling-kills-14-civilians-in-east-syria-city-monitor,28-05-17 20:00,Nigeria
109417,Bomb attacks in Colombian city target police,"[""Unidentified assailants attacked a police station with explosives in the Colombian city of Barranquilla early Sunday, less than a day after a similar bombing killed five police officers, authorities said."",""An official said four police officers and a civilian were injured in the latest attack.”A possible link to yesterday’s attack is being investigated,” the official said."",""The mayor of Barranquilla, Alejandro Char, had attributed Saturday’s bomb attack to retaliation against police by drug trafficking gangs."",""That bomb exploded as police were assembling for their morning formation, killing five police officers and injuring 41."",""It was one of the deadliest on security personnel in recent years, casting a pall over preparations for the annual carnival, a major attraction in the bustling Caribbean port city."",""Security is stepped up "",""President Juan Manuel Santos ordered security in the city to be stepped up with an additional 1,500 police.Santos has been working to end a more than 50-year-old conflict that has involved leftist guerrilla groups, paramilitary death squads and drug traffickers."",""“We will not rest until we find those responsible, my solidarity is with the families of the victims and the wounded,” Santos wrote on his Twitter account."",""Rodrigo Londono, the former leader of the FARC guerrilla group and now its candidate in presidential elections this year, also “vehemently” condemned the Barranquilla attack."",""“All our solidarity is for the relatives of the slain police,” he wrote on Twitter."",""Santos reached a historic peace agreement with the FARC  formerly known as the Revolutionary Armed Forces of Colombia — in November 2016. That led to the rebels’ disarmament and transformation into a political party."",""The president, who is set to step down in August, is hoping to reach a similar agreement with the smaller National Liberation Army (ELN) guerrillas.""]",guardian.ng/news/world/bomb-attacks-in-colombian-city-target-police,27-01-18 19:00,Nigeria
44947,"Army kills 14 terrorists, rescue 21 hostages","[""The Nigerian Army said it had nutrialised 14 Boko Haram insurgents and rescued 21 hostages in Pulka village in Gwoza Local Government area of Borno."",""The News Agency of Nigeria (NAN) reports that the insurgents had on Tuesday, ambushed military escort at Amdaga area in Pulka and burnt one passenger vehicle as well as abducted some travelers."",""Brig.-Gen. Texas Chukwu, Director of Army Public Relations, who disclosed this in a statement in Maiduguri on Friday said the terrorists were alleged to have haboured the insurgents that ambushed the civilian vehicle."",""“The troops have nutrialised 14 Boko Haram and rescued 21 civilians, comprising six women and 11 children."",""“Troops of 192 Battalion of 26 Task Force Brigade of Operation LAFIYA DOLE, in conjunction with Civilian Joint Task Force, neutralised the insurgents on Thursday."",""“The troops engaged and subdued the terrorists, following a superior fire power of troops in the village."",""“Four men injured during the attack are being attended to at the military hospital,” he said.""]",guardian.ng/news/army-kills-14-terrorists-rescue-21-hostages,06-09-18 20:00,Nigeria
9774,"North Mali town of Gao hit by mortar bombs, one killed","[""BAMAKO (Reuters) - Unknown assailants shelled the north Mali town of Gao on Sunday, killing one person and wounding three others, according to military sources and residents."",""Mali’s desert north suffers frequent assaults by Islamist militants despite a military operation led by France to drive fighters out of the region. Separatists are also involved in conflict."",""The firing began around 6 a.m. (0200 EDT). “There were three or four explosions,” a military source said."",""In 2012, Tuareg separatists tried to take control of the north but their rebellion was soon hijacked by better-armed and funded militants linked to al Qaeda."",""Last month, the rebels turned down a U.N. peace plan hammered out with the Malian government in several months of talks, saying it did not address the roots of the conflict.""]",reuters.com/article/us-mali-fighting-idUSKBN0MW04U20150405,04-04-15 20:00,
132219,Suspected Islamists seize hostages in Mali hotel raid,"[""Gunmen stormed a hotel in central Mali on Friday, killing at least three people and seizing hostages, including several foreigners, in an ongoing standoff with the army. Among the dead were two Malian soldiers and at least one UN employee, military sources and the UN said."",""Kiev confirmed a Ukrainian national was among the hostages, while Moscow said it believed a Russian aviation official was in the hotel and may be among those held. Three South Africans and a French national were also believed to be staying at the hotel."",""There has been no claim of responsibility for the attack and no official comment from the government in the west African country, which is facing increasing jihadi violence despite a peace deal."",""A Malian security source said the raid was a failed bid to kidnap several Russian nationals working as UN peacekeepers, who escaped unharmed."",""Malian troops surrounded the hotel and shot dead one of the attackers who was wearing an explosive belt, a military source said, adding that two soldiers were killed and three wounded."",""“Attackers have taken some foreigners hostage in one of the hotels in the area. The army has completely sealed off the area and the town is in lockdown. They have asked people to stay at home,” a local official told AFP, speaking on condition of anonymity."",""He said the hostages could well be UN peacekeepers, who tend to stay in hotels in the town, which lies near regional capital Mopti – a key staging post to the vast desert north which fell to Islamist extremists in 2012."",""The deadly standoff appeared no closer to resolution many hours after it began and sporadic shots were heard around the Byblos and neighbouring Debo hotel at around 3pm GMT."",""It was the third assault in just a week in Mali, which is still struggling to restore stability despite a landmark peace deal agreed in June to end years of unrest and ethnic divisions. A number of foreigners have been kidnapped by Islamist militants in Mali in recent years and at least two are still being held hostage by al-Qaida’s front group in the region."",""Malian army sources said the target of Friday’s assault appeared to be a group of Russian pilots working for Minusma, the local UN peacekeeping mission."",""“The pilots were evacuated to a Malian military base in Sevare and the jihadists are holed up inside the hotel. Now we must get them out,” one source said."",""The UN mission in Mali, which has more than 10,200 military and police on the ground, was not available to confirm the information."",""“The shooting is still going on but I don’t know who is shooting,” one woman resident said, adding that she had been woken by gunfire and was hiding at home with her family."",""A spokesman for Russia’s mission in Mali said one of its nationals working for the UTair airline was likely among the captives. “One member of staff of UTair is apparently in the hotel that was seized by terrorists,” Viktor Gorelov was quoted as saying by the Interfax news agency."",""He said three other Russians reported captured had all been found."",""Kiev confirmed one of its nationals was being held, while South Africa said it was aware of the situation and liaising with the Malian authorities."",""“There is a Ukrainian among the hostages. With our international partners, we are taking urgent measures in order to secure the release of our national,” foreign ministry spokeswoman Mariana Betsa wrote on Twitter."",""There was no immediate word from France, the former colonial power, which has 1,350 soldiers on the ground as part of a regional anti-terrorist operation."",""AQIM was among several jihadi groups that took control of Mali’s north in 2012 before being ousted by a French-led military operation launched in January 2013."",""Jihadiattacks have long been concentrated in Mali’s north, but began spreading at the beginning of the year to the centre of the country and, in June, to the south near the borders with Ivory Coast and Burkina Faso."",""Among the hostages seized in recent years, Stephen Malcolm McGowan, from South Africa, and Johan Gustafson from Sweden were abducted in Timbuktu in November 2011 and are still being held by AQIM."",""A Dutch hostage also kidnapped with the pair was rescued in April and in December 2014, a French national was freed after being held for three years by Islamists.""]",theguardian.com/world/2015/aug/07/mali-hotel-attack-hostages-suspected-islamists,06-08-15 20:00,
39696,2 kiilled in Plateau Stateby rustlers,"[""Two teenagers were reportedly killed in Turu village, Kuru District of Jos South Local Government Area of Plateau State, at the weekend."",""The victims-Meshack Dalyop and Pam Danjuma, 14 and 10 years old, respectively, were killed and dumped in the bush at Dahool Bob, in the process of rustling cattle."",""According to a statement by Police Spokesman, DSP Terna Tyopev, one Ezekiel Dalyop, last Friday reported at the Kaduna Vom Police Division that three boys entrusted with 70 of his cattle were missing. "",""“The Police sped into action immediately the complaint was lodged and was able to rescue one of the boys by name Bitrus Joseph 16, unhurt. "",""“The Police team of detectives also recovered the 70 missing cattle.  Unfortunately, in the process of rustling the cattle, two of the boys; Meshack Dalyop 14 old and Pam Danjuma 10 old were killed and dumped in the bush at Dahool Bob in Kuru District.  "",""“The bodies have been recovered and deposited at the Vom Christian Hospital.”""]",guardian.ng/news/2-kiilled-in-plateau-state-by-rustlers,15-09-18 20:00,Nigeria
313813,"Taliban attack in Kabul kills 16 civilians, wounds 119","[""The death toll from a late-night Taliban suicide attack in the Afghan capital rose to 16 civilians on Tuesday, with 119 people wounded, an official said. Angry Kabul residents climbed over the wall into the international compound, which has been targeted frequently and set part of it on fire."",""Thick smoke rose from the Green Village, home to several international organizations and guesthouses and often a target of attacks — a peril to nearby local residents as well."",""“People were screaming and saying, ‘My children are trapped in the rubble,’” one witness, Faiz Ahmad, said Tuesday. Nearby homes were shredded and the concrete blast wall, on the western side of the compound, had buckled. A large crater was left in the street."",""The Taliban continue such attacks even as a U.S. envoy says the militant group has reached a deal “in principle” with the US on ending America’s longest war, including a troop withdrawal that the Taliban already portray as their victory."",""Taliban spokesman Zabihullah Mujahid told The Associated Press that “we understand that peace talks are going on … but they must also understand that we are not weak and if we enter into talks … we enter from a strong position.”"",""He said the attack was a response to raids by U.S. and Afghan forces on civilians in other parts of the country. While he acknowledged there should be less harm to civilians, he said they shouldn’t be living near such an important foreign compound."",""Interior Ministry spokesman Nasrat Rahimi said some 400 foreigners had been rescued after the suicide bomber targeted the compound late on Monday. Five attackers were shot and killed by security forces after the bomber detonated a tractor packed with explosives, he said."",""The attack occurred just hours after the U.S. envoy briefed the Afghan government on an agreement “in principle” with the Taliban that would see 5,000 U.S. troops withdraw from five bases in the country within 135 days of a final deal. Between 14,000 and 13,000 troops are currently in the country."",""The Green Village also was hit by a suicide car bomber in January, again as the US envoy, Zalmay Khalilzad, was visiting the capital to brief the Afghan government on his negotiations with the Taliban on ending nearly 18 years of fighting."",""Hours before Monday’s attack, Khalilzad showed a draft deal to the Afghan president after declaring that they are “at the threshold of an agreement” following the end of the ninth round of US-Taliban talks in Qatar. The agreement still needs President Donald Trump’s approval."",""There was no immediate comment from Khalilzad after the blast that was strongly condemned by Afghan President Ashraf Ghani."",""Shaken Kabul residents question whether any agreement with the Taliban can be trusted, especially as foreign troops withdraw."",""The Taliban carry out such attacks even as the militant group appears to be getting what it wants in a deal with the US — a troop withdrawal. The group wants all of the some 20,000 U.S. and NATO troops out of Afghanistan immediately, while the US seeks withdrawal in phases that would depend on the Taliban meeting certain conditions such as a reduction in violence."",""Attacks have surged in recent months, including Taliban assaults on two provincial capitals over the weekend, as the group seeks to strengthen its negotiating position not only with the U.S. but with the Afghan government in the even more challenging intra-Afghan talks that are meant to follow a US-Taliban deal on Afghanistan’s future. The Taliban have rejected talking with the government so far, dismissing it as a US puppet."",""Some analysts also have warned that some factions of the Taliban might be expressing displeasure with the U.S. deal, though Taliban political leaders at the talks in Qatar have insisted that their tens of thousands of fighters would respect whatever agreement is reached."",""The militant group is at its strongest since the US-led invasion to topple its government after the Sept. 11, 2001 attacks on the U.S. The Taliban now control or hold sway over roughly half of Afghanistan."",""The United Nations and others say civilians are suffering, often caught in the cross-fire as government forces, backed by the U.S., pursue the militants with airstrikes and raids. Afghanistan was the world’s deadliest conflict in 2018."",""The Taliban spokesman, Mujahid, said that whenever there is a reduction of violence in Afghan cities, the government asserts that the militant group is no longer able to carry out attacks because of stronger Afghan security forces."",""“They should realize that they can’t stop the Taliban,” Mujahid said. “Hopefully they must understand that by now.”"",""Vanguard""]",vanguardngr.com/2019/09/taliban-attack-in-kabul-kills-16-civilians-wounds-119,02-09-19 20:00,Nigeria
