Column1,title,text,url
367507,Rival Security Forces Clash in Sudan Amid Anti-Government Protests,"[""KAMPALA, Uganda — Rival security forces clashed in Sudan on Tuesday as huge crowds of protesters kept up their vigil outside army headquarters to call for the overthrow of the country’s longtime authoritarian president, Omar Hassan al-Bashir."",""Seven people were killed on Tuesday, said Sara Abdelgalil, a spokeswoman for the Sudanese Professionals Association, which is organizing the protests."",""The eruption of violence between different armed government forces is a major development in the four-month long protest movement against the president, said Magdi el-Gizouli, a fellow at the Rift Valley Institute, a think tank based in Kenya."",""“In a way, it has been turned into an internal dilemma between security forces,” said Mr. el-Gizouli, who is Sudanese."",""“The worse-case scenario is that this military security establishment breaks down and they fail to resolve what is now becoming a conflict within,” he added."",""The intermittent fighting between different agencies within the country’s security forces raises concerns that Sudan could descend into anarchy. That fear is especially acute now because two neighboring nations — Libya and South Sudan — are convulsed by civil war and chaos."",""The protests broke out in December over a surge in the price of bread and quickly escalated into the biggest challenge yet to the three-decade rule of Mr. al-Bashir. He came to power in a military and Islamist-backed coup in 1989 and for much of that time, he has been regarded as a pariah in the West."",""Sudan became a haven for international terrorists in the 1990s — it hosted Osama bin Laden for a time. And Mr. al-Bashir is presently wanted on charges of genocide and war crimes by the International Criminal Court, which accuses him of playing an “essential role” in the atrocities that occurred in Darfur, a restive region in western Sudan."",""During his reign, Sudan has known civil wars, famine and the division of the country after the south became an independent nation in 2011."",""Tuesday’s outbreak of violence began sometime after 4 a.m. when paramilitary forces loyal to Mr. al-Bashir opened fire on the protesters in front of the army headquarters, according to one protester, a doctor in his mid-20s."",""Soldiers who are part of the regular army opened up gates to allow protesters to get to safety within the large military compound that is not only home to army headquarters, but to Mr. al-Bashir’s residence as well, said the doctor, who asked to be identified only by his initials, A.M.E., citing safety concerns."",""The army responded to the attack by the paramilitary forces with gunfire and they shot about six of them, according to the doctor, who provided a video of protesters huddled on the ground in the dark as gunfire sounded all around them."",""Dr. Mohamed Eisa, a spokesman for the Sudanese American Physicians Association, said that about 22 people — including five soldiers — have been killed since the protests swelled on Saturday. Dr. Eisa, who is based in Cleveland, said his group’s tally is based on reports from doctors in Khartoum, the capital."",""Ms. Abdelgalil, the spokeswoman for the protest organizers, said, “The positive emerging development is that some of the army forces are protecting the civilians.”"",""There was similar fighting between rival security forces early Monday as well, a different witness said."",""After protests broke out in December, Mr. al-Bashir’s feared National Intelligence and Security Service sought to suppress them with tear gas, detentions, and sometimes live ammunition. By the middle of March, 60 protesters had been killed, according to the New York-based group Physicians for Human Rights."",""The protests gained momentum over the weekend, when marchers chose a new demonstration route and reached army headquarters with little resistance. There they discovered that individual army soldiers guarding the compound were sympathetic. The army soldiers at times blocked the efforts of the National Intelligence and Security Service to disperse the protesters."",""More people joined the sit-in, which has continued night and day since Saturday. At its height, organizers have estimated that hundreds of thousands of protesters have been in the streets."",""The protesters have praised the army for protecting them. In phone interviews, several protesters have begun to express hope that the army will force Mr. al-Bashir’s ouster."",""Mr. el-Gizouli said that while the protesters in Khartoum may view the army favorably, the army is hardly a unifying force beyond Sudan’s heartland. Across the country’s periphery, the military has sown terror while fighting rebels."",""“One must be reminded that it’s the same army accused of treacherous crimes,” he said."",""During his long rule, Mr. al-Bashir has bolstered security forces outside the military’s command structures — which has prevented any one security organ from growing powerful enough to challenge him. He has built up the National Intelligence and Security Service and also supported the Arab militias known as janjaweed that have more recently been constituted as the Rapid Support Forces."",""Those forces were seen moving into Khartoum in recent days and setting up roadblocks, according to witnesses."",""The doctor who witnessed the shooting said that he had spoken to some of the soldiers who let the protesters take cover inside army headquarters, and it was clear these soldiers were acting against their orders."",""The doctor added that one of the soldiers said he feared that all those who disobeyed orders will be executed if this movement fails."",""In a joint statement made through the United States Embassy in Khartoum on Tuesday, the United States, Britain and Norway called on the Sudanese authorities to respond to the demands of the protesters and prepare for a “political transition.”"",""“The Sudanese people are demanding a transition to a political system that is inclusive and has greater legitimacy,” the statement read. “The Sudanese authorities must now respond and deliver a credible plan for this political transition. Failing to do so risks causing greater instability.”""]",https://www.nytimes.com/2019/04/09/world/africa/sudan-protests-al-bashir-army-clash.html
13553,Up to 20 workers kidnapped in Nigerian oil delta,"[""LAGOS (Reuters) - Gunmen kidnapped up to 20 foreign workers in three attacks in Nigeria’s oil-producing Niger Delta region but some were released within hours after a mix-up, authorities and militants said on Thursday."",""Militants belonging to the Movement for the Emancipation of the Niger Delta (MEND) abducted up to eight oil workers from an Italian-operated offshore oilfield, but the group’s leader said they were all released on Thursday afternoon."",""World oil prices rose on news of the kidnappings, but fell heavily after MEND said it was releasing the captives."",""Separately, three Koreans and eight Filipinos were seized from a power plant construction site in Rivers State by suspected ransom seekers, diplomats said. A Dutch man was also taken from a bar near Warri in Delta State on Wednesday night."",""MEND’s self-styled leader, who uses the pseudonym Jomo Gbomo, told Reuters he ordered the release of the workers seized from the oilfield because he did not want any more hostages, having taken six from a U.S.-operated oilfield on Tuesday."",""“We did not intend to take any more hostages, at least not just now,” he said, adding that they were released at 1250 GMT and were on their way to regional capital Port Harcourt."",""Authorities could not immediately confirm the release."",""It was also not immediately clear if Saipem and SBM Offshore, the operators of the 50,000 barrel-per-day Okono/Okpoho oilfield, shut off production because of the raid."",""The seizures are the latest in a series of militant raids on the oil industry since February last year that have led to oil output being reduced by 600,000 barrels per day, or a fifth of Nigerian production capacity."",""Saipem parent company Eni confirmed six hostages were taken: one British, one Australian, one Polish, two Croats and one Romanian. Gbomo said there were eight."",""“They (MEND fighters) may have judged that the hostages were of more value than the destruction of the facility. They must obey my instructions. They have all been released within the last five minutes,” Gbomo said."",""The three Koreans taken in the power plant attack were senior managers of Daewoo Engineering who had just arrived in Nigeria, a security source in Nigeria said. Gbomo said MEND was not involved in the power plant raid."",""Kidnappings of foreigners have increased sharply in the past 12 months in the world’s eighth largest oil exporter, where militancy is fuelled by poverty, lawlessness, corruption and struggles for control of a lucrative oil theft business."",""Hostages are almost always treated well and released unharmed."",""On Tuesday, MEND seized six foreign oil workers from an offshore oilfield operated by Chevron. The company reduced oil output there by 15,000 barrels per day."",""The group said those kidnappings were to serve as a disclaimer to reports that it was in support of Nigeria’s president-elect Umaru Yar’Adua and his deputy Goodluck Jonathan, who is also a state governor from the delta region."",""MEND was also behind the attacks in February 2006 that shut 600,000 barrels per day of oil production, mostly operated by Royal Dutch Shell."",""Shell said on Thursday it was preparing to restart those oilfields, despite MEND’s warnings to stay away.""]",reuters.com/article/2007/05/03/us-nigeria-kidnap-idUSL0339612720070503
478674,Violent clashes as Hong Kong marks China handover anniversary,"[""Anti-government protesters tried to ram their way into Hong Kong's parliament Monday, battling police armed with pepper spray, as the territory marked the anniversary of its handover to China."",""The angry scenes ramped up tensions in the international financial hub, which has been shaken by historic demonstrations in the past three weeks -- driven by demands for the withdrawal of a bill that would allow extraditions to the Chinese mainland."",""Democracy activists are planning another huge march through the city on Monday afternoon, but small groups of mainly young, masked protesters seized three key thoroughfares in the morning, sparking renewed clashes with police after two weeks of relative calm."",""Protesters attempt to break a window at the government headquarters in Hong Kong on July 1, 2019 on the 22nd anniversary of the city's handover from Britain to China. PHOTO | PHILIP FONG | AFP"",""They smashed windows of the city's legislature and tried to force their way into the building by ramming a metal cart through the glass doors."",""Riot police inside the building donned gas masks and initially responded from above with pepper spray, but protesters unfurled umbrellas to shield themselves."",""PROTEST RALLY"",""Some democratic lawmakers also intervened, pleading with protesters to stop trying to breach the building."",""The rallies are the latest reflection of growing fears that China is stamping down on the city's freedoms and culture with the help of the finance hub's pro-Beijing leaders."",""Benny, a 20-year-old student who gave only one name, said protesters had been prodded into action by the obduracy of the city's pro-Beijing appointed leadership."",""\""This isn't what we want, the government forced us to express (our views) this way,\"" he told AFP."",""Protesters gather outside the government headquarters in Hong Kong on July 1, 2019 on the 22nd anniversary of the city's handover from Britain to China. PHOTO | ANTHONY WALLACE | AFP"",""But the increasingly hard line tactics from some protesters have alienated others, with a large counter rally in support of the police taking place on Sunday."",""Although Hong Kong returned from British to Chinese rule on July 1, 1997, it is still administered separately under an arrangement known as \""one country, two systems\""."",""The city enjoys rights and liberties unseen on the autocratic mainland, but many residents fear Beijing is already reneging on that deal."",""Activists have organised a march every handover anniversary, calling for greater democratic freedoms -- such as the right to elect the city's leader."",""Police stand guard with shields as protesters gather outside the government headquarters in Hong Kong on July 1, 2019 on the 22nd anniversary of the city's handover from Britain to China. PHOTO | VIVEK PRAKASH | AFP"",""They have mustered large crowds in recent years -- including a two-month occupation of parts of the city centre in 2014 -- but have failed to win any concessions from Beijing."",""This year's rally is framed by unprecedented anti-government protests of the past three weeks that have drawn millions, with the public angry over police using tear gas and rubber bullets to clear crowds."",""The spark for the current wave of protests was an attempt by chief executive Carrie Lam to pass the Beijing-backed extradition law, which she has now postponed following the public backlash."",""The demonstrations have since morphed into a wider movement against Lam's administration and Beijing."",""Protesters outside the government headquarters in Hong Kong on July 1, 2019 on the 22nd anniversary of the city's handover from Britain to China. PHOTO | ANTHONY WALLACE | AFP"",""CONCILIATORY TONE"",""Lam -- who has kept out of the public eye since her climbdown and has record low approval ratings -- attended a flag-raising ceremony early Monday, marking the moment the city returned to Chinese ownership 22 years ago."",""But she and other dignitaries watched from indoors due to \""inclement weather\"" -- the first time in the ceremony's history."",""Her speech stuck to the conciliatory tone she has used in recent weeks."",""\""What happened in recent months has caused conflicts and disputes between the government and residents,\"" Lam said. \""It has made me fully understand that as a politician, I need to be aware and accurately grasp the feelings of the people.\"""",""She then raised a champagne toast alongside cabinet officials and two of her predecessors."",""Protesters gather to take part in the annual pro-democracy rally in Hong Kong on July 1, 2019 on the 22nd anniversary of the city's handover from Britain to China. PHOTO | SARAH LAI | AFP"",""During clashes outside the venue at least one woman was seen bleeding from a head wound and officers made multiple arrests."",""Some protesters hurled eggs at police, who later said 13 officers were also sent to hospital after being doused by an \""unknown liquid\""."",""Activists, who are mainly young students, have vowed to keep up their civil disobedience campaign."",""\""Whatever happens we won't lose heart,\"" Jason Chan, a 22-year-old accountant added. \""Resistance is not a matter of a day or a week, it is long term.\"""",""During Sunday's rally, tens of thousands of pro-establishment protesters gathered in support of Hong Kong's police."",""Many waved Chinese flags and hurled insults at anti-government demonstrators camped nearby, highlighting the deep ideological fissures now dividing the finance hub."",""Treasury seeks additional funding of $866m, increasing the 2019/2020 budget to $30.4bn."",""Did you clear the university study loan you received from the Higher Education Loans Board""]",theeastafrican.co.ke/news/world/Violent-clashes-in-Hong-Kong/4552918-5178186-format-xhtml-ei8wmg
11633,"Pirates attack tanker off Nigeria, kidnap five: ship manager","[""LONDON (Reuters) - Pirates have attacked and looted a tanker off the coast of Nigeria, taking five crew members hostage, the ship’s operating company said on Wednesday."",""Piracy and kidnapping in the oil-producing Delta and offshore are common, and West Africa’s oil-rich Gulf of Guinea is second only to the waters off Somalia for the risk of pirate attacks, which drives up shipping insurance costs."",""“On Monday the vessel (SP Brussels) was boarded by heavily armed pirates whist approximately 40 miles off the Niger Delta,” Medallion Marine said in a statement."",""“The pirates ransacked the vessel for personal belongings and took five crew members with them on their departure.”"",""Medallion Marine did not give the nationalities of those kidnapped or details of the ship’s cargo."",""The Nigerian Navy were not available for comment.""]",reuters.com/article/us-nigeria-pirates-idUSBRE8BI0KD20121219
735,"Unidentified gunmen hit hotels, petrol station at Kenya's coast-media, Red Cross","[""MOMBASA, Kenya, June 15 (Reuters) - Unidentified gunmen attacked a coastal town in Kenya’s Lamu county and set fire to at least three hotels and a petrol station on Sunday evening, local media and the Kenya Red Cross said."",""Nation FM radio station said on its Twitter feed that Mpeketoni Police Station and two hotels had been attacked and that Police Inspector General David Kimaiyo had confirmed the incident.   (Created by Sonya Hepinstall)""]",reuters.com/article/kenya-attacks-idUSL5N0OW1EH20140615
336329,2 More Oil Workers Kidnapped in Nigeria,"[""PORT HARCOURT, Nigeria (AP) - Gunmen in military fatigues seized two foreign oil workers in southern Nigeria early Thursday, the latest violence targeting the petroleum industry in Africa's largest producer, authorities said.  "",""The workers -- a Belgian and a Moroccan -- were abducted as they traveled through the southern city of Port Harcourt, where many international energy firms make their bases, Rivers State Police Commissioner Samuel Adetuyi said.  "",""A private security official said the captors wore camouflage uniforms in the style of Nigeria's military. The security worker, citing witnesses, spoke on condition of anonymity due to company prohibitions against speaking to reporters.  "",""Southern Nigeria, where most of the country's crude oil is pumped, has seen an increase in violence against the petroleum industry in recent days. The attacks have forced a nearly 20 percent reduction of Nigeria's usual 2.5 million-barrel daily production, helping send crude prices soaring in international markets.  "",""The abductions came a day after gunmen stormed a supply boat in the Gulf of Guinea heading to offshore oil rigs, kidnapping four Norwegian and Ukrainian workers in a raid on the vessel owned by a Norwegian shipping firm.  "",""Norwegian Ambassador Tore Nedreboe said the captors apparently were not after a ransom from boat owner Trico Supply, but were using the kidnapping to broker a financial deal with a Nigerian oil company.  "",""\""This Nigerian oil company has recently concluded an agreement with a part of the local community, and the kidnappers, they want to be included in that agreement,\"" he said.  "",""Nedreboe would not identify the oil company or give details on what the kidnappers wanted. The Norwegian news agency NTB identified the two Norwegians as ship captain Jarle Johansen, 45, and chief machinist Roger Bjerkaas, 40.  "",""Last week, militants in camouflage uniforms seized a German oil worker in Nigeria's troubled delta region. A group calling itself the Movement for the Niger Delta People claimed responsibility, but police said the group was unknown.  "",""The group sent an e-mail to reporters this week containing a message purportedly written by the hostage and including a picture of a man wearing a pink shirt and blue jeans and crouching among lush vegetation. The message said the hostage was being treated well and wanted to go home.  "",""Germany's Foreign Ministry would not confirm the information in the e-mail, saying only it was working to secure the release of the hostage.  "",""Militants have kidnapped oil workers to bargain for a greater share of the wealth. More than 30 have been abducted this year, including three from Port Harcourt. Most of the kidnappings end peacefully.  "",""The militants say that residents remain deeply impoverished while government officials and oil companies are growing rich.  "",""------  "",""Associated Press writer Jaime Espantaleon in Oslo, Norway, contributed to this report.  ""]",ap.com/2 More Oil Workers Kidnapped in Nigeria
339219,Nigerian militant group says it destroyed a pipeline in the oil-rich delta region,"[""LAGOS, Nigeria (AP) - A militant group claims to have attacked an oil pipeline in Nigeria that transports crude to the Warri oil refinery in the restive delta."",""A statement sent Tuesday by the Movement for the Emancipation of the Niger Delta says the group destroyed the Obidi-Refinery pipeline on Sunday. The group also threatened to carry out more attacks in coming days to bring attention to the \""underlying causes of agitation in the Niger Delta.\"""",""Militants in the oil-rich Niger Delta have attacked pipelines, kidnapped petroleum company employees and fought government troops since 2006. The militants say they want more oil money to come to an area still gripped by abject poverty and pollution after more than 50 years of oil production."",""The state oil company said Monday that militants attacked its Warri-Lagos Escravos pipeline Saturday.""]",ap.com/Nigerian militant group says it destroyed a pipeline in the oil-rich delta region
12450,Nigerian forces fight to reclaim town of Baga from Boko Haram,"[""ABUJA (Reuters) - Nigerian ground forces backed by air strikes are fighting to reclaim Baga from Islamist militant group Boko Haram which seized the northeastern town and a nearby military base at the weekend, a government spokesman said on Friday."",""“Since the first attack last weekend on Baga, security forces have been actively pursuing the militants,” Mike Omeri said in a statement. “Security forces have responded rapidly, and have deployed significant military assets and conducted air strikes.”"",""At least 100 people were killed when Boko Haram attacked Baga last weekend, according to the district head."",""Witnesses who escaped to neighboring towns and Borno state capital Maiduguri said the insurgents had razed many buildings and homes and killed dozens of civilians in subsequent raids this week."",""Soldiers had fled the area after the nearby army base, which is the headquarters of a multinational force comprising troops from Chad, Niger and Cameroon, by Lake Chad was overrun."",""Some 300 km (200 miles) away, on Friday evening, gunfire, explosions and heavy artillery fire were heard on the outskirts of Yobe state capital Damaturu."",""“We can hear the artillery fire and then the ground shaking,” a Reuters cameraman said."",""Boko Haram has been waging a 5-year insurgency to carve out an Islamic state in northeastern Nigeria."",""Government spokesman Omeri said the National Emergency Management Agency, working with the Red Cross, was providing humanitarian assistance to 2,000 people who had fled Baga."",""Some 2,000 more people crossed the border to Chad over the last week, prompting the country to call for international aid. Cameroon has also appealed for aid to help fight the militants.""]",reuters.com/article/us-nigeria-violence-idUSKBN0KI1TR20150109
130926,"US capture Libyan al-Qaida leader Anas al-Liby, officials say","[""US forces have captured an al-Qaida leader in Libya linked to the 1998 American embassy bombings in east Africa and wanted by the US for more than a decade, the Pentagon says."",""He was identified as the al-Qaida leader Nazih Abdul-Hamed al-Ruqai, known by his alias Anas al-Liby."",""\""As the result of a US counterterrorism operation, Abu Anas al-Liby is currently lawfully detained by the US military in a secure location outside of Libya,\"" Pentagon spokesman George Little said, without elaborating."",""Al-Liby was arrested at dawn in the Libyan capital, Tripoli, as he was heading home after morning prayers, a neighbour and militia sources said."",""\""As I was opening my house door, I saw a group of cars coming quickly from the direction of the house where al-Raquai lives. I was shocked by this movement in the early morning,\"" said one of his neighbours, who did not give his name, \""They kidnapped him. We do not know who are they.\"""",""Family members said gunmen in a three-car convoy seized al-Liby outside his home. Al-Liby is believed to have returned to Libya during the 2011 civil war that led to the overthrow and killing of dictator Muammar Gaddafi."",""Al-Liby's brother Nabih said the 49-year-old was parking outside his house early on Saturday after dawn prayers, when three vehicles encircled his car. The gunmen smashed his car's window and seized his gun before grabbing him and fleeing. The brother said al-Liby's wife saw the kidnapping from her window and described the abductors as foreign-looking armed \""commandos\""."",""Two Islamist militia sources confirmed the incident."",""CNN reported in September last year that al-Liby had been seen Tripoli. It quoted Western intelligence sources as saying there was concern that he may have been given the job of establishing an al-Qaida network in Libya."",""The US official said there were no US casualties in the operation. The official was not authorised to speak publicly and requested anonymity."",""Al-Liby is on the FBI's most-wanted list with a $5m bounty on his head. He was indicted by a federal court in the Southern District of New York for his alleged role in the bombings of the United States embassies in Dar es Salaam, Tanzania, and Nairobi, Kenya, on 7 August, 1998, which killed more than 250 people."",""Libyan officials did not return calls seeking comment on al-Liby's abduction and the US issued no immediate statements. His brother said he had not contacted authorities over the matter."",""Al-Liby was believed to be a computer specialist with al-Qaida. He studied electronic and nuclear engineering, graduating from Tripoli University, and was an anti-Gaddafi activist."",""He is believed to have spent time in Sudan, where Osama bin Laden was based in the early 1990s. After bin Laden was forced to leave Sudan, al-Liby turned up in Britain in 1995, where he was granted political asylum under unclear circumstances and lived in Manchester. He was arrested by Scotland Yard in 1999, but released because of lack of evidence and later fled Britain. His name was included on the FBI's most wanted terrorists list which was introduced shortly after the attacks on 11September 2001."",""There were a number of reports of his arrest, which were later denied by US officials. In 2007, Human Rights Watch said it believed he was among about two dozen people who may have once been held in secret CIA prisons. The group said it believed he was held in Sudan, but did not elaborate, and said his whereabouts were later unknown."",""Al-Liby's family returned to Libya a year before the revolt against Gaddafi, under an initiative by Gaddafi's son Seif al-Islam who sought to reconcile with militants who renounced violence, a close friend said, refusing to identify himself because of security concerns."",""The friend said al-Liby's son was killed during the civil war as rebels marched on the capital, later ousting Gaddafi. His son's name is scribbled as a graffiti on the walls of the street where his family lives, in an affluent neighborhood in Tripoli.""]",theguardian.com/world/2013/oct/06/us-capture-al-qaida-leader-anas-liby-libya
69149,Iraq forces retake large part of Ramadi city from IS: officials,"[""Iraqi security forces on Tuesday recaptured a large area on the southwestern side of Ramadi from the Islamic State group, which overran the city in May, officials said."",""Retaking the Al-Tameem area from IS is a significant breakthrough for Iraqi forces, which have been fighting for months to secure territory around Ramadi, a major city west of Baghdad and the capital of the vast Anbar province."",""“Today, our forces completely cleared the Al-Tameem area after a fierce battle against Daesh gunmen,” Sabah al-Noman, the spokesman for Iraq’s counter-terrorism service, told AFP, using an Arabic acronym for IS."",""IS fighters “had no choice except to surrender or fight and they were completely destroyed,” Noman said."",""Major General Hadi al-Irzayij, the police chief for Anbar, confirmed that Al-Tameem had been retaken as did Brigadier General Yahya Rasool, the spokesman for the Joint Operations Command."",""Iraqi forces were working to clear bombs planted by IS in Al-Tameem, which is bordered by a branch of the Euphrates River that divides it from the next jihadist-held area."",""IS overran large parts of Iraq in June 2014, including major territory in Anbar, which stretches from the borders with Syria, Jordan and Saudi Arabia to the western approach to Baghdad."",""Shifting parts of Ramadi, located 100 kilometres (60 miles) from Baghdad, had been held by anti-government fighters since the beginning of 2014."",""But IS did not succeeded in completely overrunning it until May of this year.""]",guardian.ng/news/iraq-forces-retake-large-part-of-ramadi-city-from-is-officials
