,year,month,location,-999,threaten,protest,changepower,purge,changeelection,cooperate,violencelethal,legalchange,censor,violencenonlethal,praise,arrest,disaster,mobilizesecurity,raid,coup,defamationcase,martiallaw
0,2000,2,Colombia,120,0,1,2,1,0,33,8,3,1,8,0,1,6,8,0,1,0,3
1,2000,3,Colombia,244,5,4,4,6,3,46,56,6,3,30,1,8,14,9,0,0,0,3
2,2000,4,Colombia,230,1,11,6,8,3,50,37,4,2,36,1,7,9,4,0,0,0,3
3,2000,5,Colombia,311,6,27,9,12,3,59,65,10,5,50,1,3,25,7,0,0,2,6
4,2000,6,Colombia,289,1,9,6,20,2,62,62,14,1,47,2,5,12,5,0,0,0,6
5,2000,7,Colombia,271,3,7,3,14,0,70,50,9,3,39,0,8,9,12,0,0,0,7
6,2000,8,Colombia,307,4,13,10,9,2,58,71,5,3,52,2,6,13,8,0,0,0,4
7,2000,9,Colombia,244,3,5,10,3,3,61,47,8,2,42,0,9,15,6,0,0,0,8
8,2000,10,Colombia,305,3,10,6,10,10,87,34,7,3,27,1,6,8,9,0,0,1,4
9,2000,11,Colombia,353,0,8,10,18,4,91,58,8,0,50,1,9,12,12,0,0,0,5
10,2000,12,Colombia,295,3,12,10,13,0,62,63,4,2,32,0,7,8,4,0,0,0,4
11,2001,1,Colombia,333,5,8,4,20,1,84,64,4,2,44,0,15,18,11,0,0,0,9
12,2001,2,Colombia,307,2,14,8,16,0,87,41,5,3,51,5,11,10,7,1,0,1,5
13,2001,3,Colombia,472,1,8,13,19,2,63,85,10,3,59,4,16,14,10,0,0,3,12
14,2001,4,Colombia,443,5,13,10,10,2,76,90,17,3,46,1,7,10,7,0,0,0,5
15,2001,5,Colombia,499,7,20,12,14,0,59,87,17,5,50,4,10,7,6,0,0,0,6
16,2001,6,Colombia,510,1,16,11,25,3,84,89,17,4,60,2,10,17,11,0,0,0,7
17,2001,7,Colombia,517,2,17,16,13,0,70,80,17,4,57,2,7,17,14,0,0,0,7
18,2001,8,Colombia,516,4,16,14,13,0,69,103,17,3,54,2,10,27,11,0,1,0,8
19,2001,9,Colombia,533,7,8,14,12,2,62,107,14,1,59,3,6,21,7,1,0,0,10
20,2001,10,Colombia,532,1,5,22,13,1,75,96,15,6,53,6,6,25,12,0,0,2,9
21,2001,11,Colombia,484,3,8,19,15,6,87,79,15,4,48,7,12,24,9,0,0,1,15
22,2001,12,Colombia,494,3,6,7,15,2,63,69,18,1,63,4,12,27,5,0,0,0,15
23,2002,1,Colombia,473,2,10,7,13,1,84,97,13,2,82,3,6,26,10,0,0,0,11
