,year,month,location,-999,threaten,protest,changepower,purge,changeelection,cooperate,violencelethal,legalchange,censor,violencenonlethal,praise,arrest,disaster,mobilizesecurity,raid,coup,defamationcase,martiallaw
0,2000,2,Nigeria,7,0,0,0,0,0,1,1,1,0,1,0,0,2,0,0,0,0,0
1,2000,3,Nigeria,10,0,2,0,2,0,0,3,0,0,2,0,0,5,0,0,0,0,0
2,2000,4,Nigeria,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
3,2000,5,Nigeria,2,0,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0
4,2000,6,Nigeria,0,0,3,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0
5,2000,7,Nigeria,1,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0
6,2000,8,Nigeria,8,0,0,0,1,0,1,0,0,0,4,3,0,4,0,0,0,0,0
7,2000,9,Nigeria,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,2000,10,Nigeria,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9,2000,11,Nigeria,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10,2000,12,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11,2001,1,Nigeria,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2001,2,Nigeria,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
13,2001,3,Nigeria,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,2001,4,Nigeria,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
15,2001,5,Nigeria,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,2001,6,Nigeria,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1
17,2001,7,Nigeria,3,0,1,0,0,0,0,2,0,0,2,0,1,2,0,0,0,0,0
18,2001,8,Nigeria,5,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0
19,2001,9,Nigeria,9,0,1,0,0,0,1,0,1,0,1,0,0,4,0,0,0,0,0
