,year,month,location,-999,threaten,protest,changepower,purge,changeelection,cooperate,violencelethal,legalchange,censor,violencenonlethal,praise,arrest,disaster,mobilizesecurity,raid,coup,defamationcase,martiallaw
0,2000,2,Ukraine,54,0,0,2,2,1,3,0,2,0,0,2,0,2,0,0,0,0,0
1,2000,3,Ukraine,64,1,0,2,1,1,1,0,2,1,0,2,1,2,0,1,0,0,0
2,2000,4,Ukraine,48,0,0,5,0,2,3,0,4,2,0,2,0,2,0,0,0,1,0
3,2000,5,Ukraine,168,3,8,15,3,5,18,0,1,1,0,5,1,10,0,0,0,0,0
4,2000,6,Ukraine,329,6,5,28,20,3,59,3,16,1,0,10,2,14,2,2,0,0,0
5,2000,7,Ukraine,301,8,2,31,13,4,40,10,20,1,4,8,2,28,3,1,0,0,1
6,2000,8,Ukraine,416,8,4,13,8,1,56,8,12,5,7,4,17,27,1,0,0,0,0
7,2000,9,Ukraine,358,12,8,39,12,1,43,1,14,8,2,12,5,17,0,1,3,0,1
8,2000,10,Ukraine,408,10,9,38,11,2,76,3,20,15,5,7,5,13,1,0,3,0,0
9,2000,11,Ukraine,453,7,13,33,14,3,43,4,25,11,2,11,10,22,0,0,0,4,0
10,2000,12,Ukraine,317,8,18,9,9,2,30,8,12,13,1,5,5,16,1,3,0,0,0
11,2001,1,Ukraine,200,5,17,8,23,1,29,23,6,11,0,5,8,37,0,1,0,7,0
12,2001,2,Ukraine,253,3,31,8,18,5,30,7,7,13,7,8,17,8,0,3,0,3,0
13,2001,3,Ukraine,280,3,36,12,27,4,23,15,13,1,4,8,8,21,0,2,3,0,0
14,2001,4,Ukraine,231,1,8,13,9,7,26,0,3,6,4,7,4,14,0,0,0,0,1
15,2001,5,Ukraine,154,1,1,8,12,2,9,6,8,6,4,6,5,5,0,5,0,0,0
16,2001,6,Ukraine,177,9,5,10,4,2,33,3,5,5,5,18,2,14,2,0,0,1,0
17,2001,7,Ukraine,134,1,0,11,7,0,26,8,4,1,2,5,2,13,0,0,0,0,0
18,2001,8,Ukraine,159,1,5,6,1,1,14,7,4,1,4,6,5,15,0,1,7,0,0
19,2001,9,Ukraine,109,1,1,9,2,0,9,4,2,3,2,1,1,6,1,0,0,1,0
20,2001,10,Ukraine,119,2,4,1,4,5,12,4,5,3,1,5,2,35,0,0,0,0,0
21,2001,11,Ukraine,101,2,2,8,6,6,15,3,7,1,1,7,0,8,0,0,0,0,0
22,2001,12,Ukraine,95,0,2,3,7,4,16,1,2,3,0,2,0,7,0,0,0,0,0
23,2002,1,Ukraine,80,0,0,5,3,15,4,0,7,2,1,2,1,9,0,1,0,0,0
24,2002,2,Ukraine,79,1,1,1,7,16,15,3,1,4,1,3,1,5,1,1,0,1,0
25,2002,3,Ukraine,89,0,3,3,0,22,7,1,1,2,1,4,0,2,2,2,0,0,0
26,2002,4,Ukraine,95,4,2,5,0,22,21,2,3,2,7,9,9,10,2,0,0,0,0
27,2002,5,Ukraine,126,3,3,5,3,6,24,6,0,2,2,10,2,9,1,0,0,1,0
28,2002,6,Ukraine,109,1,7,8,2,1,11,2,1,3,1,11,4,3,1,1,1,0,4
29,2002,7,Ukraine,85,1,4,5,1,1,13,5,4,3,0,4,4,21,1,0,0,0,0
30,2002,8,Ukraine,95,1,2,6,3,1,9,1,1,0,1,2,4,20,0,0,0,0,0
31,2002,9,Ukraine,115,4,33,9,1,2,14,0,3,2,1,2,4,16,0,0,0,0,0
32,2002,10,Ukraine,134,3,4,3,2,0,13,5,5,4,3,8,7,11,2,0,0,0,0
33,2002,11,Ukraine,108,2,2,4,10,0,22,8,4,2,0,1,2,14,1,0,0,0,0
34,2002,12,Ukraine,48,0,0,3,4,3,4,0,4,1,0,1,0,0,0,0,0,0,0
35,2003,1,Ukraine,66,0,0,2,1,0,9,1,5,1,1,6,0,3,0,1,1,1,0
36,2003,2,Ukraine,93,2,4,2,2,1,16,3,6,3,2,5,0,11,2,0,0,0,0
37,2003,3,Ukraine,93,0,11,5,2,0,13,4,2,1,0,2,3,5,8,0,0,2,0
38,2003,4,Ukraine,101,0,5,10,6,0,12,5,6,5,0,4,1,7,1,0,0,0,0
39,2003,5,Ukraine,103,1,2,5,1,0,12,1,3,3,2,2,2,4,0,1,0,1,0
40,2003,6,Ukraine,89,1,0,9,8,2,12,1,1,3,0,4,3,3,0,0,0,0,0
41,2003,7,Ukraine,96,0,3,9,5,2,11,0,6,3,2,1,0,2,0,1,0,1,0
42,2003,8,Ukraine,87,3,1,6,2,0,10,3,2,3,2,2,4,5,1,1,0,2,0
43,2003,9,Ukraine,92,0,3,6,6,1,10,5,9,1,1,2,3,4,0,0,1,1,0
44,2003,10,Ukraine,99,3,6,3,4,2,18,3,6,7,0,3,0,5,1,0,0,1,0
45,2003,11,Ukraine,74,0,5,4,6,5,12,2,2,1,2,7,1,5,1,0,0,0,0
46,2003,12,Ukraine,0,0,0,1,0,0,4,1,0,0,0,1,1,0,0,0,0,0,0
47,2004,1,Ukraine,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2004,2,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2004,3,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2004,4,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2004,5,Ukraine,24,0,0,1,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0
52,2004,6,Ukraine,89,1,1,6,0,4,5,2,1,1,1,1,1,1,0,0,0,0,0
53,2004,7,Ukraine,75,0,3,4,2,6,9,2,0,4,1,1,1,1,0,0,0,0,0
54,2004,8,Ukraine,50,0,2,0,0,2,5,2,1,0,2,5,1,2,1,1,0,1,0
55,2004,9,Ukraine,71,2,6,3,2,9,6,2,2,1,4,2,2,0,0,2,0,0,0
56,2004,10,Ukraine,62,0,4,2,1,7,7,0,0,1,3,2,1,1,1,2,0,1,2
57,2004,11,Ukraine,94,1,23,7,2,45,20,1,1,5,1,2,1,0,4,0,0,0,2
58,2004,12,Ukraine,92,8,12,9,12,25,16,4,0,3,5,7,1,0,1,0,0,0,0
59,2005,1,Ukraine,47,2,4,5,5,9,10,2,1,0,2,5,1,3,0,0,0,0,0
60,2005,2,Ukraine,76,0,2,4,3,1,7,2,1,3,0,3,0,1,0,0,0,0,0
61,2005,3,Ukraine,91,1,0,2,0,2,4,6,2,2,1,4,0,1,0,0,0,1,0
62,2005,4,Ukraine,87,0,2,3,0,0,5,0,2,1,0,1,2,3,0,0,0,0,0
63,2005,5,Ukraine,66,1,2,3,0,0,7,2,1,2,2,6,2,0,0,0,0,0,0
64,2005,6,Ukraine,90,0,1,3,1,0,9,2,1,1,2,6,2,2,0,0,0,0,0
65,2005,7,Ukraine,79,1,2,5,2,0,10,4,4,0,3,1,3,1,0,0,0,0,0
66,2005,8,Ukraine,81,0,1,2,2,0,11,1,1,2,1,7,0,2,0,2,0,0,0
67,2005,9,Ukraine,79,1,3,6,8,2,15,0,0,1,3,9,1,4,0,1,0,0,0
68,2005,10,Ukraine,79,0,4,5,5,1,8,0,0,2,2,5,4,1,0,0,0,0,0
69,2005,11,Ukraine,101,1,4,6,2,2,11,4,2,0,0,3,1,5,3,0,0,0,0
70,2005,12,Ukraine,324,4,0,6,5,4,22,17,0,0,7,1,0,1,0,0,0,0,0
71,2006,1,Ukraine,266,4,2,2,3,0,20,6,3,2,5,3,5,13,1,1,0,0,0
72,2006,2,Ukraine,195,2,2,1,6,7,26,0,2,2,1,6,6,8,1,4,0,0,0
73,2006,3,Ukraine,290,4,4,7,13,27,39,25,9,8,6,3,3,25,0,0,0,0,2
74,2006,4,Ukraine,303,2,8,9,8,11,55,11,5,1,26,3,9,16,7,0,0,2,4
75,2006,5,Ukraine,410,4,17,10,23,4,42,18,8,2,16,1,17,31,1,0,0,0,2
76,2006,6,Ukraine,324,3,9,5,6,0,39,29,9,5,30,2,8,11,0,0,1,4,2
77,2006,7,Ukraine,402,1,3,3,5,7,34,29,13,14,35,3,10,33,4,0,0,8,2
78,2006,8,Ukraine,462,9,1,6,1,4,48,40,5,7,31,3,28,59,5,0,0,2,0
79,2006,9,Ukraine,417,1,4,10,7,0,29,43,20,2,37,3,8,38,0,0,0,0,4
80,2006,10,Ukraine,456,4,6,8,18,3,54,37,12,2,38,0,16,24,5,2,0,0,2
81,2006,11,Ukraine,465,5,6,6,32,7,94,52,10,0,47,5,9,23,0,5,0,0,0
82,2006,12,Ukraine,422,9,3,14,9,1,32,37,13,3,38,3,14,19,1,1,0,0,0
83,2007,1,Ukraine,398,3,3,7,10,1,50,23,6,2,29,2,20,11,5,1,0,0,1
84,2007,2,Ukraine,463,2,4,6,4,2,44,34,17,7,25,3,18,35,4,4,0,0,0
85,2007,3,Ukraine,574,3,3,12,10,5,62,50,14,8,21,3,9,20,3,0,0,0,0
86,2007,4,Ukraine,549,1,9,9,23,11,58,45,3,5,53,4,11,15,2,0,0,1,1
87,2007,5,Ukraine,596,4,8,8,28,13,38,39,12,6,63,6,21,28,4,0,0,2,4
88,2007,6,Ukraine,595,4,5,8,20,6,69,63,10,5,50,4,28,44,6,5,0,1,4
89,2007,7,Ukraine,653,3,10,3,13,6,91,75,9,4,44,7,14,62,6,2,1,5,3
90,2007,8,Ukraine,647,7,5,10,8,9,56,75,12,1,56,3,13,52,6,8,0,0,4
91,2007,9,Ukraine,624,2,5,3,23,13,47,43,4,5,20,11,20,35,3,0,0,2,1
92,2007,10,Ukraine,705,9,15,13,23,20,82,48,0,3,41,8,19,47,1,0,0,0,6
93,2007,11,Ukraine,738,5,14,7,20,8,66,71,2,3,56,9,27,45,2,0,0,8,2
94,2007,12,Ukraine,817,5,7,11,22,13,45,84,14,1,33,6,25,56,3,4,0,0,4
95,2008,1,Ukraine,877,8,16,14,11,5,85,93,13,0,42,13,16,43,4,0,0,6,5
96,2008,2,Ukraine,1181,16,4,31,39,16,154,75,31,5,32,20,38,52,10,0,0,6,8
97,2008,3,Ukraine,939,8,12,14,29,15,111,61,22,5,50,16,17,52,6,1,0,8,2
98,2008,4,Ukraine,1221,2,5,20,24,5,87,71,14,5,51,11,14,46,11,0,0,4,7
99,2008,5,Ukraine,1283,4,11,18,20,14,127,86,25,9,62,12,21,91,0,7,0,3,8
100,2008,6,Ukraine,1133,7,9,7,19,1,126,102,18,4,90,26,36,98,2,0,0,8,9
101,2008,7,Ukraine,1855,9,25,13,47,6,187,104,34,12,132,16,46,143,11,2,0,5,23
102,2008,8,Ukraine,1293,3,10,18,33,3,157,77,14,5,88,11,26,87,10,0,0,2,8
103,2008,9,Ukraine,1331,19,14,26,48,16,192,69,28,5,89,28,26,121,14,0,2,3,7
104,2008,10,Ukraine,1656,19,19,37,32,47,152,84,25,9,82,16,12,84,13,1,0,2,33
105,2008,11,Ukraine,2124,20,17,104,136,41,354,141,51,22,91,32,45,81,28,5,0,7,108
106,2008,12,Ukraine,2588,40,61,270,185,50,619,124,109,14,111,43,51,106,31,3,0,6,200
107,2009,1,Ukraine,2965,47,37,133,236,37,857,110,62,33,102,49,39,134,49,11,0,8,151
108,2009,2,Ukraine,3452,57,143,242,401,71,757,108,135,24,134,60,31,162,38,13,0,14,163
109,2009,3,Ukraine,3306,62,130,232,361,132,741,116,124,16,149,67,96,137,42,22,1,13,88
110,2009,4,Ukraine,3400,27,151,277,140,181,793,140,108,35,202,62,73,225,29,7,0,3,162
111,2009,5,Ukraine,3551,39,73,181,423,104,736,193,175,31,162,71,70,238,27,6,1,7,123
112,2009,6,Ukraine,3246,54,67,274,376,111,668,338,182,21,200,34,113,333,39,3,11,11,89
113,2009,7,Ukraine,3950,47,55,215,222,64,723,310,147,47,190,55,137,321,34,4,1,8,134
114,2009,8,Ukraine,3758,50,45,204,151,54,634,303,78,18,187,67,108,349,42,3,0,5,124
115,2009,9,Ukraine,4110,61,52,343,214,95,784,232,114,35,228,56,108,321,59,9,0,14,154
116,2009,10,Ukraine,4890,70,85,341,372,133,943,409,220,46,259,84,163,288,84,4,1,15,122
117,2009,11,Ukraine,5347,70,62,306,303,166,968,633,221,34,224,64,168,301,108,26,1,12,133
118,2009,12,Ukraine,4885,61,82,230,268,184,831,459,201,46,273,73,157,468,77,14,1,5,115
119,2010,1,Ukraine,4112,66,76,210,277,519,615,348,91,59,258,77,120,420,49,9,0,7,67
120,2010,2,Ukraine,4673,60,117,267,422,669,878,311,141,53,288,108,143,496,78,5,1,14,75
121,2010,3,Ukraine,5199,64,120,320,894,89,1225,365,169,30,344,89,233,441,34,8,0,22,115
122,2010,4,Ukraine,5445,65,155,408,358,44,1425,436,182,63,304,112,142,579,51,10,2,12,188
123,2010,5,Ukraine,5050,53,223,271,306,100,1280,434,193,54,312,106,171,455,51,3,1,13,160
124,2010,6,Ukraine,5503,93,98,445,514,107,1026,475,287,72,332,67,281,519,67,8,0,29,216
125,2010,7,Ukraine,5363,50,115,386,672,86,1022,351,269,39,301,109,249,500,43,20,1,17,161
126,2010,8,Ukraine,4815,51,81,242,287,92,641,340,184,52,236,69,202,693,53,9,1,6,164
127,2010,9,Ukraine,5221,50,134,376,440,157,974,349,202,40,311,79,223,352,34,6,1,19,148
128,2010,10,Ukraine,5256,55,157,520,354,291,786,353,198,38,265,69,144,471,60,18,0,15,108
129,2010,11,Ukraine,5220,43,378,492,427,367,927,322,170,35,249,62,167,355,39,14,2,30,139
130,2010,12,Ukraine,5333,63,183,521,601,58,705,320,202,41,256,75,315,408,45,11,0,22,120
131,2011,1,Ukraine,4922,87,196,175,283,35,725,335,206,64,298,95,332,325,37,14,1,22,138
132,2011,2,Ukraine,5264,97,266,452,408,65,856,289,219,80,262,63,240,390,67,16,2,25,176
133,2011,3,Ukraine,5961,71,175,245,339,56,817,413,255,60,279,76,230,466,102,18,0,19,221
134,2011,4,Ukraine,5567,66,182,177,365,55,1063,401,264,38,272,75,257,445,57,10,0,33,217
135,2011,5,Ukraine,5975,89,273,179,394,50,917,362,276,43,320,81,276,317,40,16,1,30,284
136,2011,6,Ukraine,5798,61,154,341,320,52,1010,389,269,54,253,62,196,480,62,6,3,29,219
137,2011,7,Ukraine,6023,59,144,269,424,57,796,400,238,70,270,63,240,583,38,17,0,46,166
138,2011,8,Ukraine,7877,85,285,171,383,63,948,457,158,47,518,81,277,553,48,9,9,52,297
139,2011,9,Ukraine,7412,81,184,348,307,54,1485,461,294,40,402,53,252,551,49,7,0,21,307
